freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.790221186e+11,0.8195041141
1,1292846101,0.8341424868
2,904246351.1,0.8546193171
3,583304615.3,0.8711306219
4,396143403.2,0.8845867357
5,131569809,0.892035294
6,81967608.98,0.8962116812
7,171568378,0.9078672767
8,71279049.57,0.9135167233
9,63388512.59,0.9185407805
10,74744655.67,0.9257343599
11,39578022.46,0.9293193672
12,33263102.52,0.9330856136
13,28280763.92,0.9367680474
14,20714927.47,0.9393480614
15,28493381.25,0.9432194896
16,16523793.95,0.9454645963
17,23998269.1,0.9494045752
18,14586461.13,0.9518819241
19,9376502.09,0.9534744191
20,12787780.11,0.9557186773
21,7833904.213,0.9573152796
22,7152002.487,0.9586919264
23,6747880.802,0.960028988
24,5251223.503,0.9611586801
25,4505951.064,0.9622300803
26,3736187.281,0.9631607537
27,3352823.292,0.9639389882
28,2989332.396,0.9646497752
29,2766114.362,0.9654014455
30,2491563.249,0.9660644031
31,1786371.71,0.9665902885
32,2626901.178,0.967333872
33,2366691.615,0.9680305963
34,2282582.782,0.968767172
35,1850936.191,0.9693120644
36,1752979.528,0.9698876644
37,1628568.241,0.9704131936
38,1821172.128,0.9710730462
39,1662088.266,0.9716564399
40,1031732.558,0.9720010556
41,1500508.667,0.9725787038
42,1300143.576,0.9730644968
43,1121434.693,0.9735216086
44,1367884.625,0.9740559447
45,1309566.07,0.9745600861
46,1096289.976,0.9750193614
47,1182842.383,0.9755082003
48,1003830.964,0.9759514731
49,953801.5516,0.9763618545
50,829820.9572,0.976756475
51,843459.0437,0.9771432559
52,623280.6631,0.9774184849
53,546080.0895,0.9776843558
54,671790.62,0.9779924155
55,513504.8517,0.9782656832
56,528078.9773,0.9785227899
57,452776.0083,0.9787534869
58,474676.0521,0.9789980296
59,462383.1212,0.9792388569
60,337437.0536,0.9794260694
61,390118.9215,0.9796403016
62,384821.5727,0.9798538033
63,400005.0011,0.9800802581
64,408250.5884,0.9803044472
65,304209.0916,0.9804904467
66,341907.0902,0.9806840105
67,318886.3696,0.9808753734
68,372051.969,0.981113385
69,353436.7097,0.9813214797
70,300705.8637,0.9815121468
71,346350.3932,0.9817219516
72,343403.6955,0.9819552449
73,273036.9821,0.9821345511
74,212418.767,0.9822740488
75,227256.0836,0.9824271499
76,277804.0859,0.9826158777
77,216223.6464,0.9827676669
78,215798.4801,0.9829130491
79,219302.0644,0.9830669994
80,256423.1528,0.9832557188
81,199405.5314,0.9833968305
82,189457.495,0.9835405556
83,173879.1805,0.9836645877
84,145110.5529,0.9837746706
85,163768.8398,0.9839016893
86,202944.7219,0.9840579439
87,166426.1202,0.9841879658
88,207411.0882,0.9843417881
89,171021.4681,0.9844870186
90,164072.5875,0.9846152018
91,164422.3472,0.9847492433
92,157502.9787,0.9848785356
93,156812.1057,0.9850081486
94,155005.9243,0.9851415338
95,131140.4928,0.9852491855
96,120730.7121,0.9853517094
97,138059.4872,0.9854752015
98,155962.9504,0.9856094103
99,133258.2115,0.985730871
100,121908.7959,0.9858357757
101,131910.5188,0.9859597419
102,144709.3391,0.98609164
103,115388.5359,0.9861935468
104,100746.7751,0.9862893669
105,109278.8679,0.9863889711
106,122787.1253,0.9865099245
