freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.343979836e+11,0.5708693914
1,1882606974,0.6348419404
2,1294409050,0.72281213
3,255641751.5,0.7445294278
4,215033888.6,0.7664505183
5,130087511.2,0.7885529268
6,144697345.4,0.8106791388
7,66580534.31,0.82425391
8,60159100.8,0.8385637035
9,41207954.54,0.8483656672
10,27503924.31,0.8563098199
11,26326421.25,0.8634665692
12,13494721.72,0.8680521878
13,9663084.048,0.8718283234
14,11002592.75,0.8759409731
15,14054064.59,0.8816717986
16,11604254.97,0.8864036653
17,8610579.523,0.8906462876
18,7534306.65,0.8944866176
19,5053404.021,0.8970624006
20,6454734.051,0.9004621276
21,5481109.171,0.9038146752
22,4795843.401,0.9065851098
23,4780711.792,0.9094280296
24,3843231.685,0.9119093575
25,2986657.256,0.9140406285
26,2160063.287,0.9156554449
27,2198434.59,0.9171868899
28,2414959.32,0.9189101987
29,2325640.296,0.9208068512
30,2039573.263,0.9224355515
31,1388141.734,0.9236619769
32,1652247.226,0.9250655952
33,1484702.656,0.9263773324
34,1212051.895,0.9275511485
35,1141241.712,0.9285594374
36,1421816.546,0.9299605581
37,1243701.296,0.9311650252
38,1052634.188,0.9323096455
39,1011996.214,0.9333756881
40,1113879.3,0.9344922792
41,880999.4591,0.9355101403
42,938388.3307,0.9365624184
43,896260.1924,0.9376588224
44,1063416.593,0.9389055068
45,896142.2747,0.9399408632
46,817355.3289,0.9409685165
47,617912.5529,0.9417349136
48,537854.3818,0.9424477064
49,502930.8174,0.9430971267
50,476121.9414,0.9437766455
51,493733.9436,0.9444561338
52,449105.7747,0.9450513123
53,480745.7551,0.9457537664
54,426404.8602,0.9463405948
55,444754.3485,0.9470509116
56,422512.9853,0.9476682773
57,414910.7039,0.9483027327
58,398479.0192,0.9489188322
59,386669.8782,0.949523243
60,349049.8962,0.9501044322
61,324757.0979,0.9506396548
62,330044.0644,0.9511891982
63,320479.9563,0.9517337069
64,278480.9662,0.9521926631
65,297031.0631,0.9527377047
66,270142.6452,0.9531966883
67,240523.0807,0.9536298665
68,243900.9394,0.954098136
69,242545.5872,0.9545267149
70,224098.7277,0.9549531583
71,239286.651,0.9553881753
