freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.772901974e+11,0.8787583138
1,1348582612,0.9038865189
2,219120203.9,0.9120522736
3,152370360.1,0.9191500843
4,162532551.9,0.928235515
5,51979765.01,0.9330782224
6,69158224.25,0.9388770509
7,62206467.71,0.9458316276
8,27833893.25,0.9494620396
9,19303224.97,0.951979785
10,8538155.616,0.9533320659
11,11477335.99,0.955042928
12,8943442.428,0.9567093639
13,6654953.013,0.9581353876
14,7663033.676,0.9597060301
15,6747289.516,0.9612147009
16,4163734.66,0.9621456978
17,3048965.934,0.962969465
18,3310749.593,0.9638948053
19,3677987.712,0.9649227872
20,4114679.078,0.9661111569
21,2405161.439,0.9669178357
22,1940474.916,0.9675325041
23,2284475.349,0.968277422
24,2463598.438,0.9691496046
25,1985204.734,0.9699264034
26,1591346.022,0.9705787392
27,1262592.887,0.9710610212
28,1242408.411,0.9715471682
29,972731.5356,0.9719821671
30,915807.28,0.9723831777
31,904111.3091,0.9728211828
32,892524.8406,0.9732369443
33,843307.7668,0.9736454925
34,661748.7115,0.9739969088
35,597582.4453,0.9742864132
36,698299.1761,0.974663745
37,629381.3754,0.9749979729
38,715346.2826,0.9754245035
39,527671.5781,0.9757292995
40,522958.281,0.9760167566
41,466145.2886,0.9763120706
42,424216.3291,0.9765729173
43,369668.823,0.9768208873
44,333710.3944,0.9770354098
45,403910.7808,0.9772912968
46,362236.2321,0.9775410307
47,460982.2115,0.9778545476
48,411613.175,0.9781536623
49,334654.297,0.9783906163
50,293191.8384,0.9786200647
51,276322.8469,0.9788285885
52,279121.8413,0.9790314233
53,257190.0659,0.9792374894
54,315857.4211,0.9794758475
55,264494.5641,0.9797074795
56,279388.2629,0.9799313313
57,233365.5834,0.9801270053
58,212665.5449,0.980307304
59,218649.8647,0.9804947132
60,216687.0757,0.9806925527
61,226348.9024,0.9808971048
62,230396.4643,0.9811074613
63,185399.873,0.9812801895
64,183973.0513,0.9814464465
65,172791.1457,0.9816203063
66,193052.5074,0.9818001641
67,173515.1689,0.9819715193
68,173287.7199,0.9821539509
69,168323.4392,0.9823170426
