freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.985655269e+11,0.8992705559
1,1332281994,0.9233184354
2,134076219.5,0.928158625
3,141406249.4,0.9345396323
4,28787343.78,0.9360984793
5,29581579.92,0.9387682379
6,35001700.8,0.9416112734
7,11741799.57,0.9428829203
8,13511841.46,0.944590155
9,17884760.48,0.9468499123
10,12389956.43,0.9487508563
11,10214877.08,0.9502258962
12,11166578.92,0.9522414795
13,9158805.679,0.9541426336
14,7153135.931,0.9555628999
15,4758451.088,0.9565935886
16,4439522.526,0.9575551967
17,3881931.144,0.9585712032
18,3363748.429,0.9594819452
19,2604937.496,0.9601872376
20,2377700.979,0.9608524641
21,2808415.624,0.9617649256
22,2449954.778,0.9625167001
23,1686784.479,0.9630495174
24,2173259.716,0.9637948427
25,2097255.981,0.9645898138
26,1394691.047,0.96514365
27,1443765.668,0.9656778836
28,1591525.469,0.9662811561
29,1349119.849,0.9668655994
30,1384114.942,0.967452711
31,1474579.29,0.9681447365
32,1369195.284,0.9687625907
33,1157060.662,0.9693056036
34,1207420.815,0.9699267359
35,948449.5175,0.9703718468
36,963330.6277,0.9708761062
37,758011.9197,0.9712660495
38,668773.557,0.9716523362
39,751667.53,0.9720729351
40,1144895.992,0.9726825684
41,715721.6342,0.9731218102
42,682661.7654,0.9735284409
43,569179.3662,0.9738982965
44,558913.9687,0.974246349
45,586830.657,0.9746064898
46,485398.98,0.9749306661
47,465454.5162,0.9752373215
48,469103.6073,0.9755675496
49,499712.4727,0.9759103051
50,450760.1658,0.9762520291
51,396193.8503,0.976541659
52,414501.3599,0.9768334495
53,334673.7973,0.9770932086
54,469110.4629,0.9774361428
55,397212.0616,0.9777731203
56,340495.9076,0.9780373983
57,383817.0422,0.9783491561
58,432636.3709,0.9787044724
59,334488.8178,0.9789822006
60,298945.09,0.9792466047
61,339438.6549,0.9795437601
62,339976.1604,0.9798444544
63,262172.7724,0.9800810672
64,277390.1067,0.9803239033
65,277037.7465,0.9805939342
66,287888.1921,0.9808537553
67,226578.1355,0.981070513
68,223993.785,0.9812989493
69,239565.0157,0.9815238067
70,228748.3178,0.9817550274
71,195369.5768,0.9819436924
72,177750.2397,0.9821361974
73,194393.8002,0.9823397099
74,174828.0205,0.9825227388
75,171817.1087,0.9827072675
