freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.846205377e+11,0.7867320712
1,2941940208,0.8348734154
2,1103773664,0.8709972957
3,586605734,0.8949950544
4,267393251.6,0.9081217698
5,152878843.2,0.9206301699
6,87283667.63,0.9270574891
7,54036797.04,0.9323629757
8,45084192.73,0.9375272191
9,57799050.7,0.9441479071
10,25477484.91,0.9476916307
11,20721143.9,0.9504042453
12,11410198.14,0.9522713882
13,9018077.833,0.9539684442
14,9628953.691,0.9557016741
15,10966831.05,0.9578551834
16,9728992.343,0.9597656238
17,4743743.156,0.9608911965
18,6421398.654,0.9624673745
19,8142030.036,0.9644658937
20,5164375.549,0.9657757808
21,3662935.476,0.9668546931
22,4007700.749,0.9679695743
23,5008809.892,0.9694039303
24,2800192.904,0.9702745449
25,2579580.895,0.971160992
26,1553829.239,0.9717203764
27,4080428.886,0.9730891891
28,3754727.539,0.9743794636
29,2912778.408,0.9755234031
30,1840447.132,0.9762311461
31,1545556.529,0.976888717
32,1688026.116,0.9775792804
33,1232235.078,0.9781035459
34,1062441.432,0.9785990351
35,1630439.601,0.9792927204
36,1289071.554,0.9799044498
37,1063743.624,0.9804005464
38,934122.6385,0.9808896921
39,796762.8852,0.9812938724
40,711137.5076,0.9816371614
41,1292329.901,0.9823561743
42,1118894.268,0.9829603836
43,557085.5746,0.9832885611
44,633504.7364,0.983646207
45,626581.7213,0.983994818
46,697719.5108,0.9844172598
47,829129.8659,0.9849124817
48,681399.0454,0.9853473427
49,440827.2068,0.98562146
50,301328.1111,0.9858285567
51,485611.0703,0.9861503878
52,462761.892,0.9864457171
53,432584.1895,0.9867501023
54,334982.6452,0.9869721067
55,490938.4865,0.987349687
56,309901.5085,0.9875677473
57,439127.1295,0.9878911079
58,511642.6377,0.9882720531
59,368739.7848,0.9885496165
60,269307.0772,0.9887655541
61,232358.8888,0.9889499645
62,183230.7841,0.9890968838
63,162460.9733,0.9892298078
64,451815.808,0.989588389
65,408627.043,0.9899494705
66,215723.8989,0.9901259737
67,170180.2334,0.990273568
68,160967.7592,0.9904223915
69,159457.6266,0.9905580769
70,153005.0207,0.9906982866
71,247724.5377,0.9909151605
72,171050.0395,0.9910831023
73,114486.066,0.9911917611
74,130444.1165,0.9913155657
75,116029.193,0.9914285371
76,118611.345,0.9915449931
77,152730.1566,0.9916999464
78,186564.1545,0.991881594
79,129866.1934,0.9920133505
80,126329.171,0.9921477202
81,144426.8624,0.9922954311
82,122748.4955,0.9924300095
83,101440.0109,0.992534586
84,92369.46263,0.9926358576
85,81207.6768,0.9927268849
86,92707.54459,0.9928300442
87,90058.25849,0.9929317293
88,88873.34262,0.9930269863
89,71362.72544,0.9931145688
90,70517.4341,0.9931941902
91,73278.10174,0.993280526
92,84888.57913,0.9933812358
93,64294.4986,0.9934580393
94,73304.89054,0.9935492049
95,80235.94374,0.9936443949
96,59003.7817,0.9937168094
97,55350.03358,0.9937883626
98,56711.0103,0.9938588913
99,55967.07077,0.9939326159
100,62415.70442,0.9940102392
101,72962.91155,0.9941093371
102,61593.89988,0.9941904739
103,52296.06329,0.9942572234
104,69663.65343,0.9943529803
105,52848.8827,0.9944225974
106,43405.16988,0.9944843912
107,53831.47589,0.9945583858
108,47851.93016,0.9946233781
109,42706.67906,0.9946831293
110,44944.54127,0.9947463792
111,46451.57891,0.9948147904
112,47484.90407,0.9948827808
113,46839.77894,0.9949509973
114,39666.36368,0.9950113629
115,38168.90449,0.9950675759
116,37417.65697,0.9951223763
117,37572.33649,0.9951789404
118,32930.82232,0.9952295945
119,31573.592,0.9952784193
120,33327.43958,0.9953296835
121,33504.62043,0.9953801237
122,30965.69587,0.9954290218
123,29069.87966,0.9954780183
124,30902.65731,0.9955255527
125,28550.56359,0.9955727395
126,30877.41137,0.9956204877
127,26680.31631,0.9956650201
128,29121.37377,0.9957141033
129,33712.9872,0.9957684431
130,26288.9754,0.9958136128
131,28738.31301,0.9958611099
132,25250.05359,0.9959057341
133,23678.63992,0.9959466125
134,23996.31732,0.9959858796
135,29104.83287,0.9960382688
136,27314.51332,0.9960858711
137,27023.77183,0.9961340722
138,23505.94036,0.996175614
139,21229.09377,0.9962126109
140,21392.52784,0.9962525181
141,21943.03362,0.9962916569
142,27237.47345,0.9963415763
143,26421.47822,0.9963902164
144,16690.92873,0.9964213529
145,23640.97627,0.9964666151
146,17867.99126,0.9964998011
147,19310.80893,0.9965358249
148,23456.07129,0.9965815008
149,27388.07035,0.9966343852
150,18970.75353,0.9966711716
151,24816.55439,0.9967178724
152,26133.46005,0.9967700448
153,17840.04643,0.9968046386
154,17322.91727,0.9968400722
155,16232.62497,0.9968719475
156,14501.39083,0.9969008979
157,14282.32918,0.9969306963
158,19806.91901,0.9969695903
159,17708.51657,0.9970058127
160,16497.84321,0.9970396936
161,17942.82875,0.9970784505
162,15179.56451,0.9971102451
163,16152.57435,0.9971431527
164,18579.12923,0.997182676
165,19992.7713,0.9972248793
166,18841.88546,0.9972665032
167,13663.74104,0.9972952346
168,12458.29667,0.9973213294
169,16010.79984,0.9973572231
170,14379.88924,0.9973888722
171,14798.7581,0.9974215644
172,15910.20456,0.9974561911
173,14381.71246,0.9974889033
174,13082.15282,0.9975185525
175,16280.43218,0.9975545179
176,12606.28952,0.9975831918
177,11764.08301,0.9976092762
178,12735.56137,0.9976392861
179,12112.28638,0.997667431
180,9924.765021,0.9976899243
181,10788.00087,0.9977151685
182,12049.15036,0.9977439553
183,10967.35536,0.9977703371
184,11729.21794,0.997797112
185,11002.00607,0.9978233971
186,9500.157168,0.9978467159
187,12629.58008,0.9978769927
188,14473.18952,0.9979120445
189,11312.05793,0.9979390703
190,8926.208337,0.9979608343
191,9141.473621,0.9979837963
192,7806.06907,0.9980025736
193,10214.01802,0.9980286475
194,9706.706168,0.9980523939
195,9296.937014,0.9980761266
196,8589.842001,0.9980980544
197,9899.900517,0.9981228404
198,8314.842515,0.9981442703
199,8250.526313,0.9981650618
200,9636.65162,0.998190608
201,10197.55523,0.9982163895
202,8047.973572,0.9982368023
203,6950.94396,0.9982556838
204,7147.341421,0.9982742216
205,7891.382748,0.9982955285
206,8934.874023,0.9983186295
207,7977.010663,0.9983399066
208,6181.412651,0.9983566471
209,7020.110785,0.9983753719
210,7042.260009,0.998394271
211,7436.624268,0.998414776
212,7063.483145,0.9984340787
213,6523.740571,0.9984520133
214,7325.100053,0.9984721509
215,7051.158636,0.9984912469
216,7595.085735,0.9985127481
217,7209.294822,0.9985330392
218,5256.13115,0.998547618
219,5987.38134,0.9985645679
220,6185.244529,0.9985820779
221,5606.863406,0.9985980882
222,5499.389074,0.9986141066
223,6023.880771,0.9986310613
224,5420.977014,0.99864694
225,6421.014576,0.9986652751
226,6010.026785,0.9986827808
227,5132.320621,0.9986976461
228,5170.801304,0.9987130035
229,4727.311989,0.9987274692
230,4933.724282,0.9987415978
231,5429.685396,0.9987575908
232,5412.80371,0.998773667
233,4829.49089,0.9987882083
234,5131.598576,0.9988040791
235,5366.077417,0.9988199287
236,4689.961704,0.9988341267
237,4731.048674,0.9988488361
238,4974.77533,0.9988636113
239,4931.46235,0.9988791053
240,4142.277442,0.9988915096
241,4284.416786,0.9989052511
242,4019.445772,0.9989179782
243,4087.293298,0.9989306192
244,4241.360178,0.9989440838
245,4621.758037,0.9989581887
246,4306.5286,0.9989724239
247,3710.04137,0.998984141
248,3986.672028,0.9989966013
249,3660.342236,0.9990083112
250,3617.593317,0.9990197955
251,3481.380832,0.9990311892
252,3574.056836,0.99904274
253,3521.164705,0.9990542064
254,3491.925531,0.9990657489
255,3382.591355,0.9990769854
256,3064.160317,0.9990869886
257,3564.547598,0.9990985961
258,3375.522353,0.9991100301
259,3444.839557,0.9991214451
260,3863.943518,0.999134407
261,3087.768156,0.9991447652
262,3338.587809,0.9991559921
263,3372.527937,0.9991674159
264,3063.920495,0.9991776941
265,3189.181717,0.9991888099
266,3060.809216,0.9991992529
267,2715.652492,0.9992084961
268,2691.113525,0.99921792
269,2922.526056,0.9992279391
270,3194.194683,0.9992389679
271,3567.468488,0.9992515774
272,3141.387815,0.9992626809
273,2593.77826,0.9992717427
274,2607.535063,0.9992807459
275,2611.533819,0.9992901903
276,2638.615095,0.9992994951
277,2749.31681,0.9993093927
278,2748.947529,0.9993191541
279,2409.995626,0.999327771
280,2255.798665,0.9993360027
281,2600.009534,0.9993452777
282,2370.365005,0.9993538887
283,2315.252871,0.9993622805
284,2271.507691,0.9993707183
285,2292.882555,0.9993791603
286,2075.52177,0.9993866493
287,2263.070085,0.9993950556
288,2220.553334,0.9994032677
289,2149.170712,0.9994113213
290,1967.43161,0.9994188066
291,1852.242215,0.9994254444
292,1918.189125,0.999432915
293,1983.724082,0.9994403648
294,2230.456519,0.9994487961
295,1864.420047,0.9994558131
296,2050.501127,0.9994637319
297,2004.076458,0.9994714877
298,1869.355074,0.9994784928
299,1658.897134,0.9994848449
300,1753.174808,0.9994916011
301,1797.166017,0.9994985415
302,1713.013911,0.9995053812
303,1501.279709,0.9995111175
304,1571.170995,0.9995172108
305,1516.680379,0.9995232914
306,1843.276809,0.99953044
307,1735.673736,0.9995373276
308,1769.279226,0.9995441892
309,1711.472429,0.9995512748
310,1444.165305,0.9995569583
311,1403.217689,0.999562584
312,1423.804353,0.9995682223
313,1291.549561,0.9995734215
314,1367.582119,0.9995790945
315,1339.528667,0.9995845087
316,1371.132549,0.9995900282
317,1332.775604,0.9995954696
318,1271.438276,0.9996007126
319,1284.871898,0.9996059479
320,1226.90823,0.999610937
321,1245.412059,0.9996160727
322,1255.79938,0.999621354
323,1217.261928,0.9996264333
324,1131.242647,0.9996310519
325,1156.240308,0.9996359334
326,1153.360382,0.9996408027
327,1157.951166,0.9996457388
328,1260.40396,0.9996511013
329,1191.183149,0.9996560524
330,1171.106326,0.9996610541
331,1122.942465,0.9996657675
332,999.271168,0.9996699862
333,1064.834238,0.9996746909
334,1045.688421,0.9996791313
335,1026.87378,0.9996835843
336,950.9429877,0.9996876457
337,930.8278422,0.9996915908
338,855.1257995,0.9996954459
339,1039.631819,0.9996999541
340,980.844717,0.9997043198
341,966.8256869,0.9997085203
