freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.736654506e+11,0.9644780386
1,475304867,0.974292617
2,99073105.95,0.9783841415
3,61948208.38,0.9815820656
4,25674144.99,0.9831725032
5,15537998.88,0.9847767252
6,16199094.63,0.9862819544
7,7412669.877,0.9872003405
8,5327353.225,0.9879703728
9,4500481.355,0.9886208864
10,3252899.748,0.9891918244
11,2968167.052,0.9896821423
12,2351971.573,0.9901678013
13,2107955.69,0.9906683643
14,1765566.991,0.9910693937
15,1247762.621,0.9913785746
16,1022860.453,0.9916320273
17,829084.3678,0.9918802641
18,725021.6155,0.9921048289
19,1038443.143,0.9924264713
20,742443.1093,0.9926640975
21,976998.4019,0.9930272305
22,587513.3774,0.9932334673
23,462332.5864,0.9934005348
24,370587.29,0.9935459278
25,423215.9469,0.9937294466
26,318310.2421,0.9938740481
27,492226.0248,0.9940824097
28,320315.819,0.9942213081
29,300254.0415,0.9943701069
30,325776.3437,0.9945281905
31,273698.8107,0.9946751324
32,246792.3715,0.9948025329
33,233614.5949,0.9949279546
34,198917.9027,0.9950450172
35,200570.0589,0.9951526981
36,180392.5598,0.9952607211
37,184965.7088,0.9953695728
38,158876.8879,0.9954745537
39,164782.7584,0.9955800343
40,147585.9363,0.9956699357
41,137899.7511,0.9957667505
42,116314.0903,0.995846009
43,143392.7701,0.9959526021
44,123190.977,0.9960403623
45,92524.76236,0.9961053208
46,114617.5791,0.9961928902
47,99901.91604,0.9962681852
48,75665.08809,0.9963291192
49,109360.0979,0.99641493
50,81061.36059,0.9964852311
51,93683.42169,0.9965635772
52,105664.2895,0.9966486699
53,87262.53986,0.996726151
54,77980.07204,0.9967913645
55,77609.58748,0.9968666849
56,81715.35645,0.9969392406
57,82279.78611,0.9970156955
58,71318.40049,0.9970827013
59,62978.21132,0.9971425214
60,54887.02853,0.9971980562
61,45942.8676,0.997244067
62,51380.83214,0.9972960542
63,55044.53052,0.997352885
64,45308.59261,0.9973982605
65,44277.6893,0.9974476322
66,42113.79046,0.9974911126
67,35662.38194,0.9975301415
68,34183.13523,0.9975700219
69,34892.13857,0.9976074873
70,35582.81884,0.9976486333
71,34006.08491,0.9976862006
72,33796.73057,0.9977280727
73,27779.01586,0.9977613421
74,25219.45775,0.997791546
75,29653.51716,0.9978279788
76,25453.66605,0.9978595144
77,23529.07585,0.9978896372
78,24950.58797,0.9979202919
79,20551.96661,0.9979466033
80,20030.32666,0.9979734878
81,20152.37738,0.9979994957
82,18430.61698,0.9980249942
83,24875.60677,0.9980573545
84,23113.21872,0.9980893313
85,20296.41002,0.9981180397
86,18933.04098,0.9981446242
87,18328.6705,0.9981707386
88,18155.35313,0.9981952939
89,18085.73509,0.9982233029
90,15395.14301,0.9982452376
91,13594.43378,0.9982654488
92,14541.91581,0.9982872189
93,12848.90485,0.998306587
94,14374.45871,0.9983291452
95,12480.1655,0.9983478287
96,13637.26322,0.9983689484
97,14363.99575,0.99839238
98,11783.9228,0.9984108728
99,10978.61802,0.998429122
100,11595.55119,0.9984473192
101,11097.87683,0.9984663395
102,11102.13905,0.9984847939
103,10225.35666,0.9985012631
104,11812.20544,0.9985217516
105,10229.38489,0.9985387554
106,10098.50156,0.998556897
107,8025.778512,0.9985708178
108,8414.257849,0.9985852387
109,8004.901522,0.9985993713
110,8714.575704,0.9986148468
111,9683.411172,0.9986328426
112,9202.658099,0.9986494698
113,8178.360997,0.9986644997
114,8317.189148,0.9986804717
115,7413.47822,0.998694249
116,7734.11855,0.9987085423
117,7570.782326,0.9987229246
118,6746.690418,0.99873602
119,6456.534686,0.9987486188
120,6436.29003,0.9987611117
121,6060.5072,0.9987726249
122,7067.486599,0.9987867078
123,6549.172134,0.9988006369
124,6446.374142,0.9988131494
125,5897.260959,0.9988254484
126,6041.025202,0.9988372365
127,5537.262234,0.998848899
128,5021.058738,0.9988595781
129,5807.348757,0.9988713898
130,5834.252585,0.9988840393
131,4870.425907,0.9988941968
132,5165.949682,0.9989057174
133,5351.64179,0.9989173758
134,5051.811763,0.9989278073
135,4803.886167,0.9989387188
136,4563.983654,0.9989487555
137,4372.509193,0.9989585969
138,5113.240943,0.9989699999
139,4738.833265,0.9989804212
140,4956.761701,0.9989920894
141,4415.916112,0.9990020285
142,4557.724375,0.9990125691
143,4081.295632,0.99902205
144,4409.771517,0.9990324305
145,4005.903342,0.9990421085
146,4202.048158,0.9990519567
147,4034.423917,0.9990614537
148,4147.709388,0.9990716456
149,3984.691982,0.9990813546
150,3850.38057,0.9990907761
151,3646.564668,0.9990994354
152,3586.400589,0.9991084702
153,3592.056209,0.9991172596
154,3307.748917,0.9991257974
155,3605.776054,0.999134732
156,3712.094123,0.9991440835
157,3457.341487,0.9991531858
158,3560.067877,0.9991620072
159,3336.519996,0.9991706192
160,3247.169146,0.9991790341
161,3296.961874,0.9991880205
162,3391.98029,0.9991969858
163,3343.003335,0.99920558
164,3112.741757,0.9992139357
165,3105.676015,0.9992222084
166,2715.891625,0.9992297793
167,2702.393774,0.9992369498
168,3051.817151,0.999245016
169,2816.846629,0.9992529846
170,2643.582009,0.9992603266
171,2677.45044,0.9992677903
172,2820.224704,0.9992755355
173,2564.344305,0.9992828957
174,2641.910436,0.9992904513
175,2533.171671,0.9992975128
176,2419.799881,0.9993044582
177,2621.924277,0.9993117942
178,2276.938922,0.9993185645
179,2158.354992,0.9993248932
180,2362.856838,0.9993316507
181,2121.613419,0.9993379154
182,2241.377288,0.9993446726
183,2199.434977,0.9993513488
184,2464.026761,0.9993584465
185,2309.362275,0.9993654087
186,2087.676032,0.999371875
187,2149.621767,0.9993783777
188,2127.1986,0.9993848786
189,2138.750716,0.9993913264
190,2024.909129,0.9993975564
191,1999.344443,0.9994038936
192,1926.169155,0.9994097403
193,1970.100854,0.9994160865
194,1779.597136,0.9994215801
195,1895.740366,0.9994276868
196,1838.729953,0.9994336098
197,1833.821272,0.9994394034
198,1910.082255,0.9994456154
199,1688.399194,0.9994509844
200,1603.962116,0.9994563499
201,1821.096516,0.9994621597
202,1816.542179,0.9994679737
203,1560.289618,0.999473322
204,1526.894301,0.9994783193
205,1653.457316,0.9994839528
206,1513.134668,0.9994888894
207,1578.803986,0.9994942034
208,1511.676957,0.9994993694
209,1456.356126,0.9995042712
210,1474.196218,0.9995092635
211,1446.505968,0.9995142964
212,1221.668952,0.9995185092
213,1369.003522,0.9995232583
214,1480.252855,0.9995283933
215,1502.361656,0.9995335275
216,1417.098498,0.9995385898
