freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.343695622e+11,0.7631719955
1,2404990025,0.8258224871
2,410156746.3,0.8471918246
3,169394439.4,0.8582237258
4,91842226.72,0.8654012533
5,119208518.4,0.8809282871
6,111249832.3,0.893969653
7,47105704.95,0.9013323336
8,37326080.17,0.9081387988
9,22782076.39,0.9122931437
10,24910352.33,0.9178089626
11,19843229.14,0.9219443247
12,19739228.53,0.9270864349
13,19696305.97,0.932987003
14,11185407.83,0.9361922072
15,7393671.982,0.9385034876
16,10909403.69,0.9419137945
17,8454021.036,0.9451071152
18,6966290.726,0.947829215
19,7117162.254,0.9506102685
20,4508521.163,0.9524307112
21,3712041.456,0.9541713013
22,3707447.218,0.9558131575
23,2455589.029,0.9569326081
24,3691733.801,0.9587598463
25,2588274.564,0.9601757733
26,2284917.801,0.9614852702
27,1819916.131,0.9624571586
28,2118647.852,0.9636161742
29,1939621.76,0.9648288355
30,1725206.322,0.9658849721
31,1582092.293,0.9669565318
32,1592154.631,0.9679934308
33,1486064.029,0.96899995
34,1629270.995,0.9702095712
35,1639232.402,0.9713198322
36,1414738.782,0.9723886052
37,1452386.271,0.9734669017
38,1270599.087,0.9745260816
39,945872.5331,0.975289927
40,932320.7412,0.9760063979
41,745911.0804,0.9766670567
42,684302.6768,0.9772553222
43,547436.3603,0.9777687121
44,579991.7679,0.9782899694
45,492661.5709,0.9787263232
46,560089.4686,0.9792661698
47,463394.8381,0.9797067807
48,468442.4531,0.9801826986
49,413812.4648,0.9805923349
50,474294.6726,0.9811112648
51,367148.517,0.9814986188
52,356341.7389,0.9818606471
53,282488.7174,0.9821770793
54,243721.5087,0.9824342137
55,256493.1395,0.9827482536
56,252827.5536,0.9830314606
57,295257.504,0.983377579
58,261865.4145,0.983687964
59,291388.3248,0.9840371374
60,256012.5782,0.9843639273
61,252259.9264,0.9846826414
62,250588.2731,0.9850025073
63,231172.1747,0.9853036115
64,229034.2427,0.9855929814
65,209107.8456,0.9858871358
