freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.803139359e+11,0.8612044433
1,393913748.9,0.8708861673
2,98872431.8,0.8757463967
3,69847054.21,0.8800381986
4,68411370.25,0.8850825008
5,28184348.7,0.8885461155
6,45439285.94,0.893571804
7,21256918.67,0.8967065556
8,20086048.99,0.9001623199
9,11534862.57,0.9021468698
10,7522775.221,0.9037184935
11,10522604.02,0.9057875139
12,10724344.08,0.9084233736
13,9347214.389,0.9110653663
14,7172518.526,0.9130045365
15,5647066.389,0.9146700789
16,5213394.766,0.9162077145
17,4882109.102,0.9179476255
18,3784864.891,0.9193430078
19,3461460.562,0.9206191592
20,4673013.427,0.9223994063
21,2910330.313,0.9236869629
22,3430613.382,0.925120379
23,2356397.19,0.9261339124
24,2388697.02,0.9272494038
25,1917842.836,0.9282392869
26,1879098.128,0.929255357
27,1781643.696,0.9301530468
28,1387515.495,0.9308692045
29,1317900.33,0.931646606
30,1365389.906,0.9324352411
31,1193477.602,0.9331979156
32,1475711.016,0.9341046767
33,990175.7765,0.934737434
34,1080161.199,0.9354940665
35,952388.2583,0.9361026763
36,882921.0924,0.9367319962
37,727077.7778,0.9372413005
38,703915.6571,0.9377949337
39,755481.3602,0.9383705552
40,647037.8753,0.9388396961
41,619955.6275,0.9393577692
42,636942.1465,0.9398743824
43,747909.5092,0.9405361464
44,758210.4285,0.9411790715
45,595376.0414,0.9416766044
46,658470.5906,0.9422754153
47,545915.3869,0.94276516
48,500224.8581,0.9432446521
49,541059.8952,0.9437499884
50,460821.4557,0.9442256888
51,443441.9854,0.9446671001
52,524745.2799,0.9451700963
53,434388.2228,0.9456291865
54,423299.1428,0.9460505472
55,450651.5149,0.9465711305
56,395541.5146,0.946989165
57,379436.5903,0.9474088305
58,361808.5758,0.9478134453
59,360305.8499,0.9482208075
60,271369.4043,0.9485476274
61,337422.9183,0.9489498513
62,344072.25,0.9493642299
63,324987.4702,0.9497636116
64,332886.1496,0.9501604275
65,347308.7891,0.9506213852
66,279166.9116,0.9509644574
67,264876.8728,0.951309499
68,250367.6874,0.9516571778
69,269243.9971,0.9520012907
70,281446.0922,0.9523886686
71,291945.8076,0.9527725593
72,269992.2374,0.953170716
73,230948.4766,0.9534999424
74,200512.4875,0.9537857811
75,238309.0657,0.9541342862
76,212142.136,0.9544471315
77,208567.0528,0.9547649572
78,216157.407,0.9550810675
79,200007.0215,0.9553858489
80,207356.5654,0.9557171194
81,190841.8271,0.9560102797
82,211375.7864,0.9563583617
83,199193.6229,0.9566667995
84,203681.0694,0.9570022102
85,188735.2459,0.9573199673
86,209504.3107,0.9576701167
87,198604.5384,0.9580069305
88,194408.2668,0.958319904
89,173344.0097,0.9586394413
90,179391.9326,0.9589436724
91,163248.8613,0.9592325635
92,180927.1866,0.9595549623
93,168926.6548,0.959858053
94,155288.8543,0.9601481248
95,162523.461,0.9604377295
96,169397.035,0.9607499911
97,158408.9458,0.9610575713
