freq_radius,radial_mean_power,cumulative_energy_fraction
0,6.503185761e+11,0.9274516112
1,454433621.4,0.932636334
2,292074835.8,0.9393010128
3,298211921.8,0.9478069094
4,88675345.13,0.9508420529
5,56315086.91,0.9540546026
6,57487005.39,0.9570060652
7,28902814.66,0.9589846126
8,26357524.7,0.96108964
9,22566353.09,0.9628918878
10,12528995.33,0.964106927
11,20798459.75,0.9660052768
12,13633830.71,0.9675607874
13,13122333.16,0.9692825132
14,8516934.026,0.9703513984
15,7838082.746,0.9714245132
16,7483970.327,0.9724491463
17,4952472.111,0.9732684504
18,6746201.134,0.9744229815
19,5959718.38,0.9754429155
20,4143024.046,0.9761755785
21,5104210.033,0.9772238074
22,4372194.217,0.9780718222
23,3981754.14,0.9788668231
24,3777499.88,0.9796856896
25,2701938.707,0.9803330556
26,2821777.265,0.9810413283
27,1963682.175,0.9815006111
28,2013525.982,0.9819830381
29,2252737.522,0.9825998843
30,1647044.806,0.9830414836
31,1573909.2,0.9835083667
32,1551304.264,0.9839508451
33,978867.0665,0.9842412154
34,988767.0685,0.984562725
35,1132592.336,0.9848986962
36,922218.0533,0.9852038274
37,944401.2398,0.9855109109
38,998509.7632,0.9858754612
39,863894.6942,0.9861810079
40,781139.3809,0.986443917
41,647832.4609,0.9866952194
42,643429.4777,0.9869374729
43,586228.7701,0.9871782553
44,606813.1107,0.9874171074
45,603351.2166,0.987651155
46,788161.4153,0.9879838697
47,605431.2118,0.9882359929
48,570062.2269,0.988489647
49,639213.0354,0.9887667775
50,495105.6892,0.9890040253
51,464810.383,0.9892188014
52,494375.6435,0.9894387782
53,439974.0642,0.9896546275
54,508426.9591,0.9898895576
55,510116.8606,0.9901630987
56,460170.2598,0.9903888561
57,354107.1207,0.9905706597
58,344740.9898,0.9907496211
59,370143.3032,0.9909438808
60,323673.5261,0.9911248307
61,364256.3348,0.9913263905
62,297422.9331,0.991492665
63,271664.7388,0.9916476388
64,259188.0815,0.9917910596
65,228860.2484,0.9919320596
66,196129.683,0.9920439437
67,233310.0165,0.9921850233
68,257842.1942,0.9923512335
69,210066.9533,0.9924758616
70,212218.1459,0.992611451
71,171969.8189,0.99271642
72,185154.489,0.9928431679
73,179800.6258,0.9929621479
74,169125.8376,0.9930740642
