freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.612750511e+11,0.887360583
1,375856076.2,0.8947459779
2,335613251.9,0.9079352627
3,180165450.6,0.9167856784
4,71800586.45,0.9210182216
5,62603474.16,0.9271688655
6,54000947.01,0.9319437849
7,31792153.34,0.9356919899
8,22335665.19,0.9387641871
9,17411178.66,0.9411590373
10,8870402.844,0.9426405809
11,10939216.59,0.9443601845
12,7116406.493,0.9457585249
13,9138839.315,0.9478236246
14,8011829.476,0.9495553401
15,6393319.76,0.9510628487
16,4777797.652,0.9521894264
17,5178500.287,0.9536648753
18,5400913.56,0.9552567564
19,4517440.71,0.9565882402
20,4091177.107,0.9578342806
21,3314519.657,0.9590065981
22,3010161.773,0.9600121185
23,2634911.332,0.960918177
24,1992298.841,0.9616619839
25,2237166.83,0.9625851287
26,1546387.529,0.963253616
27,1735102.793,0.963952542
28,1500144.518,0.9645715618
29,1795438.772,0.9654182705
30,1434803.775,0.9660808111
31,1623497.394,0.966910236
32,1421429.846,0.9676084967
33,1369056.06,0.9683079307
34,1348137.763,0.9690629035
35,1287321.448,0.9697205802
36,1013471.377,0.9702980931
37,926975.9884,0.9708172104
38,786507.2937,0.9713117543
39,639392.1414,0.9717012307
40,764809.2204,0.9721445608
41,672271.7683,0.9725936949
42,865650.3465,0.9731550124
43,723852.4891,0.9736670534
44,762889.4145,0.9741842228
45,610776.2053,0.9745922726
46,604540.0294,0.9750317929
47,538248.7426,0.9754178291
48,502550.0087,0.9758029491
49,466910.884,0.9761515831
50,436064.6101,0.9765114586
51,457344.9679,0.9768754164
52,377389.8967,0.9771646222
53,362753.273,0.9774711232
54,418965.8975,0.9778045388
55,391892.7563,0.9781664627
56,367152.8613,0.9784766811
57,388650.0122,0.9788203366
58,396029.3586,0.9791744081
59,365923.1547,0.9795051581
60,343713.668,0.9798360948
61,328092.0778,0.9801487673
62,275902.9631,0.9804144141
63,262544.5315,0.9806723579
64,266155.4767,0.9809260047
65,222982.7825,0.981162606
66,214185.0889,0.9813730378
67,222615.5268,0.9816048752
68,234194.2491,0.9818648773
69,226888.2905,0.9820967062
70,231319.6305,0.9823512442
71,210584.9804,0.9825726217
72,208303.2984,0.9828182054
73,208104.7402,0.9830553767
74,170781.8471,0.9832500121
75,156230.3771,0.9834326683
76,164146.7812,0.9836261928
77,170412.474,0.9838338013
78,135675.0432,0.9839924254
79,154003.7971,0.9841800437
80,160771.2565,0.9843853839
81,170352.6166,0.9845945932
82,160242.1194,0.9848055549
83,133185.3008,0.9849704277
84,148805.5675,0.9851663329
85,122980.8394,0.9853318643
86,103057.5069,0.9854695664
87,121221.1744,0.9856339202
88,120744.03,0.9857893231
89,100268.2388,0.9859370899
90,101120.7499,0.9860741911
91,100207.2538,0.986215961
92,96497.42778,0.9863534303
93,103367.7557,0.9865017026
94,84225.38083,0.9866274818
95,90420.36533,0.9867562938
96,92845.71974,0.9868931219
97,94874.25029,0.9870403965
98,90055.6877,0.9871748824
99,75013.66834,0.9872935381
100,83220.63845,0.9874178168
101,88922.39684,0.9875628413
102,75759.46665,0.9876826766
103,84383.57195,0.9878120082
104,70428.9715,0.9879282555
105,79306.09176,0.9880537009
106,65722.74851,0.9881660545
107,67538.694,0.9882775312
108,68923.63737,0.9883899395
109,72829.13257,0.988512295
110,69324.51499,0.9886294437
111,71840.43198,0.9887564904
112,64084.97414,0.9888666739
113,60279.90262,0.9889720919
114,60073.10169,0.9890818698
115,63751.35024,0.9891946114
116,55587.93168,0.9892923702
117,63910.89899,0.9894079055
118,62297.20668,0.9895229719
119,62196.86675,0.9896384641
120,59398.09284,0.9897481757
121,60084.23443,0.9898567933
122,61904.99522,0.9899741763
123,61434.73149,0.9900985142
124,57756.76901,0.9902051941
125,60749.0061,0.9903257568
126,64446.99036,0.9904454271
127,61400.17062,0.9905684885
128,61357.775,0.9906926706
129,66735.81107,0.9908218364
130,66148.74137,0.9909583145
131,59999.03777,0.9910773887
132,65021.91466,0.9912153749
133,66219.65375,0.99135265
134,70362.68409,0.9914909093
135,67999.88459,0.9916378875
136,65342.32939,0.9917746278
137,68646.09496,0.9919216539
138,64085.71367,0.9920576534
139,64630.48979,0.992192904
140,63346.04167,0.992334802
141,57968.22234,0.9924589583
142,58164.86847,0.9925869645
143,58912.05981,0.9927171938
144,63843.99012,0.9928602073
145,54804.26912,0.992986202
146,54686.10857,0.9931081642
147,62185.48929,0.9932474626
148,56480.71487,0.9933795311
149,54592.69454,0.9935061121
150,50389.06905,0.9936234415
151,50023.16891,0.9937364787
152,49803.83487,0.9938558705
153,52213.49564,0.9939774481
154,46090.80987,0.9940906559
155,45106.7377,0.994197015
156,40474.72956,0.9942940428
157,37046.35597,0.9943868556
158,37284.94558,0.9944747714
159,37923.87861,0.9945679197
160,36883.92908,0.994658876
161,36236.15597,0.9947528631
162,33157.42314,0.9948362587
163,31373.10315,0.9949130088
164,29385.17615,0.9949880714
165,26651.3897,0.9950556271
166,27293.24872,0.9951280275
167,28309.27349,0.9951995074
168,25185.04549,0.9952628513
169,23649.22086,0.9953265147
170,20762.2786,0.9953813865
171,20859.6446,0.9954367206
172,20695.41145,0.9954908057
173,19769.2777,0.9955448012
174,21014.2904,0.9956019908
175,21217.159,0.9956582733
176,21656.65771,0.9957174238
177,20382.03591,0.9957716911
178,18882.90887,0.9958251209
179,18117.24531,0.9958756723
180,17110.40749,0.9959222376
181,17288.37714,0.9959708159
182,18395.36678,0.9960235891
183,18523.23551,0.9960770931
184,18999.73597,0.9961291735
185,16490.43356,0.9961764817
186,18244.49028,0.9962302561
187,18214.60207,0.9962826896
188,16240.46866,0.996329919
189,16858.30883,0.9963782827
190,15474.7567,0.9964235894
191,15256.03493,0.9964696047
192,16604.1924,0.9965175656
193,16806.24019,0.9965690822
194,15907.33809,0.9966158116
195,14758.21264,0.9966610504
196,14503.75132,0.9967055091
197,15749.188,0.9967528571
198,13958.80593,0.9967960568
199,13167.81733,0.996835903
200,13487.08136,0.9968788354
201,14260.00929,0.9969221267
202,13843.80683,0.9969642905
203,13048.52867,0.9970068524
204,12358.71641,0.9970453431
205,12353.80146,0.9970853962
206,11740.29937,0.9971218454
207,11270.15147,0.9971579423
208,10663.77712,0.9971926209
209,10835.58632,0.9972273259
210,10927.04518,0.9972625385
211,11289.75009,0.9972999183
212,10346.77601,0.9973338709
213,10072.83189,0.9973671226
214,9912.009628,0.9973998433
215,10304.0598,0.9974333521
216,9834.084783,0.9974667818
217,9314.82588,0.9974982633
218,9493.508476,0.9975298823
219,9166.655329,0.9975610431
220,8851.871838,0.9975911339
221,9087.881605,0.9976222948
222,9442.281111,0.9976553203
223,8835.957255,0.9976851834
224,8284.791068,0.9977143232
225,8004.274807,0.9977417686
226,8305.481954,0.997770818
227,7970.273996,0.9977985383
228,8075.217041,0.9978273377
229,8466.275046,0.9978584467
230,8223.175794,0.9978867234
231,7054.709312,0.9979116754
232,7059.606708,0.9979368527
233,7181.732789,0.9979628183
234,6773.115457,0.997987972
235,6720.596859,0.9980118083
236,6665.243841,0.9980360375
237,6872.182478,0.9980616942
238,6399.986942,0.998084519
239,6280.117213,0.9981082121
240,6083.354205,0.998130087
241,6139.773656,0.9981537332
242,6292.069203,0.9981776568
243,6250.366417,0.9982008691
244,5628.603438,0.9982223254
245,5177.392018,0.9982412987
246,5538.580131,0.9982632824
247,5139.61907,0.9982827737
