freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.561788474e+11,0.9108329968
1,173058881.7,0.9135973115
2,516606223.9,0.930101084
3,133826980.7,0.9354452174
4,92071427.23,0.9398572603
5,54952727.34,0.9442461317
6,30802459.08,0.9464602025
7,23652581.56,0.9487270557
8,19217072.63,0.950875771
9,16504331.6,0.952721167
10,13196615.02,0.9545129073
11,10922910.45,0.9559087034
12,9932279.204,0.9574952123
13,8072822.81,0.9589781293
14,7817636.749,0.960351734
15,5231262.593,0.9613544579
16,4078615.823,0.9621362435
17,2773007.791,0.9627785062
18,3677445.183,0.9636596181
19,2665189.332,0.9642981946
20,1999189.164,0.9647931649
21,2317396.218,0.9654594597
22,1649107.577,0.9659072673
23,1593467.574,0.9663526926
24,1551348.03,0.9668235143
25,1355921.22,0.9672783425
26,1067655.877,0.9676535293
27,1089678.286,0.9680103465
28,1310890.652,0.9684500696
29,929566.7227,0.9688064267
30,1101418.61,0.969219868
31,762869.1079,0.9695366912
32,834770.1285,0.9698700413
33,762633.503,0.9701867666
34,760220.8823,0.970532848
35,774397.6755,0.9708544591
36,627428.4741,0.9711450994
37,645771.8193,0.9714390792
38,508044.3625,0.9716987632
39,525622.0895,0.9719590361
40,468678.6551,0.9721798827
41,481999.9813,0.9724416525
42,420025.0962,0.9726630552
43,364953.354,0.972872917
44,346613.6029,0.973063928
45,377467.9587,0.9732689274
46,400075.3489,0.9735053762
47,328014.4212,0.9736966165
48,350803.5651,0.9739151521
49,327454.035,0.9741139114
50,308289.8338,0.974320736
51,275743.178,0.9744991189
52,245759.8594,0.9746522168
53,216878.1159,0.9748011796
54,243588.0092,0.9749587608
55,260154.827,0.9751540703
56,237127.0011,0.9753169411
57,236710.4809,0.9754870878
58,225454.499,0.9756509444
59,220143.2011,0.975812699
60,201607.5116,0.9759704952
61,192787.3936,0.9761198482
62,181773.089,0.9762621201
63,168794.2327,0.9763969298
64,183267.9183,0.9765389081
65,164068.1595,0.9766804261
66,170334.2914,0.9768164658
67,172006.7574,0.9769620837
68,143769.7901,0.9770918344
69,166884.5252,0.9772304503
70,158083.8915,0.9773718568
71,137495.655,0.9774893564
72,147250.9694,0.9776304811
73,134336.2895,0.9777549368
74,152405.4199,0.9778961327
75,154023.5412,0.978042518
76,150120.6895,0.9781863931
77,147380.2383,0.9783323499
78,140566.9645,0.9784659461
79,115872.5687,0.9785806996
80,112582.7576,0.9786975899
81,122481.8857,0.9788198671
82,108449.0718,0.9789359303
83,113856.9099,0.9790505062
84,102658.4084,0.9791603721
85,119395.5141,0.9792910109
86,101446.2,0.9794012
87,94108.0593,0.9795049216
88,89184.84352,0.9795982311
89,89003.25891,0.9797048566
90,94633.9076,0.9798091578
91,92856.1803,0.9799159494
92,84018.81384,0.9800132483
93,87337.97739,0.9801150886
94,80827.84672,0.980213211
95,84796.71479,0.9803114108
96,84064.38496,0.9804121195
97,68602.04727,0.9804986876
98,73098.24946,0.9805874265
99,79648.00709,0.9806898417
100,72321.80021,0.980777638
101,73536.91108,0.9808751318
102,74457.91239,0.9809708734
103,79107.68654,0.9810694348
104,84874.81618,0.9811833159
105,77205.50924,0.9812825904
106,76652.6572,0.9813891126
107,77790.78852,0.9814934887
108,74483.48848,0.9815922375
109,84624.68744,0.9817078106
110,83245.29786,0.9818221647
111,82181.98893,0.981940309
112,73947.60443,0.9820436626
113,77745.2456,0.9821541868
114,75233.18321,0.9822659467
115,82525.23346,0.9823845845
116,61955.30523,0.9824731562
117,61490.64515,0.9825635192
118,60205.66751,0.9826539172
119,49971.74174,0.9827293482
120,59221.67799,0.9828182687
121,52799.76164,0.9828958601
122,59756.67217,0.9829879702
123,57443.42637,0.9830824788
124,58587.73932,0.9831704475
125,56130.28875,0.9832610024
126,53835.27074,0.9833422653
127,49264.22985,0.9834225302
128,52107.75432,0.9835082603
129,54140.43797,0.983593443
130,58285.93773,0.9836911997
131,48194.75184,0.9837689523
132,46085.50138,0.9838484549
133,47939.54846,0.9839292417
134,47796.3774,0.9840055881
135,46687.43913,0.9840876207
136,40570.51123,0.9841566373
137,41710.57471,0.9842292589
138,45844.77426,0.9843083463
139,50884.39219,0.9843949084
140,50391.98615,0.9844866698
141,47641.12701,0.9845696171
142,57021.90035,0.9846716296
143,53868.91803,0.9847684316
144,50098.18493,0.984859658
145,56501.91681,0.9849652528
146,66595.67963,0.9850859884
147,75337.83334,0.985223175
148,63992.03467,0.9853448122
149,59383.66594,0.9854567412
150,55757.38877,0.9855622805
151,56878.07649,0.9856667613
152,54541.38501,0.9857730482
153,46191.39321,0.9858604807
154,49764.32405,0.985959843
155,44825.90688,0.9860457649
156,48974.30072,0.986141203
157,44610.49006,0.9862320563
158,41998.58802,0.9863125588
159,39686.32406,0.9863917989
160,38704.02507,0.9864693867
161,38424.80708,0.9865504042
162,39538.10059,0.9866312429
163,36505.50874,0.9867038404
164,34905.29959,0.9867763221
165,36447.28221,0.9868514236
166,33596.50605,0.9869238707
167,33312.97184,0.9869922477
168,33747.12394,0.9870612463
169,36376.95965,0.9871408514
170,33840.89822,0.9872135553
171,33693.45178,0.9872862115
172,29257.79012,0.9873483681
173,31930.25661,0.9874192623
174,30901.94678,0.9874876266
175,29085.22717,0.9875503457
176,31891.53669,0.9876211539
177,31198.20959,0.9876886786
178,34689.86484,0.9877684705
179,34443.46162,0.9878465952
180,33648.88696,0.9879210366
181,36469.40323,0.9880043391
182,34336.32772,0.9880844147
183,41024.12548,0.9881807422
184,40121.88534,0.9882701446
185,37051.17895,0.9883565515
186,37465.99652,0.9884463196
187,39028.18771,0.9885376488
188,43267.75153,0.9886399356
189,38532.84089,0.9887297979
190,40427.11418,0.9888260151
191,34888.76143,0.9889115587
192,31664.37855,0.9889859089
193,33946.81708,0.9890704985
194,30443.01796,0.9891431965
195,30550.95566,0.9892193243
196,28869.37165,0.9892912618
197,29082.76171,0.9893623374
198,27055.99298,0.9894304046
199,22436.35471,0.9894855954
200,23112.8389,0.9895454038
201,23061.58359,0.9896023167
202,22044.26211,0.9896568951
203,22108.02527,0.9897155159
204,22709.86148,0.9897730119
205,22628.38914,0.989832651
206,22770.93939,0.9898901197
207,21344.99509,0.9899456944
208,22044.12144,0.9900039697
209,21260.58305,0.9900593247
210,22458.97616,0.9901181585
211,21694.51294,0.9901765492
212,23473.80926,0.9902391664
213,23604.11983,0.9903025082
214,26146.7739,0.9903726733
215,23402.5758,0.9904345398
216,24091.03806,0.9905011123
217,21285.35874,0.9905595917
218,22946.92334,0.9906217198
219,21443.85313,0.9906809772
220,20575.80653,0.9907378358
221,20942.16901,0.9907962087
222,19177.80579,0.9908507358
223,19590.67535,0.9909045592
224,19101.06461,0.9909591732
225,18268.15478,0.9910100927
226,19433.27065,0.9910653462
227,19090.36326,0.9911193197
228,18913.15724,0.9911741517
229,18422.07665,0.9912291785
230,18315.51695,0.9912803762
231,17754.15164,0.9913314227
232,17971.62995,0.9913835251
233,19896.42353,0.9914420023
234,19377.7647,0.9915005027
235,18446.28313,0.9915536866
236,19267.67856,0.9916106236
237,18665.18282,0.9916672709
238,19414.88053,0.9917235575
239,19038.50436,0.9917819461
240,18591.58031,0.9918362912
241,17316.36046,0.9918905046
242,16032.27864,0.9919400576
243,16045.05457,0.9919884967
244,15369.14416,0.9920361228
245,14849.53269,0.9920803598
246,16702.33852,0.9921342515
247,15992.29503,0.9921835532
248,14178.93642,0.9922268116
249,15273.41763,0.992274507
250,14539.9571,0.9923195636
251,15333.08881,0.9923685475
252,14773.44494,0.9924151536
