freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.066173436e+11,0.4765359447
1,5360940155,0.6682256338
2,404984946.4,0.6971875085
3,389594708.1,0.7320140904
4,85136480.72,0.7411466968
5,120101270.1,0.7626188402
6,204379100.8,0.7955045176
7,79741875.61,0.8126123699
8,20668502.34,0.8177856363
9,24572104.44,0.823935963
10,23513215.46,0.8310823864
11,25911982.93,0.8384946086
12,21139365.66,0.8460533544
13,15967626.13,0.8526192805
14,18139786.05,0.8597540943
15,16503068.28,0.8668352433
16,19070599.1,0.8750180705
17,10744703.42,0.8805889046
18,10288418.76,0.8861071078
19,10526190.54,0.89175284
20,11918695.85,0.8983585307
21,7835170.434,0.903401412
22,5989343.813,0.9070421209
23,3750829.61,0.9093891754
24,4951363.627,0.9127530223
25,4565590.17,0.9161812844
26,5146102.338,0.9202294558
27,3430230.167,0.9227438589
28,4286601.086,0.9259626305
29,2813081.202,0.9283767086
30,2971710.47,0.9308737868
31,2163772.264,0.9328853917
32,2676266.053,0.9352777548
33,2638792.998,0.9377309746
34,2287861.523,0.9400624583
35,1573329.627,0.9415251435
36,1904213.636,0.9434997087
37,1995981.904,0.9455337476
38,1422744.117,0.9471616732
39,1389095.216,0.9487014278
40,1320765.723,0.9500946026
41,1691089.057,0.9521505083
42,1099369.234,0.9534477333
43,783980.115,0.9544569056
44,689926.7097,0.9553080042
45,797191.0387,0.9562771723
46,681302.2082,0.9571785344
47,692900.9185,0.9580828537
48,617122.6592,0.958943439
49,646523.7185,0.9598219068
50,572221.6044,0.9606812592
51,575426.0509,0.9615145611
52,593330.8732,0.9623419684
53,522716.2514,0.9631456652
54,501359.1044,0.9638717072
55,510211.0299,0.9647291506
56,418470.3709,0.9653725653
57,329846.8023,0.9659033062
58,330547.5758,0.9664410844
59,404001.214,0.9671055895
60,323950.3338,0.9676731763
61,325673.1296,0.9682379591
62,332481.7592,0.9688204937
63,323105.728,0.9693981539
64,267156.8285,0.9698614576
65,295467.0822,0.9704319642
66,246596.5142,0.9708728385
67,271143.652,0.9713866846
68,323099.5009,0.9720394281
69,263842.9255,0.9725300044
70,225219.1458,0.972980978
71,197303.9645,0.9733584175
72,262589.8037,0.9739217787
73,216659.1299,0.974371106
74,216299.2695,0.9748196869
75,188628.2473,0.9752209983
76,234752.4108,0.975724637
77,190698.505,0.9761473998
78,179151.2157,0.9765285486
79,149420.0313,0.9768598005
80,174625.2883,0.9772656624
81,180768.5858,0.9776696432
82,171282.2248,0.9780799842
83,126750.6178,0.978365512
84,141377.2999,0.9787042097
85,146562.8138,0.9790631913
86,152822.3619,0.9794347724
87,134237.4356,0.9797659649
88,131277.5568,0.9800734256
89,142564.8571,0.9804557496
90,137946.0635,0.9807960921
91,125980.3701,0.9811204266
92,117427.5105,0.9814248413
93,135588.0913,0.981778759
94,122437.5185,0.9821114843
95,108569.3163,0.9823929354
96,99811.33242,0.9826606049
97,101009.9922,0.9829459361
98,112710.6402,0.9832522286
99,114244.9795,0.9835810732
100,89488.41476,0.983824259
101,79556.44102,0.9840603673
102,89325.87102,0.9843174844
103,99457.21152,0.984594873
104,78780.08534,0.9848314942
105,82292.30928,0.9850683657
106,78441.99462,0.9853123859
107,84134.17156,0.9855650883
108,63635.57685,0.9857539465
109,65524.34687,0.9859542676
110,57119.9077,0.9861299158
111,58834.50642,0.9863192515
112,67186.06057,0.9865294574
113,58903.7884,0.9867169099
114,57849.59469,0.9869092815
115,63758.79231,0.987114464
116,63030.07245,0.9873161746
117,58852.79622,0.9875097779
118,49053.04964,0.9876746517
119,50207.57377,0.9878443036
120,60794.40617,0.9880486417
121,49421.02969,0.9882112181
122,48481.89608,0.988378506
123,50784.16898,0.9885655412
124,55724.02514,0.9887528371
125,44980.64552,0.9889152815
126,41712.83288,0.9890562296
127,36706.25859,0.9891901042
128,43227.96082,0.9893493103
129,48718.95006,0.9895209003
130,44551.64736,0.9896881675
131,40135.57428,0.9898331143
132,47862.76586,0.9900179473
133,43948.18737,0.9901837346
134,50925.16458,0.9903658263
135,36292.58077,0.9905085737
136,36304.7155,0.9906468254
137,42383.38321,0.990812014
138,43069.9403,0.9909783383
139,36323.45174,0.9911166613
140,29342.71574,0.9912362701
141,32496.73449,0.9913629256
142,32359.09434,0.9914925158
143,32549.33299,0.9916234498
144,26864.59209,0.991732957
145,30721.04334,0.9918614797
146,23885.33914,0.9919584157
147,29350.0845,0.9920780544
148,23394.1037,0.9921775975
149,24908.98065,0.9922826959
150,22587.03662,0.992378401
151,27476.09201,0.9924913834
152,19935.23471,0.9925783473
153,19720.52705,0.9926619065
154,23941.63604,0.9927689159
155,26250.79039,0.992881553
156,19257.60185,0.9929655608
157,19383.3581,0.9930539292
158,19185.15148,0.993136249
159,21662.7785,0.9932330728
160,20817.48617,0.9933264906
161,18381.72613,0.9934132503
162,15655.4928,0.9934849033
163,17327.15316,0.9935620388
164,18925.85878,0.9936500133
165,16546.70772,0.993726337
166,17405.30163,0.9938103551
167,16521.55385,0.9938862674
168,17845.90176,0.9939679456
169,14847.86367,0.9940406804
170,13834.63673,0.994107215
171,14018.99487,0.9941748869
172,16522.18585,0.9942534606
173,14845.88523,0.9943272474
174,12789.60889,0.9943905855
175,13356.61641,0.99445506
176,14710.13453,0.9945281721
177,14274.77008,0.9945973339
178,15698.28168,0.9946781638
179,12035.48419,0.9947392735
180,12918.3972,0.9948032493
181,13685.82434,0.9948732279
182,15733.0879,0.9949553622
183,10925.94872,0.9950127916
184,11598.69633,0.9950706466
185,12546.09643,0.9951361433
186,11770.77537,0.9951992759
187,10424.78672,0.9952538847
188,8338.625099,0.9952980127
189,10683.7616,0.9953537871
190,9880.253312,0.9954064267
191,11131.19227,0.995467522
192,8843.585317,0.995514006
193,9646.008377,0.9955678119
194,9097.764501,0.9956164452
195,10359.48712,0.9956742309
196,8392.64316,0.9957210455
197,7808.660182,0.9957637649
198,8174.000031,0.9958097983
199,9622.171132,0.9958627832
200,7693.994236,0.9959073513
201,7484.36466,0.9959486981
202,7080.522657,0.9959879404
203,8577.549507,0.9960388534
204,6723.82848,0.9960769604
205,6461.489377,0.9961150822
206,7382.264872,0.9961567888
207,8086.471999,0.9962039196
208,7554.53494,0.9962486253
209,6659.493182,0.9962874392
210,7034.191159,0.9963286884
211,6279.835615,0.9963665245
212,7563.83287,0.9964116909
213,7361.879413,0.9964559147
214,5534.976531,0.996489164
215,6264.925287,0.9965262382
216,7611.47589,0.9965733222
217,6308.148843,0.9966121183
218,5731.337429,0.9966468546
219,5295.402453,0.9966796115
220,5987.790248,0.9967166514
221,5878.674723,0.9967533317
222,5772.518782,0.9967900721
223,5512.672822,0.9968239759
224,5806.819619,0.9968611422
225,5621.012946,0.9968962147
226,5864.247477,0.9969335389
227,4875.324485,0.9969643945
228,5953.833559,0.997003034
229,5159.29807,0.9970375317
230,6399.527644,0.9970775763
231,4380.649082,0.9971057711
232,4452.310107,0.9971346659
233,4921.717982,0.997167047
234,5217.41385,0.9972023064
235,4384.063566,0.9972306016
236,4179.672871,0.9972582501
237,5429.791115,0.9972951389
238,5551.110215,0.9973311647
239,4768.713664,0.9973639033
240,4284.381795,0.9973919381
241,4221.474135,0.9974215236
242,4231.259192,0.9974507993
243,4894.59445,0.9974838771
244,4149.218942,0.9975126594
245,3927.800341,0.9975388525
246,3864.439158,0.9975667648
247,5049.913233,0.9976016145
248,3751.346937,0.9976272344
249,4097.63612,0.9976558787
250,3563.189841,0.9976805959
251,4174.741332,0.9977104509
252,3297.562546,0.9977337381
253,3278.75529,0.9977570684
254,3365.127329,0.9977813742
255,3697.605314,0.9978082137
256,3436.008443,0.9978327244
257,3227.14415,0.9978556874
258,3259.114614,0.9978798102
259,3380.562174,0.997904288
260,3628.394742,0.9979308846
261,3148.413911,0.9979539629
262,3047.19376,0.9979763537
263,3209.136128,0.9980001066
264,3588.459556,0.9980264104
265,3361.150899,0.9980520096
266,2837.143741,0.9980731613
267,2788.7757,0.9980939025
268,3575.450776,0.9981212617
269,2935.880258,0.9981432544
270,2622.054277,0.998163037
271,2399.63261,0.9981815704
272,2822.417679,0.9982033692
273,2704.801493,0.9982240179
274,2995.17476,0.9982466155
275,2326.998904,0.998265004
276,2408.088486,0.9982835597
277,2308.761998,0.9983017215
278,2761.195821,0.9983231462
279,2294.132287,0.9983410699
280,2245.405195,0.9983589742
281,2259.266775,0.9983765851
282,2458.667173,0.998396102
283,2061.694668,0.9984124309
284,2070.220804,0.9984292344
285,2149.109762,0.9984465245
286,2413.47563,0.9984655532
287,2046.8979,0.9984821675
288,2009.10988,0.9984984031
289,2188.538182,0.9985163235
290,2089.659285,0.9985336958
291,2253.996016,0.9985513462
292,1882.244672,0.9985673643
293,1994.715001,0.9985837332
294,1934.890594,0.9985997151
