freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.497450306e+11,0.8274554495
1,1070542457,0.8477176659
2,441058056.1,0.8644135265
3,244105872.5,0.87596404
4,227699738.1,0.8888930967
5,146312142.5,0.9027393869
6,135063129.9,0.91424295
7,81359940.28,0.9234823746
8,37920382.27,0.9285064229
9,22808753.79,0.9315283407
10,14613362.09,0.933879338
11,17915336.49,0.9365920145
12,9509786.468,0.9383919371
13,9267047.217,0.9404090131
14,7227354.873,0.9419137311
15,8650147.073,0.9438783929
16,5806000.961,0.9451970789
17,8404119.354,0.9475035248
18,7047142.901,0.9495042498
19,6179871.908,0.9512587515
20,3699016.033,0.9523439294
21,2746408.596,0.9532795951
22,2574577.266,0.954107991
23,2979051.67,0.9550947228
24,2369342.879,0.9559467718
25,2092600.984,0.9567785141
26,2378761.362,0.9577690189
27,1941718.333,0.9585224146
28,1851577.73,0.9592583578
29,2033016.487,0.9601818542
30,2292011.505,0.9612013084
31,1719866.536,0.9620476606
32,1377317.752,0.9626993749
33,1143350.717,0.9632620217
34,1030517.554,0.9638179046
35,1139936.377,0.9643788712
36,1039011.931,0.9649491689
37,959841.8458,0.9654669278
38,981677.5608,0.9660614963
39,858494.496,0.9665652083
40,993354.7145,0.967119846
41,877706.2684,0.9676846675
42,768891.3248,0.9681649115
43,646085.1427,0.9686051371
44,667346.241,0.9690409031
45,558131.0314,0.9694000715
46,662575.411,0.9698640738
47,608044.3699,0.9702841336
48,615698.7555,0.9707386149
49,596588.8442,0.9711676983
50,564580.8547,0.9716165042
51,520710.6681,0.9720156527
52,476303.5379,0.9723672386
53,427159.7206,0.9727148883
54,452735.759,0.9730619309
55,431830.4975,0.9734460751
56,428411.7677,0.9737947438
57,451952.7788,0.9741796798
58,455437.9202,0.9745718943
59,464559.679,0.9749763607
60,431177.6392,0.9753762459
61,338359.5888,0.9756868472
62,315591.2734,0.9759795347
63,333083.8519,0.9762947495
64,359564.0652,0.9766248157
65,324039.4033,0.9769560038
66,339349.0959,0.9772771477
67,315753.1685,0.9775938904
68,325033.0421,0.9779414738
69,306408.8162,0.9782430435
70,321296.5579,0.9785835906
71,276579.609,0.9788636544
72,284452.6573,0.9791866855
73,251763.7737,0.979463064
74,253944.8319,0.9797418368
75,239994.4907,0.980012109
76,224561.9766,0.9802671268
77,257630.708,0.9805694506
78,259037.3892,0.9808611681
79,231247.7857,0.9811325322
80,212254.6108,0.9813936602
81,252649.3259,0.9816925295
82,250851.9537,0.982010638
83,217331.5365,0.9822697851
84,236674.6011,0.9825699152
85,193813.5655,0.9828211951
86,227175.6854,0.9831135792
87,184354.7502,0.9833543404
88,162338.9515,0.9835555956
89,194985.8103,0.9838323837
90,192395.3197,0.9840836456
91,207231.8985,0.9843660504
92,208921.0171,0.9846527343
93,179483.0612,0.9849007215
94,182636.6149,0.9851634363
95,193607.7238,0.985429107
96,165805.4661,0.9856644727
97,150531.062,0.9858895524
98,153269.9292,0.9861100245
99,144959.8883,0.9863308894
100,133408.5109,0.9865227917
101,141155.546,0.9867445394
102,150981.8263,0.9869745796
103,150752.9881,0.9871971377
104,154027.5889,0.987442022
105,155331.0678,0.9876786888
106,127677.7086,0.9878889297
107,116806.5918,0.9880746374
108,123840.7139,0.9882691844
109,126439.3577,0.9884737965
110,124423.859,0.9886763246
111,127864.2547,0.988894133
112,130869.6219,0.9891108685
113,126175.0479,0.9893234114
114,134928.9954,0.9895609156
115,117232.182,0.989760613
116,112488.6275,0.9899511655
117,106310.1746,0.9901362822
118,98344.16048,0.9903112506
119,100987.9837,0.9904918784
120,88681.64994,0.9906496557
121,82148.18438,0.9907926995
122,73766.62574,0.9909274313
123,76131.02357,0.9910758477
124,77199.0885,0.991213196
125,76477.30346,0.9913593925
126,72239.2826,0.9914886001
127,70201.29411,0.9916241279
128,72118.62378,0.9917647222
129,69912.85428,0.9918950618
130,64165.74041,0.992022581
131,63463.18458,0.9921438993
132,63083.76277,0.9922728502
133,69964.20965,0.992412555
134,73788.41542,0.9925522148
135,67144.16178,0.9926920073
136,65535.6854,0.9928241097
137,64117.01246,0.9929563862
138,67320.56784,0.9930939977
139,60148.09973,0.9932152401
140,59397.97878,0.9933434022
141,51626.01892,0.9934499092
142,49194.3325,0.9935541928
143,49940.85462,0.9936605315
144,52524.73093,0.9937738633
145,49379.31965,0.9938832121
146,47259.45965,0.9939847359
147,43995.77416,0.9940796649
148,42543.12621,0.9941754856
149,38969.7401,0.9942625203
150,40982.34337,0.9943544378
151,36256.64834,0.9944333545
152,33793.67118,0.9945113874
153,38748.89347,0.9945982956
154,36621.07274,0.9946849368
155,33584.1062,0.9947612146
156,38212.7167,0.9948494516
157,32601.66859,0.9949281259
158,32509.64126,0.9950019633
159,36699.84927,0.9950887908
160,43169.27017,0.9951913328
161,38709.51622,0.9952880435
162,36255.11835,0.9953758774
163,33464.97587,0.9954547349
164,32265.8978,0.9955341257
165,32399.12272,0.9956132311
166,32822.04904,0.9956970964
167,33157.18131,0.9957777389
168,27954.41711,0.995845463
169,28851.82251,0.995920276
170,26812.20825,0.9959885316
171,25851.24337,0.9960545854
172,23448.03042,0.9961136111
173,23708.33354,0.9961759844
174,21276.73145,0.9962317592
175,24959.5661,0.9962955347
176,21754.70583,0.9963527683
177,22485.45198,0.9964104348
178,18728.39891,0.996461479
179,21664.16478,0.9965197045
180,18670.60498,0.9965686476
181,20076.92173,0.9966229872
182,20610.59536,0.9966799415
183,21828.88788,0.9967406755
184,20297.23936,0.9967942668
185,22150.33944,0.9968554759
186,18631.12102,0.9969083708
187,18077.25916,0.9969584956
188,17457.79552,0.9970073985
189,19111.00946,0.9970602089
190,15778.61203,0.9971047067
191,16948.0283,0.9971539458
192,16716.31233,0.9972004552
193,15969.06881,0.9972476058
194,13544.59727,0.9972859315
195,13524.89475,0.9973258654
196,14013.1809,0.997367241
197,13252.5808,0.9974056184
198,14518.07963,0.9974488969
199,12930.42483,0.9974865861
200,12631.90959,0.9975253179
201,13124.56557,0.9975636971
202,12419.22299,0.9976001313
203,10979.72728,0.9976346284
204,11814.66057,0.9976700717
205,10965.88329,0.9977043177
206,12013.3521,0.9977402434
207,10256.14807,0.9977718847
208,11773.85942,0.9978087655
209,11601.75891,0.9978445582
210,11645.14098,0.9978807051
211,9626.745843,0.9979114068
212,10202.04851,0.9979436536
213,9024.526873,0.9979723493
214,8253.802391,0.9979985943
215,8274.12761,0.9980245124
216,8562.923808,0.9980525507
217,8844.474226,0.9980813435
218,8007.379185,0.9981070322
219,8134.246365,0.9981336669
220,7953.067716,0.9981597082
221,8867.483609,0.9981889955
222,7742.892194,0.9982150814
223,7519.494062,0.9982395608
224,7199.01043,0.9982639506
225,7928.294669,0.998290136
226,7361.399571,0.9983149366
227,7130.916625,0.9983388258
228,6945.809689,0.9983626865
229,6924.357797,0.9983871943
230,7661.757722,0.9984125718
231,6699.92898,0.9984353976
232,6784.255572,0.9984587033
233,6075.258642,0.9984798609
234,6431.907182,0.9985028692
235,5743.649933,0.9985224914
236,5557.181616,0.9985419499
237,5295.162335,0.9985609921
238,5132.800749,0.9985786246
239,5310.434118,0.9985979226
240,5102.573669,0.9986155962
241,5018.895581,0.9986342148
242,5513.741496,0.9986544082
