freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.84392951e+11,0.8346040774
1,712895185.7,0.8513410669
2,621513724.8,0.8805242312
3,220996805.6,0.8934953569
4,155163037.9,0.9044238728
5,71583403.03,0.9128268659
6,45911927.38,0.9176774015
7,23628982.22,0.9210058967
8,19179793.22,0.9241579505
9,16482238.61,0.9268666816
10,12571078.95,0.9293753493
11,11536071.19,0.9315420533
12,8504251.726,0.9335386381
13,10006774.98,0.9362403786
14,7233901.027,0.9381085509
15,7218233.391,0.9401421429
16,6847356.499,0.9420712478
17,4620499.036,0.9436441747
18,4768744.149,0.9453235468
19,3909540.13,0.9467003397
20,4318221.73,0.9482717453
21,3430495.973,0.9497214551
22,2688759.984,0.9507945858
23,3132024.288,0.952081397
24,2083860.417,0.9530109494
25,2080533.777,0.9540367093
26,2693237.861,0.9554277796
27,2243420.088,0.9565075119
28,2065441.846,0.9575258311
29,1962135.436,0.9586314155
30,2010419.15,0.959740606
31,1374284.847,0.9605794897
32,1321128.138,0.961354909
33,1597490.738,0.9623300409
34,1482732.85,0.96332215
35,1261465.927,0.9640921674
36,1158571.545,0.9648809776
37,807451.4553,0.9654212502
38,1029730.944,0.9661948661
39,1009241.056,0.966929394
40,1113416.704,0.9677005307
41,956388.813,0.9684639534
42,762102.7539,0.969054398
43,796589.3064,0.969727667
44,695863.8424,0.9702912982
45,794559.9148,0.9709255435
46,634724.8746,0.9714769081
47,663516.2161,0.972045494
48,688712.1007,0.972676094
49,641210.289,0.9732481463
50,609210.4752,0.9738488611
51,566085.9812,0.9743871173
52,607522.5265,0.9749433784
53,523807.1808,0.9754721785
54,491026.086,0.975939065
55,461616.773,0.9764484323
56,435740.8311,0.9768883266
57,422903.9391,0.9773351192
58,452716.8903,0.977818723
59,399156.7842,0.9782497982
60,384423.7883,0.9786920382
61,348865.1641,0.9790892764
62,391714.478,0.9795399035
63,337721.5244,0.9799363462
64,342094.6161,0.9803258751
65,331167.343,0.9807457239
66,309002.1939,0.9811084537
67,278882.0917,0.9814554686
68,304751.4875,0.9818597148
69,285468.7228,0.9822082234
70,304487.182,0.9826085447
71,254257.8867,0.9829279043
72,273129.466,0.9833126479
73,233142.8364,0.9836301172
74,208131.0316,0.9839135281
75,231111.8053,0.9842363706
76,216477.2045,0.9845413111
77,218854.6706,0.9848598769
78,239001.6345,0.9851937409
79,202963.7051,0.9854891757
80,201789.5882,0.9857971141
81,203521.7741,0.9860957503
82,194240.3062,0.9864012887
83,202673.6164,0.9867010596
84,183800.0158,0.9869901755
85,176943.9823,0.9872747383
86,174415.3352,0.987553187
87,133735.8538,0.987769832
88,139822.9862,0.9879848483
89,142903.9452,0.9882364753
90,143335.0762,0.9884686705
91,123732.4768,0.9886778253
92,142050.9159,0.9889196127
93,115636.4252,0.989117797
94,119392.1757,0.9893308272
95,118372.0109,0.9895323103
96,119355.6648,0.9897424732
97,114557.0167,0.9899549445
98,107394.251,0.9901465669
99,107959.2783,0.9903506033
100,105736.9302,0.9905392685
101,95079.46398,0.9907245434
102,97943.839,0.9909096512
103,93232.59225,0.9910803828
104,87601.73345,0.991253143
105,90369.62048,0.991423936
106,84201.74739,0.9915959215
107,92247.3278,0.9917778433
108,80817.70237,0.9919353273
109,76009.32087,0.9920879027
110,81847.13654,0.9922531573
111,82402.46681,0.9924272716
112,70710.40891,0.9925725306
113,70052.79565,0.9927189057
114,60203.30102,0.992850354
115,67454.53598,0.9929928837
116,59935.778,0.9931188228
117,59377.03216,0.993247073
118,56268.34804,0.9933712507
119,55548.16713,0.9934944912
120,46973.40635,0.993598156
121,49812.852,0.9937057483
122,50046.82611,0.9938191332
123,42644.85373,0.9939222562
124,49976.30943,0.9940325481
125,49790.8698,0.9941506136
126,51116.96359,0.9942640228
127,45357.32538,0.9943726402
128,47281.65936,0.9944869758
129,43593.01259,0.9945877861
130,39640.21035,0.9946855046
131,41920.01037,0.9947849065
132,35730.81027,0.9948755044
133,37557.11183,0.9949685287
134,37810.36146,0.9950572979
135,35620.16503,0.9951492878
136,37125.28582,0.9952421141
137,30679.98324,0.9953206256
138,31148.63741,0.9953996052
139,32950.73491,0.9954819936
140,30120.44734,0.995562609
141,28660.2695,0.995635952
142,24652.10902,0.9957007742
143,26632.4819,0.9957711163
144,25057.4139,0.9958381809
145,28797.80288,0.9959172846
146,28221.85523,0.9959924872
147,26215.32308,0.9960626508
148,25566.85716,0.99613408
149,24124.35762,0.9962009128
150,22673.00106,0.9962639909
151,22618.63887,0.9963250593
152,20385.73763,0.9963834492
153,21872.45323,0.9964443002
154,20040.16899,0.9965031118
155,19223.18589,0.9965572692
156,17875.45693,0.9966084691
157,17170.56966,0.9966598671
158,17062.7554,0.996707938
159,16011.90997,0.9967549279
160,16555.97667,0.9968037089
161,15410.99077,0.996851468
162,13982.74383,0.9968934878
163,13437.06858,0.9969327636
164,13924.07026,0.9969752609
165,13367.27978,0.997015745
166,12556.55752,0.9970555425
167,11135.4199,0.9970891365
168,12787.85898,0.9971275655
169,13686.49892,0.997171587
170,12074.76059,0.9972097157
171,12258.69398,0.9972485692
172,11853.60075,0.9972855821
173,13095.55684,0.9973283178
174,10660.57641,0.9973629821
175,10357.48516,0.9973958097
176,10329.58006,0.997429519
177,10464.89751,0.9974628099
178,9653.487722,0.997495446
179,10582.89625,0.9975307273
180,11625.11181,0.9975685279
181,10485.45636,0.9976037305
182,9514.56826,0.9976363437
183,9505.584959,0.9976691493
184,9150.339837,0.9976991177
185,8862.935983,0.9977294973
186,8899.793951,0.997760839
187,8395.426707,0.9977897147
188,7965.150284,0.997817391
189,8240.837671,0.9978456382
190,8253.7602,0.997874511
191,7212.361917,0.9979005029
192,6432.193197,0.9979227016
193,7221.951302,0.997949152
194,6015.927069,0.9979702672
195,6437.077966,0.9979938429
196,6873.000375,0.9980190152
197,7404.191897,0.9980456114
198,6626.835757,0.9980701155
199,6500.079369,0.9980936168
200,5441.861195,0.9981143141
201,5933.531343,0.9981358366
202,5271.920941,0.9981550212
203,5319.090407,0.9981757511
204,5322.283624,0.9981955563
205,5270.931664,0.9982159748
206,5465.819987,0.9982362499
207,5766.353693,0.9982583168
208,5247.429922,0.9982787058
209,5107.189565,0.9982982501
210,4997.072993,0.9983174904
211,4463.614861,0.9983351483
212,4614.689333,0.9983532413
213,4743.052127,0.9983719489
214,4599.578297,0.9983900906
215,4377.168691,0.9984070982
216,4565.564852,0.9984256418
217,4617.488983,0.9984442878
218,4122.904063,0.9984606946
219,3752.585584,0.9984759361
220,3958.434592,0.9984920137
221,3960.497439,0.9985082392
222,4091.616532,0.998525338
223,4057.815784,0.998541724
224,3940.124838,0.9985582823
225,4014.465331,0.9985747288
226,3809.146332,0.9985906472
227,3891.321502,0.9986068177
228,3937.980734,0.998623598
229,3783.748059,0.9986402098
230,3422.521379,0.9986542714
231,3831.33367,0.9986704624
232,3849.295886,0.9986868649
233,4122.265446,0.9987046725
234,3689.392902,0.9987210433
235,3774.00987,0.9987370363
236,3104.351118,0.9987505196
237,3336.815494,0.9987654042
238,3054.816791,0.9987784213
239,3706.087576,0.9987951271
240,3332.183566,0.9988094435
241,3215.728274,0.9988242409
242,3334.100553,0.9988393874
243,3045.68865,0.9988529018
244,3284.844262,0.9988678631
245,3293.76335,0.998882285
246,3387.620312,0.9988983506
247,3133.5145,0.9989125491
248,3303.478539,0.9989273625
249,3045.119575,0.9989413392
250,2792.092861,0.9989540561
251,2935.337149,0.998967839
252,2920.498571,0.9989813808
253,2569.158341,0.998993384
254,2682.635739,0.9990061062
255,2863.524713,0.9990197536
256,2697.492843,0.999032388
257,2454.44557,0.9990438552
258,2582.557934,0.999056406
259,2225.991972,0.9990669888
260,2688.32944,0.9990799275
261,2389.529386,0.999091428
262,2568.381769,0.9991038195
263,2263.165413,0.9991148181
264,2256.692211,0.9991256793
265,2115.337939,0.9991362575
266,2192.450234,0.9991469896
267,2046.468039,0.9991569832
268,2042.031125,0.9991672427
269,2168.944639,0.9991779108
270,2228.426993,0.9991889498
271,2072.703696,0.9991994608
272,2105.218682,0.9992101366
273,2047.322657,0.9992203987
274,2268.525407,0.9992316364
275,1929.44805,0.9992416474
276,2087.61581,0.9992522095
277,1757.621855,0.9992612877
278,1793.812663,0.9992704265
279,1976.951452,0.9992805679
280,1759.524278,0.9992897799
281,1964.058992,0.9992998321
282,2002.186711,0.9993102675
283,1862.396464,0.9993199525
284,1943.160505,0.9993303083
285,1854.386581,0.999340104
286,1687.738334,0.9993488411
287,1721.907548,0.9993580178
288,1662.709657,0.99936684
289,1749.382398,0.9993762453
290,1564.466777,0.9993847849
291,1812.186232,0.9993941024
292,1638.605676,0.9994032584
293,1655.540628,0.9994121786
294,1641.186564,0.9994210792
295,1465.96262,0.9994289951
296,1513.992558,0.9994373837
297,1364.03231,0.9994449574
298,1306.81255,0.9994519833
299,1297.831576,0.9994591132
300,1326.771236,0.9994664489
301,1208.891346,0.9994731469
302,1241.771581,0.9994802604
303,1204.165826,0.9994868617
304,1246.995868,0.9994938002
305,1140.928059,0.9995003628
306,1145.232245,0.999506735
307,1179.627212,0.999513451
308,1077.222833,0.9995194448
309,1101.975799,0.9995259903
310,1055.344569,0.9995319492
311,967.8911753,0.9995375165
312,940.4264846,0.9995428596
313,946.7943938,0.9995483277
314,1012.86859,0.9995543559
315,918.5977742,0.9995596828
316,1010.447018,0.9995655186
317,989.9013425,0.999571317
318,995.355524,0.9995772059
319,889.7467413,0.9995824073
320,887.1827302,0.9995875832
321,896.4216139,0.9995928867
322,823.4610318,0.9995978553
323,946.8340166,0.9996035237
324,964.2992391,0.9996091722
325,1041.169364,0.9996154788
326,979.8802351,0.9996214141
327,916.2867876,0.999627018
328,826.7390531,0.9996320646
329,823.0513893,0.9996369727
330,844.9795267,0.9996421504
331,841.0991462,0.9996472155
332,810.3698735,0.999652124
333,809.1268592,0.999657253
334,839.8160344,0.9996623695
335,740.2468431,0.999666975
336,803.3367315,0.9996718975
337,799.4861492,0.9996767589
338,825.9734863,0.9996821014
339,706.4884848,0.9996864968
340,719.5480948,0.9996910918
341,758.9370437,0.9996958224
342,724.167157,0.9997003109
343,769.6120343,0.9997053339
344,718.2159974,0.999709777
345,746.6883155,0.999714633
346,675.7775511,0.9997189008
347,751.5418426,0.9997237353
348,670.7109133,0.9997280263
349,662.1999413,0.9997322084
350,645.8349775,0.9997364236
351,637.9362174,0.9997405947
352,676.7058466,0.9997450114
353,724.1499038,0.9997497547
354,688.2018423,0.9997541657
355,675.2594751,0.9997586759
356,691.8361774,0.9997631427
357,674.1127663,0.9997676849
358,648.8996129,0.9997719277
359,655.4232352,0.9997762054
360,658.8578329,0.9997806758
361,666.8345369,0.9997850359
362,622.1172344,0.9997892423
363,614.3842799,0.9997932811
364,569.8915653,0.999797188
365,543.2093606,0.9998008673
366,570.7234627,0.9998047262
367,508.0880372,0.9998081378
368,570.2202174,0.9998120134
369,475.413543,0.9998152949
370,539.5085025,0.9998189682
371,481.6309426,0.999822236
372,459.999224,0.9998253841
373,482.9214299,0.9998287061
374,394.1089294,0.9998314819
375,443.2598757,0.9998345154
376,420.5888004,0.9998374086
377,437.4372677,0.9998404896
378,367.6263388,0.9998430314
379,398.2617816,0.9998458365
380,366.1316309,0.9998483464
381,353.1697953,0.9998508754
382,347.5490349,0.9998533436
383,363.4935319,0.9998559038
384,365.5056162,0.9998584953
385,345.9482458,0.9998609441
386,337.4756836,0.9998633844
387,342.3292342,0.9998657955
388,338.6752878,0.9998682286
389,341.078579,0.999870691
390,311.4392494,0.9998729138
391,301.7303894,0.9998751168
392,284.4896331,0.9998771373
393,280.3829349,0.9998791845
394,263.5241018,0.9998811395
395,260.9725815,0.9998830083
396,245.8864142,0.999884818
397,232.5553625,0.9998864833
398,228.9438324,0.999888214
399,220.9544078,0.9998898351
400,223.2213995,0.9998914702
401,234.3034374,0.9998932305
402,214.6291309,0.9998948001
403,198.8733952,0.9998962989
404,213.3922482,0.999897872
405,196.1964166,0.9998993276
406,206.957332,0.9999009091
407,194.3384463,0.9999023463
408,201.7495567,0.9999038857
409,203.99992,0.9999053968
410,195.9581418,0.9999068828
411,195.564691,0.9999083841
412,196.8576646,0.999909844
413,173.6524828,0.9999110926
414,177.2566097,0.9999123431
415,162.63238,0.9999135201
416,177.5405136,0.9999147414
417,162.3440786,0.9999158514
418,179.4792848,0.9999170597
419,165.6340232,0.9999182069
420,167.6451716,0.9999193483
421,170.4583972,0.9999204908
422,175.6143831,0.9999216731
423,165.3131949,0.9999227637
424,149.8378579,0.9999237549
425,155.8618176,0.9999247859
426,142.3298779,0.999925709
427,131.80907,0.9999265801
428,152.2255458,0.9999275709
429,137.5320612,0.9999284565
430,149.1103832,0.9999293999
431,136.8856627,0.9999302676
432,151.3341234,0.999931274
433,137.150042,0.9999321385
434,147.6003064,0.9999330915
435,143.856933,0.9999339865
436,154.5493395,0.9999349644
437,135.8154675,0.9999358317
438,135.7203625,0.9999366761
439,121.8780279,0.9999374515
440,119.7790124,0.9999381981
441,129.7240963,0.9999390082
442,110.5509068,0.9999396941
443,112.8851625,0.9999403725
444,111.4160033,0.9999410827
445,111.2871341,0.9999417666
446,105.7241714,0.9999424244
447,104.175132,0.9999430609
448,112.9650986,0.9999437253
449,100.4524289,0.999944365
450,100.8058003,0.9999449815
451,98.3822791,0.9999455849
452,106.9661566,0.9999462278
453,103.6638149,0.9999468551
454,106.068931,0.9999475038
455,96.51469359,0.9999480743
456,87.23420028,0.9999486093
457,101.8696672,0.9999492275
458,87.79274378,0.9999497526
459,88.08517121,0.9999502815
460,93.75431286,0.9999508301
461,92.84876323,0.9999513958
462,108.6821561,0.9999520356
463,88.15496458,0.999952566
464,114.6674178,0.9999532491
465,100.434039,0.9999538439
466,105.3246362,0.9999544763
467,96.24375164,0.9999550338
468,91.60313803,0.9999555779
469,104.7664398,0.9999561984
470,97.14301994,0.999956776
471,104.8475007,0.9999573944
472,109.5611687,0.9999580253
473,105.6140589,0.999958647
474,103.9290978,0.9999592613
475,91.52461947,0.9999598022
476,116.616667,0.9999604737
477,95.59789419,0.9999610208
478,101.3425315,0.9999616257
479,96.98819105,0.999962183
480,93.64685141,0.9999627332
481,96.35111783,0.9999632891
482,78.7956697,0.9999637502
483,92.10101644,0.9999642854
484,84.82645152,0.9999647638
485,88.19130542,0.9999652841
486,86.07140711,0.9999657675
487,75.05963821,0.9999662147
488,81.5796637,0.9999666873
489,81.33492057,0.9999671422
490,82.45295528,0.9999676189
491,84.23652544,0.9999680955
492,82.85751816,0.9999685755
493,84.84258313,0.999969064
494,85.58768837,0.9999695458
495,81.06954857,0.9999700192
496,79.79613355,0.9999704642
497,78.81537231,0.9999709208
498,73.15416902,0.9999713351
499,68.95935013,0.9999717265
500,62.41241426,0.9999720837
501,76.38515314,0.9999725087
502,65.55649708,0.9999728831
503,62.53688703,0.9999732336
504,66.26610408,0.9999736128
505,57.74748188,0.9999739409
506,63.18986614,0.9999742936
507,58.55289839,0.9999746314
508,58.96678239,0.9999749596
509,59.57228145,0.9999752963
510,60.36555398,0.9999756318
511,66.55329318,0.9999760099
512,54.87744234,0.9999763214
513,63.72604847,0.9999766756
514,55.35265187,0.9999769894
515,60.71227886,0.999977324
516,55.9966174,0.9999776405
517,53.93075103,0.9999779425
518,51.61734443,0.999978227
519,53.64313628,0.9999785315
520,53.87667134,0.9999788287
521,62.95285131,0.9999791853
522,56.38890379,0.9999794954
523,62.56991771,0.9999798457
524,56.42372933,0.9999801594
525,60.38317417,0.999980495
526,57.63172599,0.999980815
527,59.9036166,0.9999811444
528,58.33110755,0.9999814704
529,55.65775351,0.9999817784
530,56.27473795,0.9999820882
531,50.70466107,0.9999823748
532,57.43427614,0.999982684
533,51.98319478,0.9999829775
534,55.20264265,0.9999832798
535,55.7928552,0.999983585
536,50.15441745,0.9999838673
537,57.04311143,0.999984172
538,48.73431507,0.9999844497
539,57.54799708,0.9999847608
540,46.78472029,0.9999850184
541,46.99612769,0.9999852735
542,47.69205254,0.999985535
543,45.68838345,0.9999857905
544,51.34813496,0.9999860672
545,47.59343309,0.9999863317
546,47.81828921,0.9999865961
547,52.63372039,0.9999868769
548,46.11518273,0.9999871357
549,52.33560006,0.9999874161
550,49.5202153,0.9999876917
551,53.78598343,0.9999879843
552,57.20510665,0.9999882925
553,47.75321381,0.9999885574
554,52.92273593,0.9999888376
555,41.97403927,0.9999890738
556,52.11936275,0.9999893547
557,43.81054179,0.9999895936
558,42.85894881,0.999989825
559,47.29592053,0.9999900773
560,41.08086499,0.9999903078
561,39.9213583,0.9999905204
562,42.36099757,0.9999907516
563,42.58145003,0.9999909853
564,45.34861196,0.9999912275
565,41.79119973,0.9999914568
566,41.34167336,0.9999916767
567,44.31220176,0.9999919191
568,40.05685037,0.9999921361
569,45.83873406,0.9999923868
570,40.25334788,0.9999926016
571,44.17749984,0.9999928386
572,44.27388399,0.9999930789
573,42.59238006,0.9999933074
574,46.18809304,0.9999935566
575,44.05400559,0.9999937913
576,46.52942172,0.9999940437
577,43.77233541,0.9999942813
578,43.47515921,0.9999945146
579,49.54102619,0.9999947835
580,49.75128829,0.9999950528
581,42.48628767,0.9999952819
582,51.72600769,0.9999955582
583,45.47576764,0.999995799
584,42.99383248,0.9999960232
585,28.12939021,0.99999616
586,27.0848195,0.9999962893
587,25.77951989,0.9999964067
588,24.67077723,0.9999965183
589,25.44212283,0.9999966314
590,22.57154014,0.9999967273
591,24.56240169,0.9999968311
592,24.54367955,0.9999969338
593,24.71364531,0.999997037
594,22.91406046,0.9999971291
595,20.947768,0.999997211
596,23.59602987,0.9999973017
597,22.87075513,0.9999973927
598,20.15427722,0.9999974682
599,19.78325436,0.9999975413
600,22.78355493,0.9999976241
601,19.13761293,0.9999976951
602,20.17530375,0.9999977671
603,21.16248758,0.9999978402
604,19.92344397,0.9999979099
605,18.03123927,0.9999979713
606,19.27099024,0.9999980375
607,18.61175688,0.9999980995
608,17.3364454,0.9999981551
609,17.68707635,0.9999982108
610,18.02218591,0.9999982706
611,17.70038344,0.9999983263
612,17.82177514,0.9999983816
613,15.10307628,0.9999984267
614,16.35074965,0.9999984768
615,17.16166017,0.999998528
616,16.62706811,0.9999985766
617,15.47929824,0.9999986219
618,15.9265251,0.9999986673
619,15.16484261,0.9999987103
620,14.33676156,0.99999875
