freq_radius,radial_mean_power,cumulative_energy_fraction
0,6.453867245e+11,0.9201098916
1,920919841.8,0.9306133299
2,239745844.5,0.9360821136
3,84033605.8,0.9384782011
4,96896651.56,0.9417936297
5,79295622.15,0.9463156122
6,29985278.6,0.9478545825
7,27444076.76,0.9497326428
8,13400141.33,0.9508024785
9,19819712.61,0.9523848376
10,16906305.72,0.9540238314
11,11294718.54,0.9550543956
12,10098685.45,0.9562061888
13,6274321.221,0.9570291403
14,8175446.222,0.9580548249
15,6054367.206,0.958883453
16,5671612.538,0.9596596955
17,4640158.894,0.9604270756
18,4523726.782,0.9612009978
19,3829064.943,0.9618560767
20,4486215.538,0.9626491649
21,3198236.087,0.9633057525
22,4551790.345,0.9641883056
23,3179759.026,0.9648229668
24,2687941.812,0.9654054496
25,2322667.437,0.9659617585
26,2777791.926,0.9666587573
27,2101294.036,0.9671500614
28,2261016.554,0.967691604
29,1393775.726,0.968073121
30,1510765.171,0.9684780459
31,1729715.166,0.9689909753
32,1867586.788,0.9695234886
33,1672935.177,0.9700195804
34,1308662.167,0.9704449653
35,1180887.059,0.9707951454
36,1466964.83,0.9712803527
37,1093489.754,0.9716357951
38,1026205.033,0.9720103313
39,1157475.181,0.972419576
40,889549.0003,0.9727188724
41,974351.8356,0.9730967093
42,1331015.573,0.9735976736
43,936634.2164,0.9739822496
44,1075802.146,0.9744055621
45,1159209.818,0.9748550838
46,972689.223,0.9752655576
47,901390.6848,0.9756408032
48,1080409.785,0.97612138
49,700489.0085,0.976424975
50,545824.1008,0.9766864388
51,544927.1416,0.9769381504
52,530451.2885,0.9771741003
53,573058.9791,0.9774551463
54,401207.882,0.9776404713
55,431021.6797,0.9778715217
56,352079.1867,0.9780441923
57,339070.6268,0.9782182176
58,341883.3169,0.9783956361
59,317670.4378,0.9785623011
60,317797.895,0.9787399067
61,315903.8867,0.9789146524
62,281816.8946,0.9790721495
63,292166.3199,0.9792387629
64,345419.0612,0.9794298352
65,269242.9634,0.9795956593
66,310572.6263,0.9797727692
67,360002.9834,0.9799903856
68,262051.4599,0.9801592526
69,276440.9316,0.9803232041
70,242885.9295,0.9804783356
71,258223.1678,0.9806359002
72,213408.7997,0.9807819407
73,302925.7149,0.9809823296
74,249952.4436,0.9811476761
75,247303.2471,0.981315501
76,217530.5117,0.9814643621
77,181967.5442,0.9815930374
78,226793.7621,0.9817469442
79,156481.5713,0.9818575975
80,152574.7151,0.9819707087
81,152288.4834,0.9820792655
82,153975.8596,0.9821969277
83,140886.1841,0.9822981599
84,131474.9221,0.9823986278
85,140503.7845,0.982508399
86,123063.192,0.9826038425
87,121623.8282,0.982699557
88,120437.3976,0.98278953
89,122430.2371,0.9828942572
90,118409.2811,0.9829874419
91,129791.2786,0.9830940248
92,107685.0601,0.9831830685
93,111095.1712,0.9832755655
94,110634.527,0.9833714645
95,120540.1957,0.983471138
96,128035.0846,0.9835806596
97,140312.965,0.9837070851
98,121728.3265,0.9838126002
99,116134.3976,0.983919227
100,113327.1348,0.98401746
101,97022.59821,0.9841093061
102,90398.5992,0.984192304
103,96349.10988,0.984278018
104,98956.6729,0.9843728236
105,93834.203,0.9844589759
106,103110.6385,0.9845612893
107,107411.5396,0.9846641951
108,99183.4632,0.9847580868
109,90573.2095,0.9848464101
110,97433.8048,0.9849419793
111,97750.50907,0.9850423186
112,88252.36135,0.9851303918
113,93017.97307,0.9852248124
114,77561.17186,0.9853070815
115,78670.99773,0.9853878361
116,90242.52989,0.9854799539
117,82790.31624,0.9855668254
118,84780.45672,0.985657719
119,75062.96146,0.9857386224
120,75131.03146,0.9858191708
121,85234.43465,0.9859086069
122,85831.68126,0.9860030749
123,75447.82569,0.9860917075
124,83101.39203,0.9861808009
125,71126.56189,0.9862627347
126,77615.65048,0.9863463895
127,73764.18411,0.9864322029
128,80015.0106,0.9865262009
129,78085.14894,0.986613924
130,72178.90714,0.9867003629
131,72872.60455,0.986784308
132,76026.41228,0.9868779559
133,81224.48773,0.9869756907
134,65260.10336,0.9870501223
135,74167.54837,0.9871431723
136,61258.35732,0.9872175811
137,61245.64374,0.9872937209
138,65695.91649,0.9873746438
139,79173.86802,0.9874708142
140,73725.94989,0.9875666736
141,69529.64406,0.9876531119
142,76308.03762,0.9877505879
143,69186.87892,0.987839362
144,69208.70867,0.987929348
145,63038.18944,0.988013468
146,62165.69558,0.9880939422
147,61502.79315,0.9881739089
148,55980.74777,0.9882498882
149,62081.24941,0.9883334393
150,55957.16278,0.9884090675
151,60308.29067,0.9884881689
152,50552.39261,0.9885585104
153,72978.31539,0.9886571433
154,53969.72658,0.9887340864
155,46562.12953,0.9887978135
156,50468.76853,0.9888680385
157,55143.11067,0.9889482269
158,48072.05219,0.9890140204
159,51140.64146,0.9890869302
160,50449.47637,0.9891591423
161,53663.83485,0.9892399338
162,45685.19846,0.9893066291
163,53913.48201,0.9893831846
164,56646.74274,0.9894671746
165,57334.11634,0.98955153
166,49193.62907,0.9896272747
167,53911.74542,0.9897062872
168,55029.17852,0.9897866237
169,47662.68131,0.9898610984
170,47304.91248,0.9899336652
171,50382.01012,0.9900112397
172,45307.25301,0.990079967
173,46715.32412,0.990154027
174,41638.93862,0.9902198017
175,42822.74927,0.990285737
176,45582.98794,0.9903580019
177,39799.86041,0.9904195097
178,41137.35621,0.9904870727
179,43504.87181,0.9905575316
180,39547.29723,0.9906200022
181,48428.62804,0.9906989878
182,49264.10906,0.9907810217
183,42696.34802,0.990852606
184,37924.02518,0.990912945
185,42684.17048,0.9909840221
186,47666.42889,0.9910655701
187,38286.87803,0.9911295432
188,46269.63543,0.9912076461
189,43237.89859,0.9912796452
190,30832.54355,0.9913320421
191,37813.64313,0.9913982434
192,42580.29181,0.9914696331
193,35795.03358,0.991533321
194,50556.60343,0.9916195253
195,41014.43192,0.9916924998
196,37346.14785,0.9917589475
197,37389.83733,0.9918241936
198,39885.10177,0.9918958411
199,37450.45103,0.9919616201
200,35847.57009,0.9920278546
201,36855.74486,0.9920927993
202,38512.49207,0.9921608829
203,39338.29241,0.9922353618
204,39978.50552,0.9923076331
205,30335.42032,0.9923647209
206,38267.49332,0.9924336808
207,32125.69711,0.992493405
208,28875.327,0.9925479097
209,32605.02624,0.992608525
210,37436.16687,0.9926785487
211,32708.76225,0.9927414086
212,37098.48862,0.99281207
213,31546.7239,0.9928725168
214,31770.49445,0.9929333923
