freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.353091675e+11,0.9053567764
1,412958940.4,0.9122277583
2,231011082.3,0.9199150744
3,104035613.7,0.9242425435
4,115559035.2,0.9300107007
5,58620136.65,0.9348874313
6,63636532.99,0.9396520807
7,21422197.86,0.9417906691
8,19497610.4,0.9440615343
9,13730521.01,0.945660713
10,8356406.699,0.9468425305
11,12963809.5,0.9485681084
12,5696403.491,0.9495158996
13,4664168.425,0.9504083498
14,2989250.955,0.9509554501
15,11365559.96,0.9532247089
16,16330846.84,0.9564853416
17,13129057.72,0.9596528187
18,4539655.328,0.9607858087
19,5286104.085,0.9621050945
20,4852744.538,0.9633565951
21,3131499.73,0.9642944525
22,2607294.028,0.9650319336
23,4397887.227,0.9663124763
24,4157157.531,0.967626678
25,2362531.785,0.9684521624
26,1729373.195,0.969085191
27,2042890.833,0.9697819955
28,1777930.612,0.9704032164
29,1435865.319,0.9709765889
30,1334235.528,0.9714982786
31,1472467.72,0.9721352663
32,1225652.529,0.9726450892
33,1599106.272,0.9733368606
34,1089029.623,0.9738532728
35,921373.6189,0.9742518579
36,1331919.193,0.9748945276
37,2009234.445,0.9758472961
38,1726606.025,0.9767665916
39,749695.5538,0.9771532777
40,791957.2248,0.9775419967
41,933892.8017,0.9780703055
42,728859.6683,0.9784704988
43,461761.9367,0.9787470863
44,356380.4301,0.9789516577
45,528455.6627,0.9792506082
46,451502.4711,0.9795285628
47,443268.5652,0.9797977607
48,471293.6715,0.9801035823
49,438451.6017,0.9803807976
50,489726.608,0.9807230251
51,408487.4514,0.9809982868
52,348408.0991,0.9812243681
53,315562.6661,0.981450138
54,540253.4943,0.9818141909
55,568053.0375,0.9822584115
56,470348.1985,0.982594923
57,227620.3525,0.9827653489
58,233474.8592,0.9829421005
59,380811.14,0.9832335608
60,302203.6098,0.9834799421
61,257294.9326,0.9836875696
62,245921.1931,0.9838880648
63,277149.8936,0.9841186315
64,313586.8718,0.9843716845
65,251356.897,0.9845975223
66,207446.3232,0.9847701011
67,248816.3911,0.9849895164
68,258298.1713,0.9852323349
69,227383.423,0.9854290664
70,162119.3092,0.9855801213
71,210925.7384,0.9857678779
72,223755.2442,0.9859912539
73,186681.6328,0.9861714069
74,145375.6393,0.9863116984
75,139525.9044,0.9864498271
76,142661.5349,0.9865922468
77,128554.3075,0.9867248611
78,121840.6628,0.9868454816
79,111359.8214,0.9869603583
80,109719.7471,0.9870790199
81,109969.0884,0.9871933768
82,136345.7463,0.9873453715
83,127722.5897,0.9874792529
84,111898.5137,0.9876039944
85,105561.5342,0.9877243062
86,134737.1872,0.9878767495
87,138621.438,0.9880358939
88,115376.6122,0.9881616332
89,106444.5457,0.9882944633
90,112408.8921,0.9884235144
91,109353.0027,0.9885545156
92,103219.4033,0.9886790276
93,122060.9575,0.9888272834
94,118354.0749,0.9889769444
95,122631.6689,0.9891248731
96,83921.05058,0.9892295966
97,84119.40747,0.9893401661
98,111751.738,0.9894814783
99,106252.718,0.9896237924
100,104653.1189,0.9897561283
101,90322.19167,0.9898808622
102,90321.27657,0.9900018379
103,96676.68838,0.9901273045
104,98824.91665,0.9902654249
105,96602.88518,0.990394814
106,90850.10855,0.9905263234
107,95233.49423,0.9906594243
108,101631.7831,0.9907997766
109,85761.54261,0.9909217796
110,80793.80713,0.9910373877
111,118638.4954,0.9912150438
112,138495.1586,0.9914166736
113,108045.4444,0.9915766693
114,70443.65088,0.9916856719
115,76331.03407,0.9917999743
116,118053.9988,0.991975773
117,108520.2507,0.9921418887
118,85183.54783,0.9922751167
119,65730.79205,0.9923784672
120,68309.67777,0.9924853043
121,65458.80045,0.9925855043
122,61471.43573,0.9926842032
123,62993.68011,0.9927921591
124,69767.97081,0.992901277
125,59138.35348,0.9930006578
126,64660.28041,0.9931023251
127,56622.32803,0.9931984199
128,56311.83234,0.9932949246
129,77366.96136,0.9934217201
130,73484.8806,0.9935501006
131,63382.60241,0.9936566138
132,50785.79958,0.9937478733
133,50481.78947,0.9938364866
134,52216.425,0.9939233665
135,53875.36821,0.9940219706
136,50327.8373,0.9941111511
137,44380.68768,0.9941916393
138,40537.6943,0.9942644835
139,35272.23638,0.9943269855
140,43711.02289,0.9944098957
141,41783.92277,0.9944856745
142,39849.10948,0.9945599334
143,42575.01213,0.9946396262
144,42022.68252,0.994719334
145,34799.1978,0.9947870774
146,34742.07354,0.9948526864
147,34246.82887,0.9949176451
148,36852.48007,0.9949906119
149,40191.55699,0.9950695213
150,34028.59625,0.9951366139
151,36287.96449,0.9952060479
152,38981.18986,0.9952851753
153,44997.65023,0.995373895
154,44486.87295,0.9954664189
155,42524.50265,0.9955513237
156,36723.1279,0.9956258675
157,35017.74533,0.9957001541
158,37787.37917,0.9957756007
159,29772.49229,0.9958375216
160,26279.12341,0.9958923956
161,25197.74811,0.9959477367
162,25526.59081,0.9960021011
163,25559.55262,0.9960550473
164,23637.89579,0.9961061759
165,24476.11684,0.9961587103
166,23844.51457,0.9962122695
167,23194.95685,0.9962618612
168,23393.63568,0.996311683
169,25747.77137,0.9963703741
170,23386.5998,0.9964227102
171,23676.68667,0.9964758924
172,20972.93442,0.9965223036
173,19208.4711,0.9965667278
174,22133.42223,0.9966177325
175,23881.46316,0.9966713747
176,19653.94868,0.9967168292
177,16883.25171,0.9967548926
178,15786.06128,0.9967927149
179,16029.97106,0.9968305882
180,18221.25688,0.9968725776
181,22244.06787,0.9969255028
182,22935.32612,0.9969812175
183,17958.53027,0.9970251413
184,15693.47786,0.9970615668
185,15846.30202,0.9971000607
186,19789.67111,0.9971494511
187,20814.04971,0.9972001859
188,17655.08768,0.9972436613
189,15441.22145,0.9972811712
190,12908.0349,0.9973131718
191,15400.96732,0.9973525059
192,19456.28332,0.9974000929
193,20125.21166,0.9974523298
194,15905.25129,0.9974918932
195,15095.88081,0.997531076
196,14622.0555,0.9975690289
197,13683.14091,0.9976038617
198,15609.17907,0.9976447664
199,16134.9256,0.9976861091
200,13640.50879,0.9977228761
201,11631.00722,0.9977527751
202,10862.94083,0.9977807902
203,10577.66467,0.9978100054
204,13820.66391,0.9978464531
205,13229.72292,0.9978827732
206,11161.88952,0.9979121163
207,9679.994216,0.9979383691
208,9473.108769,0.9979644548
209,10051.98195,0.9979917164
210,10301.94023,0.9980198273
211,10716.00061,0.9980498704
212,11433.30761,0.9980816391
213,8714.652922,0.9981059988
214,7831.809788,0.9981278907
215,8601.25351,0.9981515756
216,8275.286861,0.9981753956
217,8772.451299,0.9982005006
218,10109.05089,0.9982290103
219,9214.232866,0.998255533
220,7785.913553,0.9982779443
221,7185.022424,0.9982988053
222,8328.017878,0.9983234699
223,9047.065222,0.9983493608
224,7471.119252,0.9983716119
225,7237.635607,0.9983926257
226,7057.856875,0.9984135285
227,6023.001238,0.9984312662
228,7791.704466,0.9984547962
229,8066.725683,0.9984798948
230,5910.091573,0.9984971034
231,5179.20606,0.9985126147
232,6407.79104,0.9985319654
233,5909.597621,0.9985500574
234,5486.443705,0.9985673104
235,5175.849586,0.9985828547
236,6210.428895,0.9986019711
237,7043.767726,0.9986242385
238,7619.329101,0.9986472479
239,5904.047261,0.9986661088
240,5572.105508,0.998683075
241,5594.822932,0.9987013204
242,6264.530556,0.9987214893
243,6787.507025,0.9987428337
244,5874.805753,0.9987617967
245,5318.107068,0.9987782991
246,5299.472789,0.9987961104
247,5467.910102,0.998813669
248,4871.834672,0.9988291514
249,4385.416533,0.9988434164
250,4617.295709,0.9988583203
251,4445.868677,0.9988731147
252,4380.763423,0.9988875103
253,3285.09829,0.9988983874
254,3685.857119,0.9989107754
255,5178.450604,0.9989282662
256,6253.380234,0.9989490234
257,6224.554833,0.9989696332
258,3713.425099,0.9989824228
259,3199.360531,0.9989932023
260,4015.09358,0.9990068973
261,4483.639244,0.9990221904
262,4422.454215,0.9990373117
263,3523.273108,0.9990494463
264,2833.508329,0.9990591111
265,2793.269165,0.9990690104
266,2854.311575,0.9990789123
267,2994.211795,0.9990892746
268,3221.231032,0.9991007442
269,3749.667726,0.9991138146
270,3220.639398,0.9991251213
271,2902.314794,0.999135552
272,2793.656409,0.9991455921
273,3686.920484,0.9991586891
274,4219.863959,0.9991735038
275,4081.548059,0.999188512
276,3518.687608,0.9992011286
277,2685.307705,0.999210958
278,2671.321653,0.9992206029
279,3362.016768,0.9992328255
280,3549.182389,0.9992459943
281,3154.355277,0.9992574357
