freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.300974045e+11,0.7889249429
1,832494800.1,0.811759652
2,543731402.2,0.8415879426
3,172497388.9,0.8534166282
4,162316952.3,0.8667733257
5,65769466.26,0.8757933618
6,53580508.95,0.8824068914
7,44017168.37,0.8896510393
8,31941514.62,0.8957839621
9,14562906.92,0.8985801095
10,13584527.87,0.9017473237
11,10650660.61,0.9040844408
12,10610989.91,0.9069949559
13,10973982.86,0.9104565495
14,5840874.075,0.9122188683
15,7148335.104,0.9145717501
16,5951662.251,0.9165307458
17,5850405.839,0.9188575934
18,4728403.249,0.9208030418
19,4501809.414,0.9226552608
20,5011997.448,0.9247861285
21,3262113.252,0.9263967203
22,2671953.215,0.9276426448
23,2612527.172,0.928896689
24,2200156.951,0.9300433135
25,2723029.921,0.9316118176
26,2281138.903,0.9329883561
27,2848356.185,0.9345899858
28,2384328.519,0.9359633931
29,1890841.229,0.9372081377
30,1916794.721,0.9384436794
31,1708524.971,0.939662132
32,2031389.923,0.9410551196
33,1557340.319,0.9421657533
34,2313654.06,0.9439744145
35,1935592.174,0.9453548025
36,1867013.829,0.9468399155
37,1677637.99,0.9481513815
38,1730985.804,0.9496707302
39,1277294.977,0.9507568228
40,1624121.436,0.9520710016
41,1323259.445,0.9533050661
42,1250941.705,0.9544373752
43,1068427.415,0.9554923971
44,1054741.666,0.9564905088
45,992770.8381,0.9574163615
46,1243704.003,0.9586785746
47,954337.9843,0.959634027
48,840136.1753,0.9605327549
49,828278.8301,0.9613960795
50,676369.8038,0.9621752768
51,721479.8506,0.9629767578
52,604041.6677,0.9636229258
53,692538.7109,0.964439746
54,526721.2993,0.9650248726
55,491921.6579,0.9656590456
56,678504.528,0.9664593131
57,518002.99,0.9670986926
58,527045.3207,0.9677564615
59,468789.748,0.9683479548
60,480517.519,0.9689937864
61,502736.5695,0.9696625863
62,518455.3681,0.9703594075
63,471027.8237,0.9710054046
64,471726.7705,0.9716329515
65,411543.7919,0.9722425218
66,391610.186,0.9727796005
67,355955.0507,0.9732970703
68,438455.8244,0.9739765684
69,416618.3254,0.9745707998
70,355208.8593,0.9751164142
71,281087.8759,0.9755289008
72,330414.2854,0.9760726818
73,276623.4222,0.976512761
74,300620.5569,0.9769910172
75,289974.1152,0.9774642667
76,274907.3311,0.9779166969
77,279244.0214,0.978391583
78,262508.9476,0.9788200083
79,260301.9143,0.9792626812
80,197221.0202,0.9796143069
81,204532.2117,0.9799649422
82,197921.9393,0.9803286752
83,195048.1003,0.9806657267
84,177772.3441,0.9809924295
85,160756.9928,0.9812944765
86,159044.0897,0.9815911238
87,175416.513,0.9819231203
88,177370.1594,0.9822417863
89,166694.1528,0.9825847085
90,151535.2002,0.9828715068
91,135161.9931,0.9831384391
92,115662.9019,0.9833684487
93,118208.3603,0.9836051415
94,124179.3853,0.9838640087
95,108874.7881,0.9840805193
96,119359.3324,0.9843260646
97,120239.1402,0.9845866121
98,114335.0488,0.9848249576
99,89818.86243,0.9850232826
100,89141.27024,0.9852091085
101,90551.40123,0.9854152604
102,96156.15108,0.9856275784
103,88537.72346,0.9858170033
104,87395.18113,0.9860183667
105,92359.23581,0.986222301
106,75224.65137,0.9864018129
107,83848.35623,0.9865950043
108,81757.11515,0.9867811349
109,75733.75196,0.9869587457
110,89989.67148,0.9871710238
111,69694.98761,0.9873430751
112,67073.01977,0.9875040543
113,77756.62828,0.9876938741
114,65695.66565,0.9878614585
115,78726.7455,0.9880558059
116,72708.72148,0.9882342999
117,84070.57433,0.9884464512
118,75117.16639,0.9886401295
119,80027.05687,0.9888475648
120,59924.78872,0.9890020719
121,78676.15227,0.9892006104
122,69801.93173,0.9893853708
123,66602.72085,0.9895735376
124,56185.056,0.9897184023
125,60237.67996,0.9898852821
126,53547.77296,0.9900240813
127,49572.25824,0.9901627738
128,52090.89955,0.9903099417
129,48412.15124,0.9904407407
130,48243.88835,0.9905796865
131,46047.56572,0.9907072546
132,46055.5118,0.9908436876
133,48124.56444,0.9909829498
134,42055.29654,0.9910983043
135,43740.85176,0.99123028
136,42485.5276,0.9913543893
137,36798.18297,0.9914644081
138,37532.9604,0.9915755942
139,42713.14298,0.9917003685
140,38714.92389,0.9918214276
141,35935.65363,0.9919288676
142,36014.81054,0.9920395078
143,38057.94156,0.9921569466
144,36920.65336,0.9922723951
145,34135.85704,0.9923819447
146,31832.09019,0.992481045
147,31407.22398,0.9925792533
148,29058.97267,0.9926741041
149,31051.54985,0.9927746072
150,29548.90409,0.992870652
151,29436.68801,0.992963506
152,29564.27014,0.9930624389
153,27007.92511,0.9931502246
154,30956.14347,0.9932563626
155,26788.2221,0.9933445363
156,28503.67658,0.9934399201
157,30078.6887,0.9935451122
158,26507.87366,0.9936323631
159,30021.34002,0.993735296
160,26863.61644,0.9938277705
161,24688.43118,0.9939171589
162,22357.36861,0.9939956544
163,23107.54409,0.9940745653
164,25797.63281,0.9941665546
165,24304.15128,0.9942525518
166,26166.11468,0.9943494435
167,22458.32298,0.9944286015
168,29612.05429,0.9945325677
169,22070.67046,0.9946155051
170,24253.63683,0.9947049824
171,23811.01885,0.9947931534
172,22227.91514,0.9948742428
