freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.365620019e+11,0.8259679128
1,1149664193,0.8580807873
2,181202062.7,0.8682036025
3,89830156.8,0.8744765311
4,133452819.2,0.8856595017
5,81470976.98,0.8970378993
6,46093123.2,0.9028316103
7,26222637.25,0.9072263767
8,19876819.62,0.911112827
9,16195220.34,0.914279426
10,15083815.42,0.9178607063
11,13877685.67,0.9209618023
12,10741334.51,0.9239621143
13,11064313.94,0.9275162213
14,8335720.579,0.9300774244
15,8308926.257,0.9328624829
16,4588851.708,0.9344006144
17,5300959.68,0.9365476076
18,4091927.079,0.9382620675
19,3780787.373,0.9398461642
20,3434117.506,0.9413329726
21,2380865.913,0.9425300318
22,2954540.892,0.9439329977
23,3129835.111,0.945462914
24,3112890.265,0.9471149731
25,2309127.969,0.9484694621
26,1827633.236,0.9495925659
27,1871148.87,0.9506640122
28,1959253.491,0.9518132717
29,1557742.336,0.952857547
30,1555700.593,0.9538787265
31,1231215.439,0.9547728872
32,1146524.909,0.9555735168
33,1166043.328,0.9564203468
34,857422.6796,0.9571029181
35,974213.1137,0.9578104328
36,882840.061,0.9585255681
37,1096660.212,0.95939859
38,779470.4221,0.9600953092
39,921318.1746,0.9608930825
40,764525.3141,0.9615230557
41,672916.105,0.9621621251
42,641708.1761,0.9627536318
43,714183.0967,0.9634717902
44,691191.7527,0.9641378693
45,543952.9078,0.9646544622
46,618613.8353,0.9652937987
47,602294.7787,0.9659078578
48,445905.7494,0.9663936112
49,582578.9844,0.9670119786
50,384428.2434,0.9674629747
51,481774.6954,0.9680079881
52,445167.8505,0.9684929376
53,485983.8884,0.9690766495
54,416914.2037,0.9695482887
55,354551.7725,0.9700137522
56,370878.7422,0.9704592121
57,473463.4511,0.9710543357
58,345523.1461,0.9714934693
59,341951.7286,0.9719328397
60,264905.1661,0.9722954121
61,275779.7418,0.9726690167
62,313896.6739,0.9730986432
63,310394.87,0.9735321468
64,309131.1062,0.9739509332
65,253498.9432,0.9743332982
66,214083.2207,0.974632291
67,219561.7373,0.9749573339
68,221917.5002,0.9753075598
69,279946.4491,0.9757141777
70,227785.3806,0.9760704828
71,224181.3341,0.9764054956
72,184204.5836,0.9767142121
73,190883.5467,0.9770234585
74,193260.5836,0.9773365559
75,172567.971,0.97762336
76,163018.7453,0.9778965702
77,193553.5648,0.9782317679
78,182727.8651,0.9785354575
79,177748.704,0.9788432843
80,157410.2629,0.9791290792
81,157926.2997,0.979404783
82,129448.1964,0.9796470414
83,146454.0477,0.9799047626
84,150539.3791,0.9801864926
85,118697.243,0.9804136042
86,132570.4396,0.9806654089
87,130669.4507,0.9809172528
88,135971.2522,0.9811660219
89,101008.3695,0.9813776274
90,114466.9905,0.9815982436
91,119347.8994,0.9818382681
92,138583.1166,0.9821189125
93,131989.1024,0.9823880469
94,121459.0119,0.9826458876
95,110112.9164,0.9828688771
96,106478.6311,0.9830919424
97,100102.7296,0.983312835
98,114282.9987,0.983555442
99,100257.4203,0.9837808766
100,107637.1543,0.9840093755
101,85211.50229,0.9842069288
102,93128.02086,0.9844163326
103,90526.49667,0.9846135651
104,83106.49916,0.9848085596
105,80236.31282,0.9849889756
106,81010.78604,0.9851858414
107,83722.21197,0.9853822806
108,77142.39698,0.9855611267
109,66688.79576,0.9857203942
110,73072.883,0.9858959288
111,68318.49493,0.9860676758
112,75115.01285,0.9862512632
113,73561.04673,0.9864341347
114,67079.30898,0.9866083875
115,58815.70879,0.9867562452
116,56771.03526,0.9868981699
117,59292.2687,0.9870505381
118,56349.93074,0.987198493
119,58573.76382,0.9873531049
120,55965.02472,0.9875000492
121,63518.6629,0.9876632783
122,57662.77588,0.9878187069
123,54962.96086,0.9879768373
124,55623.68552,0.9881228854
125,48398.81149,0.9882594268
126,56401.51381,0.9884083048
127,49140.7722,0.988548312
128,50286.67484,0.9886929886
129,49362.94314,0.9888288029
130,46622.10292,0.988965541
131,42662.35571,0.9890858988
132,43469.34376,0.9892170327
133,41682.79646,0.9893398664
134,44487.52139,0.9894641307
135,39549.48826,0.989585649
136,41747.88892,0.9897098406
137,40859.86011,0.9898342438
138,40194.46578,0.9899554984
139,40468.7106,0.9900758848
140,38341.65793,0.9901979758
141,38685.46729,0.9903157588
142,35822.40738,0.9904278266
143,34162.52272,0.9905351788
144,38720.6996,0.9906584768
145,38578.82589,0.9907845559
146,36566.42599,0.9909004834
147,34610.38913,0.991010693
148,35499.73038,0.9911286925
149,33767.60763,0.9912399913
150,32750.30896,0.9913483945
151,35823.21656,0.9914634667
152,35742.29674,0.9915852676
153,30871.91264,0.9916874533
154,26000.56369,0.9917782356
155,29544.7531,0.9918772663
156,28017.31105,0.9919727423
157,29054.17314,0.9920762153
158,28995.30084,0.9921734043
159,25236.14975,0.9922615175
160,26915.19968,0.9923558692
161,27001.13597,0.9924554244
162,26190.08024,0.992549063
163,27159.40492,0.9926435121
164,24694.11089,0.9927331817
165,24032.09265,0.992819776
166,24406.78389,0.9929118109
167,23900.64983,0.9929975978
168,26663.44613,0.9930929289
169,23219.83304,0.9931817851
170,22440.77052,0.993266093
171,24157.51492,0.9933571879
172,24350.26087,0.9934476493
173,22396.02087,0.9935346042
174,22134.42343,0.9936202342
175,21602.07427,0.9937016929
176,22140.39971,0.9937876553
177,21202.1893,0.9938679022
178,19826.54069,0.9939476498
179,19553.2289,0.9940252057
180,18069.08094,0.9940951084
181,18836.21686,0.9941703465
182,19289.46136,0.9942490114
183,19522.4289,0.9943291718
184,20427.82793,0.9944087702
185,17796.46231,0.9944813465
186,18243.5347,0.9945577843
187,19228.20071,0.994636468
188,18215.00157,0.9947117687
189,17821.42945,0.9947844468
190,17270.88351,0.9948563269
191,16006.54006,0.9949249569
192,16078.24663,0.9949909752
193,16861.72091,0.9950644494
194,17094.93804,0.995135836
195,16911.6188,0.9952095276
196,16543.29561,0.9952816143
197,15789.4763,0.995349093
198,14062.02552,0.9954109569
199,15228.57458,0.9954764639
200,14917.47139,0.9955439662
201,13466.64097,0.9956020822
202,12995.22566,0.9956583453
203,13469.34879,0.9957207997
204,13729.80572,0.9957815855
205,13714.06941,0.9958447915
206,13967.3869,0.995906434
207,13308.95762,0.9959670294
208,13830.27662,0.9960309642
209,12986.78899,0.9960900928
210,11842.5689,0.9961443426
211,11279.1336,0.996197429
212,12239.90785,0.9962545247
213,11281.071,0.9963074627
214,11628.15936,0.9963620295
215,11228.02918,0.9964139345
216,10121.40066,0.9964628442
217,9629.304035,0.996509107
218,10075.21178,0.9965568085
219,10861.28798,0.9966092935
220,9396.59605,0.9966547008
221,10436.46907,0.9967055702
222,9706.131521,0.9967538288
223,9867.604754,0.9968012364
224,8868.643629,0.9968455787
225,8941.45563,0.9968891612
226,9352.496162,0.9969356615
227,10012.96289,0.9969851659
228,9282.285957,0.9970322246
229,8498.476244,0.9970766152
230,8747.821948,0.997119376
231,8393.545563,0.9971615774
232,8828.297151,0.9972063344
233,9211.153208,0.9972536757
234,8423.343867,0.9972981444
235,7857.992258,0.9973377628
236,7693.708282,0.99737752
237,7675.546719,0.9974182553
238,7682.831599,0.9974572052
239,7225.555237,0.997495956
240,7548.560295,0.9975345414
241,6748.817488,0.9975714895
