freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.156918083e+11,0.643980261
1,4727815097,0.7569050725
2,1045827855,0.8068646885
3,404874241,0.8310409445
4,139621961.1,0.8410456401
5,133654880.4,0.8570075082
6,74715371.18,0.8650381705
7,73318274.98,0.8755455007
8,45142852.07,0.8830932232
9,29527984.63,0.888030196
10,29624385.86,0.8940446634
11,20708240.52,0.8980016272
12,20615768.16,0.9029257448
13,19037784.61,0.9081550398
14,16637564.68,0.912526347
15,13090213.53,0.9162782955
16,11733325.94,0.9196413296
17,9047919.419,0.9227749445
18,8806071.718,0.9259299663
19,6642304.264,0.9283097578
20,5456684.113,0.9303299347
21,5165292.614,0.9325506676
22,4255727.809,0.9342786991
23,4937878.676,0.936342688
24,4216452.578,0.9382561935
25,3998183.623,0.9402616393
26,2756979.537,0.9417103615
27,2462161.694,0.9429159506
28,2378788.999,0.9441091255
29,2297914.225,0.9454263929
30,1948884.998,0.9465203064
31,1740829.987,0.9476013883
32,1620545.159,0.9485690644
33,1816609.974,0.9496972069
34,1640491.736,0.9508139359
35,1999382.186,0.9520555826
36,1572942.46,0.953145114
37,1434775.114,0.9541218059
38,1474585.766,0.9552488707
39,1303348.033,0.9562139233
40,1245994.896,0.957091868
41,1162223.875,0.9580357064
42,1069630.149,0.9588788013
43,814527.6336,0.9595791869
44,826469.9337,0.9602602307
45,854399.5876,0.9609540859
46,730168.0631,0.9615993737
47,735944.9689,0.9622409777
48,682734.6824,0.9628769606
49,627396.2948,0.9634464091
50,685010.2667,0.9641335966
51,660606.1595,0.9647726344
52,589518.2736,0.9653217841
53,586946.1895,0.9659246152
54,632407.2105,0.9665363747
55,501848.4547,0.967099752
56,541710.1087,0.9676561228
57,442948.5209,0.9681322189
58,417649.6843,0.9685861108
59,495780.134,0.969130834
60,471890.6658,0.9696831229
61,440618.552,0.9701935497
62,413062.4379,0.9706769875
63,379336.7558,0.9711300143
64,355661.3963,0.9715420239
65,331065.529,0.9719690325
66,395376.234,0.9724412145
67,409753.7266,0.9729599282
68,513178.5557,0.9736524697
69,366205.9019,0.9741073086
70,334489.8669,0.9745547126
71,306377.052,0.974946219
72,282212.9484,0.9753506618
73,235778.7472,0.9756772959
74,231476.8011,0.9759979704
75,237072.7693,0.976334891
76,243105.2531,0.976683288
77,222446.9234,0.9770127058
78,207611.8029,0.9773077573
79,209366.9015,0.9776178051
80,174523.8556,0.97788876
81,191830.6726,0.9781751296
82,189869.282,0.978478979
83,178468.3465,0.9787475324
84,182395.4617,0.9790394214
85,166737.3211,0.9793122264
86,183204.6658,0.9796097862
87,165358.4025,0.9798823099
88,158935.7948,0.9801309619
89,155725.3884,0.9804099268
90,133992.8556,0.9806307576
91,138059.7525,0.9808681837
92,126900.0638,0.9810879336
93,131822.0288,0.9813177811
94,133171.8518,0.9815595247
95,120414.6608,0.981768044
96,133678.3694,0.9820075141
97,137937.7112,0.982267793
98,134165.2155,0.9825113398
99,137045.8519,0.9827748459
100,133330.7759,0.983016878
101,109247.7823,0.9832334586
102,111752.7162,0.9834483321
103,106692.2082,0.9836471045
104,105615.2231,0.9838590064
105,102358.506,0.9840558171
106,109097.6096,0.9842825233
107,129142.5097,0.9845416292
108,109174.0942,0.9847580638
109,105504.9641,0.9849735244
110,108823.0375,0.9851970607
111,88593.75993,0.9853875079
112,90586.20142,0.985576829
113,87603.37178,0.9857630547
114,106671.6697,0.9860000071
115,93019.53514,0.9861999682
116,92954.06754,0.9863986784
117,94471.60739,0.986606274
118,73877.71284,0.9867721449
119,80394.6128,0.9869536077
120,69128.4144,0.9871088154
121,80639.19584,0.9872860151
122,65954.63866,0.9874380354
123,66547.03854,0.9876017528
124,62544.76502,0.9877421788
125,54368.98816,0.9878733389
126,52501.29852,0.9879918423
127,53909.98916,0.9881231827
128,53132.1228,0.988253897
129,65775.11042,0.9884086456
130,51692.15623,0.9885382867
131,50438.48621,0.9886599648
132,49033.49544,0.9887864517
133,49515.92041,0.9889112263
134,51144.03749,0.9890333849
135,51237.70399,0.9891680054
136,48975.57961,0.9892925882
137,49992.42642,0.9894227428
138,48266.68281,0.9895472516
