freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.550070642e+11,0.8421334438
1,1282777153,0.8978867502
2,296244988.3,0.9236381249
3,146976126.3,0.9396081727
4,29312358.74,0.9434301793
5,20318050.36,0.9478455935
6,9214067.88,0.9496477119
7,6419721.389,0.9513218329
8,8227235.425,0.9538248936
9,4319907.569,0.9551391857
10,4850935.783,0.9569312924
11,5118602.867,0.9587110499
12,3310619.738,0.9601499436
13,2297772.376,0.9612984258
14,2364685.174,0.9624289645
15,1756468.679,0.9633450606
16,1968880.29,0.9643719413
17,1561083.553,0.9653557565
18,1092792.295,0.9660681965
19,767571.3106,0.9665686105
20,1207187.343,0.9673818637
21,907755.8098,0.9680920315
22,802497.3798,0.9686849731
23,652735.957,0.9691814454
24,770367.1424,0.9698176118
25,719181.1316,0.9704740245
26,578167.4968,0.9710268598
27,690007.6838,0.9716416504
28,579377.3913,0.9721704611
29,500919.7096,0.9726929761
30,470395.2815,0.9731734284
31,360002.2608,0.9735802444
32,373493.9445,0.9739860733
33,354652.3342,0.9743868436
34,321499.8307,0.9747850837
35,348974.0808,0.9751794375
36,330590.5419,0.9755961224
37,268461.9507,0.9759286648
38,228557.9119,0.9762465466
39,273040.538,0.9766144283
40,216102.0918,0.9768915053
41,236966.6293,0.9772416806
42,245880.5753,0.9775943417
43,191451.0272,0.9778938988
44,191508.8294,0.978181061
45,160474.0591,0.9784182001
46,166734.9437,0.9786863316
47,168680.6129,0.9789539263
48,152244.0528,0.9792119884
49,143485.9565,0.9794489688
50,136593.9415,0.9796983135
51,133085.4315,0.9799325772
52,121105.4732,0.9801378577
53,135673.9328,0.9803914198
54,123713.0272,0.9806091857
55,106026.987,0.9808257733
56,116915.7299,0.9810442781
57,113362.6434,0.9812659965
58,96273.0921,0.9814563829
59,104558.7213,0.9816654268
60,92591.19107,0.9818626169
61,93346.76264,0.9820593876
62,103922.577,0.98228071
63,85409.81001,0.9824663182
64,72050.03845,0.9826181964
65,73917.05631,0.9827916797
66,66937.89188,0.9829371457
67,63843.19297,0.9830842109
68,65071.92343,0.9832440053
69,70667.22193,0.9834037185
70,55547.38639,0.9835389167
71,64029.41231,0.9836878023
72,61660.51312,0.9838485993
73,61871.26554,0.9840045676
74,66774.42145,0.984172896
75,49834.54085,0.9843017705
76,53941.60633,0.9844424382
77,43852.36657,0.9845606074
78,45125.41145,0.9846773038
79,48255.47936,0.9848073381
80,44919.44212,0.9849342397
81,49149.37909,0.9850677508
82,52581.96458,0.9852208705
83,40329.103,0.9853312983
84,42721.17399,0.9854557032
85,43266.60057,0.9855845171
86,42184.21703,0.9857091918
87,35324.54227,0.9858151281
88,40687.69823,0.9859309589
89,39850.73815,0.9860608613
90,38544.38167,0.9861764537
91,37467.00765,0.9862937005
92,37705.13556,0.9864125119
93,35839.6682,0.9865262238
94,38802.62056,0.9866543961
95,34763.50077,0.9867639382
96,35205.68146,0.9868786989
97,32627.30145,0.9869907272
98,32363.82361,0.9870976309
99,28231.5455,0.9871964066
100,30902.97382,0.9872984849
101,28524.25416,0.987401384
102,26737.12266,0.987494931
103,28243.2584,0.9875906788
104,32002.65634,0.987707517
105,26837.00641,0.9878014135
106,26707.14996,0.9879024007
107,27378.96078,0.9880023582
108,25228.14074,0.9880933669
109,27486.23981,0.9881955081
110,24594.34071,0.9882874372
111,23584.23916,0.9883796909
112,23890.84847,0.988470548
113,19802.35542,0.9885471476
114,19106.18982,0.9886243759
115,22700.40753,0.9887131723
116,20539.12701,0.9887930682
117,19429.16413,0.9888707575
118,20591.18503,0.9889548832
119,19535.41086,0.98903512
120,20095.46931,0.9891172205
121,20917.51054,0.9892008611
122,18344.45453,0.989277801
123,18586.85034,0.9893610085
124,19354.08623,0.98944008
125,17485.53067,0.9895168372
126,18916.4954,0.989594532
127,17364.83836,0.9896715142
128,18533.27286,0.9897544819
129,17753.32977,0.9898304857
130,19391.37576,0.9899189804
131,18113.68609,0.9899984952
132,17853.42204,0.9900822991
133,17732.57604,0.9901636091
134,16263.66423,0.9902342958
135,15156.79397,0.9903067593
136,15467.99933,0.9903783577
137,15858.75815,0.990453488
138,17017.64983,0.9905333689
139,13865.8667,0.9905975513
140,13903.79372,0.9906664415
141,15761.31762,0.9907411102
142,15033.70036,0.990814292
143,14393.69624,0.9908846712
144,14664.10871,0.9909573286
145,13408.45818,0.9910255129
146,16324.81923,0.991106044
147,13061.31558,0.9911707599
148,12603.25865,0.9912359451
149,12683.43479,0.9913009938
150,12367.66629,0.9913646917
151,12196.64681,0.9914256535
152,11210.04639,0.9914850946
153,10927.314,0.9915413742
154,11828.75004,0.9916056383
155,13236.42438,0.9916746736
156,11855.31781,0.9917375362
157,11683.48862,0.9918022806
158,12822.35176,0.9918691563
159,11440.11335,0.991931309
160,11659.88879,0.9919949091
161,10692.56304,0.9920562535
162,10686.26538,0.992115704
163,9536.923427,0.9921673096
164,9854.444303,0.992222989
165,9535.88824,0.9922764541
166,10931.70838,0.9923405959
167,10479.47818,0.9923991237
168,10587.78236,0.9924580263
169,9138.610527,0.9925124415
170,9631.955873,0.9925687477
171,9517.618387,0.9926245923
172,9164.997546,0.9926775713
173,9413.969775,0.9927344444
174,8658.361908,0.9927865645
175,9961.707353,0.9928450148
176,9505.376602,0.9929024401
177,10098.20322,0.9929619108
178,9154.024868,0.9930192028
179,9034.784902,0.9930749632
180,8393.367333,0.9931254881
181,7985.951759,0.9931751224
182,7764.388496,0.993224392
183,8126.769326,0.9932763144
