freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.746115059e+11,0.902941041
1,164457564.3,0.905008462
2,923269419.1,0.9282215816
3,244227708.1,0.9358971404
4,226558943,0.9444414609
5,93953209.28,0.950346961
6,53298174.78,0.9533620485
7,31018012.17,0.9557016413
8,22413348.11,0.9576739724
9,25682017.04,0.9599339401
10,18685297.27,0.9619305536
11,17917506.82,0.9637325032
12,12783751.36,0.9653395679
13,18510646.15,0.9680156195
14,14002238.16,0.9699518864
15,11715812.06,0.9717192614
16,9715045.478,0.9731848131
17,7332309.889,0.974521359
18,9625698.736,0.9763364507
19,4480854.072,0.9771813932
20,4602351.166,0.9780781744
21,6398284.953,0.979525983
22,4939034.596,0.980581502
23,3359483.553,0.9813205721
24,2437406.225,0.9819027511
25,1934367.382,0.9824134129
26,1969298.868,0.9829580527
27,2217788.22,0.9835295958
28,2890162.397,0.9842925818
29,2092065.903,0.9849237741
30,1091472.917,0.9852462193
31,1125175.833,0.9856139829
32,1697730.335,0.9861475436
33,1415898.057,0.9866103298
34,1017013.268,0.986974703
35,880294.9969,0.9872624274
36,832242.2737,0.9875658325
37,596931.9996,0.9877797
38,742121.1,0.9880782381
39,759280.2966,0.988374134
40,838178.1813,0.9886849715
41,501962.2956,0.9888995198
42,446323.209,0.9890846761
43,658339.0699,0.989382615
44,689975.1067,0.9896818604
45,520222.0843,0.9899042133
46,594839.1995,0.9901808924
47,697256.3157,0.9905008264
48,498668.4611,0.9907453111
49,404054.3052,0.9909383293
50,385100.4625,0.9911416579
51,391387.5506,0.9913409257
52,401721.3102,0.9915378795
53,295596.3001,0.9916976669
54,471113.3471,0.9919375256
55,374819.778,0.9921589857
56,303712.4143,0.9923231603
57,262042.9331,0.9924713985
58,291295.6785,0.992638016
59,270861.3659,0.9927946478
60,235479.801,0.9929397001
61,282980.9112,0.9931122338
62,334561.5869,0.9933183192
63,235735.0904,0.9934664923
64,162700.4415,0.9935656909
65,185233.0218,0.9936914349
66,156991.8872,0.9937901133
67,149335.4025,0.9938896112
68,162938.2953,0.9940053414
69,145955.8876,0.9941007527
70,115280.9691,0.9941819087
71,111552.7166,0.9942569343
72,126930.4872,0.994352674
73,126061.2269,0.9944445886
74,98213.05362,0.9945161984
75,98650.52074,0.9945899874
76,104754.2803,0.9946690003
77,93537.7021,0.9947419046
78,91769.77514,0.9948105469
79,102839.4556,0.9948907011
80,105202.1535,0.9949766644
81,98251.33839,0.9950538602
82,85210.9426,0.9951256306
83,77847.87129,0.9951872848
84,81608.79469,0.9952560212
85,77376.16719,0.9953226516
86,82897.22295,0.9953935153
87,85548.25186,0.9954677207
88,82943.343,0.9955360171
89,84301.51647,0.9956154997
90,72824.59162,0.9956786684
91,81798.57764,0.9957527062
92,70907.53186,0.9958173319
93,67710.60813,0.9958794695
94,72556.85606,0.9959487909
95,68535.61543,0.9960112548
96,58453.01495,0.9960663664
97,52313.88135,0.9961183205
98,52540.60091,0.9961685181
99,58645.86599,0.9962278665
100,61368.62851,0.9962864985
101,52179.28027,0.9963409427
102,48345.96945,0.9963898677
103,45067.64432,0.9964340588
104,39849.15055,0.9964761385
105,42013.55904,0.9965186553
106,41513.53997,0.9965640583
107,36457.62153,0.9966025567
108,36524.86238,0.9966406669
109,31418.61344,0.9966744367
110,33318.21685,0.9967104577
111,37252.85133,0.9967526057
112,38412.29489,0.9967948583
113,34559.79288,0.9968335249
114,32191.9712,0.9968711611
115,31363.93659,0.9969066463
116,34981.44631,0.9969460046
117,36297.47056,0.9969879843
118,36492.36438,0.9970311069
119,36344.79071,0.9970742835
120,33830.22452,0.9971142603
121,30719.63422,0.997149789
122,31981.68253,0.9971885865
123,35280.40966,0.9972342686
124,31132.10257,0.997271057
125,25068.39444,0.997302886
126,27522.68363,0.9973355822
127,26425.56967,0.9973694666
128,27477.39464,0.9974050451
129,32255.70765,0.997444986
130,31874.08088,0.9974870589
131,27393.05759,0.9975218395
132,22736.81757,0.9975527089
133,26311.82898,0.9975876051
134,26652.66504,0.9976211106
135,21794.41123,0.9976512485
136,22515.99435,0.9976813935
137,24091.58111,0.9977144052
138,22760.28697,0.9977453065
139,19168.36689,0.9977709696
140,20341.87429,0.9978001218
141,22668.34868,0.9978311832
142,19043.51676,0.9978579959
143,15746.23474,0.9978802651
144,16940.70965,0.997904543
145,19927.79937,0.9979338533
146,18611.95087,0.9979604093
147,17024.23628,0.9979848069
148,18162.94986,0.9980119781
149,17398.9836,0.9980377877
150,13815.86357,0.9980583689
151,15543.94,0.9980808405
152,19689.6451,0.9981110381
153,18339.02084,0.9981383574
154,15207.5658,0.9981622545
155,18118.38337,0.9981895868
156,16812.04943,0.9982153711
157,13512.58436,0.9982370294
158,14133.106,0.9982583497
159,15242.07398,0.998282301
160,15350.64191,0.9983065194
161,13350.09147,0.9983286724
162,15903.15693,0.9983542623
