freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.939549863e+11,0.7714081197
1,1327389800,0.813643044
2,427206241.6,0.8408287633
3,116820786.2,0.8501212806
4,97191766.17,0.8593986312
5,103836351.2,0.8759179703
6,75748524.04,0.8867637288
7,27670386.41,0.8920462314
8,56003766.62,0.9045197369
9,17488515.74,0.9084148873
10,17792639.34,0.9132269641
11,12276854.19,0.9163519663
12,11639234.5,0.920055341
13,11402089.39,0.9242274489
14,10338198.8,0.9278458008
15,10759078.16,0.9319537925
16,8342948.671,0.9351392664
17,4791534.675,0.9373498955
18,4826432.724,0.939653409
19,4759861.374,0.94192515
20,2742862.821,0.9432778735
21,3530516.872,0.9452998869
22,2351217.04,0.9465716754
23,2966793.923,0.9482236321
24,2583444.412,0.9497854341
25,2145092.628,0.951218739
26,1950875.55,0.9525843453
27,2365641.376,0.9541273811
28,1697839.303,0.9552618409
29,1253798.827,0.9562192826
30,1704661.469,0.9574938983
31,1610225.874,0.9588259878
32,1013920.051,0.9596325111
33,1644135.421,0.9609926529
34,1270661.788,0.9621449065
35,1413672.151,0.9633143932
36,883046.0238,0.9641291999
37,951484.0146,0.9649920187
38,855414.5523,0.965862982
39,738766.1809,0.9665916706
40,691260.2893,0.9672405094
41,641716.6348,0.9679347268
42,859011.6153,0.9688366846
43,616233.4686,0.9695425486
44,652627.9841,0.9702589526
45,625141.6617,0.9709352389
46,577331.1897,0.9716149119
47,581112.0902,0.9722897911
48,463556.5221,0.9728650198
49,443038.5342,0.973400691
50,392656.2743,0.97392542
51,380098.5523,0.9744152265
52,447893.3401,0.9749710187
53,327678.2669,0.9754193399
54,385368.2396,0.975915937
55,274249.0452,0.976326062
56,301682.4075,0.9767388164
57,298265.7957,0.9771658767
58,363454.3513,0.9776920569
59,299202.2855,0.9781299781
60,376898.2196,0.9787175939
61,335136.1494,0.9792347673
62,283321.1403,0.9796764886
63,228551.6639,0.9800400918
64,221717.2381,0.9803822401
65,286626.8294,0.9808747147
66,267345.6705,0.9813000353
67,255826.2028,0.9817314492
68,204774.2268,0.9820995756
69,249919.4766,0.9825130767
70,183924.6394,0.9828407954
71,205955.0981,0.9831913854
72,177637.2385,0.9835305094
73,176478.5148,0.9838561909
74,144876.3509,0.9841235523
75,150559.0923,0.9844085867
76,130836.221,0.9846583637
77,126618.9975,0.9849081472
78,130990.4962,0.9851561349
79,122580.2875,0.9853979512
80,113969.5667,0.9856336598
81,130455.7775,0.9858930876
82,113884.4921,0.9861358675
83,167188.1228,0.986471002
84,165600.4232,0.9868240303
85,141799.2467,0.9871330867
86,123539.2817,0.9874003795
87,106806.461,0.9876348671
88,96268.13873,0.9878354977
89,83683.08774,0.988035195
90,88130.97891,0.9882286816
91,77110.02329,0.9884053328
92,84264.76576,0.9885997153
93,79701.239,0.9887848387
94,81602.84405,0.9889821682
95,67684.94797,0.9891383043
96,77401.88045,0.9893230125
97,81096.1567,0.9895268577
98,77808.62357,0.9897150122
99,70211.37593,0.9898948482
100,73019.35336,0.9900714214
101,69131.67118,0.990253991
102,58765.71179,0.9904045106
103,67007.2,0.9905708095
104,50477.08697,0.9907057203
105,53130.94115,0.9908418073
106,49313.43238,0.9909783152
107,51362.91235,0.9911155936
108,49990.84381,0.9912476142
109,47044.83114,0.9913755969
110,44675.98383,0.991497846
111,42863.5839,0.9916205912
112,47710.36668,0.9917534205
113,40770.90563,0.9918688757
114,42164.28142,0.9919936431
115,38783.88959,0.9921047055
116,37347.37417,0.9922110601
117,40012.22559,0.9923281862
118,39995.4417,0.9924478084
119,37125.05586,0.9925594361
120,34172.02759,0.9926616411
121,30328.0322,0.992750419
122,27978.84656,0.9928363264
123,28166.54666,0.9929286354
124,26592.0374,0.9930081694
125,28191.58477,0.9930987665
126,25659.46407,0.9931759194
127,26024.8016,0.9932603813
128,25351.94732,0.9933434662
129,28513.16153,0.9934328286
130,26110.07068,0.9935200595
131,30120.75385,0.9936168562
132,26862.18642,0.993709164
133,27426.32526,0.9938012287
134,28896.34717,0.9938931712
135,23042.38414,0.9939738191
136,26051.10776,0.9940620964
137,25043.93318,0.9941489529
138,23645.08684,0.9942302057
139,20750.57455,0.9943005215
140,22733.8783,0.994382983
141,21644.61062,0.9944580501
142,23079.29792,0.9945402959
143,22642.82911,0.9946213466
144,20135.46352,0.9946943831
145,18084.91222,0.9947617079
146,20003.30157,0.9948339468
147,17793.14701,0.994898487
148,20278.80071,0.9949752696
149,17986.04686,0.9950427987
150,18456.01434,0.9951123859
151,17780.02247,0.9951774443
152,18665.98078,0.9952499019
153,18218.44363,0.9953185934
154,17687.04922,0.9953889393
155,15988.8104,0.9954499871
156,16581.52112,0.9955143533
157,16879.11509,0.9955828284
158,16193.20854,0.9956446568
159,15601.84444,0.9957067093
160,15414.06586,0.9957682601
161,15151.18659,0.9958318948
162,12613.77801,0.995883267
163,12325.27429,0.9959320917
164,11243.52241,0.9959785987
165,12683.25581,0.9960306575
166,12776.56289,0.9960855384
167,13564.85144,0.9961409998
168,12961.0145,0.9961937863
169,12788.161,0.9962495308
170,11674.11914,0.9962994904
171,13927.56571,0.9963593154
172,12191.53793,0.9964109075
173,11981.19111,0.9964638968
174,11519.03958,0.9965146588
175,12404.18546,0.9965679402
176,10642.22362,0.9966150076
177,11424.12294,0.9966642609
178,9599.065869,0.9967082419
179,9679.765062,0.9967519766
180,9098.826178,0.9967920733
181,8676.672086,0.9968315519
182,9243.296795,0.9968744911
183,8740.713807,0.9969153736
184,10146.78393,0.9969604112
185,8666.96907,0.997000673
186,9487.704452,0.997045955
187,8485.851672,0.9970855105
188,8685.976884,0.9971264133
189,8412.659936,0.9971654938
190,8527.180763,0.9972059202
191,9187.325184,0.9972507917
192,8051.02133,0.9972884483
193,8351.541191,0.9973299021
194,8749.967701,0.9973715239
195,7912.144962,0.9974107968
196,7889.750312,0.9974499584
197,7756.860594,0.99748772
198,7306.097666,0.9975243334
199,7249.517141,0.9975598558
200,6446.79922,0.997593086
201,7013.720219,0.9976275646
202,6933.926161,0.9976617613
203,6030.11439,0.9976936112
204,6398.906466,0.9977258818
205,6237.013792,0.997758626
206,6614.920086,0.9977918809
207,5862.148989,0.9978222839
208,5721.726387,0.9978524139
209,6126.777658,0.9978841894
210,5111.660815,0.9979108629
