freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.051820814e+11,0.7572181466
1,1813383257,0.7932130963
2,494212421,0.8128329436
3,711803992,0.8481555219
4,174663351,0.8585565199
5,183473865.7,0.876765943
6,74741538.23,0.8834420996
7,41969539.36,0.8884405734
8,43575066.44,0.8944952098
9,39843208.02,0.9000313147
10,20483621.29,0.9034873457
11,29688199.57,0.9082017391
12,23465901.13,0.9128596288
13,14089119.91,0.9160757594
14,14020927.86,0.9191371688
15,8476302.036,0.9211561842
16,11630318.86,0.9239264717
17,6327763.048,0.9257477243
18,8847819.482,0.9283821107
19,7680402.912,0.9306689057
20,8234770.083,0.9332024888
21,4817660.209,0.9349238049
22,5509462.217,0.9367829364
23,4685609.802,0.9384105681
24,3883254.035,0.9398751085
25,4933677.687,0.9419316716
26,3268049.196,0.9433588006
27,2944066.476,0.9445567913
28,2351140.97,0.9455368452
29,2430771.889,0.9466948421
30,2456142.878,0.9478405488
31,1820646.494,0.948780166
32,1727397.685,0.9496373702
33,2073031.936,0.950707241
34,1659289.3,0.951645924
35,1736240.349,0.95254198
36,1441151.879,0.9533715627
37,1729872.144,0.9543501754
38,1570088.467,0.955347476
39,1391096.785,0.9562034706
40,1570196.493,0.9571229203
41,1157502.872,0.9579041036
42,1202082.776,0.9586915125
43,1054015.883,0.9594446974
44,978507.2073,0.9601147904
45,910050.4946,0.9607289714
46,828981.5295,0.9613378049
47,786544.1999,0.9619076646
48,902230.4433,0.9626061126
49,741383.9684,0.9631653275
50,639452.2264,0.9636984284
51,657474.2579,0.964226978
52,711960.946,0.9647781317
53,644020.3165,0.9653278244
54,737698.0592,0.9659208667
55,556990.9987,0.9664405012
56,625756.0594,0.9669746048
57,542632.9112,0.9674593021
58,488966.8244,0.967900916
59,494048.2348,0.9683520226
60,450634.3612,0.9687903235
61,503581.2705,0.9692751242
62,461123.5623,0.9697236272
63,408210.0607,0.9701287678
64,452284.9827,0.9705641853
65,440566.7989,0.9710364195
66,380682.4627,0.9714142394
67,319974.5025,0.971750862
68,356035.3304,0.9721501567
69,315741.7039,0.9724760588
70,321507.6732,0.9728334397
71,303665.6478,0.9731559187
72,311445.9675,0.9735268436
73,313574.045,0.9738878543
74,350700.9803,0.9742916084
75,309210.7371,0.9746568023
76,300323.2963,0.9750144803
77,282554.3771,0.9753622131
78,244877.0238,0.9756514255
79,264615.8563,0.9759770819
80,227636.9413,0.9762707847
81,226117.0587,0.9765513056
82,198037.018,0.9768146798
83,215129.0366,0.9770837041
84,212049.1194,0.9773657133
85,214764.1747,0.9776577278
86,209569.373,0.9779405989
87,187413.9103,0.9781972853
88,233500.2411,0.9785008705
89,166119.241,0.9787481757
90,203333.9748,0.9790266666
91,163740.1319,0.9792606794
92,174745.5152,0.9795121551
93,189623.9311,0.9797869242
94,212010.6839,0.9801067573
95,263833.2971,0.9804864389
96,166854.8822,0.9807348392
97,156120.553,0.9809796548
98,177261.327,0.981247066
99,193326.5205,0.9815559812
100,249243.5634,0.9819319827
101,182393.3766,0.982232479
102,178562.3651,0.9825178026
103,158447.5844,0.9827631222
104,168804.2541,0.9830445809
105,174990.5286,0.9833241971
106,160995.3999,0.9836022227
107,150282.5378,0.9838527988
108,131542.7829,0.9840695179
109,122695.8545,0.9842777501
110,126200.4741,0.9844931827
111,107671.3038,0.9846855337
112,119672.2121,0.9848933853
113,110759.1648,0.9850890541
114,110815.759,0.9852936215
115,117052.4404,0.9855027316
116,123037.6208,0.9857213129
117,119201.3097,0.985938994
118,100492.4357,0.9861264992
119,116400.7016,0.9863448422
120,100553.6358,0.9865324616
121,98303.61508,0.9867119801
122,99316.52907,0.9869022196
123,100291.3767,0.9871072663
124,103587.095,0.9873005457
125,89031.45543,0.9874790369
126,85465.45908,0.987639352
127,80833.90416,0.9878030132
128,90578.66809,0.9879882022
129,78264.40369,0.9881412237
130,83515.45666,0.9883152873
131,75342.41547,0.9884663346
132,70743.6245,0.9886179918
133,86997.3804,0.988800176
134,80279.93445,0.9889595285
135,85208.26153,0.9891455771
136,75738.81133,0.9893056877
137,71148.46994,0.989459625
138,74721.75622,0.9896198104
139,77197.99178,0.9897830057
140,68301.59851,0.9899375623
141,64217.20769,0.9900765031
142,64257.55257,0.9902193577
143,57902.27297,0.9903486582
144,67313.90118,0.9905009798
145,58691.98216,0.9906372863
146,63414.90623,0.9907801557
147,63851.26693,0.9909246419
148,61123.07896,0.9910690209
149,54240.9674,0.9911960671
150,58290.18059,0.991333176
151,60825.21695,0.991472022
152,70341.01395,0.9916423635
153,57258.42054,0.9917770455
154,52240.81691,0.9919066655
155,49327.15102,0.9920241605
156,51843.07814,0.9921497064
157,49925.45987,0.992276059
158,53619.87103,0.992403779
159,44364.51312,0.9925138563
160,41439.12596,0.9926170864
161,39511.48,0.9927206123
162,38950.08294,0.9928195748
163,39782.65795,0.9929178887
164,39113.51568,0.9930188192
165,36859.92214,0.9931132027
166,35600.66222,0.9932086017
167,41587.96323,0.993314679
168,38104.26951,0.9934114925
169,38062.17099,0.9935149986
170,31843.76401,0.9936000142
171,32203.56529,0.99368631
172,35708.49452,0.9937805804
173,33225.0252,0.9938722514
174,37088.10646,0.9939742129
175,34246.76112,0.9940659839
176,29976.93971,0.9941486931
177,31440.69989,0.9942332567
178,37057.09555,0.9943391786
179,29571.77502,0.994422531
180,27815.41266,0.9944990003
181,28959.74346,0.9945812024
182,22686.34291,0.9946469484
183,23907.52057,0.9947167079
184,24933.6939,0.9947857498
185,26917.15947,0.9948637569
186,26140.636,0.9949415891
187,21654.39642,0.9950045594
188,21633.35452,0.9950681126
189,23845.44522,0.9951372178
190,23681.54768,0.9952072581
191,20439.86828,0.9952695367
192,24656.15234,0.9953414807
193,20617.74006,0.9954053243
194,20162.87011,0.995465158
195,20439.1859,0.9955284487
196,18939.49789,0.9955870956
197,18789.5462,0.9956441593
198,17127.9885,0.9956977067
199,16872.28478,0.9957492826
200,16339.02494,0.995801823
201,16102.00969,0.995851204
202,18000.66491,0.9959065865
203,17021.70918,0.9959626736
204,16614.74646,0.9960149463
205,16121.77567,0.9960677481
206,15864.1355,0.9961175019
207,15553.66623,0.9961678255
208,15741.8158,0.9962195391
209,17987.52884,0.9962777375
210,14975.09159,0.9963264865
211,15998.4024,0.9963799957
212,15725.0973,0.9964321226
213,13819.62557,0.9964782074
214,13570.38192,0.996523461
215,14301.88128,0.9965704442
216,12982.72996,0.9966150267
217,13804.7839,0.9966621581
218,15439.17788,0.9967141033
219,12912.65469,0.9967584451
220,11254.01974,0.9967970913
221,13360.93894,0.9968433703
222,12373.33562,0.9968870881
223,11930.11984,0.9969278192
224,11123.25402,0.996967341
225,11164.80666,0.9970060131
226,11592.88934,0.9970469735
227,10692.26554,0.9970845395
228,10929.41442,0.9971239149
229,10099.54653,0.9971614032
230,10427.26815,0.9971976242
231,9831.917451,0.997232753
232,9841.496378,0.997268209
233,9325.961258,0.9973022705
234,8895.112057,0.9973356411
235,8605.558725,0.9973664736
236,9732.716901,0.9974022139
237,8778.419364,0.997435321
238,8543.067219,0.9974660992
239,9180.28121,0.9975010864
240,8907.60009,0.997533443
241,9092.740028,0.9975688186
242,8506.440665,0.9976014909
243,8020.655896,0.997631581
244,7873.526053,0.9976619006
245,8601.544001,0.9976937431
246,7494.281887,0.9977237923
247,8099.858079,0.9977548227
248,7538.626438,0.9977834037
249,7573.156074,0.9978127921
250,7169.287374,0.9978403998
251,6867.755079,0.9978676642
252,8809.364124,0.9979021995
253,7422.974628,0.9979315208
254,6758.260906,0.9979586189
255,6434.676136,0.9979845472
256,6600.902185,0.9980106868
257,7252.921421,0.9980393363
258,7052.47004,0.998068314
259,7848.19718,0.9980998602
260,6836.053072,0.9981276773
261,5592.433826,0.9981504338
262,5980.483764,0.9981748288
263,5633.889544,0.9981979777
264,6391.590848,0.9982239862
265,5895.131081,0.9982489106
266,5774.348669,0.9982728086
267,5115.610091,0.9982939295
268,5231.080226,0.9983161502
269,6373.576789,0.9983426546
270,5321.466662,0.9983649424
271,5157.343481,0.9983870546
272,5008.214757,0.9984085273
273,4891.901816,0.9984292587
274,5389.023418,0.9984518294
275,4916.953717,0.9984733989
276,4519.128742,0.9984927299
277,4267.633949,0.9985113663
278,4158.572976,0.9985292788
279,4747.997067,0.9985498715
280,5214.59012,0.9985729537
281,5173.574805,0.9985953408
282,4741.321751,0.998616234
283,4377.381558,0.99863548
284,3825.358917,0.9986527165
285,4249.803856,0.9986716968
286,5205.605715,0.9986944809
287,4118.369517,0.9987130377
288,5172.425108,0.9987362413
289,4422.968646,0.9987563462
290,4024.01826,0.9987749172
291,4101.511359,0.9987927467
292,4513.165613,0.9988140678
293,4246.070805,0.9988334107
294,4239.121165,0.9988528482
295,3608.704393,0.9988693234
296,3204.426148,0.9988843346
297,3685.999897,0.9989016383
298,3850.10996,0.9989191392
299,3725.404531,0.998936443
300,3675.949671,0.9989536265
301,2898.516856,0.9989672046
302,3122.0502,0.9989823257
303,4782.676756,0.9990044928
304,3744.986175,0.9990221106
305,3890.22782,0.9990410293
306,3165.386853,0.9990559205
307,2795.906512,0.9990693786
308,3473.582708,0.9990857196
309,3755.712988,0.9991045806
310,3708.538943,0.9991222846
311,3199.200069,0.9991378428
312,2526.754945,0.9991499803
313,2505.1765,0.9991622131
314,2563.789064,0.9991751137
315,2947.356714,0.9991895642
316,2726.459499,0.9992028775
317,3252.811856,0.999218987
318,2271.445493,0.999230349
319,2416.96429,0.999242295
320,2224.027098,0.9992532653
321,2154.719181,0.9992640434
322,2045.618966,0.9992744788
323,2065.834646,0.9992849353
324,1977.810006,0.9992947304
325,2341.124659,0.9993067198
326,2119.832388,0.9993175759
327,2148.9856,0.9993286879
328,1883.291823,0.9993384074
329,1708.758626,0.9993470226
330,1714.379739,0.9993559043
331,1979.221184,0.9993659814
332,1808.825657,0.9993752448
333,2084.739318,0.9993864177
334,1738.603426,0.9993953732
335,1524.694465,0.9994033933
336,1667.281689,0.9994120311
337,1821.999515,0.9994213981
338,1637.790968,0.9994303544
339,1552.802596,0.9994385224
340,1544.168242,0.9994468595
341,1440.006229,0.9994544485
342,1783.952525,0.9994637969
343,1443.841495,0.9994717643
344,1550.980882,0.9994798765
345,1330.129588,0.99948719
346,1274.361527,0.9994939945
347,1343.687181,0.9995013026
348,1364.230169,0.9995086817
349,1512.996946,0.9995167604
350,1514.794496,0.9995251193
351,1391.854949,0.9995328137
352,1174.925683,0.9995392971
353,1330.022698,0.9995466629
354,1292.482529,0.9995536668
355,1099.428405,0.9995598755
356,1179.310572,0.9995663129
357,1001.279914,0.999572017
358,957.9621066,0.9995773127
359,1187.989408,0.9995838683
360,1034.414835,0.9995898023
361,1004.303615,0.9995953542
362,1000.255021,0.9996010723
363,902.5128485,0.9996060884
364,909.6044148,0.9996113605
365,1093.222524,0.999617621
366,969.758887,0.9996231648
367,1061.516523,0.999629191
368,803.6829643,0.9996338093
369,917.7722437,0.9996391653
370,934.9766468,0.9996445474
371,937.4031227,0.9996499248
372,912.4423566,0.9996552043
373,835.8679153,0.9996600657
374,786.8411347,0.9996647512
375,784.0974241,0.9996692882
376,858.6911258,0.9996742823
377,814.7717248,0.9996791341
378,807.7942781,0.9996838563
379,805.3840407,0.9996886522
380,774.8422071,0.9996931433
381,823.3885205,0.9996981282
382,824.7240684,0.9997030802
383,687.1651968,0.9997071722
384,769.7322679,0.9997117864
385,738.4632694,0.9997162059
386,699.5020218,0.9997204824
387,714.8899188,0.9997247395
388,670.876232,0.9997288144
389,655.2680105,0.999732814
390,641.6622341,0.999736686
391,657.8004141,0.9997407467
392,631.993478,0.9997445415
393,695.8960284,0.9997488375
394,585.5038249,0.99975251
395,573.0300218,0.9997559792
396,578.6687448,0.9997595802
397,567.3562136,0.999763015
398,573.3366221,0.9997666796
399,560.7560166,0.9997701579
400,545.6008541,0.9997735369
401,546.6671701,0.9997770092
402,519.5672907,0.9997802218
403,532.7940901,0.9997836166
404,534.3169017,0.9997869469
405,540.0804199,0.9997903345
406,497.7945611,0.9997935508
407,572.1146603,0.999797128
408,488.9392714,0.9998002822
409,600.4000182,0.9998040423
410,481.6189142,0.9998071301
411,528.8751303,0.999810563
412,459.6774282,0.9998134451
413,491.3734416,0.9998164322
414,437.4922409,0.9998190417
415,409.6796529,0.9998215484
416,403.4808174,0.999823895
417,393.5195961,0.9998261701
418,422.4614004,0.9998285747
419,442.8016151,0.9998311675
420,412.4929716,0.999833542
421,423.9270157,0.9998359444
422,363.1941033,0.9998380117
423,415.3584459,0.9998403284
424,395.6350103,0.9998425411
425,376.7067589,0.9998446479
426,401.4351707,0.9998468491
427,383.9159643,0.9998489943
428,374.4272907,0.9998510549
429,378.9438023,0.9998531178
430,381.9298205,0.9998551609
431,319.7856471,0.9998568748
432,324.1790432,0.9998586974
433,394.5727384,0.9998608003
434,346.1228765,0.9998626897
435,355.5975628,0.9998645602
436,347.7419441,0.9998664204
437,327.7093602,0.9998681898
438,363.6632087,0.9998701027
439,369.2062354,0.9998720887
440,322.5437705,0.9998737886
441,366.1054585,0.9998757216
442,291.976794,0.9998772531
443,314.9250465,0.9998788534
444,327.31285,0.9998806173
445,313.800224,0.9998822477
446,370.9143535,0.9998841988
447,344.3852641,0.9998859778
448,315.0153166,0.9998875442
449,295.2337422,0.9998891338
450,282.5568134,0.9998905948
451,293.5879035,0.9998921173
452,344.547132,0.9998938681
453,303.3486288,0.9998954201
454,257.4596183,0.9998967514
455,261.5957721,0.9998980586
456,258.2145923,0.9998993977
457,273.1049597,0.999900799
458,309.7772715,0.9999023654
459,247.2299597,0.9999036205
460,232.8169523,0.9999047724
461,272.7118141,0.9999061771
462,257.5566034,0.999907459
463,274.5499589,0.9999088555
464,253.9055587,0.9999101344
465,226.8157118,0.9999112701
466,232.9260687,0.9999124526
467,276.2256796,0.9999138055
468,235.4935472,0.9999149881
469,238.5077789,0.9999161823
470,220.846139,0.9999172925
471,224.7548692,0.9999184134
472,223.1105371,0.9999194995
473,200.6780408,0.9999204984
474,185.4343772,0.999921425
475,247.55723,0.9999226621
476,186.4091887,0.9999235696
477,213.2875867,0.9999246015
478,189.093781,0.9999255558
479,186.0465045,0.9999264597
480,167.129407,0.9999272899
481,212.0999643,0.9999283245
482,168.3828108,0.9999291576
483,191.1984381,0.9999300969
484,181.3280522,0.9999309616
485,199.8519338,0.9999319583
486,181.6862381,0.9999328212
487,192.329873,0.9999337899
488,161.721989,0.999934582
489,244.8431981,0.9999357399
490,167.2021043,0.9999365572
491,169.8779612,0.9999373698
492,161.3979074,0.9999381603
493,230.8247644,0.999939284
494,171.6805232,0.999940101
495,221.6340864,0.9999411954
496,152.9776216,0.9999419166
497,184.1386866,0.9999428184
498,162.5099718,0.9999435967
499,198.7420489,0.9999445504
500,152.5288038,0.9999452883
501,160.5934116,0.9999460438
502,146.7465232,0.9999467524
503,163.841496,0.9999475288
504,168.0270057,0.9999483418
505,168.8270938,0.9999491528
506,148.0298924,0.9999498514
507,133.9137225,0.9999505046
508,136.7742312,0.9999511481
509,150.394377,0.9999518668
510,154.618093,0.9999525934
511,139.7566037,0.9999532647
512,165.5082459,0.9999540589
513,130.4190603,0.9999546718
514,136.284253,0.9999553251
515,147.4790894,0.9999560123
516,124.6279159,0.9999566079
517,147.7783102,0.9999573075
518,139.8889066,0.9999579593
519,124.0727702,0.9999585547
520,128.7102306,0.9999591551
521,153.3220203,0.9999598893
522,117.6135031,0.9999604362
523,123.5370846,0.999961021
524,125.0472391,0.9999616087
525,117.8268489,0.9999621624
526,136.3325492,0.9999628024
527,129.8651549,0.9999634062
528,118.2582692,0.9999639649
529,129.0028679,0.9999645686
530,119.0015267,0.9999651225
531,115.0316658,0.9999656722
532,156.1487095,0.9999663828
533,110.0163901,0.999966908
534,122.4241391,0.9999674748
535,133.4407241,0.999968092
536,107.6386731,0.9999686042
537,122.5352254,0.9999691575
538,112.2465035,0.9999696984
539,107.027613,0.9999701876
540,119.0572151,0.9999707417
541,128.5250254,0.9999713317
542,101.0894885,0.9999718002
543,145.4083195,0.9999724879
544,111.5175085,0.9999729959
545,120.8083934,0.9999735636
546,112.0429638,0.9999740874
547,137.6987858,0.9999747085
548,93.05581103,0.99997515
549,164.283445,0.9999758943
550,91.56678785,0.9999763251
551,127.6439041,0.9999769123
552,106.8778098,0.9999773991
553,107.1662653,0.9999779017
554,110.1201088,0.9999783946
555,149.3393268,0.9999791053
556,95.76331478,0.9999795415
557,142.8635507,0.9999802001
558,96.02015345,0.9999806385
559,109.0426072,0.9999811304
560,126.4831645,0.9999817304
561,117.2994887,0.9999822584
562,112.0604264,0.9999827756
563,126.3316742,0.9999833617
564,91.85394526,0.9999837765
565,105.6501009,0.9999842667
566,137.8055449,0.9999848863
567,87.79956706,0.9999852923
568,131.6924095,0.9999858955
569,107.9847785,0.999986395
570,92.68301002,0.999986813
571,110.7056954,0.9999873152
572,118.7792029,0.9999878604
573,90.88990739,0.9999882726
574,119.2587211,0.9999888165
575,91.76841712,0.99998923
576,89.45981971,0.9999896402
577,126.1484124,0.9999902192
578,96.63610888,0.9999906575
579,119.3495483,0.9999912054
580,116.8928718,0.9999917402
581,100.8937477,0.9999922003
582,99.28598106,0.9999926487
583,122.7558039,0.9999931981
584,74.72821595,0.9999935276
585,57.58108147,0.9999937645
586,51.62616794,0.9999939728
587,51.34888961,0.9999941705
588,53.73719606,0.9999943761
589,46.1798434,0.9999945496
590,46.11910137,0.9999947153
591,41.92907419,0.9999948651
592,44.55321096,0.9999950227
593,41.78639661,0.9999951702
594,41.80248919,0.9999953123
595,41.68388224,0.99999545
596,39.50635263,0.9999955784
597,40.68026549,0.9999957153
598,39.86930695,0.9999958415
599,42.2314605,0.9999959736
600,38.45464759,0.9999960917
601,37.4878537,0.9999962093
602,36.31490192,0.9999963188
603,38.74772574,0.9999964321
604,37.81866577,0.9999965439
605,36.69005138,0.9999966495
606,37.16699531,0.9999967574
607,34.08564043,0.9999968535
608,31.90140464,0.9999969399
609,36.83837423,0.9999970381
610,30.84145513,0.9999971246
611,30.57637374,0.9999972059
612,29.9110076,0.9999972844
613,33.23019874,0.9999973684
614,31.4546874,0.9999974498
615,29.97262623,0.9999975254
616,31.24567419,0.9999976026
617,30.01749715,0.9999976768
618,30.05714947,0.9999977493
619,27.75417373,0.9999978158
620,28.16160801,0.9999978818
621,29.60772597,0.9999979485
622,30.58771403,0.9999980198
623,28.01114823,0.9999980829
624,24.50363805,0.9999981374
625,25.5998294,0.9999981937
626,27.7341288,0.9999982534
627,27.97607878,0.9999983132
628,25.869899,0.9999983668
629,24.3265617,0.9999984177
630,25.70047881,0.9999984694
631,24.09697932,0.9999985185
632,25.26866561,0.9999985687
633,24.68384986,0.9999986158
634,22.84721474,0.9999986595
635,25.69420963,0.9999987093
636,23.02509414,0.9999987523
637,21.49714425,0.9999987916
638,20.87783265,0.999998828
639,21.3876993,0.9999988672
640,22.26386364,0.9999989069
641,22.51770513,0.9999989447
642,23.50592821,0.9999989846
643,20.60368199,0.9999990185
644,21.62788719,0.999999055
645,21.709157,0.9999990905
646,20.13222549,0.9999991214
647,19.07994732,0.9999991513
648,20.05084345,0.9999991828
649,20.5718039,0.9999992135
650,20.3653514,0.9999992438
651,18.66087264,0.9999992702
652,19.95816705,0.9999993001
653,21.00619966,0.9999993288
654,17.5859957,0.9999993535
655,19.10890899,0.9999993794
656,18.25477845,0.9999994029
657,18.51986222,0.9999994276
658,16.94592088,0.9999994491
659,16.48995759,0.9999994699
660,17.01533297,0.9999994913
661,16.5982212,0.9999995106
662,17.09919491,0.999999531
663,17.88745459,0.9999995517
664,19.44474553,0.9999995737
665,17.15500404,0.9999995929
666,17.16947385,0.9999996113
667,17.30682549,0.9999996296
668,16.21654437,0.9999996463
669,17.05112746,0.9999996635
670,18.04982008,0.9999996816
671,15.92906013,0.9999996964
672,16.78532216,0.9999997124
673,16.76354404,0.9999997278
674,16.97272642,0.9999997427
675,15.27342689,0.9999997563
676,16.75661906,0.9999997699
677,15.91066804,0.9999997837
678,17.88651458,0.9999997977
679,15.70458865,0.9999998098
680,15.51455036,0.9999998216
681,14.04055914,0.9999998313
682,16.72590542,0.9999998438
683,15.02420915,0.9999998537
684,15.1221213,0.9999998638
685,13.54856888,0.9999998727
686,15.42790447,0.9999998818
687,13.40447808,0.99999989
688,13.07331989,0.9999998974
689,17.17846273,0.9999999067
690,14.5277157,0.9999999145
691,13.04084849,0.9999999208
692,14.71471579,0.9999999281
693,14.58386238,0.999999935
694,12.69340124,0.9999999401
695,14.61847084,0.9999999465
696,15.73883413,0.9999999524
697,14.54933639,0.999999958
698,16.35936987,0.9999999639
699,12.92075566,0.9999999677
700,16.87210789,0.9999999731
701,13.9377362,0.999999977
702,12.59876805,0.9999999803
703,13.87120477,0.9999999837
704,10.93667304,0.9999999859
705,13.88900606,0.9999999888
706,13.9783928,0.9999999911
707,13.35839505,0.9999999932
708,13.59357195,0.999999995
709,14.45108909,0.9999999966
710,16.88116178,0.999999998
711,14.73564831,0.9999999991
712,8.27720254,0.9999999995
713,20.1244513,1
714,5.330604517,1
