freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.69480868e+11,0.8727349709
1,592260115.4,0.8839265894
2,230432646.4,0.8926353111
3,225978835.7,0.9033108102
4,146762851.3,0.9116307044
5,80726821.9,0.9192579595
6,46379532.23,0.9232017995
7,46826391.4,0.9285109172
8,31049864.63,0.9326180445
9,31648030.96,0.9368042943
10,16826142.17,0.9395069075
11,18109467.2,0.9422445458
12,11681095.9,0.9444518592
13,10383902.64,0.9467083775
14,8116402.642,0.9483954614
15,9546892.833,0.9505602909
16,7821830.395,0.9523339496
17,5701099.838,0.9538960432
18,6199688.91,0.9556533257
19,3746928.165,0.9567153807
20,3927086.198,0.957865605
21,4316801.919,0.9593339059
22,3949681.101,0.9606027006
23,3321393.626,0.9617010457
24,2598596.515,0.9626340268
25,2791255.464,0.9637416685
26,2297463.114,0.9646967746
27,1814463.482,0.9653996567
28,1590020.76,0.9660306177
29,1509163.568,0.966715046
30,2149660.13,0.9676696387
31,1639331.732,0.9684750553
32,1240424.16,0.9690610459
33,1004041.615,0.9695543395
34,1176265.71,0.9701878163
35,1008040.32,0.9706830745
36,937284.0733,0.9711967036
37,902513.2452,0.9716827512
38,1001362.162,0.9722882616
39,901856.7814,0.9728165605
40,824103.2883,0.9732759531
41,704273.9606,0.9737284348
42,804183.7721,0.9742299102
43,878365.5958,0.9748274382
44,913235.303,0.9754228016
45,609072.7229,0.9758141184
46,529191.5143,0.9761841127
47,558433.3996,0.9765692758
48,584555.5589,0.977000071
49,501377.6129,0.9773600929
50,554483.6189,0.9778001595
51,442157.3997,0.9781385454
52,548470.7445,0.9785427475
53,524599.0678,0.9789690092
54,567823.3076,0.9794035681
55,492842.7229,0.9798412783
56,413456.9484,0.9801772318
57,421123.86,0.9805353305
58,324315.6863,0.9808141735
59,317283.9237,0.9810899685
60,312602.0405,0.981379415
61,297335.8239,0.9816519168
62,319546.7033,0.9819477935
63,256686.2539,0.9821903166
64,249254.52,0.9824187529
65,254576.962,0.9826785255
66,239553.7507,0.9829048613
67,239960.1669,0.9831451844
68,233375.1276,0.9833943473
69,202823.6333,0.983593645
70,208205.6819,0.9838139686
71,191468.4825,0.9840075357
72,178694.3231,0.9842101371
73,182524.7326,0.9844101832
74,211776.0207,0.9846422886
75,183333.5959,0.9848484177
76,158627.1179,0.9850282672
77,177517.7757,0.9852362435
78,164511.096,0.9854212098
79,155452.3843,0.9856033348
80,158433.7989,0.9857979342
81,137449.1955,0.9859602657
82,143628.7215,0.9861421086
83,116063.4514,0.9862802795
84,131668.6818,0.9864469803
85,118465.1967,0.9866003225
86,130234.9634,0.9867676691
87,110043.585,0.9869111501
88,107894.7087,0.9870446933
89,103030.5111,0.9871907117
90,95530.41852,0.9873152695
91,98905.53089,0.987449835
92,94707.23604,0.9875795832
93,105598.2385,0.9877252498
94,93145.40318,0.9878590188
95,85163.55526,0.9879756923
96,85844.53993,0.9880973541
97,89606.7262,0.9882311209
98,77523.44035,0.9883424547
99,78113.33348,0.9884612779
100,84780.79299,0.9885830342
101,70611.12472,0.9886937812
102,69848.53289,0.9888000323
103,69690.44721,0.9889027507
104,67093.98945,0.9890092491
105,65080.40167,0.9891082472
106,73053.69152,0.9892283468
107,65119.68409,0.9893317115
108,66157.15956,0.9894354728
109,66811.18499,0.9895434161
110,66091.01305,0.9896508203
111,58942.46567,0.9897510626
112,57930.20323,0.9898468467
113,56767.91596,0.9899423182
114,57082.00029,0.9900426324
115,49064.4134,0.9901260753
116,57735.94063,0.9902237202
117,50357.10065,0.9903112648
118,52575.31638,0.9904046526
119,48583.80323,0.9904914094
120,51257.03724,0.9905824556
121,53783.92754,0.9906759576
122,47654.98829,0.9907628568
123,41061.02976,0.9908427753
124,41108.33647,0.9909157947
125,41243.80134,0.9909945103
126,41198.12483,0.9910680784
127,43145.44876,0.9911512386
128,45222.72756,0.9912392572
129,44911.79831,0.9913228516
130,39197.1703,0.9914006238
131,42972.62522,0.9914826388
132,42105.83998,0.9915685692
133,39352.40517,0.9916470212
134,38321.60886,0.9917194355
135,41201.24914,0.9918050768
136,35435.84893,0.9918763905
137,40043.86777,0.9919588694
138,35975.63099,0.9920322891
139,34742.02333,0.9921022065
140,37289.66793,0.9921825357
141,34579.12682,0.9922537589
142,33982.80115,0.9923256802
143,35069.87539,0.9924002335
144,32887.41131,0.9924710795
145,26939.60741,0.9925306398
146,32786.0013,0.9926009576
147,32329.25385,0.9926706011
148,30515.11898,0.9927392198
149,30672.38689,0.9928076125
150,28332.47025,0.9928710555
151,27215.62071,0.9929301975
152,28754.78345,0.9929964879
153,29094.95865,0.9930616382
154,27290.67017,0.9931261003
155,26654.37021,0.9931865411
156,28047.55361,0.993251201
157,25081.46651,0.9933116298
158,27060.97558,0.9933729926
159,28008.04245,0.9934391492
160,26647.5092,0.9935023439
161,23790.77461,0.993561686
162,26168.92346,0.993624982
163,24724.87872,0.99368315
164,24632.30354,0.9937436602
165,24324.84055,0.9938029555
166,24560.01384,0.9938656086
167,22539.44535,0.9939203388
168,22983.46248,0.9939759299
169,22458.77477,0.9940340715
170,21260.50566,0.9940881067
171,22300.10412,0.9941449947
172,20490.45306,0.9941964919
173,22846.94391,0.9942565019
174,21451.49197,0.9943126439
175,19947.40922,0.9943635301
176,21635.4738,0.994420358
177,23324.78176,0.9944800805
178,19888.16997,0.994534198
179,19339.51261,0.9945860916
180,21395.88241,0.994642088
181,21389.62019,0.9946998869
182,19713.03486,0.9947542729
183,20129.41787,0.994810188
184,18559.3749,0.9948591115
185,18037.22302,0.9949088741
186,18322.64401,0.9949608091
187,18842.7428,0.995012972
188,17018.38372,0.9950605669
189,17863.47961,0.9951098502
190,17562.28448,0.9951592981
191,17910.1867,0.9952112485
192,18688.91051,0.9952631621
193,17936.50593,0.9953160362
194,17858.65542,0.9953664873
195,16035.76905,0.9954137583
196,16632.67758,0.9954627889
197,14908.57694,0.9955058919
198,15606.72967,0.9955523406
199,16175.67655,0.9955994127
200,15696.35304,0.9956474627
201,13911.9416,0.9956880787
202,14184.46438,0.9957296243
203,13436.86027,0.9957717732
204,14057.3502,0.9958138762
205,14268.19947,0.9958583633
206,14086.69567,0.9959004211
207,13363.7433,0.995941583
208,12748.91803,0.9959814535
