freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.387525968e+11,0.8552297671
1,1570397592,0.8797182971
2,341823125.1,0.8903789678
3,221827472.4,0.8990268236
4,167748019.3,0.9068743313
5,89169834.69,0.9138268323
6,117465223.2,0.9220696352
7,67484823.22,0.9283837208
8,65332599.14,0.9355152238
9,37610141.64,0.9396206297
10,27101410.68,0.9432128579
11,22579746.13,0.9460296977
12,15830319.76,0.9484982525
13,9452761.579,0.9501934084
14,12545609.02,0.9523453849
15,8580734.44,0.9539510642
16,8242337.681,0.9554934206
17,6836601.303,0.9570392493
18,6613776.354,0.9585862619
19,3817124.749,0.9594791164
20,4414805.664,0.960546195
21,4167828.754,0.9617160592
22,3524549.076,0.9626504006
23,3118644.442,0.9635014544
24,2980103.814,0.9643844084
25,2841202.376,0.9653148188
26,2294795.575,0.9661020817
27,2558160.435,0.9669198584
28,2865780.892,0.9678583175
29,2208062.06,0.9686846896
30,2280981.586,0.9695205673
31,2619028.649,0.9705824259
32,1965788.94,0.9713487809
33,1676195.757,0.9720283775
34,1602126.339,0.9727404016
35,1348534.68,0.9732871513
36,1286707.458,0.9738690279
37,1177756.48,0.9743924517
38,1172461.426,0.9749775134
39,1022694.213,0.975471893
40,970189.7048,0.975918198
41,1026875.006,0.9764626375
42,980233.7044,0.9769670626
43,1066010.365,0.9775654976
44,806911.3562,0.9779996059
45,751960.9948,0.9783982885
46,633957.8323,0.9787640645
47,740599.0994,0.9791855951
48,718203.4073,0.9796223776
49,573622.4573,0.9799622867
50,527430.9859,0.980307723
51,458700.5093,0.9805974156
52,486180.2454,0.9808930909
53,523453.572,0.9812440849
54,476736.3565,0.981545168
55,404442.241,0.981841588
56,480646.3532,0.9821638783
57,404959.9081,0.9824480479
58,371891.1574,0.982711912
59,463540.5316,0.9830444173
60,387330.1995,0.9833403756
61,406180.9444,0.9836475708
62,331938.1371,0.9839012041
63,319960.2187,0.9841506746
64,282279.2823,0.9843641628
65,337441.8562,0.9846483116
66,310689.0463,0.9848905533
67,320602.5022,0.9851555228
68,245109.1778,0.9853714768
69,259037.4766,0.985581525
70,214123.4551,0.9857685094
71,282772.6133,0.9860044182
72,227480.0249,0.9862172555
73,273771.1586,0.9864648658
74,261389.3366,0.9867012775
75,230694.4419,0.9869153235
76,235258.3274,0.9871354384
77,231998.6116,0.9873597389
78,211665.2624,0.987556129
79,169292.0619,0.9877198036
80,161412.2711,0.987883411
81,178957.0831,0.9880578253
82,173160.3849,0.9882387411
83,172852.8956,0.9884085538
84,166985.5493,0.9885830182
85,135019.1375,0.9887272427
86,132856.5766,0.9888681213
87,138067.3828,0.9890166784
88,128122.0671,0.9891475418
89,123030.1277,0.9892914302
90,126588.9387,0.9894276368
91,120190.7885,0.9895625818
92,128398.1794,0.9897077428
93,112268.69,0.9898355439
94,112218.5579,0.9899685377
95,112394.8022,0.990095606
96,116821.9609,0.9902322337
97,105174.3231,0.9903617994
98,96403.29902,0.99047605
99,108772.3922,0.9906125925
100,104933.1478,0.9907369521
101,106850.3986,0.9908752473
102,99825.49337,0.9910005587
103,98369.67418,0.9911202077
104,87574.68284,0.9912349202
105,87291.3858,0.9913444975
106,103666.9779,0.9914851387
107,94485.34827,0.9916089035
108,78254.18055,0.991710187
109,87412.26999,0.9918267314
110,74482.42979,0.9919266176
111,74660.46449,0.9920313995
112,73216.76165,0.9921313009
113,63537.50505,0.9922194816
114,68461.14017,0.9923187658
115,68186.78129,0.9924144622
116,63663.90904,0.9925033147
117,77026.90835,0.99261382
118,70087.94022,0.9927165564
119,68274.32817,0.9928171667
120,81663.82301,0.9929368712
121,60472.88984,0.9930236277
122,54103.306,0.9931050426
123,54887.41052,0.9931932009
124,56427.18048,0.993275913
125,55770.53317,0.9933637504
126,54334.45265,0.9934438186
127,53445.25582,0.9935288271
128,46801.24271,0.9936039977
129,48327.71348,0.9936782287
130,48329.24495,0.9937573608
131,55802.19516,0.993845248
132,47066.02086,0.9939245135
133,48297.24697,0.9940039698
134,54337.59158,0.9940887029
135,50283.30817,0.994174955
136,50908.61058,0.9942595012
137,44058.15108,0.9943343881
138,45566.82952,0.9944111288
139,40934.05015,0.9944791098
140,45414.61059,0.9945598432
141,42164.00682,0.9946315106
142,38392.25217,0.994698563
143,41199.6949,0.99477084
144,40757.087,0.9948432937
145,38692.33567,0.9949138871
146,36246.02755,0.994978039
147,39953.73553,0.9950490647
148,34474.25186,0.9951130374
149,34831.78481,0.9951771304
150,38173.36812,0.9952476698
151,39297.61581,0.9953181419
152,33905.83947,0.9953826461
153,36209.71613,0.9954495569
154,32839.61427,0.9955135689
155,37404.47275,0.9955835624
156,32872.82309,0.9956461013
157,32369.01349,0.9957104578
158,31952.85531,0.9957702499
159,35272.63303,0.9958390044
160,33851.07279,0.9959052519
161,30845.2284,0.9959687433
162,30153.84386,0.9960289307
163,26100.2766,0.9960796027
164,26352.07643,0.9961330236
165,25835.65148,0.9961849947
166,25548.41057,0.9962387784
167,24865.32796,0.9962886038
168,24549.45992,0.9963376048
169,23322.73009,0.9963874304
170,23759.02081,0.9964372619
171,23673.17899,0.996487098
172,24207.14817,0.9965373031
173,24222.70618,0.9965898069
174,22511.04925,0.9966384251
175,22504.65002,0.9966858012
176,21415.46022,0.9967322201
177,20421.9207,0.9967753709
178,19754.74565,0.9968197305
179,19409.60314,0.9968627096
180,19740.33747,0.9969053438
181,19558.70425,0.9969489581
182,18217.63087,0.9969904342
183,17850.60709,0.997031353
184,16859.41631,0.997068028
185,15284.55222,0.9971028264
186,17123.86022,0.9971428804
187,16304.13915,0.9971801271
188,14951.66443,0.9972146339
189,16915.39194,0.9972531452
190,14583.72782,0.9972870302
191,16081.02803,0.9973255227
192,17048.41951,0.9973646027
193,15584.09129,0.9974025131
194,14960.59335,0.9974373905
195,16142.33752,0.9974766589
196,14512.76428,0.9975119633
197,15627.67042,0.9975492487
198,14656.8001,0.9975852462
199,15075.13075,0.9976214484
200,13353.07241,0.9976551809
201,12475.56078,0.9976852377
202,13261.13181,0.9977172904
203,12996.33526,0.9977509325
204,13354.71842,0.9977839403
205,11986.53843,0.9978147815
206,13406.83437,0.9978478136
207,11551.1612,0.9978771743
208,11922.88511,0.9979079446
209,10764.51802,0.9979353058
210,11352.10257,0.9979643376
211,11092.07948,0.9979934827
212,10223.49998,0.9980201065
213,10633.48294,0.9980479637
214,9892.988859,0.998073881
215,9919.580374,0.9980994813
216,10885.42283,0.9981288472
217,10870.28006,0.9981580029
218,10220.70995,0.9981850178
219,9508.62481,0.9982106695
220,9718.003589,0.9982368861
221,9143.20406,0.9982617659
222,8515.812173,0.9982854033
223,8464.41654,0.9983081061
224,8632.267472,0.9983322013
225,9054.524972,0.9983568398
226,8370.057267,0.9983800726
227,7773.994952,0.9984015297
228,7668.614253,0.998423234
229,8285.532554,0.998447395
230,8329.893466,0.9984701266
231,8401.087657,0.9984937076
232,8528.679558,0.9985178462
233,7591.642682,0.9985396286
234,7691.318146,0.9985622967
235,7326.61218,0.9985829189
236,7334.058324,0.9986040766
237,7374.418214,0.9986259257
238,6562.872897,0.9986445005
239,6431.560577,0.9986637567
240,6980.481629,0.9986836767
241,6612.23001,0.9987038863
242,7355.96396,0.9987260823
243,6558.043845,0.9987454104
244,6162.861062,0.9987640543
245,6305.837305,0.9987823932
246,6376.002746,0.9988024774
247,6057.411462,0.9988207078
248,5708.638645,0.9988377106
249,5842.798781,0.9988555229
250,5377.461914,0.9988717908
251,5340.558176,0.9988884468
252,5412.902494,0.9989051173
253,5560.165745,0.9989223715
254,5082.682247,0.9989383817
255,5359.003117,0.9989553459
256,5019.752002,0.9989709622
257,4762.252911,0.9989857403
258,4678.823228,0.9990008432
259,4725.996252,0.9990157668
260,4482.592672,0.9990300964
261,4239.765971,0.9990436498
262,4422.356001,0.9990578214
263,4293.430052,0.9990716803
264,4211.149268,0.9990851422
265,4413.194481,0.9990998006
266,4236.061094,0.9991135734
267,3954.942984,0.9991264013
268,4284.055773,0.9991406976
269,3854.052026,0.9991532884
270,3918.600237,0.9991661818
271,3679.25853,0.9991785745
272,3566.74823,0.9991905883
273,3371.738216,0.9992018138
274,3624.902917,0.9992137408
275,3433.279846,0.9992255727
276,3423.845619,0.9992370784
277,3498.89821,0.9992490819
278,3103.75526,0.9992595846
279,2935.579009,0.9992695868
280,3017.53691,0.9992800801
281,3062.257043,0.9992904901
282,2870.68448,0.9993004279
283,2883.793274,0.9993103887
284,2879.496665,0.9993205815
285,2456.139222,0.9993291992
286,2727.313954,0.9993385769
287,2675.843114,0.9993480488
288,2406.342285,0.9993565293
289,2218.135265,0.9993644502
290,2388.017486,0.9993731081
291,2394.026076,0.9993812839
292,2422.301216,0.9993902738
293,2260.882647,0.999398365
294,2313.332282,0.9994066981
295,2376.126101,0.9994152203
296,2256.938544,0.9994235261
297,2166.309064,0.9994315153
298,2346.967716,0.9994398963
299,2199.815556,0.9994479234
300,2045.625141,0.9994554356
301,1978.912015,0.9994627183
302,1971.738347,0.9994702206
303,1940.622,0.9994772867
304,1927.49034,0.9994844102
305,1967.901148,0.9994919285
306,1934.132391,0.9994990766
307,1758.112428,0.9995057249
308,2002.029737,0.9995131239
309,1863.670926,0.9995204765
310,1692.106557,0.9995268225
311,1655.749966,0.9995331482
312,1738.954904,0.9995397106
313,1552.271087,0.9995456652
314,1580.116725,0.9995519115
315,1470.361911,0.9995575748
316,1776.43763,0.9995643894
317,1640.927414,0.9995707737
318,1614.872204,0.9995771196
319,1502.327606,0.9995829529
320,1408.420352,0.9995884106
321,1316.394141,0.9995935836
322,1427.596161,0.9995993048
323,1367.002792,0.9996047406
324,1411.759657,0.9996102333
325,1193.180273,0.9996150337
326,1082.949492,0.9996193907
327,1277.067874,0.9996245784
328,1192.468049,0.9996294131
329,1261.089061,0.9996344081
330,1142.285786,0.9996390572
331,1085.477106,0.9996433989
332,1056.488121,0.9996476494
333,1070.342046,0.9996521559
334,990.8089495,0.9996561653
335,978.8030873,0.99966021
336,971.5285673,0.9996641642
337,1133.871398,0.9996687436
338,922.7017175,0.9996727077
339,1011.946017,0.9996768894
340,970.5976943,0.9996810062
341,841.5699921,0.9996844904
342,817.6018535,0.9996878563
343,884.4254471,0.9996916904
344,949.8752872,0.9996955934
345,870.9354386,0.9996993554
346,852.8840989,0.999702933
347,837.8649728,0.999706513
348,831.577562,0.9997100466
349,918.7635468,0.9997139006
350,798.4413731,0.9997173619
351,833.5309643,0.9997209819
352,754.3832908,0.9997242522
353,765.5781935,0.999727583
354,804.1837085,0.9997310065
355,804.1739325,0.9997345741
356,853.136356,0.9997382326
357,818.4615859,0.9997418956
358,805.127177,0.9997453922
359,726.4063762,0.9997485412
360,666.5501427,0.9997515451
361,669.6962112,0.9997544535
362,738.4091883,0.9997577697
363,764.7584782,0.9997611089
364,717.5920359,0.9997643764
365,730.0798515,0.9997676609
366,627.6493363,0.9997704797
367,644.5502209,0.9997733543
368,680.4903765,0.9997764263
369,607.7805145,0.9997792127
370,632.7863677,0.9997820743
371,581.3312943,0.9997846941
372,569.1237981,0.9997872811
373,560.0756209,0.9997898401
374,590.6562072,0.9997926033
375,605.225968,0.9997953544
376,520.9323865,0.9997977346
377,532.5417219,0.9998002259
378,527.1060568,0.9998026465
379,502.0530378,0.9998049952
380,523.5046344,0.999807379
381,482.272468,0.9998096727
382,503.5206266,0.9998120479
383,482.23578,0.9998143038
384,440.0088881,0.999816376
385,563.1814048,0.9998190238
386,503.282454,0.999821441
387,487.2039966,0.9998237203
388,441.0850607,0.999825825
389,420.1320091,0.9998278396
390,386.066552,0.9998296697
391,423.8291678,0.9998317252
392,436.4308882,0.9998337839
393,382.4621983,0.9998356387
394,429.084341,0.9998377531
395,411.7321739,0.9998397113
396,408.8041812,0.9998417098
397,394.5684524,0.9998435864
398,397.7923178,0.9998455838
399,416.7439752,0.9998476147
400,391.9654115,0.9998495217
401,406.4487784,0.9998515499
402,374.439818,0.9998533687
403,409.1479336,0.9998554167
404,344.1107546,0.9998571017
405,373.6869209,0.9998589431
406,361.7636501,0.9998607793
407,373.538136,0.9998626142
408,361.3183454,0.9998644453
409,377.7941495,0.999866304
410,348.6048038,0.9998680599
411,356.9160121,0.9998698798
412,324.3348061,0.9998714774
413,287.9296175,0.9998728525
414,287.9550048,0.9998742018
415,275.0817254,0.9998755241
416,276.2965589,0.9998767865
417,278.9104031,0.9998780532
418,277.1224456,0.9998792924
419,277.0657501,0.9998805669
420,272.1132331,0.9998817975
421,279.3359355,0.9998830411
422,279.9454288,0.9998842929
423,252.9393577,0.9998854012
424,253.1332597,0.9998865134
425,264.3817219,0.999887675
426,252.8688314,0.9998887643
427,259.1738215,0.9998899019
428,246.9521875,0.9998909696
429,264.7571582,0.9998921019
430,258.0743604,0.9998931864
431,260.1264696,0.9998942817
432,246.5921786,0.9998953709
433,276.2448154,0.9998965275
434,246.3196859,0.9998975838
435,267.0895761,0.9998986875
436,240.5266235,0.9998996983
437,238.070372,0.9999007081
438,250.7517928,0.9999017443
439,247.2431742,0.9999027891
440,252.5802233,0.9999038348
441,246.9736338,0.9999048593
442,234.5003461,0.9999058256
443,264.6975716,0.9999068823
444,224.7311432,0.9999078337
445,231.8939811,0.9999087802
446,253.3255825,0.9999098271
447,205.0743325,0.9999106593
448,219.5155467,0.9999115168
449,225.1069277,0.999912469
450,218.8032199,0.9999133578
451,255.2804644,0.9999143978
452,234.2423696,0.9999153329
453,221.4592388,0.999916223
454,217.8366071,0.9999171079
455,215.8342277,0.9999179552
456,220.44686,0.9999188533
457,243.340541,0.9999198342
458,204.3036952,0.9999206458
459,211.3219956,0.9999214886
460,210.2293523,0.9999223057
461,223.2027487,0.9999232089
462,228.3044821,0.9999241016
463,210.7988364,0.9999249439
464,194.824343,0.9999257148
465,206.2610251,0.9999265262
466,204.4224769,0.9999273414
467,213.3622548,0.9999281624
468,221.8340793,0.9999290376
469,207.7554951,0.9999298548
470,203.4883438,0.9999306584
471,196.4358132,0.999931428
472,212.6925738,0.9999322415
473,229.0208205,0.999933137
474,207.6886109,0.9999339523
475,215.1842168,0.9999347971
476,212.2852857,0.9999356089
477,188.3359093,0.9999363248
478,200.2549228,0.9999371187
479,227.0962794,0.9999379855
480,205.6037793,0.9999387878
481,196.7889564,0.9999395419
482,195.0119369,0.9999402999
483,198.8120505,0.9999410672
484,204.201341,0.9999418322
485,184.9675498,0.9999425569
486,178.9502232,0.9999432246
487,175.9860073,0.9999439209
488,184.2806343,0.99994463
489,177.3476222,0.9999452889
490,190.4879478,0.9999460204
491,170.2321688,0.9999466601
492,163.9281788,0.9999472909
493,160.0437009,0.9999479029
494,194.5358544,0.9999486302
495,164.4651317,0.9999492682
496,156.604372,0.9999498482
497,166.1479118,0.9999504875
498,168.9842642,0.9999511232
499,155.0164683,0.9999517076
500,145.3463767,0.9999522601
501,155.4280753,0.9999528345
