freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.951091507e+11,0.6674419017
1,2306142574,0.7305539057
2,279280809.2,0.7458400131
3,300028098.3,0.7663671205
4,277158829.1,0.7891220654
5,101539028.5,0.8030161144
6,57299685.3,0.8100726342
7,56456610.43,0.8193428932
8,35913615.64,0.8262228068
9,42624079.26,0.8343882332
10,34828935.86,0.8424900972
11,25316901.55,0.8480328608
12,18085800.71,0.8529823862
13,16370314.28,0.8581344434
14,14436355.01,0.8624803066
15,16042652.12,0.8677487611
16,10766901.2,0.8712846433
17,10928151.93,0.8756211552
18,11278110.99,0.8802508615
19,7984176.574,0.8835283955
20,8169124.986,0.8869936334
21,5413950.175,0.8896605693
22,6743192.866,0.8927977557
23,5479691.587,0.8954220949
24,5363723.541,0.8982110775
25,3088823.25,0.8999862402
26,2898139.796,0.9017311293
27,3704890.553,0.9038096534
28,3542239.067,0.9058453966
29,2061709.506,0.9071995396
30,3179040.121,0.9092440517
31,2255946.559,0.9108492473
32,2034355.841,0.9122410983
33,2144691.912,0.9137671319
34,2407989.537,0.9156452602
35,2047873.02,0.9171024033
36,2288604.49,0.9189187325
37,1951359.852,0.9204407093
38,2102508.733,0.9222819629
39,2164928.55,0.9241186326
40,1540293.23,0.9253621482
41,1803240.326,0.9270400184
42,1612967.583,0.9284967025
43,1394683.505,0.9298707571
44,1462786.678,0.9312518596
45,1177244.059,0.9323472558
46,1200619.694,0.9335629743
47,1264343.372,0.9348259172
48,1117261.335,0.9360183809
49,884873.0106,0.9369385982
50,829684.4242,0.937892246
51,971242.4685,0.9389687323
52,940446.9997,0.9399724805
53,895190.9947,0.9410259209
54,1204312.578,0.9423607328
55,838634.0271,0.9434394215
56,863305.0411,0.9444553393
57,752716.7491,0.9453823183
58,777267.2723,0.9463501673
59,615758.3134,0.9471253319
60,621775.0789,0.947959119
61,647183.4665,0.9488181226
62,518729.4717,0.9495137278
63,599181.9367,0.9503336158
64,574933.3445,0.9510967221
65,635638.23,0.9520360768
66,608423.0636,0.9528686098
67,517198.8354,0.953618779
68,465162.541,0.9543380276
69,435716.4311,0.9549580867
70,397499.6481,0.9555672737
71,400903.7747,0.9561542489
72,456259.5281,0.9569034338
73,370446.873,0.957491437
74,413118.7793,0.9581471726
75,449834.7852,0.9588796527
76,296996.0424,0.9593673246
77,349874.3957,0.9599609735
78,315476.3048,0.9604746734
79,284415.0191,0.9609572542
80,298146.2298,0.9614876115
81,313647.9728,0.962024085
82,269061.494,0.9625174316
83,294223.1684,0.9630247064
84,251545.6957,0.9634859363
85,255541.0856,0.9639649822
86,280950.3604,0.9644878168
87,293553.7727,0.9650421394
88,289157.2571,0.9655604633
89,209423.7043,0.9659903093
90,273612.3484,0.9665069762
91,195641.954,0.9668924726
92,271075.487,0.9674303138
93,229478.6705,0.9678887627
94,231111.0035,0.9683694471
95,226802.4401,0.9688194461
96,189087.7034,0.9692075521
97,175753.457,0.9695875287
98,171763.8518,0.9699447778
99,166582.9908,0.9703117662
100,201319.3292,0.9707304874
101,183497.7685,0.9711472941
102,146022.1553,0.9714689862
103,165360.8607,0.9718219687
104,155551.9904,0.9721795548
105,190011.323,0.9725981567
106,156854.7361,0.9729716155
107,121959.8,0.9732519792
108,152430.1966,0.9735982174
109,133209.1679,0.9739099097
110,124784.3665,0.9742035965
111,109775.1743,0.9744739752
112,115136.8283,0.9747496824
113,95683.3411,0.974982734
114,114032.0342,0.9752729596
115,97188.32016,0.9755123366
116,98208.38321,0.9757528821
117,91198.32435,0.9759824973
118,88919.52806,0.9762112419
119,92880.7915,0.9764514477
120,81325.11032,0.9766606557
121,87610.65333,0.976881238
122,78313.9044,0.9770880577
123,95882.69159,0.9773583311
124,87122.42808,0.9775824526
125,79264.02154,0.977801543
126,100301.0065,0.9780609388
127,71663.31255,0.9782609816
128,96402.41653,0.9785327199
129,63781.77985,0.9787046527
130,92808.16309,0.9789713394
131,76566.40233,0.9791829734
132,64258.49966,0.9793728975
133,62797.72779,0.9795542077
134,61910.17509,0.9797236367
135,58626.91794,0.9799001249
136,74803.23959,0.9801181446
137,63964.6828,0.9803089509
138,56807.63756,0.980476853
139,54172.29631,0.9806347423
140,53756.75213,0.9808024542
141,64920.42266,0.9809961114
142,60879.58073,0.981182713
143,48102.00685,0.9813308084
144,60563.88029,0.9815197573
145,48534.02609,0.9816751598
146,61166.93677,0.9818651532
147,49142.34627,0.9820184688
148,52485.01387,0.9821893948
149,50600.36899,0.9823527984
150,49997.96659,0.9825149407
151,47836.09463,0.9826654903
152,47159.72549,0.9828229454
153,45270.92561,0.9829697581
154,40166.32376,0.9831071616
155,45826.05527,0.9832576558
156,47493.66674,0.9834162259
157,38342.38875,0.9835500133
158,44197.52399,0.9836951592
159,36417.85891,0.9838197398
160,39286.84792,0.9839546723
161,33282.08105,0.9840749016
162,43942.54706,0.9842288308
163,43618.37279,0.9843774465
164,46161.99259,0.9845416769
165,42078.73707,0.9846902288
166,36370.0115,0.9848245991
167,40328.16146,0.984966419
168,45864.67508,0.9851270814
169,45047.10449,0.985295975
170,34952.22552,0.9854246289
171,33745.57461,0.985549303
172,30198.2944,0.9856592188
173,29331.03371,0.9857707941
174,32113.63987,0.985892515
175,34249.39021,0.9860190505
176,33230.2124,0.9861454582
177,33755.08265,0.9862706294
178,29666.25629,0.9863875392
179,26022.59613,0.9864886657
180,31081.40572,0.9866064741
181,28384.84762,0.9867175573
182,27158.50669,0.986826071
183,26331.72379,0.9869320018
184,25597.36871,0.9870297245
185,25527.20628,0.9871317202
186,29155.35478,0.987251404
187,24442.51293,0.9873494003
188,24699.50007,0.9874494407
189,20908.74982,0.9875329831
190,22724.56972,0.9876256464
191,26244.62326,0.9877358953
192,22734.75264,0.9878273558
193,22498.4815,0.9879234072
194,19785.51173,0.9880043567
195,20553.7707,0.9880921057
196,24789.12561,0.9881979363
197,22528.94284,0.9882922681
198,22260.81181,0.9883882187
199,22089.12194,0.9884813134
200,19269.35168,0.9885667429
201,20200.96527,0.9886521564
202,20143.52774,0.9887376026
203,20939.66302,0.9888327296
204,20961.48288,0.9889236533
205,19402.46216,0.9890112659
206,27219.02484,0.9891289602
207,17498.75555,0.9892070188
208,20116.16856,0.9892981294
209,20393.74745,0.989389102
210,19369.42074,0.9894760353
211,17961.25037,0.9895588605
212,17710.36615,0.9896398017
213,23302.26239,0.9897469371
214,20281.67152,0.989840185
215,16743.05173,0.989916018
216,16756.37607,0.9899953507
217,16196.59168,0.9900715898
218,17193.39815,0.9901513447
219,17573.05746,0.9902345439
220,14971.99288,0.9903054284
221,17285.24322,0.9903879746
222,16940.41265,0.9904704966
223,19764.65174,0.990563531
224,15540.3405,0.9906396581
225,19424.06705,0.9907324182
226,15301.59921,0.9908069571
227,16289.12371,0.9908858607
228,17137.20812,0.9909709828
229,13922.17749,0.9910422311
230,16848.78463,0.9911229235
231,16634.01547,0.9912048634
232,13189.17719,0.9912703753
233,17928.75084,0.9913606557
234,13081.95098,0.9914283201
235,14216.13577,0.9914985439
236,13473.50229,0.9915667586
237,13871.12289,0.9916388845
238,13447.07874,0.9917056774
239,12725.51081,0.991772543
240,11740.15336,0.9918313393
241,14741.63691,0.9919104122
242,12464.1535,0.9919764161
243,15711.08156,0.9920576793
244,11736.73851,0.9921199918
245,13680.59889,0.9921898166
246,12245.30704,0.9922575101
247,11113.57999,0.9923162099
248,11233.79363,0.9923749299
249,10662.36705,0.992431976
250,12601.39019,0.9924988791
251,13577.23005,0.9925731924
252,11187.28479,0.9926336593
253,11755.31211,0.9926976789
254,10086.82772,0.9927534401
255,14095.38249,0.9928317468
256,11964.08978,0.9928970671
257,11199.31461,0.9929580587
258,9923.333953,0.9930142739
259,10167.37032,0.9930706195
260,10215.94272,0.9931279331
261,13074.41086,0.9932012834
262,10780.31672,0.9932619108
263,12192.55862,0.9933309811
264,13659.69977,0.993407615
265,12892.48852,0.9934827673
266,12964.66869,0.9935567437
267,13501.52677,0.9936335987
268,12924.48071,0.9937092911
269,14062.7045,0.9937899178
270,15116.52701,0.9938772069
271,13303.67122,0.9939558483
272,14946.83027,0.9940442028
273,12340.28775,0.9941163051
274,12234.81641,0.994186954
275,11388.88534,0.994255835
276,12685.96004,0.9943306514
277,10451.37278,0.9943935762
278,9823.024307,0.9944519114
279,11198.07626,0.9945188722
280,9721.905514,0.9945782032
281,8733.291502,0.9946303059
282,8891.862768,0.994684328
283,8419.634931,0.994735366
284,8987.74482,0.9947912004
285,8747.982762,0.9948450666
286,8233.526021,0.994894751
287,9195.301003,0.9949518749
288,8378.111931,0.9950036929
289,7510.892773,0.9950507638
290,7461.211295,0.9950982381
291,7174.393576,0.9951412367
292,7171.846389,0.9951879493
293,7068.172407,0.9952323424
294,6638.2545,0.9952743079
295,7586.83668,0.9953220624
296,6947.01191,0.9953669303
297,7958.075034,0.9954184371
298,8440.212351,0.9954713321
299,6548.976867,0.9955132709
300,6281.020871,0.9955537515
301,5648.818542,0.9955902349
302,5973.991897,0.9956301264
303,6917.501803,0.9956743304
304,5827.723847,0.9957121288
305,6577.073948,0.9957562274
306,6399.860355,0.9957977366
307,6420.430006,0.9958403456
308,5980.881431,0.9958791374
309,6056.906683,0.9959210744
310,5718.297407,0.9959587107
311,5944.720261,0.9959985694
312,5676.725228,0.9960361652
313,6608.174105,0.9960806532
314,4924.914299,0.9961148198
315,6399.537214,0.9961580783
316,7615.120634,0.9962093453
317,5266.726531,0.9962453067
318,4664.63635,0.9962774762
319,4656.822089,0.9963092095
320,5800.217543,0.9963486549
321,4621.006332,0.9963805235
322,4679.831163,0.9964134381
323,5953.281366,0.9964549835
324,4604.63941,0.9964864242
325,5986.436508,0.9965286924
326,5477.524449,0.9965673673
327,4543.481932,0.9965997582
328,5137.399596,0.9966363128
329,4718.489321,0.996669112
330,4454.906021,0.9967009323
331,6762.697849,0.9967484038
332,4203.367082,0.9967780824
333,6401.000756,0.9968253798
334,5258.412243,0.9968627236
335,4956.291442,0.9968986677
336,5245.034256,0.9969361318
337,4050.768217,0.9969648438
338,4470.892008,0.9969985524
339,4824.013179,0.9970335373
340,3554.32847,0.997059995
341,4126.584123,0.9970899784
342,3508.278206,0.9971153252
343,4070.53365,0.9971462939
344,3535.443768,0.9971717886
345,3185.84164,0.9971959393
346,3418.671329,0.9972211065
347,3084.896369,0.9972442387
348,4172.912665,0.9972753582
349,3972.693599,0.9973046039
350,3554.361208,0.9973316455
351,5071.929621,0.9973703022
352,3759.084805,0.9973989013
353,5054.190905,0.9974374919
354,5057.866207,0.9974752801
355,3959.472358,0.9975061081
356,4153.538828,0.9975373672
357,3631.020037,0.9975658863
358,4703.202996,0.9976017327
359,3797.687806,0.9976306255
360,3264.463087,0.9976564443
361,4094.42692,0.9976876507
362,3415.403173,0.9977145698
363,3302.944867,0.9977398794
364,2996.641528,0.9977638259
365,2863.522394,0.9977864345
366,3295.39483,0.9978124077
367,3059.203991,0.9978363519
368,2642.389376,0.9978572868
369,2725.579701,0.9978792165
370,3019.896612,0.9979031836
371,3136.398884,0.9979279895
372,3009.063449,0.9979519942
373,2700.822137,0.9979736507
374,2748.919969,0.9979962195
375,2432.28535,0.998015623
376,2687.838566,0.9980371754
377,2461.003832,0.9980573805
378,2365.507101,0.9980764454
379,2613.11803,0.9980978993
380,2484.432085,0.9981177527
381,2512.602583,0.9981387252
382,2172.629229,0.9981567113
383,2098.019199,0.9981739362
384,1950.917785,0.9981900601
385,1849.453597,0.9982053202
386,2096.419908,0.998222991
387,1831.971755,0.9982380316
388,2029.469056,0.9982550269
389,2076.883121,0.9982725046
390,1956.01471,0.9982887777
391,1953.855671,0.9983054072
392,1882.358823,0.9983209903
393,1828.098249,0.9983365494
394,1706.241862,0.9983513049
395,1885.89432,0.9983670463
396,1922.627012,0.9983835415
397,1834.699434,0.9983988556
398,1867.501898,0.9984153123
399,2305.244344,0.9984350271
400,2069.889366,0.9984527008
401,1963.665155,0.9984698975
402,2040.903241,0.9984872957
403,1719.857331,0.9985024043
404,1925.335423,0.9985189491
405,1601.267603,0.9985327968
406,1713.000601,0.9985480561
407,1718.020475,0.9985628664
408,1842.498701,0.998579254
409,1628.003857,0.9985933107
410,1699.6645,0.9986083349
411,1644.444324,0.998623051
412,1580.888874,0.998636717
413,1785.312823,0.9986516799
414,1675.25249,0.9986654568
415,1674.387562,0.9986795817
416,1647.456399,0.9986927918
417,1684.213247,0.998706216
418,1760.705361,0.9987200331
419,1778.55308,0.9987343918
420,1548.786863,0.9987466836
421,1530.57458,0.9987586423
422,1698.570451,0.9987719718
423,1586.258964,0.9987841703
424,1703.391925,0.9987973045
425,1544.758943,0.9988092156
426,1709.067927,0.9988221363
427,1864.301402,0.9988364985
428,1756.64677,0.998849827
429,1812.845182,0.9988634331
430,1752.108397,0.9988763556
431,1606.091886,0.9988882231
432,1492.504636,0.9988997925
433,1519.43379,0.9989109573
434,1640.78317,0.9989233057
435,1431.259245,0.9989336855
436,1582.404791,0.9989453564
437,1547.803703,0.9989568779
438,1511.961623,0.998967843
439,1622.327324,0.9989798749
440,1720.696249,0.9989923773
441,1290.654673,0.9990017728
442,1472.089253,0.9990124185
443,1462.662917,0.9990226658
444,1349.948737,0.9990326961
445,1415.214192,0.9990428337
446,1368.731675,0.99905276
