freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.582800272e+11,0.826497202
1,2657708853,0.8945346404
2,411347302.8,0.9155956508
3,157281871.6,0.9256617041
4,138203393,0.936275739
5,47884001.62,0.9424048995
6,31405343.74,0.9460228
7,12494791.92,0.9479420026
8,6809483.729,0.9491622637
9,11222993.01,0.9511734268
10,7162105.627,0.9527319031
11,7038145.619,0.9541733172
12,5701797.209,0.9556329793
13,5164099.84,0.9571532923
14,4814278.445,0.958508995
15,4240848.608,0.9598117854
16,3791212.461,0.9609764475
17,4202329.204,0.9625363542
18,3521517.784,0.9638886188
19,2340576.429,0.9647874014
20,1447034.776,0.9653615856
21,1617381.209,0.9661068758
22,2030152.744,0.9669903995
23,1993822.842,0.9678836333
24,1436261.116,0.9685822317
25,1499967.701,0.9693886154
26,1254306.621,0.9700950419
27,1034987.818,0.9706382042
28,723478.6779,0.9710271469
29,839432.6802,0.971542895
30,704347.9711,0.9719666313
31,637390.2993,0.9723908789
32,779780.8394,0.9728899393
33,635206.3034,0.9733127331
34,562604.8188,0.9737232102
35,586279.9902,0.9741134387
36,654825.8904,0.9745995821
37,501195.3477,0.9749652547
38,438089.0782,0.9753241377
39,371585.4471,0.9756190283
40,439825.6888,0.9759511852
41,411058.9066,0.9763089713
42,492478.9525,0.9767250181
43,350332.4444,0.9770478849
44,399810.5444,0.9774009981
45,387964.8677,0.9777386831
46,405908.275,0.97812316
47,390587.44,0.9784881254
48,299457.1684,0.9787871038
49,316881.3592,0.9790953664
50,257718.6374,0.9793724659
51,290393.3904,0.9796735461
52,269047.2391,0.9799421633
53,282573.6032,0.9802532207
54,261347.8216,0.9805241865
55,264595.6606,0.9808425484
56,213800.4657,0.9810779003
57,211352.2132,0.9813213784
58,228068.1717,0.9815870325
59,248649.9372,0.9818798431
60,170919.1159,0.9820942443
61,180844.4541,0.9823187811
62,143167.7504,0.982498371
63,154636.1003,0.9826963054
64,165778.3551,0.9829021361
65,154979.144,0.9831163796
66,147829.7109,0.9833056019
67,150757.9377,0.9835101505
68,146644.3084,0.9837222571
69,148547.9058,0.9839200044
70,149442.1965,0.984134245
71,126156.66,0.9843070294
72,116095.2366,0.9844853519
73,136446.4964,0.9846879479
74,128904.1777,0.9848793451
75,139241.0017,0.9850914373
76,133620.6664,0.9852966789
77,130536.5092,0.9855038667
78,113947.2762,0.9856774315
79,104163.2783,0.9858427596
80,116194.4256,0.9860361074
81,118210.8166,0.986225245
82,108114.7185,0.9864106836
83,117606.3708,0.9866003594
84,118541.6301,0.9868036823
85,124003.9475,0.9870211359
86,111802.6592,0.9872157622
87,94947.68557,0.9873834781
88,86674.00072,0.9875288132
89,79518.69417,0.9876814893
90,87801.80812,0.9878365826
91,77561.58372,0.9879795444
92,67807.11469,0.9881053945
93,66170.27517,0.9882290537
94,65290.1456,0.9883560824
95,69365.99931,0.9884848258
96,71052.3585,0.9886212466
97,72959.63149,0.9887688003
98,75386.78653,0.988915473
99,69350.42044,0.9890583906
100,63421.43275,0.9891817835
101,62053.88093,0.9893136358
102,57247.19185,0.9894316109
103,55291.6279,0.9895420174
104,61672.90752,0.989674639
105,68026.28645,0.9898148278
106,60018.09122,0.9899485002
107,54764.94998,0.9900662669
108,55735.86646,0.9901846947
109,55868.64328,0.9903069801
110,55657.78939,0.9904295165
111,44713.74861,0.9905325371
112,49063.40589,0.9906424393
113,59005.24806,0.990776877
114,55442.60707,0.9909088749
115,49936.83927,0.9910239296
116,48892.89507,0.9911359531
117,45345.27895,0.9912427505
118,47662.0974,0.9913574447
119,50814.07258,0.9914803743
120,46530.44209,0.9915923453
121,42448.41417,0.9916923199
122,39191.19603,0.991789138
123,35363.54992,0.9918823847
124,36701.69959,0.9919707038
125,37027.0335,0.992066441
126,36396.3825,0.9921544913
127,37376.8116,0.9922520897
128,32336.51659,0.9923373548
129,33382.76191,0.9924215329
130,34127.41714,0.9925132675
131,32898.64237,0.9925983303
132,34444.05708,0.9926935614
133,31763.9945,0.9927793497
134,35210.90515,0.9928694897
135,29322.69159,0.9929520626
136,29450.68145,0.993032357
137,30175.13134,0.9931165578
138,28746.46853,0.9931960361
139,32175.52331,0.9932837596
140,30455.15038,0.99337264
141,28285.84476,0.993451569
142,28388.0075,0.9935329632
143,28705.82219,0.993615636
144,31145.62639,0.9937065316
145,31744.15625,0.9938016118
146,32083.8374,0.9938948347
147,28567.88313,0.9939782073
148,28723.8292,0.9940657117
149,26389.23678,0.9941454284
150,24103.37839,0.9942185486
151,26633.55642,0.9942969578
152,25706.96818,0.994377246
153,24844.96638,0.9944526158
154,23810.42301,0.9945288092
155,21870.86368,0.9945959966
156,22255.69088,0.9946655057
157,20773.12083,0.9947333092
158,19526.06697,0.9947932934
159,20273.35769,0.9948581682
160,20507.1825,0.9949240538
161,19595.27947,0.9949902702
162,19345.56384,0.9950536619
163,19498.09685,0.9951158063
164,20439.11598,0.9951838277
165,20060.0386,0.9952500741
166,19852.86875,0.9953186857
167,22918.86507,0.9953940797
168,22260.0256,0.9954670215
169,22194.56936,0.9955448624
170,22671.79123,0.995622926
171,19786.91564,0.9956913097
172,19202.92456,0.9957566919
173,18569.04728,0.995822768
174,18483.5441,0.9958883034
175,19224.507,0.9959547434
176,17755.89635,0.996017926
177,16454.43164,0.9960750033
178,16407.56305,0.9961354882
179,14886.29702,0.9961896029
180,13521.16851,0.9962375436
181,13696.52791,0.9962876839
182,14919.5419,0.9963434473
183,12873.59386,0.9963918933
184,12413.28439,0.9964362237
185,12497.41725,0.9964829341
186,12158.50986,0.9965296228
187,12582.20733,0.9965768112
188,11447.87765,0.996620185
189,10641.11324,0.9966599572
190,12053.18329,0.996705933
191,11985.27872,0.9967530304
192,13251.64065,0.996802899
193,11379.24176,0.9968483432
194,11733.34608,0.9968932491
195,11177.57336,0.996937888
196,11116.38344,0.9969822824
197,11230.79222,0.9970262712
198,11934.52768,0.9970743913
199,10756.03587,0.997116796
200,10128.26156,0.9971588
201,10092.40619,0.9971987175
202,10614.18282,0.9972408346
203,10117.91508,0.9972838318
204,10260.763,0.9973254659
205,10366.42445,0.9973692537
206,9377.077098,0.9974071822
207,8464.588472,0.9974425033
208,7891.320265,0.9974759373
209,8112.192675,0.9975097879
210,7588.519652,0.9975416476
211,7838.081886,0.9975754579
212,7569.684566,0.9976078199
213,6688.536759,0.997636586
214,7592.789446,0.9976692411
215,7889.028525,0.9977026654
216,7296.276962,0.9977349792
217,6252.121309,0.9977625086
218,6292.26218,0.997789812
219,6748.709539,0.9978197007
220,6560.523188,0.997848756
221,6949.42482,0.9978798005
222,6474.397518,0.9979093031
223,6453.159194,0.9979377177
224,6296.15507,0.9979665692
225,6195.828065,0.9979942473
226,6486.859826,0.9980238066
227,6152.245397,0.9980516837
228,6054.137952,0.9980798137
229,6302.372303,0.9981099845
230,5684.24627,0.9981354499
231,5666.935175,0.9981615632
232,5789.098948,0.9981884617
233,5321.66229,0.9982135289
234,4904.849547,0.9982372605
235,4918.937693,0.99825999
236,4810.171164,0.998282771
237,4664.602374,0.9983054597
238,4704.616912,0.9983273192
239,4134.936274,0.9983476433
240,4395.915184,0.9983682373
241,4117.409287,0.9983888968
242,3779.713499,0.99840762
243,4077.413987,0.9984273482
244,3865.884894,0.9984465478
245,4172.719317,0.99846647
246,4086.355481,0.9984876014
247,4712.344406,0.9985108842
248,4699.538789,0.9985338631
249,3902.919606,0.9985533965
250,3683.498335,0.9985716902
251,3851.91388,0.9985914121
252,4028.499698,0.9986117802
253,3739.46963,0.9986308306
254,3388.24242,0.9986483519
255,3345.636049,0.9986657385
256,3292.71131,0.998682555
257,3459.549844,0.9987001794
258,3355.517903,0.998717961
259,3019.146528,0.9987336123
260,3108.883043,0.9987499277
261,3050.871154,0.9987659387
262,3001.17169,0.9987817273
263,2878.615508,0.9987969817
264,3037.056,0.9988129201
265,2954.288451,0.9988290293
266,2793.964537,0.9988439424
267,2773.00868,0.9988587081
268,2518.918966,0.9988725078
269,2679.76447,0.9988868799
270,2652.353393,0.9989012069
271,2690.26852,0.998916083
272,2523.838296,0.9989300389
