freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.118294101e+11,0.8219744895
1,1426378259,0.844749872
2,388298503.5,0.8571500146
3,403500911.1,0.8732570457
4,291277231.6,0.8872097619
5,115299709.4,0.8964148762
6,75982754.13,0.9018744472
7,47182457.03,0.9063947005
8,31755671.94,0.9099440626
9,23877774.07,0.9126129045
10,18550080.11,0.9151305564
11,26176349.7,0.9184742775
12,32907112.02,0.9237286485
13,20254757.21,0.9274479026
14,9704610.694,0.9291524213
15,11151435.26,0.9312891185
16,15255232.83,0.9342121336
17,14183608.77,0.9374960018
18,7957925.915,0.9394019984
19,6071368.293,0.940856147
20,6881542.078,0.9425592795
21,6434932.574,0.9444087503
22,4345206.891,0.9455882297
23,3830922.86,0.9466586946
24,2759918.616,0.9474959941
25,3644750.175,0.9487181258
26,3078112.059,0.9497994056
27,3039077.544,0.9507941846
28,2721190.057,0.9517066347
29,2334355.346,0.9526011941
30,2317190.344,0.953470676
31,2436790.582,0.9544823079
32,1961863.082,0.9552654484
33,1929933.825,0.9560666591
34,1516115.086,0.9567565938
35,2192123.054,0.9576666522
36,1916472.087,0.9585540768
37,1825066.168,0.9593846051
38,1501027.198,0.9601515594
39,1360164.259,0.9608248213
40,1410440.31,0.9614891878
41,1446062.473,0.9622742371
42,1360389.648,0.962991054
43,1188910.874,0.9636744662
44,1050547.13,0.9642531824
45,1352527.318,0.9649874526
46,1182878.334,0.9656862846
47,881711.4575,0.9662001511
48,911522.3719,0.9667677779
49,837832.9333,0.9672761387
50,849767.0258,0.9678460144
51,931606.8895,0.9684484611
52,810061.213,0.9689529057
53,752517.7386,0.9694695791
54,958766.2448,0.9700895892
55,750593.5435,0.9706528813
56,699264.6618,0.9711329916
57,648349.5854,0.9715988487
58,728752.3016,0.9721282954
59,556955.6998,0.9725373766
60,601770.8867,0.9730082002
61,601453.0663,0.9734739733
62,565300.5554,0.9739162626
63,508927.3015,0.9743225719
64,598334.4889,0.97478593
65,520490.823,0.9752347144
66,541586.8957,0.9756670979
67,469150.7766,0.9760641242
68,425941.2691,0.9764483877
69,448179.9682,0.976820511
70,402799.7459,0.9771806815
71,347061.7918,0.9774771589
72,399737.7314,0.9778601223
73,374612.6792,0.978207052
74,400931.1069,0.9785783552
75,320321.2214,0.9788826774
76,310872.0217,0.9791805043
77,339227.8978,0.9795163302
78,324998.6378,0.9798250962
79,384490.3743,0.9802057307
80,285503.9513,0.9805020476
81,298905.5055,0.9808003419
82,307919.9951,0.9811297571
83,264091.2505,0.9813954167
84,288921.2202,0.9817045069
85,250916.684,0.9819789492
86,253245.6001,0.982253917
87,241417.2491,0.9825198966
88,229739.1156,0.9827601708
89,219455.6293,0.9830229791
90,256165.2558,0.9833052072
91,245256.3204,0.9835871647
92,240540.4213,0.983865621
93,267798.6182,0.9841777702
94,280898.5589,0.9845186443
95,271717.2436,0.9848331918
96,283319.0586,0.9851724794
97,306218.0632,0.9855587475
98,252389.9547,0.9858650261
99,224090.2633,0.9861530641
100,238208.9903,0.9864421339
101,190723.8887,0.9866948973
102,178813.7048,0.9869247384
103,185354.5496,0.9871555878
104,173873.085,0.9873887954
105,165215.8126,0.9876011582
106,160553.6688,0.9878241918
107,161616.4564,0.9880409602
108,157637.6264,0.9882498749
109,140573.756,0.9884417865
110,133577.0727,0.9886252127
111,124062.4736,0.9888034973
112,141649.2857,0.9890014008
113,131500.4058,0.9891882744
114,142921.4355,0.9894005067
115,123475.21,0.9895779474
116,120437.5515,0.9897500612
117,121243.9078,0.9899281673
118,119474.5324,0.9901074896
119,107755.4964,0.9902700827
120,96022.57947,0.9904142053
121,110386.5,0.990576362
122,92627.86841,0.9907190869
123,108554.7069,0.9908976193
124,110795.0122,0.9910639142
125,93174.85501,0.9912141769
126,93185.59304,0.9913547854
127,99303.10353,0.9915165166
128,88732.64179,0.991662449
129,86183.2017,0.9917979959
130,76828.49232,0.9919268039
131,79232.26716,0.9920545814
132,73722.91407,0.9921817141
133,84567.14515,0.9923241715
134,67645.51002,0.992432183
135,68571.19974,0.9925526215
136,62056.41758,0.9926581494
137,68783.79447,0.992777863
138,58566.41883,0.9928788588
139,60988.04902,0.99298257
