freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.15058142e+11,0.6780657101
1,1163550014,0.7074145498
2,703509203.1,0.742904522
3,797987544.9,0.7932246807
4,433993731.2,0.8260652435
5,212156310.2,0.8528218997
6,164997677.8,0.8715501078
7,65235972.64,0.8814229972
8,64569741.84,0.8928237353
9,48898707.52,0.9014575217
10,30776861.87,0.9080560813
11,12688515.71,0.9106164747
12,14459468.06,0.914263663
13,10659579.08,0.9173556936
14,12384329.11,0.9207918352
15,9613937.906,0.9237018047
16,14537005.28,0.9281018999
17,12224496.01,0.9325729017
18,10602396.3,0.9365843498
19,7444830.11,0.9394011233
20,5959504.432,0.9417310793
21,3651251.573,0.9433888336
22,4406425.189,0.9452783088
23,3210815.844,0.9466956008
24,3209100.309,0.9482335527
25,2954568.099,0.9497985702
26,2868831.447,0.9513905354
27,2639299.764,0.9527552709
28,2494663.856,0.9540766797
29,2583997.476,0.9556409407
30,2052320.202,0.9568574596
31,1849513.753,0.9580703925
32,1659737.012,0.9591170032
33,1098320.861,0.959837295
34,1107636.878,0.9606335426
35,888304.228,0.961216103
36,840195.0069,0.9618306909
37,837840.9811,0.9624329901
38,828306.4532,0.9631015602
39,925828.24,0.9638254925
40,862486.9408,0.964467264
41,1005010.876,0.9653291614
42,712450.9954,0.9659221889
43,752710.9673,0.9666056859
44,648141.8975,0.9671697066
45,568940.6568,0.9676576302
46,483678.3842,0.968109033
47,445561.2735,0.968519243
48,482359.9365,0.968993749
49,510850.9317,0.9694833966
50,421219.0534,0.9699296311
51,471189.646,0.9704109763
52,539469.4726,0.970941662
53,562587.4922,0.9715518511
54,415036.23,0.9719758326
55,408272.7744,0.9724598424
56,434144.6606,0.9729307208
57,292488.3545,0.9732627123
58,269646.6794,0.9735721779
59,296786.8129,0.9739165344
60,256991.7018,0.9742341641
61,253047.4912,0.9745437275
62,287270.6994,0.9748987806
63,317776.8466,0.9752995533
64,280887.857,0.975643175
65,267446.1803,0.9760074556
66,242337.8554,0.9763130864
67,185578.9015,0.976561177
68,192582.2078,0.9768356316
69,179361.7203,0.9770708867
70,170672.9503,0.9773119653
71,203958.6629,0.9775871991
72,195445.9634,0.9778829893
73,280544.5687,0.9782934162
74,264611.4676,0.9786805334
75,245818.2838,0.9790494575
76,234803.3606,0.9794048117
77,206017.4246,0.9797269939
78,160144.1752,0.9799673383
79,163925.4561,0.9802236946
80,128463.3871,0.9804343141
81,132357.5467,0.9806429719
82,131240.2428,0.9808647648
83,132752.2172,0.981075719
84,124823.5416,0.9812866679
85,127235.3351,0.9815065066
86,145458.8543,0.9817559977
87,132824.8301,0.9819871691
88,113985.0696,0.9821754886
89,139520.0417,0.9824394277
90,113841.4389,0.98263756
91,108790.225,0.9828351333
92,103487.4595,0.9830243814
93,98351.73003,0.9832054782
94,95927.08722,0.9833893693
95,97451.9074,0.9835675802
96,110257.4176,0.9837761613
97,95868.41217,0.9839671944
98,98543.68102,0.9841561015
99,104579.2975,0.9843684491
100,87262.17001,0.9845357297
101,81443.25092,0.9847062355
102,88222.76542,0.9848853713
103,79949.96111,0.9850426677
104,85241.99086,0.9852232764
105,67863.24042,0.9853610723
106,67099.98067,0.9855083197
107,66535.17207,0.9856492928
108,74936.33004,0.985806176
109,79989.38604,0.9859786821
110,85131.35283,0.986163351
111,75707.30982,0.9863352155
112,78525.72074,0.9865085264
113,88197.33597,0.9867065201
114,67283.04413,0.9868643519
115,58755.38906,0.9869977336
116,63344.68142,0.9871407346
117,60773.49368,0.9872817634
118,50939.34113,0.9874025412
119,58870.32472,0.9875428659
120,55530.37254,0.987674529
121,60661.9613,0.9878152991
122,60295.60747,0.9879620628
123,58088.9187,0.9881129792
124,52422.94856,0.9882372747
125,53006.89692,0.9883723138
126,48164.86843,0.9884871207
127,43363.78382,0.9885986871
128,42808.39642,0.9887099043
129,43713.21599,0.9888185105
130,46142.63636,0.988940718
131,41818.2644,0.9890472532
132,42201.05239,0.9891622148
133,46470.36818,0.9892858763
134,49177.09052,0.9894099183
135,43627.82307,0.9895309676
136,42585.45257,0.9896453651
137,41542.22932,0.9897595799
138,37900.04722,0.9898628249
139,32186.12735,0.9899492867
140,33304.79137,0.9900450541
141,31848.14581,0.9901326162
142,31807.68173,0.9902224741
143,33775.77676,0.9903183178
144,35683.15464,0.9904209241
145,37601.68337,0.9905318924
146,36563.38192,0.9906365687
147,38632.18421,0.9907476548
148,35163.69352,0.9908532022
149,31004.58428,0.9909454835
150,30005.27929,0.9910351689
151,30699.10096,0.991124218
152,29431.91155,0.991214788
153,27397.04848,0.9912966774
154,32911.22688,0.9914004446
155,30383.41636,0.9914924098
156,34078.84869,0.9915972797
157,33350.20498,0.9917045339
158,30278.78533,0.9917961825
159,30903.51488,0.9918936195
160,26969.59052,0.9919789931
161,24744.75428,0.9920613809
162,25597.50549,0.9921440254
163,24062.60688,0.9922195899
164,22687.42257,0.9922939833
165,25190.5388,0.9923759491
166,22474.40473,0.9924524785
167,22835.54298,0.9925264936
168,24265.53382,0.9926048376
169,24593.62908,0.9926898239
170,23523.44649,0.9927696287
171,23268.95175,0.9928488636
172,22128.55939,0.9929230989
173,21923.85799,0.9929999655
174,22398.18461,0.9930782127
175,21083.91237,0.9931500071
176,21172.83318,0.9932242406
177,19887.63929,0.9932922123
178,20841.5168,0.9933679126
179,21976.04162,0.9934466251
180,21096.00895,0.9935203232
181,21707.72894,0.9935986222
182,19096.20098,0.9936689465
183,19120.54777,0.9937398428
184,18566.62131,0.9938051729
185,17908.82211,0.9938711245
186,16317.9112,0.9939328638
187,16911.97655,0.9939953578
188,17049.42634,0.9940590047
189,17635.96567,0.9941239515
190,16852.28443,0.9941872876
191,17173.72388,0.994253781
192,18262.36102,0.9943214953
193,18171.664,0.9943929984
194,17163.53594,0.9944577207
195,16123.70057,0.9945211654
196,15767.57608,0.9945832087
197,14614.22133,0.9946396079
198,13688.14885,0.9946939869
199,14128.13463,0.9947488666
200,13592.16552,0.9948044071
201,14457.55295,0.9948607487
202,14963.65386,0.9949192513
203,14679.50081,0.9949807159
204,13827.82469,0.9950359986
205,14487.48821,0.9950962938
206,13348.57807,0.9951494921
207,13834.51678,0.9952063719
208,12862.26095,0.9952600653
209,11919.44306,0.9953090713
210,12239.74767,0.995359703
211,12597.71989,0.9954132454
212,11817.00462,0.9954630225
213,12338.10515,0.9955153059
214,12088.4006,0.9955665311
215,12740.2146,0.995619715
216,12539.31303,0.9956744325
217,11402.94667,0.9957239036
218,11151.53494,0.9957715807
219,11207.10021,0.9958204848
220,10466.99809,0.9958661593
221,9945.80894,0.9959099359
222,10408.44423,0.9959566676
223,10761.11601,0.9960033541
224,10414.14421,0.9960503741
225,10818.12792,0.9960979902
226,10892.25436,0.9961468941
227,11929.51988,0.9962001542
228,9587.104283,0.9962440446
229,9954.845018,0.9962909997
230,8982.007203,0.9963306473
231,9069.145275,0.9963718234
232,8938.997222,0.9964127467
233,8293.26407,0.9964512368
234,8800.691396,0.9964931919
235,8787.954363,0.9965332021
236,8805.499693,0.9965742917
237,9543.658031,0.9966200294
238,9652.25185,0.9966642181
239,9045.570955,0.996708025
240,8780.736098,0.9967485561
241,8453.938016,0.9967903508
242,8123.474942,0.9968299995
243,7493.489212,0.9968657228
244,7305.81718,0.9969014728
245,7637.942623,0.9969374031
246,7466.745739,0.9969754473
247,7808.344217,0.9970134595
248,7650.446087,0.997050317
249,8150.427523,0.9970905084
250,7604.986515,0.9971277223
251,7258.231765,0.997164338
252,7019.550074,0.9971993069
253,7148.311403,0.9972351877
254,6793.046131,0.9972697993
255,6331.427117,0.9973022186
256,5804.219452,0.997331426
257,5590.168498,0.9973594858
258,5917.04977,0.9973903803
259,6447.448043,0.9974233123
260,6438.083424,0.9974566025
261,5997.142364,0.9974876127
262,6446.001903,0.9975210251
263,6463.943824,0.9975547751
264,6113.992287,0.9975863895
265,6037.188103,0.997618825
266,5379.732865,0.9976471176
267,4847.546364,0.9976725502
268,4671.104269,0.9976977641
269,4847.354121,0.9977233791
270,5092.352705,0.9977504814
271,5685.157208,0.9977814558
272,5437.259987,0.9978110795
273,5524.554835,0.9978408304
274,5327.412727,0.9978691838
275,5377.322162,0.9978991592
276,4726.890608,0.997924853
277,4724.155067,0.9979510682
278,4512.447264,0.9979757671
279,4557.484602,0.9980008849
280,4598.683061,0.9980267518
281,4528.668052,0.9980516537
282,4548.493286,0.9980771236
283,4694.324905,0.9981033508
284,4642.030918,0.9981299299
285,4615.35676,0.9981561234
286,4680.802232,0.998182157
287,4542.298312,0.9982081651
288,4018.779446,0.9982310742
289,3731.446675,0.9982526277
290,3613.786988,0.9982738207
291,3360.678079,0.9982923849
292,3414.160435,0.9983128808
293,3571.344599,0.9983335546
294,3601.21521,0.9983545376
295,3673.328144,0.9983758481
296,3972.56649,0.9983994958
297,3878.943927,0.9984226351
298,3898.738936,0.9984451549
299,3502.782881,0.9984658294
300,3314.638372,0.9984855189
301,3172.766545,0.9985044056
302,3112.000134,0.9985235585
303,2861.967785,0.9985404146
304,2955.029639,0.9985580797
305,3051.408198,0.9985769367
306,3175.333049,0.9985959188
307,3098.0736,0.9986148688
308,3398.922064,0.9986351874
309,3280.95396,0.998656125
310,3189.675701,0.9986754744
311,2887.032945,0.9986933156
312,2654.523625,0.9987095191
313,2657.630191,0.9987260096
314,2630.106484,0.998742827
315,2548.709822,0.998758706
316,2764.398483,0.998775859
317,2828.476253,0.9987936594
318,2862.737301,0.9988118559
319,2815.940076,0.9988295419
320,2813.880608,0.9988471794
321,2801.625704,0.9988649875
322,2651.39416,0.998882175
323,2388.346039,0.9988975368
324,2186.159933,0.9989112949
325,2158.520479,0.9989253419
326,2081.340681,0.9989388865
327,1923.038226,0.9989515223
328,2214.121285,0.9989660428
329,2293.717586,0.9989807381
330,2425.14936,0.9989967037
331,2435.035861,0.999012458
332,2341.598991,0.9990276963
333,2308.943059,0.9990434211
334,2215.445579,0.9990579223
335,2049.515572,0.9990716217
336,1817.851711,0.9990835892
337,1866.689212,0.9990957841
338,1809.035416,0.9991083553
339,1732.279103,0.9991199342
340,1928.353582,0.9991331643
341,1941.469533,0.999146166
342,2183.891451,0.9991607086
343,2082.309664,0.99917531
344,2014.473041,0.999188699
345,1888.97214,0.9992018971
346,1731.508251,0.9992136456
347,1579.502961,0.9992245619
348,1459.604647,0.9992345944
349,1468.630337,0.9992445593
350,1485.38486,0.999254975
351,1621.927957,0.9992663686
352,1633.585186,0.9992778236
353,1697.266725,0.9992897678
354,1780.91158,0.9993020312
355,1686.125345,0.999314131
356,1502.532768,0.9993245533
357,1470.760148,0.9993352004
358,1340.564062,0.9993446175
359,1309.813028,0.9993538021
360,1308.417335,0.9993633399
361,1244.055371,0.9993720791
362,1250.359777,0.9993811622
363,1312.809465,0.999390434
364,1350.275342,0.9994003792
365,1364.784467,0.9994103107
366,1404.675727,0.9994205148
367,1438.860536,0.9994308946
368,1322.99,0.9994405554
369,1169.383866,0.9994492272
370,1122.004447,0.9994574345
371,957.6551706,0.9994644154
372,938.0572081,0.9994713126
373,966.3375839,0.9994784543
374,1088.185589,0.9994866887
375,1167.142249,0.9994952703
376,1213.203427,0.9995042365
377,1317.016014,0.9995142024
378,1275.943059,0.9995236805
379,1247.211349,0.9995331183
380,1053.261788,0.9995408758
381,932.1776023,0.9995480472
382,834.8458957,0.9995544172
383,863.3275188,0.99956095
384,833.2684918,0.9995672975
385,887.5713224,0.9995740474
386,985.3251917,0.9995817022
387,1069.810845,0.9995897975
388,1058.824729,0.99959797
389,1078.894364,0.9996063381
390,986.5455465,0.9996139029
391,929.0201864,0.9996211906
392,857.0129529,0.9996277297
393,738.5798722,0.9996335235
394,641.2649549,0.9996386348
395,655.9826231,0.9996436814
396,688.5847665,0.9996491264
397,723.2159015,0.9996546903
398,832.6771195,0.9996614533
399,877.0622932,0.9996683666
400,934.9084402,0.9996757241
401,890.0980273,0.9996829085
402,862.3907019,0.9996896844
403,756.4340264,0.9996958091
404,681.7692404,0.9997012088
405,627.6194452,0.9997062114
406,567.3199779,0.9997108692
407,567.4359688,0.9997153777
408,624.9144679,0.9997205005
409,702.0285854,0.9997260873
410,807.8255435,0.9997326688
411,831.6301104,0.9997395282
412,652.0842821,0.9997447236
413,505.8622842,0.9997486313
414,501.2770856,0.9997524308
415,502.1147075,0.9997563348
416,509.3113644,0.9997600989
417,499.8468531,0.9997637709
418,466.426523,0.9997671445
419,489.5446364,0.9997707872
420,436.7056892,0.9997739816
421,415.1467855,0.9997769712
422,406.7313153,0.9997799131
423,417.183202,0.99978287
424,392.808724,0.9997856616
425,397.016053,0.999788483
426,418.0125722,0.9997913958
427,405.7755801,0.9997942769
428,417.1729001,0.9997971943
429,409.5570359,0.9998000274
430,385.8285005,0.9998026502
431,392.3447335,0.9998053222
432,390.3654508,0.9998081112
433,417.828071,0.999810941
434,401.720881,0.9998137275
435,388.2453062,0.9998163226
436,382.0992235,0.99981892
437,355.4093525,0.9998213584
438,368.6655963,0.9998238227
439,352.7262747,0.9998262337
440,359.7557787,0.999828643
441,368.8341261,0.9998311177
442,341.7038319,0.9998333952
443,341.6528839,0.9998356013
444,368.1019426,0.9998381222
445,362.0559877,0.9998405126
446,327.6850918,0.9998427029
447,321.3704147,0.9998448125
448,312.5587029,0.9998467874
449,325.9130937,0.9998490173
450,324.1212424,0.999851147
451,314.9539751,0.9998532224
452,310.6878008,0.9998552286
453,325.4962805,0.9998573448
454,314.5590962,0.9998594116
455,327.1590637,0.9998614891
456,295.187707,0.9998634343
457,262.1749793,0.9998651437
458,255.9856039,0.9998667886
459,285.2089377,0.9998686285
460,274.0285246,0.9998703513
461,252.6934206,0.9998720053
462,262.5425516,0.9998736658
463,248.8482844,0.9998752743
464,265.9633953,0.9998769766
465,271.4500735,0.9998787037
466,273.61272,0.9998804688
467,260.8227758,0.9998820921
468,257.6442043,0.9998837363
469,259.283952,0.999885386
470,261.6243325,0.9998870572
471,286.859944,0.9998888752
472,246.8108352,0.999890402
473,250.2660188,0.9998919848
474,241.7353909,0.9998935199
475,232.7253723,0.9998949977
476,217.2086137,0.9998963413
477,241.8014786,0.999897828
478,223.3301938,0.9998992602
479,233.5931099,0.9999007023
480,213.329554,0.9999020489
481,231.413701,0.9999034833
482,212.4468956,0.999904819
483,216.6636653,0.9999061716
484,224.0670306,0.9999075294
485,197.1575645,0.9999087789
486,205.6570829,0.99991002
