freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.012439201e+11,0.9238925785
1,1171920509,0.9411732456
2,327594055,0.9508343851
3,83131167.39,0.9538989318
4,108063298.2,0.9586793052
5,68570002.27,0.9637348331
6,63412274.23,0.9679425663
7,38329677.76,0.9713337301
8,19570662.7,0.9733537977
9,9701102.144,0.9743551375
10,13018932.81,0.9759868989
11,8919160.028,0.9770390456
12,6885021.54,0.9780542831
13,5298918.886,0.9789528439
14,5375551.344,0.9798247667
15,4322935.442,0.9805896979
16,2946678.588,0.9811111043
17,3452683.666,0.9818493265
18,2521847.155,0.9824071186
19,1649660.2,0.982771997
20,1622020.892,0.9831427208
21,1758837.859,0.9836095529
22,2288282.474,0.9841831684
23,1227329.472,0.9844998782
24,1219008.547,0.9848414034
25,1344033.294,0.9852575934
26,1201936.15,0.9856475053
27,1021537.824,0.9859563005
28,850285.1908,0.9862195978
29,834894.7914,0.9865150623
30,912007.8874,0.9868310926
31,898701.332,0.9871756417
32,627747.2367,0.9874070544
33,665813.2711,0.9876623176
34,658806.3744,0.9879391806
35,645744.2493,0.9881867496
36,595483.4884,0.9884413916
37,543940.6356,0.9886699824
38,508580.9625,0.9889099609
39,466874.6929,0.9891233757
40,357104.5617,0.9892787144
41,459904.574,0.9895092877
42,403966.837,0.9897058598
43,467297.7173,0.9899539209
44,314092.5414,0.990113707
45,374632.784,0.9903015292
46,312478.9777,0.9904720137
47,303446.4688,0.990635333
48,327400.9112,0.9908236141
49,295046.2595,0.9909889382
50,303422.0872,0.991176852
51,322945.8951,0.9913697142
52,277739.167,0.991529436
53,249675.7557,0.9916877456
54,223334.8141,0.9918211204
55,275941.8376,0.9920123599
56,239055.5836,0.9921639357
57,238129.3832,0.9923219469
58,285299.1628,0.9925133611
59,222612.7621,0.9926643588
60,229284.4881,0.9928300247
61,179054.1942,0.9929580773
62,165056.4506,0.9930773363
63,156685.5601,0.9931928574
64,154799.7235,0.9933035642
65,171579.9057,0.9934401867
66,181082.2094,0.993573695
67,199728.3237,0.993729786
68,161189.2928,0.993864077
69,151074.5378,0.9939799166
70,184426.3046,0.9941322073
71,175115.358,0.9942703539
72,131390.4345,0.9943865997
73,124819.4018,0.9944933509
74,112570.9317,0.9945896265
75,101461.5606,0.9946786452
76,101007.5377,0.9947680101
77,110354.1627,0.9948688989
78,113730.2031,0.9949686816
79,92193.18882,0.9950529671
80,96219.93225,0.9951451904
81,96779.8199,0.9952343826
82,88675.69481,0.9953219902
83,92395.33036,0.995407823
84,90118.88047,0.9954968564
85,82930.79751,0.9955806226
86,73670.19402,0.9956544917
87,68413.01685,0.9957240983
88,75666.39902,0.9957971796
89,73842.32897,0.9958788433
90,76449.36748,0.9959566264
91,70454.75505,0.9960314271
92,55597.99989,0.9960908644
93,62022.17475,0.9961576269
94,57227.47336,0.9962217597
95,48666.89156,0.9962737873
96,48294.75258,0.9963271974
97,54927.36983,0.9963911825
98,58341.41564,0.9964565637
99,50718.80122,0.9965167679
100,46068.70318,0.9965683955
101,38334.57247,0.9966153126
102,41665.87491,0.9966647709
103,41272.20656,0.9967122404
104,43667.49612,0.9967663282
105,43703.77453,0.9968182055
106,41165.28055,0.9968710151
107,32818.87286,0.9969116655
108,33824.35627,0.9969530626
109,35683.76389,0.9969980509
110,35156.87781,0.9970426341
111,36056.75911,0.9970904851
112,35029.93086,0.9971356821
113,35366.25479,0.9971820953
114,28566.47104,0.9972212697
115,23600.70896,0.9972525903
116,23204.22094,0.9972832136
117,23529.65591,0.9973151338
118,29918.844,0.9973566039
119,24381.69902,0.9973905788
120,25888.42768,0.9974264624
121,27381.55768,0.9974636081
122,23103.69876,0.9974964835
123,22304.29052,0.9975303592
124,20970.10121,0.9975594255
125,18615.97672,0.9975871504
126,20378.318,0.9976155467
127,20289.67716,0.9976460634
128,19480.44462,0.9976756503
129,17724.73677,0.9977013944
130,19559.95648,0.9977316789
131,16780.6884,0.9977566704
132,17110.01134,0.9977839185
133,17593.30497,0.9978112877
134,17090.50838,0.9978364887
135,17827.02098,0.9978654044
136,16887.3405,0.9978919244
137,14870.14207,0.9979158247
138,15066.34206,0.9979398183
139,14256.46711,0.9979622067
140,14303.53363,0.9979862509
141,15524.00766,0.9980112022
142,12545.63496,0.9980319214
143,14779.2011,0.9980564383
144,13626.37481,0.9980793442
145,13976.03063,0.9981034561
146,13699.42557,0.9981263838
147,12483.72096,0.998147369
148,12036.67362,0.99816849
149,11481.78215,0.9981884681
150,10930.6347,0.9982075678
151,10598.67162,0.9982255404
152,11207.40745,0.9982457021
153,10719.87079,0.9982644335
154,10291.10822,0.9982834021
155,10872.18359,0.9983026401
156,11333.84372,0.9983230293
157,9143.392976,0.9983402194
158,9145.282814,0.9983564017
159,9824.207933,0.9983745097
160,9588.635101,0.9983922542
161,9340.529657,0.9984104348
162,9877.5951,0.9984290781
163,10607.32138,0.9984485513
164,10404.72801,0.9984684964
165,10541.05342,0.9984885474
166,10575.60852,0.9985095998
167,10181.97262,0.9985288927
168,9597.014556,0.9985470065
169,9210.905991,0.9985656138
170,9394.379016,0.9985842455
171,8530.549517,0.9986012269
172,8112.437864,0.9986171368
173,8066.93369,0.998633671
174,8010.800939,0.9986500312
175,8760.616288,0.9986674706
176,8719.227042,0.9986853419
177,8439.565263,0.9987022043
178,8404.154334,0.9987200494
179,8092.205825,0.9987369935
180,7506.887605,0.9987523246
181,7395.37184,0.9987679186
182,7515.131967,0.9987840976
183,7807.116907,0.9988010203
184,7644.194625,0.9988167445
185,7492.109341,0.998832874
186,7394.455105,0.9988492293
187,7569.997546,0.9988655822
188,6547.015291,0.9988798701
189,6517.932337,0.9988939023
190,6469.025874,0.9989081153
191,6239.459679,0.998922238
192,7038.270641,0.9989374942
193,6494.614607,0.9989524339
194,5602.838256,0.9989647851
195,5767.524653,0.9989780522
196,5772.988622,0.9989913319
197,5572.204795,0.9990039032
198,5586.674879,0.9990168779
199,5432.32396,0.9990292137
200,4860.751973,0.999040825
201,5396.864142,0.9990531202
202,5563.878961,0.9990658368
203,5759.651848,0.9990799351
204,4826.209525,0.9990912148
205,4015.602788,0.9991009848
206,4146.234263,0.9991106448
207,4140.653837,0.9991205969
208,4172.316975,0.9991307791
209,4052.768865,0.99914052
210,3867.182384,0.9991498719
211,3809.435511,0.999159337
212,3916.506018,0.9991689814
213,4081.422748,0.9991790922
214,4025.869794,0.9991890653
215,4000.947625,0.9991988292
216,3964.007946,0.9992089413
217,3630.703755,0.9992181497
218,3494.902476,0.9992268848
219,3535.5974,0.999235904
220,3434.590227,0.9992446656
221,3103.547642,0.9992526514
222,3135.468758,0.9992608811
223,3626.346066,0.9992700784
224,3580.941866,0.9992795302
225,3489.994919,0.9992885103
226,3507.652801,0.9992977169
227,3343.838597,0.9993064442
228,3292.513541,0.9993152561
229,3428.299551,0.9993247093
230,3255.80482,0.9993331109
231,3246.710166,0.9993417283
232,3228.490191,0.9993503688
233,3133.616735,0.9993588709
234,2870.467186,0.9993668707
235,2919.828136,0.999374642
236,2926.772344,0.9993826261
237,2752.988032,0.999390339
238,2732.459825,0.999397652
239,2474.135308,0.9994046566
240,2778.275647,0.9994121536
241,2747.872951,0.9994200954
242,2684.826692,0.9994277559
243,2759.912997,0.9994354476
244,3011.196927,0.9994440615
245,2930.049726,0.9994521193
246,2995.268463,0.9994610411
247,2838.068573,0.9994691179
248,2757.98519,0.9994768855
249,2602.426638,0.9994843877
250,2648.958978,0.9994919655
251,2398.461946,0.9994990388
252,2680.00518,0.9995068437
253,2273.036587,0.9995135136
254,2493.640388,0.9995209412
255,2322.171108,0.9995278923
256,2110.934371,0.9995341021
257,2104.714027,0.9995402781
258,2368.387986,0.9995475072
259,2254.351031,0.9995542387
260,2203.894297,0.9995609007
261,1982.573145,0.9995668937
262,2118.540722,0.9995733134
263,1995.659572,0.9995794048
264,2128.651567,0.9995858394
265,1838.247175,0.999591613
266,2053.457245,0.9995979263
267,2061.279895,0.9996042484
268,1644.775356,0.9996094386
269,1782.808789,0.999614946
270,1672.245543,0.9996201489
271,1562.561888,0.9996251258
272,1706.816157,0.999630562
273,1750.738832,0.9996360737
274,1673.746257,0.9996412813
275,1423.62575,0.9996459205
276,1408.087207,0.999650395
277,1621.861727,0.9996556564
278,1722.978428,0.9996611695
279,1620.296758,0.99966639
280,1693.932949,0.9996719601
281,1761.759352,0.9996776233
282,1482.834739,0.9996824774
283,1338.137793,0.999686848
284,1416.176182,0.9996915883
285,1326.298081,0.9996959886
286,1298.80957,0.9997002116
287,1232.319005,0.9997043365
288,1324.085279,0.999708749
289,1226.883701,0.9997128918
290,1233.494268,0.9997171207
291,1098.624309,0.9997206685
292,1207.596628,0.9997249065
293,1307.174991,0.9997293301
294,1233.284043,0.999733531
295,1129.784146,0.9997373626
296,1118.286732,0.9997412542
297,1147.884393,0.9997452573
298,1314.010273,0.9997496943
299,1170.119246,0.9997537318
300,1173.829238,0.999757808
301,1146.725808,0.9997617986
302,1109.162545,0.9997657893
303,1009.232856,0.9997692641
304,1000.089296,0.9997727592
305,960.670145,0.9997762297
306,961.8966863,0.9997795913
307,966.6094944,0.9997830477
308,934.1669184,0.9997863123
309,975.7488578,0.9997899525
310,929.2021485,0.9997932477
311,862.6236968,0.9997963641
312,895.3857764,0.9997995592
313,965.9025081,0.999803063
314,943.3601132,0.9998065893
315,942.166616,0.9998100208
316,854.7357583,0.9998131213
317,837.1292097,0.9998162011
318,818.4311925,0.9998192423
319,772.2209875,0.9998220776
320,804.8372802,0.9998250268
321,806.1465598,0.9998280223
322,671.5814489,0.9998305674
323,700.234569,0.9998332003
324,678.0775839,0.999835695
325,636.7057356,0.9998381173
326,593.9417653,0.9998403768
327,683.8981123,0.9998430038
328,647.9736853,0.9998454881
329,669.0618327,0.999847994
330,699.5778082,0.9998506864
331,600.4957393,0.9998529576
332,625.7012645,0.999855338
333,634.0423688,0.9998578623
334,580.8853364,0.999860085
335,576.0932505,0.9998623362
336,577.2396416,0.9998645577
337,537.7118369,0.9998666113
338,510.2946711,0.9998686844
339,541.9680581,0.9998708021
340,462.901109,0.9998726587
341,511.367478,0.9998746607
342,472.2694711,0.9998764992
343,450.0520342,0.9998783441
344,488.7548289,0.9998802431
345,402.4907762,0.9998818871
