freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.013788775e+11,0.8892389523
1,579274468.9,0.8995058288
2,187330018.5,0.9061461842
3,376965117.4,0.9228492089
4,174735643.4,0.9321400859
5,29599780.95,0.9347631714
6,50711661.06,0.9388077595
7,41289427.52,0.9431985636
8,26160515.79,0.9464441883
9,24829142.63,0.9495246351
10,16052342.94,0.9519429414
11,9208444.997,0.9532486018
12,13234221.69,0.9555941932
13,15533270.59,0.9587602208
14,5330798.964,0.9597995161
15,8756172.706,0.9616618155
16,6386802.806,0.9630201875
17,3808881.753,0.9639990449
18,5300302.673,0.9654081581
19,5256678.11,0.9668056735
20,3344223.298,0.9677243887
21,3296442.889,0.9687760406
22,2704320.738,0.9695908595
23,3012833.945,0.9705253334
24,2960178.993,0.9715221736
25,2411778.65,0.9724198311
26,2318306.286,0.9733237874
27,1860668.088,0.9739998342
28,2082889.792,0.9747750802
29,1199879.724,0.9752854711
30,1687894.333,0.9759884901
31,1090285.872,0.976490911
32,933101.0387,0.9769043606
33,738180.6489,0.9772445259
34,833139.2843,0.9776653653
35,1051005.986,0.9781496854
36,933693.0639,0.9786295913
37,746792.9673,0.979006815
38,946865.2011,0.979543837
39,744506.8231,0.9799528945
40,716519.5718,0.9803275258
41,765485.1886,0.9807888111
42,647789.9834,0.9811676915
43,671578.9823,0.9815961942
44,638220.0475,0.9819864447
45,580922.3269,0.9823365115
46,556628.8384,0.9827015355
47,604206.7528,0.9830924055
48,458613.2301,0.9834094098
49,407428.5756,0.9836838129
50,378083.8482,0.9839652565
51,397269.1914,0.98425042
52,363098.1158,0.984501402
53,381918.9494,0.9847924694
54,432105.1173,0.9851026384
55,314639.3054,0.985364737
56,253217.1851,0.9855577185
57,314611.4776,0.9858086418
58,284822.9706,0.9860383309
59,267215.7499,0.9862561891
60,221150.2826,0.9864482493
61,275086.8075,0.9866847136
62,240038.8119,0.9868931778
63,213666.7229,0.9870825258
64,227903.6479,0.9872784315
65,217757.5084,0.9874868426
66,209518.1134,0.9876725142
67,196020.7843,0.9878566473
68,186114.607,0.9880430203
69,183252.3982,0.9882119115
70,208258.8805,0.9884186139
71,141081.9993,0.9885523902
72,177729.4926,0.9887413915
73,178989.5922,0.988925388
74,159218.8176,0.9890890608
75,164711.9102,0.9892627592
76,180701.2648,0.9894549207
77,159982.0237,0.9896307199
78,125318.583,0.9897628757
79,168903.1751,0.9899484781
80,126781.917,0.9900945358
81,102021.9855,0.9902075487
82,121250.2295,0.9903515317
83,142517.7279,0.9905106659
84,124824.8176,0.9906588937
85,109242.3854,0.9907915218
86,124839.4686,0.9909419796
87,101274.9282,0.9910658322
88,100170.9019,0.9911821207
89,107891.8002,0.9913255387
90,94228.91467,0.9914407745
91,89427.86737,0.9915548938
