freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.592834914e+11,0.7965565201
1,4222700407,0.871452687
2,291719688.2,0.8818008928
3,251252316.5,0.8929417705
4,120504350.6,0.8993537673
5,71060445.14,0.9056556056
6,97334750.78,0.9134243307
7,39173628.64,0.9175931625
8,35551609.89,0.9220071046
9,18590644.89,0.9243152429
10,33197644.75,0.9293201442
11,19798607.14,0.9321294172
12,13277728.4,0.9344844291
13,19053248.31,0.9383707279
14,21260748.09,0.9425187451
15,9993766.006,0.9446458051
16,10568916.53,0.9468952794
17,6778467.452,0.9486385662
18,5142552.163,0.9500067337
19,3533171.301,0.9509467282
20,4287658.937,0.9521254769
21,3856049.353,0.9533565516
22,3731862.148,0.9544817882
23,3316493.774,0.9555111939
24,3587876.429,0.9567202888
25,3229411.692,0.9579231403
26,2475434.351,0.9588890654
27,2041810.788,0.9596314666
28,2479002.425,0.9605548149
29,2353933.509,0.9615568311
30,3173546.46,0.9628795941
31,3434387.256,0.9644633635
32,1861070.261,0.965288588
33,1892438.921,0.9661612871
34,1461053.162,0.9668998376
35,1260448.008,0.9674810938
36,1033626.769,0.9680127502
37,1177683.147,0.9686080595
38,1379138.816,0.9693908171
39,1245103.272,0.9700754163
40,876475.7297,0.9705340133
41,1104304.843,0.9711999566
42,1035191.044,0.9718058605
43,1005101.875,0.9724476342
44,920231.9318,0.9730107344
45,1333416.686,0.9738148419
46,820919.6282,0.9743535726
47,775700.7927,0.9748557491
48,720600.3952,0.975354207
49,591768.7719,0.9757530527
50,650653.2706,0.9762377473
51,758173.2959,0.9767823664
52,657351.6281,0.9772370734
53,505753.2679,0.9776227973
54,507485.655,0.9779873397
55,546634.6902,0.9784430243
56,587784.4138,0.978891311
57,502383.934,0.9792922863
58,436064.8181,0.9796441964
59,544610.9883,0.9800885345
60,501528.9913,0.980524409
61,417179.5595,0.9808832765
62,388781.1269,0.9812211627
63,370868.6862,0.9815500594
64,468015.185,0.9819526569
65,361827.0393,0.9822992054
66,381867.1551,0.9826378559
67,327667.1854,0.9829458753
68,290674.3515,0.9832371646
69,265163.2541,0.9834817249
70,238122.4389,0.9837182393
71,290791.7302,0.9839941733
72,227230.8077,0.9842359908
73,221773.7512,0.984464134
74,201579.8219,0.9846715033
75,226166.5613,0.9849101825
76,194945.5793,0.9851176423
77,184906.7991,0.9853209781
78,175943.2285,0.9855066555
79,140946.1053,0.9856616492
80,194629.6194,0.985886033
81,168331.0795,0.9860726339
82,158379.3444,0.9862608439
83,150031.1314,0.9864284891
84,142533.7341,0.986597869
85,128316.6148,0.9867537678
86,143144.9129,0.9869264129
87,106971.9515,0.9870573275
88,154939.5001,0.9872373276
89,113952.2362,0.9873889117
90,114373.8109,0.9875288849
91,104680.1805,0.9876625649
92,100448.2483,0.9877917313
93,115517.4221,0.9879412996
94,81754.42692,0.9880515028
95,98910.2135,0.9881786915
96,91516.53541,0.9883004306
97,93164.0773,0.988430971
98,86297.70594,0.9885472985
99,89749.78097,0.9886754426
100,88706.85639,0.9887950175
101,83819.64835,0.9889184113
102,75039.02488,0.9890255514
103,75412.92042,0.9891298816
104,74201.97742,0.9892404329
105,81023.02495,0.989356117
106,64613.57146,0.9894558209
107,73658.458,0.9895655625
108,61035.72359,0.9896554153
109,71830.88002,0.9897643451
110,65549.564,0.9898643307
111,76130.74997,0.9899858575
112,78922.96306,0.9901083419
113,74115.46116,0.9902253371
114,72926.67916,0.9903456296
115,64829.62145,0.9904491165
116,62064.55975,0.9905476392
117,58527.65868,0.9906431425
118,68820.61115,0.9907578827
119,61537.52888,0.990861026
120,55380.58051,0.9909533585
121,53200.94521,0.9910401699
122,59226.12573,0.99114154
123,50142.76721,0.9912331441
124,49677.49012,0.9913159682
125,44841.02323,0.9913962961
126,52026.22491,0.9914834975
127,49056.55953,0.9915722471
128,43861.33788,0.9916523759
129,39598.43328,0.9917215563
130,42001.46107,0.9917997773
131,47920.95735,0.9918856225
132,43234.46788,0.9919684402
133,46201.66371,0.9920548931
134,43338.63598,0.9921317609
135,47470.94387,0.9922243777
136,33710.07519,0.9922880541
137,36931.35865,0.992359453
138,40753.84707,0.9924375189
139,50119.5954,0.992532192
140,37643.54854,0.992608306
141,43232.07426,0.9926918859
142,37794.60667,0.9927669647
143,41492.0824,0.9928497565
144,34551.95223,0.9929196194
145,31317.14243,0.992984608
146,32647.19523,0.9930503301
147,29579.61445,0.9931101391
148,33215.45806,0.9931802453
149,27951.0833,0.9932387445
150,29353.1009,0.9933004383
151,24957.32247,0.9933513439
152,24674.26192,0.9934047355
153,26321.51253,0.9934600576
154,29083.74391,0.9935245383
155,27944.60794,0.9935840152
156,28495.73607,0.993645676
157,26044.9094,0.9937045743
158,28288.33219,0.9937647828
159,27229.88303,0.9938251533
160,27408.21291,0.9938861623
161,26898.74209,0.9939491383
