freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.978294292e+11,0.7124537329
1,4052640944,0.790010049
2,589175979.3,0.8125604398
3,388325504.2,0.8311391246
4,214760088.5,0.8434688633
5,85633360.35,0.8516627893
6,60916637.91,0.8569087796
7,46394617.08,0.862235966
8,28567194.04,0.8660628444
9,32301532.47,0.8703899771
10,22469612.7,0.8740450291
11,27995146.96,0.8783310253
12,8511403.057,0.8799598719
13,13892860.22,0.8830173866
14,16927808.14,0.8865808513
15,10781344.46,0.8890567519
16,9885670.021,0.8913269638
17,7969102.192,0.8935383085
18,6579509.756,0.8954270123
19,5674342.895,0.8970558802
20,6977044.56,0.8991254603
21,5126409.695,0.9008913552
22,5021614.295,0.9025250515
23,4643903.749,0.9040803018
24,4531063.902,0.90572783
25,5841744.436,0.9080755207
26,3729507.965,0.9096457145
27,3945160.06,0.9111934529
28,3855764.738,0.9127430145
29,2530514.763,0.9139052635
30,2872690.782,0.915197184
31,2759410.743,0.9165701783
32,2441462.558,0.917738249
33,2968153.479,0.919215107
34,2795387.016,0.9207397419
35,2740535.175,0.9221033443
36,2176165.797,0.923311072
37,2437807.777,0.9246406792
38,1811115.31,0.9257497905
39,2166259.575,0.9270349328
40,1890357.319,0.9281021307
41,1709160.668,0.9292142231
42,1700652.752,0.9302882338
43,1335944.412,0.9312086197
44,1462789.856,0.9321744039
45,1899406.19,0.9334102824
46,1582988.865,0.9345311612
47,1400646.455,0.9355095251
48,1100462.173,0.9363308572
49,1134411.405,0.9371558178
50,1032151.016,0.9379854232
51,1184832.013,0.9389037365
52,882397.6519,0.9395623156
53,1043034.587,0.9404206297
54,987442.8868,0.9411859549
55,901025.7993,0.9419963824
56,958604.745,0.942785219
57,805449.5839,0.9434788523
58,734563.4962,0.944118469
59,820848.4757,0.9448410721
60,798739.9344,0.9455900699
61,750722.6485,0.9462868573
62,752538.8572,0.9469925312
63,872408.2914,0.9478273051
64,746679.0741,0.9485203394
65,746658.5117,0.949291944
66,686069.9636,0.9499484179
67,633791.5734,0.9505912557
68,572605.9727,0.9512103879
69,665686.6734,0.9518728365
70,583542.4377,0.9524982101
71,587359.7738,0.9530995736
72,580303.3353,0.9537658974
73,674455.8704,0.9545145159
74,605360.6155,0.9551864416
75,586613.0503,0.9558543974
76,576080.7212,0.9565158727
77,507829.5766,0.9571184166
78,480969.8132,0.9576660802
79,488668.3448,0.9582458891
80,421759.0598,0.9587705236
81,504999.7234,0.9593745421
82,453024.7286,0.9599554078
83,436068.9346,0.9604811523
84,458312.0011,0.9610687973
85,568415.3267,0.9618139331
86,456000.1895,0.9624073405
87,464253.7028,0.963020373
88,434224.527,0.9635646685
89,382574.9298,0.9641137753
90,330389.1865,0.9645500439
91,384113.2379,0.965079306
92,445704.6424,0.9656976985
93,391659.9851,0.9662448544
94,346128.9586,0.9667482745
95,349035.6192,0.9672325437
96,335291.8234,0.9677137854
97,375220.1302,0.9682810586
98,313553.7563,0.9687371004
99,312971.689,0.969219248
100,312040.2751,0.9696730885
101,324790.8935,0.9701889831
102,276165.3544,0.9706144288
103,280139.4807,0.971032594
104,293664.7057,0.9715046681
105,271345.3697,0.9719226883
106,257018.3392,0.9723506081
107,242551.7352,0.9727405167
108,283844.9212,0.9731913731
109,255235.3936,0.9736089977
110,249681.2687,0.9740199235
111,230691.9824,0.974417256
112,209498.1816,0.9747680623
113,206030.7837,0.9751189766
114,227686.4206,0.9755242043
115,209464.4019,0.9758849755
116,180980.6789,0.9761949559
117,165514.892,0.9764863656
118,184633.2056,0.9768185022
119,163082.9222,0.9771134324
120,164681.4108,0.9774096777
121,164414.6037,0.9776991502
122,183585.1414,0.9780381847
123,159782.7202,0.9783531379
124,152492.3782,0.9786274564
125,152363.7398,0.9789219542
126,143278.674,0.9791810691
127,142884.9729,0.9794599802
128,127824.5582,0.9797119396
129,146033.6636,0.9799872155
130,134791.0388,0.9802580658
131,125956.7171,0.9805015225
132,127623.8665,0.9807652982
133,121880.5493,0.9810113723
134,128995.2365,0.9812582334
135,127362.3822,0.9815263434
136,114045.4926,0.9817587812
137,128917.0318,0.9820276967
138,100552.2223,0.9822355201
139,111526.8177,0.9824628246
140,108772.7793,0.982700128
141,108529.5745,0.9829265162
142,110691.9722,0.98316377
143,101535.7883,0.9833823703
144,93662.10571,0.9835867076
145,91320.74075,0.9837911799
146,87299.71103,0.9839808014
147,74028.78049,0.9841423059
148,78984.89812,0.9843221806
149,80482.70201,0.984503926
150,74532.5135,0.984672948
151,69013.80223,0.9848248323
152,68806.77618,0.9849854783
153,79759.33146,0.9851663535
154,70545.80129,0.9853351099
155,69805.41518,0.9854954157
156,62718.40115,0.985641847
157,61943.47786,0.9857929889
158,57964.12448,0.9859261016
159,65923.48548,0.9860838007
160,58251.51945,0.9862237047
161,57066.03636,0.98636786
162,50285.37171,0.9864910373
163,56718.65791,0.9866261743
164,50142.43818,0.9867509207
165,46474.91257,0.9868656534
166,52285.84421,0.9870007353
167,49162.16583,0.9871216316
168,53355.86311,0.9872523303
169,49542.50614,0.9873822208
170,44116.05762,0.9874957737
171,52339.10356,0.9876309931
172,45051.39152,0.9877456602
173,41034.22792,0.9878548143
174,46900.61671,0.9879791247
175,48539.04423,0.9881045266
176,50703.72222,0.9882394023
177,42844.62342,0.9883505024
178,37956.30984,0.9884551009
179,42001.5831,0.9885692397
180,37126.73816,0.9886676443
181,36562.128,0.9887677011
182,38248.09994,0.9888745677
183,39866.09844,0.9889867179
184,36190.02302,0.9890833323
185,38465.76626,0.989190807
186,38256.60364,0.9893006258
187,41527.47322,0.9894170524
188,36514.6167,0.9895204731
189,31452.43651,0.9896083524
190,34189.3995,0.9897058416
191,36447.74995,0.9898129092
192,32048.89051,0.9899030683
193,37895.56844,0.990016202
194,29808.96552,0.9901014859
195,36152.80658,0.9902094168
196,31926.83285,0.9903047314
197,33312.13953,0.9904022692
198,28736.80049,0.9904888852
199,28862.12831,0.9905739457
200,22499.49074,0.9906436994
201,24996.36072,0.9907176061
202,27362.85705,0.9907987718
203,24517.26142,0.9908766577
204,29248.73715,0.9909653765
205,25010.54992,0.9910443509
206,30952.06677,0.9911379401
207,26644.58568,0.9912210543
208,28635.63359,0.9913117494
209,22824.7915,0.9913829484
210,24314.98266,0.9914592611
211,22060.26829,0.9915303971
212,22481.94076,0.9916022476
213,23696.86201,0.9916784343
214,22374.28721,0.9917503688
215,21666.14271,0.9918189901
216,18545.14785,0.9918803882
217,22820.11556,0.991955503
218,19832.80287,0.9920198359
219,19675.29784,0.9920849757
