freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.845867991e+11,0.6248771969
1,3376554064,0.716321727
2,537477651.8,0.7454338872
3,426892687.5,0.7743368756
4,151314234.9,0.7866306451
5,110396730.3,0.8015795796
6,73547683.53,0.8105428302
7,45424564.24,0.8179240144
8,38713523.17,0.8252631474
9,31671100.44,0.8312672101
10,21301388.93,0.8361707631
11,18701829.26,0.8402226573
12,17275759.04,0.8449013139
13,16013547.04,0.8498886588
14,12705304.46,0.8536736231
15,9263604.054,0.856684169
16,10097260.41,0.8599656419
17,11114041.05,0.8643300367
18,10826047.03,0.8687279351
19,8326566.542,0.8721104618
20,5969988.63,0.8746165089
21,5330255.14,0.8772149001
22,5779962.151,0.8798759801
23,7365192.35,0.883366629
24,4677503.29,0.885773494
25,4983387.15,0.8886076774
26,3774842.309,0.8908567606
27,3912828.569,0.8930291051
28,4065311.151,0.8953411545
29,3957111.72,0.89791317
30,3562949.888,0.9001807447
31,3027110.705,0.9023122464
32,2931493.07,0.9042970288
33,2783808.221,0.9062572121
34,2736598.706,0.9083694362
35,3090439.473,0.91054553
36,2128449.945,0.9122171805
37,1881180.154,0.9136691559
38,1746121.485,0.9151823982
39,2061728.995,0.9169133194
40,1556609.602,0.9181569338
41,1336522.252,0.9193875968
42,1442938.229,0.9206771691
43,1189801.325,0.9218371771
44,1284499.965,0.9230373317
45,927901.4732,0.9238917387
46,1047894.498,0.9249417726
47,1017113.124,0.9259471894
48,1168453.142,0.9271813166
49,931161.5087,0.9281395971
50,890637.8411,0.9291526555
51,790427.098,0.9300196191
52,742314.2877,0.9308036559
53,800215.6433,0.9317355349
54,684320.8703,0.9324861181
55,691562.5929,0.9333663829
56,637816.9935,0.934109143
57,700997.5642,0.9349634482
58,722335.9452,0.9358535397
59,622959.9308,0.9366296116
60,603732.7512,0.9374307819
61,604519.8301,0.9382248108
62,593189.704,0.9390119902
63,609447.9201,0.9398372499
64,510511.8506,0.9405078006
65,504792.6576,0.9412460291
66,500339.157,0.9419235435
67,542872.7756,0.9427027596
68,412722.0939,0.9433342841
69,489503.0141,0.9440236388
70,418283.3748,0.9446580088
71,462899.4052,0.9453287029
72,452651.4609,0.9460642308
73,411803.6297,0.9467110788
74,495962.8717,0.9474901213
75,369999.294,0.9480863349
76,411519.8022,0.9487550268
77,447195.6269,0.9495059115
78,373450.2028,0.9501076858
79,366094,0.9507223931
80,384740.9769,0.9513996693
81,339087.8597,0.9519736222
82,345881.86,0.9526012275
83,359399.2945,0.953214427
84,342262.3809,0.9538354648
85,349055.4376,0.9544830084
86,332456.1427,0.9550952563
87,270662.9447,0.9556010366
88,335112.0763,0.9561954867
89,295087.9431,0.9567948591
90,319623.6584,0.9573921309
91,291245.7918,0.9579600366
92,282342.5818,0.9585144049
93,277061.7975,0.9590621563
94,267949.756,0.9596136633
95,271608.2344,0.9601469552
96,261497.6044,0.9606781
97,240124.5536,0.9611918451
98,238888.9353,0.9616835377
99,224975.094,0.9621740098
100,226352.7738,0.9626398999
101,211516.7209,0.9631153521
102,203936.7438,0.9635599581
103,193566.3181,0.9639688499
104,194005.1853,0.9644101934
105,181356.9824,0.9648055729
106,181032.2158,0.9652321123
107,167555.6999,0.9656132856
108,155545.8483,0.9659629252
109,169979.5938,0.9663565178
110,164365.5271,0.9667393365
111,152113.6425,0.9671100981
112,150681.4961,0.967467167
113,149283.3144,0.967826987
114,145613.1522,0.9681937348
115,141340.2801,0.9685382374
116,128718.3411,0.9688502323
117,131047.6572,0.9691767458
118,133872.4581,0.9695175485
119,126202.8651,0.9698405355
120,119267.9491,0.9701441592
121,115975.6391,0.9704331198
122,121104.1805,0.9707496175
123,122657.0659,0.9710917653
124,112977.9671,0.9713793764
125,114468.2716,0.9716924818
126,114613.5746,0.9719858087
127,102357.1396,0.9722685585
128,91994.82898,0.9725251751
129,100325.2971,0.9727928025
130,96721.25118,0.9730678421
131,91996.79497,0.9733194812
