freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.649617742e+11,0.8793969847
1,467990996.1,0.8864779947
2,540507408.6,0.9028344562
3,223279205.3,0.9112803574
4,214676414.8,0.9210249413
5,76182462.98,0.9267883938
6,67327872.79,0.9313726103
7,28338246,0.9339452675
8,29212277.23,0.9370392736
9,28333155.91,0.9400401679
10,21764145.47,0.9428392669
11,15919982.65,0.9447663049
12,10114107.3,0.9462966355
13,8951621.57,0.9478542403
14,9388564.031,0.9494168466
15,7530245.964,0.9507840972
16,5482594.914,0.9517795601
17,4836657.553,0.9528406961
18,5329034.025,0.9540501727
19,5755123.293,0.9553563544
20,3375059.367,0.9561478907
21,3159836.377,0.9570084778
22,2838497.785,0.9577385994
23,2997036.445,0.958532174
24,3576090.529,0.9595602372
25,2295479.07,0.9602896113
26,2269327.744,0.9610450124
27,2206978.362,0.9617295695
28,1741805.581,0.9622830173
29,1536914.245,0.9628411257
30,1339773.75,0.9633175096
31,1575738.725,0.9639374005
32,1631921.148,0.9645547013
33,1400045.8,0.9651054752
34,1255316.85,0.9656467975
35,1233755.454,0.9661321532
36,1227323.227,0.9666706891
37,1139453.413,0.9671620484
38,1046854.406,0.9676689153
39,977287.19,0.9681273121
40,947484.4384,0.9685502259
41,818455.3989,0.9689712739
42,742631.8413,0.9693420786
43,773745.9987,0.9697635408
44,805529.9966,0.9701840336
45,739613.6789,0.9705645221
46,590326.1492,0.9708950069
47,620596.3292,0.9712377429
48,631627.7693,0.9716104636
49,733765.0146,0.9720323527
50,638595.8829,0.9724381724
51,576463.1543,0.9727914241
52,524882.4509,0.9731011549
53,555258.4689,0.9734624162
54,514361.7711,0.9737776127
55,440564.7172,0.9740909162
56,528734.3717,0.9744349204
57,463826.7104,0.9747507304
58,478301.897,0.9750800149
59,485624.8981,0.9754180147
60,465069.1145,0.9757628179
61,552406.5722,0.9761681942
62,529988.1215,0.9765611284
63,462959.4124,0.9769113724
64,377532.9306,0.9771884199
65,320718.9154,0.977450465
66,340308.01,0.9777079192
67,351790.0794,0.9779900283
68,355387.5254,0.9782938427
69,342343.1326,0.9785631962
70,313776.8022,0.9788290645
71,322172.5538,0.97908986
72,330884.2194,0.9793902497
73,269224.9172,0.9796265155
74,266950.3009,0.9798607852
75,256929.0266,0.9800920917
76,281010.9686,0.9803472045
77,264165.7695,0.9805950186
78,240278.1583,0.9808113347
79,262673.945,0.9810577493
80,237653.3046,0.9812914796
81,255907.447,0.9815334825
82,217480.6165,0.9817539543
83,234631.0527,0.981977612
84,216782.198,0.9821973758
85,218839.8141,0.9824241922
86,216644.4183,0.9826470943
87,216729.1212,0.9828733628
88,218830.5093,0.9830902365
89,178664.6255,0.983292985
90,189829.3342,0.9834911697
91,197944.3619,0.9837068117
92,191825.8291,0.9839172393
93,171398.0167,0.9841065549
94,181216.8586,0.9843149415
95,163195.6409,0.9844939627
96,178379.8865,0.984696388
97,149927.745,0.9848755999
98,154468.9575,0.9850532283
99,142214.1396,0.9852264477
100,163079.3431,0.9854139774
101,154005.3458,0.9856073842
102,158183.4856,0.9858000545
103,134152.5954,0.9859583801
104,129545.6364,0.9861230294
105,133520.3347,0.9862856595
106,128148.2577,0.9864543497
107,127187.9779,0.9866160024
108,117103.0639,0.9867630656
109,131047.5636,0.986932598
110,121054.6118,0.9870901187
111,117629.1167,0.9872503012
112,114581.5033,0.9874019993
113,112094.9165,0.9875529495
114,99432.98457,0.9876928667
115,124015.0052,0.9878617453
116,111454.4255,0.9880126761
117,104501.276,0.988158144
118,97646.22077,0.9882970244
119,103647.5415,0.9884452245
120,100808.433,0.9885886025
121,102095.3098,0.9887307212
122,93353.0189,0.9888670267
123,99472.32672,0.9890220501
124,96403.81992,0.9891591635
125,93101.91498,0.9893014415
126,91095.22626,0.9894316937
127,83008.67121,0.9895598032
128,87573.98296,0.9896962835
129,83104.20308,0.9898201395
130,84048.78916,0.9899536694
131,77150.70572,0.9900715708
132,76906.62023,0.9901972447
133,79739.33224,0.9903245313
134,74628.20589,0.9904374487
135,70928.6291,0.9905555003
136,72141.55219,0.9906717503
137,73402.86742,0.9907928093
138,66496.73965,0.9909014723
139,69394.20318,0.9910132952
140,62721.16475,0.9911214826
141,68211.94987,0.9912339805
142,64155.29023,0.9913427002
143,63471.62802,0.9914507416
144,62847.14075,0.9915591462
145,65548.84098,0.9916751865
146,64855.82558,0.9917865653
147,59447.71963,0.9918891063
148,57051.49426,0.9919918303
149,55301.69601,0.9920905669
150,61720.80985,0.9922012312
151,55533.20068,0.9922978604
152,50122.26549,0.9923903831
153,54609.43504,0.9924882968
154,54611.37497,0.9925915851
155,51956.70952,0.9926859217
156,51895.22939,0.9927817172
157,48238.47047,0.9928747769
158,50528.75686,0.9929665208
159,48802.43997,0.9930588225
160,48852.65309,0.9931515886
161,45596.54813,0.9932426562
162,44076.32344,0.9933280198
163,42335.02449,0.9934077691
164,44868.93106,0.9934960256
165,38791.26446,0.9935717405
166,40321.38042,0.9936541025
167,42684.9782,0.9937370945
168,38486.8948,0.993811633
169,38243.56552,0.993890908
170,37757.07275,0.9939677464
171,37503.36495,0.9940443522
172,39561.67807,0.9941239652
173,36695.52715,0.9942011418
174,34942.95272,0.9942743681
175,34584.08943,0.9943450109
176,36340.66313,0.9944214412
177,31669.6132,0.9944863704
178,33812.44132,0.9945600414
179,31554.46654,0.9946278378
180,31565.97812,0.9946939873
181,30640.11374,0.9947602829
182,31024.83832,0.9948288191
183,29992.95827,0.9948955296
184,30212.11493,0.9949592991
185,27434.5178,0.995019904
186,29366.43889,0.995086554
187,27892.04573,0.9951483807
188,29501.0948,0.9952144436
189,28237.82567,0.9952768231
190,28199.2241,0.9953403973
191,27044.62658,0.9954032099
192,24131.0095,0.9954568823
193,23479.74781,0.9955123035
194,25283.09333,0.9955694946
195,25440.85075,0.9956295448
196,24270.48796,0.9956868324
197,23081.91069,0.9957402668
198,23014.13165,0.9957951113
199,21764.67475,0.9958458256
200,21263.82289,0.9958979467
201,21664.34343,0.9959485912
202,20627.91561,0.9959969688
203,18895.91776,0.9960444295
204,20455.22899,0.9960934854
205,20057.82381,0.9961435609
206,19166.907,0.9961893822
207,20828.37731,0.9962407511
208,18944.57801,0.9962881907
209,18539.63762,0.9963339149
210,17827.71481,0.9963781531
211,19254.23144,0.9964272421
212,16758.47709,0.9964695877
213,16699.29818,0.9965120365
214,16598.56839,0.9965542292
215,14944.68539,0.9965916525
216,17054.93253,0.9966362956
217,16065.66784,0.996678106
218,16520.0233,0.9967204741
219,17205.79957,0.996765512
220,15321.28929,0.9968056171
221,15987.61994,0.9968478292
222,13690.36754,0.9968847008
223,14257.97784,0.9969218068
224,13723.89399,0.9969589765
225,14174.41046,0.9969964011
226,13991.47306,0.9970340838
227,13441.65888,0.9970700822
228,14000.28305,0.99710853
229,13498.46692,0.997146723
230,11079.1944,0.9971760592
231,13168.35009,0.9972119234
232,12411.21534,0.9972460073
233,12044.00082,0.9972795383
234,12064.0825,0.9973140378
235,12086.25876,0.9973470464
236,12128.38213,0.9973809958
237,11439.92382,0.9974138836
238,11474.64699,0.9974453954
239,11365.10489,0.997478412
240,12277.79566,0.9975124081
241,11781.48738,0.9975473474
242,11938.36242,0.9975823003
243,11831.6528,0.9976161352
244,11294.82368,0.9976492895
245,11303.53733,0.9976811866
246,9647.641915,0.9977106735
247,10326.26532,0.9977408285
248,9997.467718,0.9977697207
249,10226.51992,0.9977999712
250,9995.587616,0.9978293117
251,9359.080521,0.9978576335
252,9927.701719,0.9978873005
253,9994.905124,0.9979173951
254,8965.993569,0.9979447987
255,9681.938895,0.997974537
256,9246.548473,0.9980024483
257,9057.760721,0.9980297213
258,8808.56945,0.9980573101
259,9100.507265,0.9980851937
260,8496.576501,0.9981115482
261,7996.199501,0.9981363507
262,7609.772426,0.9981600121
263,7781.720636,0.9981843849
264,6984.792087,0.9982060502
265,7355.593888,0.998229756
266,7537.66322,0.9982535354
267,6885.23577,0.9982752044
268,6872.815861,0.9982974583
269,6860.265492,0.9983192045
270,6324.383717,0.9983393955
271,6555.067504,0.9983608189
272,6659.876354,0.9983825849
273,6486.862056,0.99840354
274,6432.119693,0.998424075
275,6415.157673,0.9984455265
276,6312.910498,0.9984661107
277,6653.133669,0.9984882573
278,6259.393901,0.9985088091
279,5911.777055,0.9985283537
280,5693.414222,0.998547564
281,5670.266627,0.9985662673
282,5634.684333,0.9985851942
283,5057.716655,0.9986021449
284,5534.86183,0.9986211552
285,5296.88677,0.9986391879
286,5309.348187,0.9986569016
287,4912.198631,0.9986737733
288,4794.613244,0.9986901686
289,4800.16096,0.9987068008
290,4992.243786,0.9987243629
291,4497.583884,0.9987392661
292,4615.45175,0.9987558868
293,4672.746382,0.9987721129
294,4512.618824,0.9987878853
295,4471.303574,0.9988034456
296,4370.205703,0.9988190509
297,4340.129796,0.9988345816
298,4383.355105,0.9988497696
299,4375.902193,0.9988652628
300,4220.693035,0.9988803023
301,4124.986526,0.9988950319
302,4149.806099,0.9989103525
303,4033.559372,0.9989246031
304,3624.934438,0.998937602
305,3864.528291,0.9989519278
306,3620.99564,0.9989649126
307,3818.002776,0.9989789216
308,3663.697134,0.9989920595
309,3419.277919,0.9990051486
310,3649.905661,0.9990184304
311,3537.047552,0.9990315422
312,3371.971075,0.9990438891
313,3444.811592,0.9990567112
314,3464.922364,0.9990700013
315,3465.076797,0.9990829512
316,3177.20388,0.9990947772
317,3176.372929,0.9991067684
318,3042.542181,0.9991183693
319,3153.079062,0.9991302487
320,3108.968812,0.9991419383
321,2828.453533,0.999152723
322,2956.785376,0.9991642207
323,3114.590519,0.9991762377
324,2812.741804,0.9991868561
325,2890.216977,0.9991981387
326,2857.052726,0.9992092918
327,2857.098059,0.9992205531
328,2836.533335,0.999231712
329,2439.22202,0.9992410864
330,2567.635402,0.9992512262
331,2391.210852,0.9992605065
332,2410.498887,0.9992699164
333,2321.699852,0.9992794012
334,2360.781696,0.9992886706
335,2502.393865,0.9992987043
336,2539.1773,0.9993087317
337,2318.279379,0.9993178167
338,2304.500013,0.999327423
339,2349.534594,0.9993368437
340,2175.498867,0.9993457971
341,2205.001017,0.999354655
342,2199.683987,0.9993634416
343,2089.647902,0.9993722313
344,2185.266245,0.9993809438
345,2144.719448,0.9993899328
346,2076.155073,0.999398383
347,2033.676008,0.9994068142
