freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.990050439e+11,0.7865426971
1,984214168.7,0.8176625703
2,515311139.7,0.8502498218
3,275281652.5,0.872010152
4,124831223,0.8838512694
5,77595535.08,0.8961187377
6,81819120.11,0.9077604141
7,32467313.56,0.9139199191
8,24753665.08,0.919398723
9,22357844.63,0.9243472527
10,28895295.42,0.932113197
11,18917332.23,0.9368983748
12,13696436.75,0.9412290519
13,13754205.04,0.9462303362
14,8143451.943,0.9490627026
15,9850518.653,0.9528002658
16,7825142.692,0.9557693446
17,5194910.607,0.9581510842
18,4496327.534,0.9602836253
19,3732025.174,0.9620536692
20,2568078.369,0.9633122705
21,2225905.47,0.964579127
22,1489465.339,0.965379749
23,1852950.041,0.9664050466
24,2453544.091,0.9678790405
25,2104521.876,0.9692764412
26,1460550.844,0.9702924268
27,1016685.567,0.9709514318
28,897083.8594,0.9715470947
29,869125.1716,0.9722066357
30,951874.5468,0.9729139229
31,826710.5477,0.9735935567
32,891541.0734,0.9742982978
33,874486.9668,0.9750172084
34,1012852.019,0.9759299316
35,667953.1044,0.9764790519
36,630048.6598,0.9770567757
37,559719.9535,0.9775611627
38,615992.9676,0.9781844294
39,636179.8603,0.978808006
40,576588.3642,0.979345825
41,491238.7869,0.9798739294
42,584455.6556,0.9804837663
43,450361.862,0.9809964061
44,387073.3701,0.9814186473
45,388910.7405,0.9818367443
46,415205.6163,0.9823224947
47,295792.2155,0.9826638666
48,294933.4912,0.9830275612
49,282134.804,0.9833665525
50,292953.347,0.983755594
51,242961.0395,0.9840667225
52,225351.3882,0.9843446126
53,202073.8677,0.9846193557
54,203411.4911,0.9848798383
55,189603.1315,0.9851616063
56,157549.1267,0.9853758128
57,189100.1427,0.9856448749
58,183980.8659,0.9859095617
59,144994.4981,0.9861204525
60,164147.0749,0.9863747707
61,141875.7575,0.9865923402
62,139225.9463,0.9868080473
63,159400.4033,0.9870600514
64,157577.5711,0.9873017001
65,149545.0956,0.9875570373
66,135008.272,0.9877704787
67,138256.0735,0.9880021692
68,137211.5946,0.9882472941
69,133367.7964,0.9884665759
70,121546.3539,0.9886817937
71,113800.4747,0.9888743005
72,95842.00622,0.9890561262
73,99693.20176,0.9892389538
74,98963.6423,0.9894204435
75,95714.28334,0.9896005137
76,81455.70671,0.9897550466
77,81047.33916,0.9899139301
78,72982.62205,0.9900512345
79,63377.32786,0.990175478
