freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.568066095e+11,0.87056292
1,916101194.7,0.8845298585
2,194974518.6,0.890475047
3,184464750.5,0.897505951
4,99112317.74,0.9020391696
5,68898521.22,0.9072913263
6,50943793.79,0.9107864422
7,30968247.34,0.9136193057
8,21597988.01,0.915924296
9,23135879.07,0.9183934138
10,13752976.03,0.9201756834
11,13526138.54,0.9218254465
12,11761168.4,0.9236185619
13,10135054.62,0.9253955385
14,10606043.09,0.9271742432
15,9407216.642,0.9288953196
16,7083478.738,0.9301912618
17,7455469.665,0.9318394271
18,5649183.724,0.9331313445
19,7603784.702,0.9348702615
20,3797908.579,0.9357677605
21,4932184.227,0.9371212957
22,5221249.102,0.9384745553
23,4730243.45,0.9397366133
24,4705944.62,0.9410998089
25,4446604.425,0.9425234666
26,3784636.172,0.9437928844
27,4547087.25,0.9452140508
28,3097465.018,0.946205758
29,2752355.695,0.9472128602
30,2261865.774,0.9480232472
31,2320377.401,0.9489430395
32,1946364.773,0.9496848996
33,1914135.576,0.9504436585
34,2747307.936,0.9516373992
35,2081053.369,0.9524623239
36,1689154.926,0.9532091599
37,1897820.048,0.9540337872
38,1561191.483,0.954795452
39,1948220.557,0.9557162356
40,1456742.986,0.9563714188
41,1272468.31,0.9570310234
42,1417646.479,0.9577442699
43,1329886.678,0.9584741893
44,1106659.946,0.9590562805
45,1227649.057,0.9596926523
46,1177415.974,0.9603568379
47,1175637.217,0.9610110581
48,969712.484,0.9615876458
49,1356683.481,0.962373641
50,1145940.515,0.9631074265
51,1001202.736,0.9637256348
52,843655.7832,0.9642272696
53,764193.2334,0.9647282601
54,827643.8092,0.9652393017
55,891305.4521,0.96587798
56,882643.4366,0.9664566241
57,871525.8067,0.9670545544
58,778886.8016,0.967594865
59,700683.6563,0.9680862678
60,786763.2637,0.9686740249
61,768294.2346,0.9692421279
62,676021.9211,0.969747155
63,677549.5129,0.9702636532
64,646937.9853,0.9707420212
65,646873.1194,0.9712745838
66,551601.4086,0.9716950714
67,573510.259,0.9721584914
68,572554.1736,0.9726516911
69,510802.3302,0.9730566529
70,533945.1028,0.9735125243
71,416008.1854,0.9738518474
72,486801.957,0.9742971563
73,442481.7731,0.9746884304
74,510158.0482,0.9751395488
75,508132.5882,0.9756004966
76,459698.3453,0.9760210121
77,435501.8086,0.9764326728
78,400063.4882,0.9767955868
79,365099.3059,0.9771406991
80,324723.4532,0.9774624982
81,292735.2186,0.9777414394
82,303073.1287,0.9780510245
83,286333.6015,0.9783260485
84,276753.7302,0.9786087487
85,287546.5269,0.9789090495
86,267981.4348,0.9791868745
87,254178.9146,0.9794542653
88,278018.3631,0.9797318992
89,264203.4637,0.980034004
90,227981.9479,0.9802738361
91,236568.9448,0.9805335217
92,217606.3721,0.9807740507
93,198863.8581,0.9809953788
94,236861.863,0.9812698308
95,220290.7534,0.981513327
96,190316.8707,0.9817309457
97,169686.8931,0.9819353233
98,171065.091,0.9821335365
99,173242.2712,0.9823461582
100,171439.4828,0.9825448053
101,160524.7753,0.9827479371
102,152591.1614,0.9829352135
103,167696.1832,0.9831346366
104,178899.453,0.9833637477
105,177418.7612,0.9835814952
106,160092.0499,0.9837938425
107,147313.5505,0.9839825025
108,168624.2441,0.9841958836
109,152336.7356,0.9843944604
110,147245.0119,0.9845875224
111,150537.9967,0.9847940825
112,149903.3514,0.9849940582
113,155244.5148,0.9852047094
114,143141.3538,0.9854076673
115,146948.5275,0.9856093021
116,138569.4728,0.9857983833
117,158274.8382,0.9860203856
118,148252.8759,0.9862328513
119,146714.376,0.9864442305
120,125988.9675,0.986624789
121,123425.8048,0.9867979108
122,125375.0297,0.9869823682
123,117187.8972,0.9871663936
124,98467.89811,0.9873075109
125,106765.351,0.9874719138
126,115343.4266,0.9876380952
127,114549.7639,0.9878162314
128,105161.198,0.9879813707
129,112975.5561,0.9881510303
130,106561.5071,0.9883216179
131,111978.7487,0.9884940487
132,98122.41583,0.9886556146
133,111712.8124,0.9888353002
134,99926.19257,0.9889876483
135,89134.12824,0.9891371322
136,90446.94886,0.9892839915
137,87637.60584,0.9894296295
138,92571.38011,0.9895820552
139,83611.6293,0.9897178159
140,72511.67545,0.9898438449
141,66953.7899,0.9899551102
142,63521.7412,0.9900635773
143,62350.34373,0.9901705195
144,61420.71722,0.9902772719
145,59557.01332,0.9903835091
146,54276.19436,0.9904774301
147,54675.22397,0.9905724585
148,53985.70818,0.9906704038
149,53479.58057,0.9907666154
150,53569.93379,0.990863398
151,50951.22614,0.9909527307
152,50830.0098,0.9910472755
153,44975.39225,0.9911285307
154,43413.68918,0.9912112667
155,44311.01829,0.9912923349
156,43624.14961,0.9913734767
157,42698.10164,0.9914564764
158,41967.52851,0.9915332572
159,38909.92006,0.9916074101
160,42989.33058,0.9916896651
161,47346.12544,0.9917849482
162,42358.86882,0.9918676114
163,36125.65716,0.9919361828
164,38359.99157,0.9920122118
165,35710.8735,0.9920824459
166,34058.01703,0.9921525448
167,36309.45106,0.9922236793
168,34029.68964,0.9922900881
169,35062.71124,0.992363324
170,32371.9158,0.9924297057
171,34122.43054,0.9924999372
172,31531.22159,0.9925638739
173,28264.65215,0.9926237724
174,31606.17947,0.9926905114
175,28272.50217,0.9927487024
176,26916.60031,0.9928057441
177,30067.80695,0.9928678594
178,29733.25118,0.9929331368
179,30502.26204,0.9929991724
180,29563.63438,0.9930615984
181,28698.82675,0.9931241672
182,28642.68292,0.9931879237
183,28547.3497,0.9932519032
184,27901.15609,0.9933112441
185,26751.75879,0.9933707915
186,25861.97915,0.9934299356
187,26632.56437,0.9934894207
188,24296.65462,0.9935442441
189,24396.37697,0.9935985486
190,24376.19369,0.9936539231
191,24858.13662,0.9937120979
192,24228.68334,0.9937663985
193,23461.49278,0.993822199
194,23011.96853,0.9938746499
195,22570.19556,0.9939283305
196,23343.5036,0.9939838504
197,21966.16143,0.9940350897
198,22678.55763,0.9940895467
199,22802.65588,0.9941430849
200,21424.65772,0.9941960009
201,21169.71364,0.9942458665
202,20521.53069,0.9942943618
203,19574.92041,0.9943439029
204,20205.3607,0.9943927292
205,20398.5458,0.9944440438
206,19500.99291,0.9944910193
207,17809.3612,0.9945352775
208,18773.78245,0.994582648
209,18510.14437,0.9946286477
210,18344.09207,0.9946745144
211,16897.41512,0.9947179232
212,18763.00285,0.9947656956
213,17367.29992,0.9948101791
214,17970.45275,0.9948562075
215,16805.97403,0.9948986128
216,18103.06194,0.9949463608
217,16280.70692,0.9949890541
218,16385.11634,0.9950313967
219,16724.41699,0.9950755085
220,17898.56018,0.9951227172
221,16633.56699,0.9951669698
222,15729.683,0.995209657
223,14604.70164,0.9952479552
224,17108.93775,0.9952946463
225,16890.50054,0.9953395824
226,16774.677,0.9953851055
227,16241.57733,0.9954289343
228,15503.53015,0.9954718351
229,14671.40658,0.9955136634
230,15238.96662,0.9955543219
231,15284.50222,0.9955962671
232,14019.88791,0.9956350624
233,14483.76344,0.9956756933
234,13576.39155,0.9957148138
235,13403.93296,0.9957517003
236,14268.06153,0.9957919436
237,13878.66188,0.9958321467
238,13192.82273,0.9958686533
239,12820.6852,0.9959061826
240,13014.3413,0.995942493
241,12979.0125,0.9959812773
242,12591.30672,0.9960184231
243,12342.24437,0.9960539873
244,12866.71437,0.9960920437
245,11951.65198,0.9961260269
246,12428.82468,0.996164304
247,11765.94269,0.9961989252
248,12769.40766,0.9962361097
249,11601.99935,0.9962706907
250,11692.65748,0.9963052745
251,10978.77249,0.9963387511
252,10854.34273,0.9963714346
253,11514.32373,0.9964063687
254,11001.43625,0.9964402498
255,11073.41629,0.9964745215
256,10670.272,0.9965069761
257,11055.98774,0.9965405196
258,10578.57062,0.9965739049
259,10059.81159,0.9966049628
260,10279.80229,0.9966370918
261,9603.191869,0.996667106
262,9541.920833,0.9966970015
