freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.335761675e+11,0.786706558
1,764631972,0.8011330319
2,345116128.9,0.8141557906
3,251077604.5,0.825998627
4,135430667,0.8336642245
5,64483155.27,0.8397473115
6,88899664.55,0.8472951114
7,67014016.02,0.8548813176
8,29254179.31,0.8587449313
9,29555087.62,0.8626482861
10,19999825.06,0.8658556842
11,30979337.06,0.8705316341
12,14009640.72,0.8731748628
13,20693169.93,0.8776647208
14,12301846.15,0.8802178379
15,11462180.54,0.8828129506
16,10726601.26,0.8852415234
17,9592332.177,0.8878657417
18,8880173.38,0.8903789035
19,8023569.394,0.8926496393
20,8221553.833,0.8950539653
21,5336674.642,0.8968663524
22,5324961.072,0.8985742943
23,4477586.48,0.9000526869
24,4940713.731,0.9018238194
25,4457746.781,0.9035900297
26,3718850.046,0.9051336451
27,3214795.245,0.9063770567
28,3043909.832,0.9075830887
29,2626040.883,0.9087721944
30,3381051.708,0.9102712834
31,2384751.871,0.9114411175
32,2360580.663,0.912554557
33,2772834.982,0.9139147643
34,2186668.118,0.9150905698
35,1888435.583,0.9160169372
36,2101325.398,0.9171666756
37,1921895.486,0.9182001087
38,1940981.186,0.9193719777
39,2020085.78,0.9205534927
40,1593445.151,0.9214403768
41,1445666.686,0.9223677506
42,1438828.46,0.9232635911
43,1444207.825,0.9242445255
44,1437949.301,0.9251805138
45,1381064.698,0.9260664464
46,1220929.345,0.9269187611
47,1288666.744,0.9278062057
48,1103581.911,0.9286182447
49,1053034.491,0.9293732221
50,1031425.173,0.9301905471
51,954340.2181,0.9309197795
52,855830.0169,0.9315495175
53,935575.2227,0.9323085404
54,820514.9063,0.932935514
55,758632.5795,0.9336082383
56,847180.5916,0.9342955475
57,822554.8466,0.9349939168
58,740316.1223,0.9356294472
59,712460.5295,0.9362477859
60,697059.5785,0.9368922128
61,633900.2753,0.9374722695
62,694250.8408,0.9381140998
63,584710.1533,0.9386656924
64,649921.45,0.9392604094
65,617198.3804,0.9398892293
66,588820.2756,0.9404446992
67,614797.5322,0.9410594735
68,588770.639,0.9416871015
69,519868.3239,0.9421971418
70,521201.7978,0.9427478248
71,468367.5158,0.943220593
72,521861.4047,0.9438113572
73,509287.5529,0.9443686697
74,533735.0313,0.9449527351
75,428314.5231,0.9454335606
76,421364.9556,0.9459105595
77,498479.323,0.9464936643
78,423554.547,0.9469691463
79,385120.1091,0.9474196471
80,358672.9801,0.9478595125
81,403218.8805,0.9483349885
82,392976.5878,0.9488317515
83,399871.7308,0.9493070528
84,388186.4703,0.9497977605
85,436594.2413,0.9503620167
86,367152.4515,0.9508330625
87,349088.2665,0.9512875187
88,309265.1995,0.9516697094
89,371555.1549,0.9521954752
90,338666.1281,0.9526363635
91,334185.3185,0.953090334
92,271329.0581,0.9534614776
93,292685.8897,0.9538645958
94,297187.3015,0.9542907351
95,289416.4611,0.95468662
96,313749.5714,0.9551305885
97,268190.1629,0.9555303286
98,278197.947,0.9559292389
99,258653.9845,0.9563220853
100,241195.4088,0.9566679374
101,257018.1694,0.9570704223
102,231949.0554,0.957422709
103,249033.4543,0.9577891973
104,234126.2206,0.9581602512
105,249622.4269,0.9585393804
106,214665.9258,0.9588917433
107,231584.3871,0.9592587688
108,235126.4056,0.9596269718
109,194250.6721,0.9599403266
110,232841.3337,0.9603181303
111,196389.9095,0.9606516101
112,211675.7282,0.9610010615
113,202497.879,0.9613410923
114,205965.4434,0.9617024897
115,193366.2194,0.9620308351
116,183329.2656,0.9623404077
117,178599.24,0.9626504173
118,182807.8752,0.9629746304
119,179841.847,0.9632952797
120,191787.1174,0.9636354176
121,179650.1701,0.9639472514
122,196606.7152,0.9643052105
123,171291.1339,0.9646380845
124,173576.7524,0.964945926
125,166059.3287,0.9652623667
126,154623.7304,0.9655380533
127,148688.9034,0.9658241985
128,145528.2884,0.966107007
129,162841.0913,0.9664096342
130,162083.6043,0.9667307311
131,147442.7937,0.9670116964
132,154065.7842,0.9673256299
133,151048.219,0.96762629
134,148657.5471,0.9679067654
135,139353.3268,0.9681959784
136,141589.1489,0.9684804817
137,137216.6571,0.9687626713
138,137635.7773,0.9690431261
139,129468.6119,0.9693032749
140,129692.3695,0.9695822253
141,123462.3317,0.9698361288
142,118058.1898,0.9700856009
143,117716.0277,0.9703354604
144,119462.3143,0.9705924074
145,129231.8062,0.9708776819
146,116942.9682,0.9711281069
147,103088.685,0.9713498365
148,110371.8942,0.9715976433
149,112280.7585,0.9718476174
150,117907.3135,0.9721112304
151,113909.0255,0.9723583822
152,111645.9393,0.9726153688
153,108501.0825,0.9728579517
154,112517.4133,0.9731233129
155,110403.3884,0.9733732735
156,106711.922,0.9736189029
157,99174.74451,0.9738574747
158,106886.1083,0.9740994718
159,97295.63863,0.974328934
160,101186.9913,0.9745685282
161,97577.29781,0.9748115417
162,94129.03166,0.9750388636
163,102323.1586,0.9752792174
164,97795.81721,0.9755190849
165,100011.8352,0.9757625008
166,92166.25444,0.975997255
167,93699.69375,0.976224424
168,90141.4228,0.9764421158
169,91657.14186,0.9766790319
170,88481.30342,0.9769035656
171,85357.22364,0.9771209768
172,80933.38066,0.9773240661
173,82337.98092,0.9775400009
174,79317.64053,0.9777472666
175,79200.03275,0.9779489949
176,77665.86456,0.9781526769
177,74889.90354,0.9783441335
178,75377.84144,0.978548926
179,76091.63822,0.9787527864
180,73612.46473,0.9789451438
181,77307.79758,0.9791537211
182,72218.92125,0.9793526563
183,73421.62966,0.9795562898
184,72440.69006,0.9797469519
185,72164.46782,0.9799457371
186,71282.16619,0.9801474715
187,69367.17739,0.9803392056
188,74175.70775,0.9805463299
189,68172.20597,0.980734118
190,65153.94883,0.9809172797
191,66131.86319,0.9811088054
192,61020.18431,0.9812780436
193,68092.40574,0.981478459
194,63264.67678,0.9816569064
195,64293.71736,0.9818461411
196,55516.48424,0.982009542
197,56974.04361,0.982174008
198,61963.85659,0.9823581389
199,55765.3157,0.9825201679
200,60899.58662,0.9827063068
201,59327.36358,0.9828792451
202,56578.0825,0.9830447031
203,55652.61481,0.9832190047
204,52088.50284,0.9833747729
205,55412.57661,0.9835472773
206,55773.81309,0.9837135401
207,56436.86468,0.9838871035
208,55303.52572,0.9840597901
209,47605.72177,0.9842061946
210,48350.33647,0.9843558013
211,44811.93196,0.9844982641
212,45127.42217,0.9846404527
213,47051.30942,0.9847895908
214,49876.26221,0.9849476832
215,46027.2261,0.9850914043
216,42743.89858,0.9852309216
217,44151.96032,0.9853742018
218,43863.34901,0.9855144764
219,43746.53763,0.9856572663
220,42555.1588,0.9857961676
221,45399.38473,0.9859456373
222,41575.67774,0.9860852635
223,41433.5608,0.9862197221
224,40439.2355,0.9863562947
225,41024.60348,0.9864913612
226,44683.25279,0.9866414238
227,39697.93506,0.9867739949
228,40517.93264,0.9869127445
229,38376.55293,0.9870481435
230,38180.27375,0.9871742056
231,38382.0762,0.9873045549
232,38030.24721,0.9874347857
233,39518.16381,0.9875719756
234,35615.68353,0.9876989777
235,37684.17119,0.9878273124
236,34665.91137,0.9879483115
237,35779.68395,0.9880765734
238,34872.51642,0.9881959908
239,34876.813,0.9883223322
240,33639.85605,0.9884384806
241,35705.39838,0.9885705182
242,34906.7405,0.9886979559
243,32949.42793,0.9888154504
244,33448.40613,0.9889378796
245,30698.91145,0.9890459009
246,33143.56689,0.9891722169
247,32146.18152,0.9892892731
248,30447.45086,0.9893989947
249,30912.58453,0.989513017
250,30128.54822,0.9896232947
251,29668.4056,0.9897352467
252,30055.35716,0.9898472412
253,28069.11714,0.9899526288
254,27072.89408,0.9900558084
255,27991.73855,0.990163018
256,29970.90475,0.9902758288
257,28375.31178,0.990382366
258,28600.89794,0.9904940672
259,25334.62343,0.9905908609
260,26305.52348,0.9906926049
261,24986.7682,0.9907892481
262,26400.56942,0.9908916087
263,24970.96459,0.9909891332
264,26051.13095,0.9910898932
265,23438.23438,0.9911840848
266,24248.52837,0.991279474
267,25775.51816,0.9913806269
268,24693.24039,0.9914803279
269,22325.14179,0.9915685721
270,22293.00257,0.9916573201
271,23707.47119,0.9917539356
272,23067.13423,0.9918479415
273,22208.56902,0.991937401
274,22891.68299,0.9920285324
275,21322.15465,0.9921174384
276,20825.40934,0.9922021121
277,21717.12215,0.9922922552
278,21140.40599,0.9923788079
279,21589.15588,0.9924678089
280,20014.94289,0.9925520196
281,19694.98869,0.9926330261
282,19876.20274,0.992716278
283,21659.59313,0.9928067953
284,20470.40757,0.9928944672
285,18855.83143,0.9929745125
286,19573.58892,0.9930559429
287,18292.43669,0.9931342868
288,19808.05807,0.9932187482
289,19409.65418,0.9933026094
290,20006.23188,0.9933903693
291,17488.92101,0.9934626321
292,17467.60476,0.9935410685
293,17522.30867,0.9936169406
294,17435.86394,0.9936929318
295,16341.21645,0.9937638438
296,15439.60577,0.9938325911
297,16031.01061,0.993904123
298,15975.27343,0.9939731457
299,15320.76634,0.9940407858
300,15822.00962,0.9941110866
301,15212.26484,0.9941788216
302,14788.48148,0.9942469019
303,14762.67095,0.9943119388
304,14999.66575,0.9943790102
305,14949.62374,0.9944481143
306,14439.76112,0.9945126822
307,14392.44083,0.9945785319
308,13820.4649,0.9946403305
309,13629.29395,0.9947053886
310,13503.20544,0.9947666603
311,13409.32387,0.9948286445
312,12854.00853,0.9948873341
313,13015.7537,0.9949477446
314,13533.02773,0.9950124709
315,12862.44377,0.9950724125
316,12287.72584,0.9951294439
317,12798.70058,0.9951896921
318,12798.38158,0.9952505425
319,11274.13131,0.9953035076
320,12106.01317,0.9953602667
321,12722.82579,0.9954207579
322,11634.87197,0.9954771739
323,11694.87243,0.9955334396
324,11217.59105,0.9955862449
325,11615.58132,0.9956427865
326,12367.65428,0.9957029891
327,11212.77526,0.9957580988
328,10963.32898,0.9958118792
329,10582.03733,0.9958625912
330,10796.81209,0.9959157584
331,10668.20253,0.9959673865
332,9585.238261,0.996014045
333,10334.25731,0.9960666892
334,10728.08244,0.9961192143
335,10423.20598,0.9961713284
336,9560.304591,0.9962184066
337,9173.037379,0.9962632317
338,9307.57852,0.9963116117
339,9335.016119,0.996358285
340,9174.507072,0.9964053675
341,10089.79908,0.9964559098
342,9409.680984,0.9965027788
343,8942.682579,0.996549684
344,8721.573219,0.9965930434
345,9009.263596,0.9966401277
346,8982.057645,0.9966857142
347,8246.250258,0.9967283442
348,7879.600545,0.9967688557
349,7674.47857,0.9968078058
350,7515.323277,0.9968472243
351,7533.954765,0.9968868116
352,7679.403106,0.9969270907
353,7622.372308,0.9969672145
354,7822.415176,0.9970075058
355,7329.746315,0.9970468499
356,7716.183413,0.9970868852
357,6978.118321,0.9971246709
358,7250.539744,0.997162769
359,7445.829812,0.997201823
360,7599.604127,0.9972432608
361,7150.481241,0.9972808331
362,6839.938526,0.9973179997
363,6755.525803,0.9973536879
364,6471.608588,0.9973893415
365,6190.357746,0.9974230368
366,6380.787061,0.9974577084
367,6284.151123,0.9974916179
368,6200.786442,0.9975254869
369,5735.587133,0.997557302
370,5868.408584,0.9975894109
371,5901.87671,0.9976215917
372,5587.932601,0.9976523241
373,5875.196162,0.9976848028
374,5835.404965,0.9977178321
375,5803.577076,0.9977497506
376,5405.066558,0.9977796303
377,5309.843164,0.9978096849
378,5135.167751,0.9978382179
379,5609.016472,0.9978699658
380,5095.84264,0.99789804
381,5387.023896,0.9979290396
382,5402.001838,0.9979598706
383,5260.600144,0.9979896465
384,5099.55255,0.9980187032
385,5052.881879,0.9980474464
386,5034.283159,0.9980767011
387,4520.964151,0.9981022905
388,4670.503139,0.998129255
389,4707.105638,0.9981565641
390,4685.805327,0.9981834401
391,4460.422406,0.9982096126
392,4473.694841,0.9982351454
393,4540.555265,0.9982617881
394,4130.493703,0.9982864142
395,3897.404885,0.9983088418
396,3960.1123,0.9983322654
397,3933.922198,0.9983549032
398,3977.992245,0.9983790704
399,3712.101024,0.998400957
400,3804.543662,0.9984233527
401,3768.306115,0.9984461039
402,3735.253847,0.9984680565
403,3493.26192,0.998489213
404,3587.892313,0.9985104687
405,3645.969671,0.9985322062
406,3599.230432,0.99855431
407,3687.067289,0.9985762229
408,3303.187151,0.9985964775
409,3311.901049,0.998616192
410,3421.726697,0.9986370444
411,3232.077449,0.9986569849
412,3354.429133,0.9986769762
413,3450.91771,0.9986969159
414,3436.954713,0.9987164021
415,3241.747088,0.9987352555
416,3411.195707,0.9987541129
417,3259.418504,0.9987720236
418,3226.988286,0.9987894822
419,3091.739521,0.9988066903
420,3110.307461,0.9988237083
421,3094.031184,0.9988403746
422,3158.439674,0.9988574623
423,3125.505667,0.9988740328
424,3058.95467,0.9988902937
425,3138.727501,0.9989069786
426,2984.349398,0.9989225333
427,3045.08697,0.9989387061
428,2926.742847,0.9989540157
429,2905.217697,0.9989690482
430,2945.998718,0.9989840278
431,2795.230146,0.9989982671
432,2979.512818,0.99901419
433,2887.171485,0.999028816
434,2753.054584,0.9990431002
435,2822.996341,0.9990572146
436,2766.036103,0.9990712791
437,2657.941316,0.9990849194
438,2516.304132,0.9990975004
439,2511.83301,0.9991103435
440,2648.320995,0.9991236096
441,2459.841192,0.9991359547
442,2645.73136,0.9991491454
443,2359.039026,0.9991605396
444,2309.00321,0.9991723674
445,2404.606695,0.9991842425
446,2495.018516,0.9991967171
447,2358.060152,0.9992082956
448,2326.425308,0.9992192909
449,2298.328918,0.9992310531
450,2151.368052,0.9992416269
451,2192.871428,0.9992524357
452,2197.93597,0.9992630517
453,2225.033224,0.9992738721
454,2249.838466,0.9992849299
455,2261.462212,0.9992956714
456,2225.291318,0.99930664
457,2162.533031,0.999317187
458,2128.261106,0.9993274164
459,2288.093817,0.9993384571
460,2046.946235,0.9993480832
461,2175.491099,0.9993587345
462,2304.122173,0.9993696351
463,1951.991085,0.9993790725
464,1853.45185,0.999387946
465,2050.73389,0.999397706
466,1942.693937,0.99940708
467,1858.758941,0.9994157334
468,1930.195165,0.999424947
469,1864.072414,0.9994338186
470,1759.618211,0.9994422263
471,1801.722098,0.9994507672
472,1889.724177,0.9994595113
473,1884.2549,0.9994684256
474,1723.643265,0.9994766126
475,1847.422023,0.9994853875
476,1784.878159,0.9994936465
477,1727.416691,0.9995015907
478,1643.970837,0.9995094768
479,1692.448507,0.9995172921
480,1727.182689,0.999525447
481,1670.83985,0.999533194
482,1529.177083,0.9995403852
483,1554.302147,0.9995476433
484,1593.104605,0.9995548646
485,1551.452658,0.999562219
486,1525.663655,0.9995691059
487,1517.054654,0.9995763688
488,1338.247184,0.999582599
489,1471.393624,0.9995892131
490,1378.14212,0.999595616
491,1483.511889,0.9996023616
492,1356.547693,0.9996086769
493,1414.123974,0.9996152204
494,1343.269465,0.9996212965
495,1370.891276,0.9996277304
496,1410.75699,0.999634052
497,1286.902552,0.9996400431
498,1364.000133,0.9996462517
499,1277.055807,0.9996520765
500,1303.614594,0.9996580717
501,1235.370979,0.9996635957
502,1099.064071,0.9996686398
503,1216.896571,0.9996741213
504,1216.584253,0.9996797163
505,1207.595905,0.99968523
506,1183.275665,0.9996905378
507,1097.29949,0.9996956255
508,1176.298835,0.9997008854
509,1100.903415,0.999705886
510,1098.606708,0.9997107933
511,1051.003316,0.999715592
512,973.2960474,0.9997200314
513,1059.709535,0.9997247649
514,1043.584079,0.9997295199
515,1015.696758,0.9997340185
516,998.1397745,0.9997385523
517,986.0761426,0.9997429895
518,991.5099077,0.999747381
519,952.7832782,0.9997517268
520,1001.355532,0.9997561666
521,953.9072083,0.9997605085
522,923.7466292,0.9997645911
523,885.8477529,0.9997685773
524,868.5785989,0.9997724571
525,918.3574604,0.9997765592
526,868.8472545,0.9997804361
527,904.0300557,0.9997844316
528,884.0341488,0.9997884012
529,871.95262,0.9997922796
530,896.3161565,0.9997962453
531,906.6325589,0.9998003634
532,834.9962282,0.9998039751
533,768.1431994,0.9998074606
534,797.5085832,0.9998109702
535,811.684861,0.9998145384
536,751.5525823,0.999817938
537,753.1334366,0.9998211707
538,704.6164092,0.9998243978
539,776.2640405,0.9998277701
540,696.8388924,0.9998308531
541,707.2898,0.9998339391
542,750.0939422,0.9998372436
543,685.8273389,0.9998403265
544,669.6911223,0.9998432262
545,670.2836174,0.9998462203
546,680.3411991,0.9998492432
547,711.7881818,0.999852295
548,698.946438,0.9998554468
549,674.8641025,0.999858353
550,661.7541783,0.9998613121
551,671.3928326,0.9998642477
552,653.1410841,0.9998670759
553,677.711444,0.9998700967
554,618.6540535,0.9998727288
