freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.743618892e+11,0.8637217573
1,3751125892,0.9183623871
2,254975613,0.9257905718
3,202585285.4,0.9331679486
4,104485080,0.9377338822
5,51167806.03,0.9414605515
6,46071870.03,0.94448052
7,40845094.36,0.9480503309
8,35711726.26,0.9516916852
9,26443931.05,0.9543880467
10,18853150.65,0.956722348
11,16449642.69,0.9586392527
12,9945571.5,0.9600879705
13,10016497.03,0.961765877
14,6495419.008,0.962806645
15,10153489.47,0.9645814499
16,8114193.537,0.9659997909
17,3778522.623,0.9667978666
18,4626223.199,0.9678086821
19,3755211.433,0.9686291843
20,3107622.756,0.9693308238
21,2965858.399,0.9701084609
22,2938304.946,0.9708360729
23,2679850.183,0.9715192017
24,2201162.933,0.9721284017
25,2438030.091,0.9728741845
26,2057938.542,0.9735336759
27,1633250.336,0.9740213848
28,1747411.415,0.9745559104
29,1252501.75,0.9749937789
30,1343676.017,0.9754537351
31,1381986.032,0.9759771319
32,1179470.255,0.9764066496
33,891603.8114,0.9767443249
34,1079578.697,0.9771925057
35,920273.1772,0.9775410389
36,832836.9452,0.977892852
37,856396.4733,0.97824838
38,738959.3018,0.9785928287
39,680078.9001,0.9788999253
40,674471.9983,0.9791897531
41,663074.5114,0.9795181472
42,670451.9362,0.9798404289
43,586194.6253,0.980147825
44,448016.7627,0.9803729726
45,587712.9732,0.9806640432
46,477475.7488,0.9809213831
47,504313.9138,0.9811895146
48,396968.7083,0.9814150293
49,382400.5775,0.9816266978
50,372524.1306,0.9818546049
51,350237.4898,0.9820612245
52,326759.7562,0.9822468541
53,385521.196,0.9824883284
54,367871.733,0.9827053512
55,276483.9386,0.9828946387
56,293416.0841,0.9830784221
57,279923.448,0.9832619094
58,256398.1666,0.9834318434
59,268552.6414,0.9836117891
60,258749.681,0.9837964733
61,255486.0379,0.9839769674
62,222039.0221,0.9841354492
63,188935.1402,0.9842730551
64,205036.3374,0.9844179078
65,221885.9905,0.9845924408
66,196789.3423,0.984735767
67,205732.429,0.9848945971
68,208226.8273,0.9850659688
69,183358.6988,0.985204855
70,181776.4424,0.985353134
71,172185.5471,0.9854873192
72,187626.5341,0.9856513024
73,158162.018,0.9857849264
74,158290.5644,0.9859186589
75,141143.1076,0.9860409883
76,149113.9262,0.986171312
77,145428.8995,0.9863026518
78,135578.1105,0.986420158
79,139369.8081,0.9865460257
80,133884.3688,0.9866727901
81,148253.4785,0.9868077607
82,135611.0892,0.9869401107
83,144677.1653,0.9870728791
84,131177.1362,0.9872009018
85,121700.5571,0.9873223349
86,113159.8149,0.9874344219
87,117859.5778,0.9875528809
88,104001.1908,0.9876521087
89,119498.6946,0.9877826592
90,110215.6868,0.9878934354
91,105138.1609,0.9880037028
92,123488.3813,0.988134115
93,107374.9507,0.9882482923
94,99631.58793,0.9883585896
95,94868.53091,0.9884587772
96,91612.64057,0.9885588626
97,93973.75247,0.988667003
98,95848.52852,0.9887731122
99,102713.9978,0.9888935546
100,95811.48011,0.9889996228
101,84815.64163,0.9891021663
102,78646.87892,0.9891943877
103,83641.17637,0.9892894194
104,79468.52351,0.9893866557
105,79032.23224,0.9894793289
106,84110.60999,0.9895859208
107,81546.8293,0.9896857001
108,82787.32348,0.9897857913
109,77898.66536,0.9898828088
110,70943.99867,0.9899716815
111,67620.01526,0.9900603301
112,72930.14189,0.9901532843
113,67677.7001,0.9902410227
114,70819.34866,0.9903369603
115,63374.08369,0.9904200426
116,56711.97831,0.9904939779
117,55586.56489,0.9905684703
118,67786.51066,0.9906612868
119,57403.18714,0.990740304
120,60626.77443,0.990823317
121,65913.43717,0.9909116486
122,61552.91745,0.9909981713
123,56769.04975,0.9910833445
124,63394.51133,0.9911701472
125,52829.28225,0.9912478703
126,60234.42758,0.9913307849
127,57039.07338,0.9914155323
128,52830.63026,0.9914947965
129,47438.79018,0.9915628615
130,49209.13819,0.9916381259
131,47215.52912,0.9917075899
132,48650.80372,0.9917841263
133,48480.96467,0.99185863
134,39364.9647,0.9919159708
135,44161.15181,0.9919867307
136,46495.73693,0.9920588608
137,42072.1563,0.9921256607
138,42377.5812,0.9921923281
139,40513.04174,0.9922551772
140,42668.98939,0.9923260323
