freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.830673624e+11,0.8302770406
1,555310380.6,0.8504253163
2,242478816.3,0.8680209896
3,210019963.1,0.8870713273
4,78072435.14,0.8955694123
5,42107157.26,0.9032082629
6,27739509.48,0.9077373783
7,25003114.37,0.9131804925
8,22414437.01,0.9188733192
9,17836338.5,0.9234033989
10,11761349.08,0.9270306545
11,8018558.089,0.9293581473
12,10020412.24,0.9329938443
13,5564660.347,0.935315718
14,5290338.69,0.9374271556
15,4582387.676,0.9394223038
16,4339870.373,0.9413118613
17,4400551.923,0.9436270012
18,3731783.921,0.9456580008
19,3116391.836,0.9473540772
20,2387671.973,0.9486968683
21,2708953.55,0.9504660651
22,2269180.361,0.951865717
23,2140753.626,0.9532249904
24,2540409.58,0.9549762859
25,1849604.099,0.9563855753
26,1330799.566,0.9574478514
27,1317180.02,0.9584275694
28,1224261.67,0.9593603846
29,987173.6473,0.9602200054
30,1040181.84,0.9611069147
31,1012407.885,0.9620619754
32,1033698.196,0.9629996148
33,755147.5928,0.9637119875
34,689461.2969,0.9644249339
35,704539.8626,0.9650895655
36,587399.8531,0.9657076302
37,669967.3164,0.9664004185
38,561296.8584,0.9670521139
39,598747.6646,0.9677255675
40,540745.9429,0.9683043526
41,515794.3874,0.9689406463
42,567532.1284,0.9696201729
43,364266.4519,0.9700959722
44,348414.2523,0.9705321033
45,385364.4923,0.9710074963
46,324159.9995,0.9714426705
47,306471.3322,0.9718485386
48,363598.3474,0.9723630424
49,278670.3984,0.9727472593
50,295152.8571,0.9731970375
51,257978.5577,0.9735761261
52,259600.8393,0.97394347
53,276460.5327,0.974374794
54,275328.7405,0.974779378
55,291521.4888,0.9752765086
56,232244.1394,0.9756388478
57,243310.9507,0.9760361091
58,225933.7453,0.9764090969
59,210368.1295,0.9767602042
60,234575.0853,0.9771772464
61,209655.2119,0.9775461811
62,205827.0891,0.9779121134
63,191849.5736,0.9782601564
64,176580.1356,0.9785708882
65,178340.5383,0.9789203067
66,165331.4581,0.979220242
67,173218.9461,0.979553341
68,144966.88,0.9798505209
69,134831.0277,0.9801049081
70,128011.5376,0.9803650074
71,143132.9671,0.9806428479
72,124841.7899,0.9809146253
73,120398.8206,0.9811679936
74,111878.7363,0.9814034322
75,107666.7667,0.9816358668
76,115989.8307,0.9818883737
77,117628.2595,0.9821529832
78,114305.0147,0.9823997486
79,97124.28232,0.9826182336
80,99022.66465,0.9828517676
81,92365.65342,0.9830612235
82,105422.7573,0.9833175015
83,109642.2815,0.9835681243
84,96827.70943,0.9838035081
85,101603.1879,0.9840560306
86,98909.1983,0.9843000631
87,86481.25799,0.9845165707
88,80462.84677,0.9847077931
89,80622.9864,0.9849271859
90,91266.88278,0.9851556744
91,97121.18067,0.9854093908
92,93174.79155,0.9856544881
93,75210.80637,0.9858536954
94,75270.96821,0.9860612551
95,78620.34938,0.9862680668
96,78533.54339,0.9864817737
97,76837.43195,0.9867020167
98,79491.05854,0.9869212133
99,75220.08457,0.9871409142
100,67591.29048,0.9873272973
101,62318.75024,0.987514969
102,62446.76437,0.9876973619
103,67270.50307,0.9878877419
104,60483.1511,0.9880720803
105,56012.81058,0.9882356811
106,63036.94006,0.9884346643
107,62491.70258,0.9886251243
108,58097.61524,0.9888000842
109,52239.85708,0.9889621421
110,54458.82376,0.9891320716
111,57214.13935,0.9893189022
112,52354.85566,0.989485116
113,54558.94263,0.9896612966
114,50739.41273,0.9898325071
115,55394.28029,0.990013395
116,55999.42529,0.9901952431
117,52114.16579,0.9903692016
118,48542.13026,0.9905347591
119,52382.85884,0.990714366
120,51216.70963,0.9908890454
121,51110.00627,0.991059652
122,47341.08493,0.9912254074
123,42631.37863,0.9913847268
124,43931.81679,0.9915345603
125,46869.87052,0.9917063184
126,41058.06026,0.9918470956
127,39763.22156,0.9919942536
128,34564.91084,0.9921234275
129,37837.84228,0.9922586549
130,37109.63103,0.9924000317
131,36650.26959,0.9925343393
132,33727.95596,0.9926665041
133,34381.62723,0.9927981117
134,31651.1648,0.9929129513
135,31270.21862,0.9930377545
136,33107.55036,0.9931656864
137,29992.51212,0.9932843019
138,31817.45035,0.9934089803
139,30286.1103,0.9935260098
140,33059.1838,0.9936627509
141,30559.90064,0.9937836103
142,29058.38345,0.9939016944
143,27970.74306,0.9940158662
144,32051.30754,0.9941484384
