freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.002467953e+11,0.8918709288
1,174573774.6,0.8943608561
2,286809671.7,0.9025423285
3,491782715.6,0.9200779414
4,113915873.1,0.9249522517
5,87814754.29,0.9312147148
6,99994442.27,0.9376326607
7,42281872.85,0.9412510322
8,34669805.36,0.9447124747
9,24004001.81,0.9471090405
10,18678205.01,0.9493734854
11,13565323.15,0.9509213316
12,22331604.59,0.9541064649
13,13470277.03,0.956315904
14,8724180.039,0.9576846567
15,5209319.555,0.9585762564
16,8048494.196,0.9599537944
17,8104416.825,0.9616298848
18,5087103.538,0.9627182371
19,3656802.59,0.963500586
20,3355850.28,0.9642424802
21,2975512.986,0.9650063899
22,3557659.156,0.9658690127
23,4428308.748,0.9669743215
24,2532089.8,0.9676605052
25,1939695.57,0.9682414843
26,1802076.873,0.9688069466
27,1726503.327,0.9693117578
28,1529559.398,0.9697698927
29,1334025.314,0.9702265422
30,1827549.522,0.9708390966
31,2124933.53,0.9716270969
32,1835667.289,0.9722816451
33,1573635.731,0.9728652048
34,1321985.199,0.9734025818
35,1676719.023,0.9740243684
36,1112103.827,0.9744843612
37,1418734.824,0.9750610662
38,1176845.296,0.9755981933
39,927050.7497,0.9760080885
40,1012902.73,0.9764342728
41,819146.9667,0.9768315087
42,746113.3029,0.9771826859
43,850512.5277,0.9776193937
44,697396.162,0.9779625613
45,630813.9127,0.9782684672
46,727587.4559,0.9786524349
47,515978.688,0.9789210511
48,630621.9599,0.9792718364
49,563472.0909,0.9795772327
50,391952.4712,0.9798120285
51,416920.2986,0.9800528613
52,420498.8415,0.980286765
53,434132.1623,0.9805530202
54,474736.1984,0.9808272503
55,392446.5269,0.9810903292
56,782954.8874,0.9815705189
57,386748.0041,0.9818187455
58,701247.6886,0.9822738284
59,405877.9139,0.9825401221
60,369738.042,0.9827985253
61,280899.773,0.9829928379
62,325919.4572,0.9832206171
63,432197.8661,0.9835288367
64,458987.1954,0.9838463413
65,336579.8642,0.9841055738
66,502218.1463,0.9844637281
67,324097.8172,0.9847087245
68,247917.292,0.9849085095
69,258364.9778,0.9851001312
70,286730.0909,0.9853291488
71,232794.2574,0.985506786
72,209775.7472,0.9856863065
73,227534.8921,0.9858745343
74,210730.7604,0.9860488609
75,183045.0172,0.9862042006
76,163776.2999,0.986344356
77,185438.022,0.9865083388
78,169856.1477,0.9866524859
79,215511.8232,0.9868430629
80,155349.3272,0.9869870854
81,222563.8777,0.9871854857
82,161877.7808,0.9873401784
83,153656.6618,0.9874782485
84,186021.0922,0.9876560128
85,149265.007,0.987801846
86,130550.9787,0.9879284644
87,142733.7047,0.9880689343
88,132573.588,0.9881927871
89,138869.4919,0.9883413382
90,105554.9796,0.988445219
91,125794.5991,0.9885744011
92,106659.6901,0.9886846936
93,121812.7651,0.988811524
94,92213.51131,0.9889114816
95,94552.88775,0.9890092549
96,101381.8192,0.9891177048
97,82284.30801,0.9892104202
98,120508.5289,0.989341049
99,93887.01235,0.9894488466
100,140205.3581,0.9896008264
101,132891.0902,0.9897581456
102,88056.81775,0.9898592492
103,122650.4684,0.9899956985
104,114834.1412,0.9901332794
105,84855.24687,0.9902307071
106,137401.7331,0.990401205
107,92078.11521,0.9905115222
108,89432.94068,0.9906173948
109,91335.24382,0.990728776
110,88289.32866,0.9908370725
111,79613.49652,0.9909392692
112,79796.16319,0.9910388551
113,78500.99883,0.9911385041
114,78511.32653,0.9912426454
115,76012.69522,0.9913402199
116,78538.87536,0.991440477
117,73122.12497,0.9915364269
118,71265.94003,0.991631974
119,77759.12951,0.9917367811
120,82536.58819,0.9918474389
121,75542.75141,0.9919465651
122,82581.75596,0.9920602281
123,76792.25234,0.9921730419
124,61678.4569,0.992255735
125,58727.29946,0.9923403347
126,62065.85267,0.9924239898
127,79136.1104,0.9925391182
128,67674.93946,0.992638538
129,76986.04624,0.9927466953
130,68346.22782,0.9928490509
131,67458.23429,0.992946228
132,62040.35824,0.9930417945
133,56945.45715,0.9931274824
134,57795.18701,0.993209915
135,60898.62043,0.99330546
136,57819.08571,0.9933932871
137,46815.51057,0.9934660691
138,54731.9163,0.9935503777
139,58692.00029,0.9936395308
140,47235.98414,0.9937163351
141,45288.60017,0.9937867432
142,46035.32421,0.9938602821
143,47775.39767,0.9939369413
144,50484.12477,0.994019027
145,51999.21016,0.9941058011
146,52592.47008,0.9941909399
147,50733.27153,0.9942734306
148,50368.94515,0.9943589211
149,54150.12766,0.9944500569
150,54462.96625,0.9945421077
151,49950.35466,0.9946240379
152,42743.77976,0.9946984152
153,38451.03443,0.9947634033
154,45316.3462,0.9948441961
155,34839.94925,0.9949038263
156,39309.7187,0.9949722281
157,33485.85524,0.9950331228
158,39463.31222,0.9951006661
159,32581.47149,0.9951587544
160,31696.18629,0.9952154903
161,33628.16581,0.9952788021
162,33229.3816,0.9953394674
163,36239.13299,0.9954038183
164,31154.23574,0.9954615838
165,31747.21998,0.9955199959
166,32261.29694,0.9955821147
167,37586.05992,0.9956510018
168,33518.71896,0.9957121952
169,27684.87718,0.995766292
170,30975.4134,0.9958257139
171,27173.18089,0.9958780356
172,28817.79346,0.995932702
173,27441.61443,0.9959871061
174,27073.99777,0.9960405884
175,25309.62777,0.9960893219
176,27319.91557,0.9961434848
177,29255.87396,0.9962000253
178,24646.37995,0.9962506455
179,21826.66024,0.9962948517
180,21114.17576,0.9963365608
181,22708.852,0.9963828777
182,20117.0765,0.9964247691
183,22932.98368,0.9964728515
184,20864.88208,0.9965143658
185,21367.43095,0.9965588609
186,24820.76861,0.9966119633
187,20955.43395,0.99665575
188,20227.61364,0.9966984487
189,19871.92781,0.9967398296
190,19434.81837,0.9967811319
191,17489.45585,0.9968194225
192,17987.70364,0.9968571364
193,16507.54609,0.9968938659
194,15686.70439,0.9969273147
195,16424.17152,0.9969638586
196,16622.36633,0.9970008436
197,15446.74969,0.9970345519
198,15552.79479,0.9970694897
199,15954.38876,0.9971045333
200,18450.45306,0.9971471647
201,15297.28142,0.9971808741
202,15918.30282,0.9972160655
203,15309.85513,0.9972523137
204,13730.09346,0.9972833529
205,13030.51089,0.9973140186
206,14939.73475,0.9973476859
207,14650.88403,0.997381747
208,12695.45498,0.9974117147
209,13953.07277,0.9974441536
210,13521.46991,0.9974757818
211,13428.62976,0.9975080548
212,15490.25564,0.9975449511
213,11511.42311,0.9975725344
214,12492.29281,0.997602468
215,12339.41886,0.9976315953
216,14213.90627,0.9976666679
217,12620.72519,0.9976976293
218,14046.4594,0.9977315874
219,12303.08476,0.997761945
220,13541.74729,0.997795359
221,12120.02022,0.9978255243
222,12694.29084,0.9978577525
223,12338.50665,0.9978880215
224,9987.943417,0.9979135213
225,10165.13826,0.9979388211
226,11072.00138,0.9979669306
227,9869.033474,0.9979918453
228,9959.91612,0.9980176287
229,8820.61118,0.9980411547
230,9042.983481,0.998063726
231,7975.320205,0.9980842013
232,10092.48605,0.9981103278
233,9010.749473,0.9981339754
234,9255.620348,0.9981589256
235,8242.910559,0.9981801466
236,8177.652734,0.9982017245
237,7591.286426,0.9982222965
238,8768.255703,0.998244995
239,7512.127841,0.9982655668
240,8071.435123,0.9982866341
241,7320.195627,0.9983070979
242,7848.841017,0.9983287597
243,7717.467773,0.9983495636
244,7114.782429,0.9983692502
245,7844.147502,0.9983901159
246,6888.692243,0.9984099629
247,6548.676382,0.9984279897
248,6636.863587,0.9984460699
249,6893.016589,0.9984652904
250,5972.154941,0.9984818153
251,6509.218009,0.9985003834
252,6391.314596,0.9985183872
253,6134.866423,0.9985357999
254,6667.922618,0.9985550109
255,5806.368248,0.9985718225
256,7134.057953,0.9985921221
257,6275.151374,0.9986099329
258,6257.254845,0.998628407
259,5157.694174,0.9986433036
260,6803.500063,0.9986631963
261,6249.264868,0.9986814685
262,6221.838606,0.9986997049
263,5378.209333,0.9987155836
264,6045.104459,0.9987332588
265,5442.61457,0.9987497935
266,6584.650746,0.998769375
267,6196.261932,0.9987877573
268,4924.9397,0.9988027895
269,4912.764794,0.9988174693
270,5610.846137,0.9988343549
271,4836.023508,0.9988492537
272,5019.524319,0.9988647178
273,4585.336381,0.9988786807
274,4863.361993,0.9988933168
275,4402.882058,0.9989071952
276,4269.895367,0.9989203194
277,4092.902098,0.9989331622
278,3986.714585,0.9989455013
279,4295.445539,0.9989588878
280,4260.739288,0.9989724396
281,4266.687329,0.9989857061
282,3759.217007,0.9989976091
283,4729.348667,0.9990125502
284,4193.989646,0.999026129
285,4067.149171,0.9990391811
286,3680.042504,0.9990507547
287,3267.133467,0.9990613326
288,3182.781834,0.9990715921
289,3636.115918,0.9990834684
290,3476.584538,0.9990949971
291,3687.793495,0.9991065162
292,3208.364938,0.9991174073
293,2963.783314,0.9991271087
294,3018.309967,0.9991370532
295,3087.47256,0.9991471816
296,2902.652608,0.999156952
297,2974.3439,0.999166985
298,3067.077358,0.9991770027
299,2815.457597,0.9991863993
300,3039.437137,0.9991966085
301,3086.671246,0.9992069984
302,3239.040897,0.9992182707
303,3181.685123,0.999228867
304,3064.981773,0.9992392276
305,2640.164748,0.9992484534
306,2873.316529,0.9992581661
307,2461.227772,0.9992666788
308,2840.442263,0.9992762804
309,2483.831094,0.9992852433
310,2421.860245,0.9992935509
311,2500.329567,0.999302288
312,2418.578199,0.9993106361
313,2328.772654,0.999318807
314,2184.507453,0.9993267054
315,2212.041504,0.9993344982
316,2274.099832,0.9993424773
317,2223.889632,0.9993503912
318,2159.363378,0.9993581525
319,2489.288802,0.9993669931
320,1998.745164,0.9993740773
321,2393.842091,0.9993826814
322,2093.809789,0.9993903564
323,2171.368602,0.9993982537
324,2186.850701,0.9994060359
325,1834.109865,0.9994127851
326,1791.906479,0.999419379
327,1736.142435,0.9994258296
328,1852.466146,0.9994326992
329,2103.986206,0.9994403214
330,1795.762306,0.9994470064
331,1902.6922,0.9994539672
332,1983.958752,0.9994612679
333,1903.134018,0.9994685968
334,1876.631611,0.9994755426
335,1621.989829,0.9994816732
336,1537.235596,0.9994873958
337,1580.583075,0.9994932346
338,1719.6712,0.9994999919
339,1464.916193,0.9995055288
340,1676.405517,0.9995120324
341,1423.470824,0.9995174228
342,1842.958346,0.9995243623
343,1566.311583,0.9995305729
344,1620.947669,0.9995366648
345,1360.950525,0.9995420417
346,1564.474265,0.9995480441
347,1431.473193,0.9995536384
348,1453.700775,0.9995592884
349,1614.072604,0.9995654811
350,1308.344271,0.9995706688
351,1420.302892,0.9995763106
352,1426.218297,0.9995819657
353,1505.792119,0.9995879577
354,1333.43587,0.9995931498
355,1238.858205,0.9995981769
356,1385.955415,0.999603613
357,1263.682767,0.9996087858
358,1331.49287,0.9996140748
359,1142.432222,0.9996186046
360,1132.926668,0.9996232745
361,1338.34666,0.9996285907
362,1245.579934,0.9996337072
363,1240.755321,0.9996386623
364,1208.198628,0.9996436942
365,1326.344809,0.9996491519
366,1105.85612,0.9996536944
367,1321.93967,0.9996590868
368,1366.281089,0.9996647284
369,1264.089054,0.9996700291
370,1304.913361,0.9996754265
371,1294.46608,0.9996807623
372,1080.420243,0.9996852543
373,1179.097786,0.9996901817
374,1075.137795,0.9996947821
375,980.2968981,0.9996988578
376,1096.148893,0.9997034387
377,1233.84793,0.9997087181
378,993.7823641,0.9997128924
379,975.5322436,0.9997170666
380,912.606901,0.9997208674
381,939.9933749,0.9997249565
382,987.6651144,0.9997292179
383,932.8740423,0.9997332095
384,989.8210341,0.999737473
385,968.5327699,0.999741638
386,978.2971987,0.9997459356
387,835.7814956,0.9997495118
388,824.6493496,0.999753111
389,779.7115108,0.9997565307
390,748.4194269,0.9997597757
391,711.0484116,0.9997629298
392,965.2240113,0.9997670943
393,729.0903844,0.9997703283
394,788.1155307,0.9997738804
395,762.8023391,0.9997771988
396,858.5274049,0.9997810376
397,736.8769605,0.9997842431
398,642.0875261,0.999787192
399,749.649576,0.9997905333
400,767.5660596,0.999793949
401,674.0472042,0.9997970255
402,798.2901253,0.9998005722
403,668.047317,0.9998036308
404,742.7909567,0.9998069574
405,676.6390063,0.999810007
406,672.3730789,0.9998131286
407,801.736814,0.9998167306
408,612.8808711,0.9998195716
409,712.8071244,0.9998227792
410,619.1685763,0.9998256317
411,654.3851293,0.9998286837
412,547.5821055,0.9998311507
413,509.434945,0.9998333759
414,552.8088115,0.9998357453
415,454.0089436,0.9998377413
416,633.6389908,0.9998403893
417,602.586984,0.9998428925
418,498.9931246,0.9998449333
419,651.5890453,0.9998476749
420,422.8794948,0.9998494241
421,467.92775,0.9998513295
422,503.4146286,0.9998533884
423,506.2205506,0.9998554173
424,426.5766504,0.9998571315
425,413.9435084,0.999858795
