freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.4494394e+11,0.7780064302
1,2714382835,0.8269838333
2,342520277.5,0.8393444727
3,251198307.5,0.8506758153
4,123387329.6,0.8573548926
5,115659828.2,0.8677895262
6,82659132.89,0.8745011563
7,92396692.58,0.8845042037
8,72014141.56,0.8935999949
9,48616841.64,0.8997405755
10,33950269.04,0.9049475662
11,27870332.46,0.9089706288
12,18532060.07,0.9123144908
13,21128127.54,0.9166986217
14,15248472.48,0.9197251426
15,15163026.83,0.9230083007
16,13273680.53,0.9258823702
17,12962307.57,0.9292737387
18,8288626.874,0.9315170962
19,6947414.781,0.9333974482
20,6532910.854,0.9352245514
21,3625199.73,0.9364019651
22,5040089.575,0.9379479735
23,5153195.899,0.9395751675
24,3819280.709,0.9408845298
25,4491996.57,0.9425866231
26,4331537.213,0.9443060725
27,3803549.47,0.9457129866
28,3231064.698,0.9469372915
29,2591618.16,0.9480595862
30,2210957.799,0.9489970899
31,2055058.801,0.9499611903
32,2327131.44,0.9510109395
33,2297100.788,0.9520885903
34,2143446.972,0.9531908458
35,1819815.818,0.9540445854
36,2896352.94,0.9555601489
37,2364492.633,0.9567760758
38,1772932.72,0.9577997621
39,1978342.887,0.9589063551
40,1746363.071,0.9598359232
41,1527482.036,0.9607730097
42,1545530.332,0.9616932815
43,1102584.087,0.962409489
44,843901.8144,0.9629348232
45,943434.2682,0.9635136055
46,839067.8691,0.9640737802
47,1158008.99,0.9648364375
48,834787.6837,0.9654238799
49,665539.2195,0.9658802129
50,808730.9929,0.9664930966
51,1050256.224,0.9672605905
52,1070709.952,0.9680140521
53,1042633.958,0.9688230082
54,602509.8783,0.9692633033
55,431515.8411,0.9696292512
56,448755.9914,0.9699774308
57,469913.0902,0.9703589837
58,377518.4524,0.9706689213
59,439337.6701,0.9710335752
60,431532.5894,0.9714151102
61,512867.5347,0.9718639295
62,800167.9452,0.9725713895
63,764444.6179,0.9732610585
64,697154.7302,0.9738711508
65,447189.8279,0.9743068737
66,451496.4987,0.9747142062
67,384854.4341,0.9750822479
68,285113.563,0.9753729117
69,275894.43,0.9756317753
70,228966.0553,0.9758631329
71,241647.7928,0.9760964041
72,347250.5331,0.9764723444
73,440638.516,0.9769334868
74,234995.922,0.9771794177
75,243134.5222,0.9774404464
76,197623.4403,0.9776543974
77,182249.4741,0.9778582811
78,160733.2308,0.978030844
79,171653.7025,0.9782228742
80,160034.4397,0.9784105686
81,141136.8739,0.9785697328
82,135582.1828,0.9787336415
83,160897.7184,0.9789165421
84,178632.4946,0.9791324954
85,204920.5269,0.9793857753
86,195003.0565,0.979625038
87,227490.1074,0.979908266
88,262479.0193,0.9802184794
89,375392.3003,0.9807264883
90,254101.8367,0.9810428483
91,165237.4216,0.9812575154
92,162526.1931,0.9814701265
93,144458.8807,0.9816604059
94,120734.4658,0.9818259713
95,111397.7903,0.981971698
96,124356.4354,0.9821399864
97,133482.2676,0.9823302586
98,90994.57628,0.9824550411
99,94564.8704,0.982592398
100,97311.51352,0.9827258431
101,110228.3427,0.9828909237
102,142739.0876,0.9830982543
103,306889.8098,0.9835301727
104,183435.6088,0.9838082001
105,124304.8896,0.9839887548
106,134624.2884,0.9842000878
107,123813.975,0.9843877486
108,263352.5082,0.9847821516
109,405481.7428,0.9854077016
110,212120.8182,0.9857368612
111,117156.3558,0.9859271148
112,84298.68923,0.9860602073
113,82112.28944,0.9861920703
114,69129.02298,0.9863080729
115,66351.67144,0.9864158234
116,71959.10869,0.9865320307
117,86303.38327,0.9866752957
118,91940.38326,0.9868312362
119,105010.3055,0.987010292
120,153416.958,0.9872705031
121,107280.3496,0.9874485903
122,89269.93228,0.9876040283
123,85504.3506,0.9877629379
124,77329.67324,0.9878940971
125,100811.4871,0.9880778169
126,167120.699,0.9883627787
127,104048.0308,0.9885542743
128,80693.70131,0.9887042433
129,55859.91226,0.9888035232
130,54633.84551,0.9889070316
131,58353.21482,0.9890133751
132,51024.30365,0.9891128069
133,50377.01728,0.9892087049
134,53521.55811,0.9893052774
135,50454.1285,0.9894054189
136,47179.55558,0.9894960815
137,50262.04345,0.9895949348
138,47789.89537,0.9896880637
139,46077.40076,0.9897766083
140,42299.07348,0.9898636166
141,42028.73251,0.989946277
142,43749.61298,0.9900346901
143,40641.97093,0.9901171897
144,45768.42505,0.9902113343
145,41615.18236,0.9902991885
146,50182.71967,0.9904019605
147,48694.97716,0.9905021249
148,40167.8114,0.9905883731
149,74729.21668,0.9907474829
150,47546.13739,0.9908491449
151,40823.32849,0.9909338541
152,39146.58229,0.9910200285
153,43451.71203,0.9911129358
154,63552.13896,0.991256275
155,69089.44654,0.9914058702
156,51210.24375,0.9915186007
157,47339.07838,0.9916275074
158,62514.70818,0.9917628667
159,71942.71216,0.9919251304
160,50415.29422,0.9920392948
161,35566.16329,0.992124005
162,30635.82748,0.9921947611
