freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.519747541e+11,0.8482480138
1,1035908872,0.8682200745
2,853295133.6,0.9011227026
3,161669610.6,0.9089150754
4,78377131.89,0.9134483492
5,51002769.64,0.9183649516
6,50994548.71,0.9227891805
7,42325278.47,0.9276853044
8,27438398.96,0.9313883421
9,20033013.7,0.9340919621
10,22313295.33,0.9377486169
11,24726773.24,0.9415624243
12,12193818.6,0.9439133616
13,8611319.836,0.9458226384
14,12975515.46,0.9485744496
15,7622535.736,0.9503379763
16,7133395.045,0.9519883368
17,7261400.402,0.9540183073
18,5755011.761,0.9556826348
19,5464980.256,0.9572630863
20,4602780.395,0.9586385632
21,4043554.75,0.96004182
22,3065776.943,0.9610466458
23,2713093.377,0.9619620315
24,2381539.94,0.9628344257
25,1960713.168,0.9636282689
26,1955884.305,0.9644578659
27,2127401.296,0.9652986889
28,1618000.747,0.9659537764
29,1482297.1,0.9666396559
30,1426034.237,0.967285755
31,1277001.22,0.9679258818
32,1415062.094,0.9686079328
33,1192103.283,0.9692055025
34,1063885.507,0.9697900786
35,934470.566,0.9702585038
36,951804.8083,0.9707906699
37,948431.5561,0.9713118073
38,885661.9194,0.9718582181
39,1078070.674,0.9725025509
40,1059997.346,0.9731054271
41,970890.2131,0.9737418567
42,1006854.904,0.9743824496
43,770325.6366,0.9749171102
44,762788.4366,0.9754244799
45,562170.0363,0.9757929887
46,638697.3568,0.9762486039
47,596129.3052,0.9766681065
48,422760.2426,0.9769859842
49,476427.7161,0.9773350296
50,454968.5419,0.9777034401
51,461429.6313,0.9780637381
52,372480.5345,0.97834381
53,386085.162,0.9786638858
54,348516.8388,0.9789360181
55,305375.8118,0.9792127338
56,325371.372,0.9794824762
57,275762.3483,0.9797217245
58,310031.7452,0.9799936931
59,265345.0122,0.9802290192
60,262235.622,0.9804767552
61,293730.1689,0.9807514128
62,307536.7348,0.9810419451
63,320920.8005,0.9813513087
64,294536.8927,0.9816267206
65,256983.6714,0.9818942679
66,212430.4899,0.9820990482
67,215090.3015,0.9823188332
68,233356.6813,0.98257303
69,239988.0973,0.9828136293
70,217212.0597,0.9830481457
71,211431.8096,0.9832662305
72,177231.9561,0.9834712498
73,183770.7704,0.9836767469
74,188808.0782,0.9838878769
75,146965.5946,0.9840564677
76,157909.1378,0.9842391346
77,155811.1687,0.9844253826
78,150380.6143,0.984597891
79,155772.8845,0.9847840932
80,130923.6201,0.9849481645
81,129417.4415,0.9851041105
82,127719.1979,0.9852690909
83,127949.1075,0.9854245009
84,127076.5229,0.9855886511
85,107467.7727,0.9857305798
86,124292.6309,0.9858935303
87,129323.919,0.9860655702
88,129109.6612,0.9862286129
89,105585.4808,0.9863812875
90,111817.0654,0.986530038
91,112444.882,0.9866861275
92,115975.9089,0.9868482365
93,119136.3697,0.9870159116
94,119241.6235,0.9871906316
95,100674.79,0.987331353
96,100156.7132,0.9874761777
97,85198.16708,0.987605943
98,102902.1775,0.9877567216
99,89852.45805,0.9878961743
100,99602.1148,0.9880421174
101,85607.57972,0.9881791083
102,85165.10458,0.9883112862
103,92534.14581,0.9884504409
104,76823.77598,0.9885748569
105,94958.21099,0.9887222339
106,78928.90486,0.9888546244
107,65058.71523,0.9889599869
108,63038.68455,0.9890608626
109,67890.64484,0.9891727748
110,68621.68439,0.9892865535
111,69281.32048,0.9894067689
112,70924.07306,0.9895264162
113,68416.67554,0.9896438122
114,67947.21689,0.9897656427
115,69155.39871,0.9898856396
116,65492.03088,0.9899986485
117,61982.84162,0.9901085898
118,60569.13668,0.990218359
119,60359.9698,0.990328331
120,61320.41228,0.9904394617
121,58942.69969,0.9905440106
122,57345.1508,0.990650701
123,52323.76062,0.9907546062
124,56059.79492,0.9908562032
125,54787.96987,0.9909628893
126,59733.34016,0.9910717196
127,53835.56677,0.9911775891
128,49134.90478,0.9912751619
129,52183.84438,0.9913742619
130,46353.8106,0.9914680993
131,42934.0591,0.9915517028
132,40585.20175,0.9916362098
133,38716.12921,0.991714959
134,42033.34984,0.9917959982
135,41175.43214,0.9918833219
136,37734.92911,0.9919608028
137,35109.52465,0.9920345852
138,39509.90177,0.9921168532
139,39700.73722,0.9921983704
140,33365.13158,0.9922717034
141,39469.45157,0.9923546481
142,38768.19927,0.9924383615
143,36132.83587,0.9925167326
144,37793.24435,0.992599798
145,43539.44829,0.9926980113
146,38791.94935,0.9927828978
147,38343.43968,0.9928671725
148,37036.19117,0.9929521443
149,39779.97335,0.9930426441
150,37008.16721,0.9931271948
151,34620.36013,0.9932039541
152,34357.77641,0.993284768
153,32730.58803,0.993359546
154,31481.23392,0.9934354147
155,29539.22449,0.9935037558
156,29159.23088,0.9935723421
157,30437.97753,0.9936471637
158,29347.08202,0.9937150602
159,29146.69473,0.9937853028
160,28031.61599,0.9938531284
161,28184.71478,0.9939248564
162,27531.06799,0.9939927978
163,28047.12061,0.9940601201
164,25351.19329,0.9941236595
165,27046.04979,0.9941909254
166,25074.30032,0.9942561879
167,23671.17862,0.994314832
168,25501.38427,0.9943777645
169,24863.3426,0.9944434367
170,25587.0024,0.994509787
171,25510.6363,0.9945761852
172,26185.46399,0.9946433301
173,25994.83638,0.9947129933
174,25827.99318,0.9947819604
175,22919.79405,0.9948416152
176,23578.32242,0.9949048024
177,21165.14763,0.9949600944
178,21264.39363,0.9950191304
179,21177.5317,0.9950771086
180,22070.50152,0.9951360422
181,21062.22569,0.9951941109
182,20673.41882,0.9952523033
183,20728.54053,0.9953110505
184,21035.96238,0.9953676273
185,20487.37799,0.995425296
186,17182.09975,0.995474986
187,17580.43875,0.9955246417
188,18060.00611,0.9955761741
189,17570.87922,0.9956256334
190,16219.30668,0.9956722263
191,16955.98949,0.9957224066
192,16738.7809,0.9957698463
193,15893.4394,0.9958176481
194,15171.23625,0.9958613765
195,17588.36151,0.9959142759
196,16703.09861,0.9959645128
197,16188.04663,0.9960122644
198,17527.73756,0.9960654884
199,16105.89561,0.9961133081
200,16647.15223,0.9961653025
201,15925.60295,0.9962127404
202,14471.07797,0.9962559852
203,14935.46486,0.9963037852
204,16103.22066,0.9963529941
205,16102.20586,0.9964042177
206,14746.75612,0.9964491393
207,13905.87321,0.9964928399
208,13830.045,0.9965369688
209,14514.10032,0.9965825808
210,14314.38504,0.9966278411
211,13227.47985,0.9966708124
212,12198.67888,0.9967100887
213,12792.28889,0.9967515229
214,11903.05323,0.9967900769
215,11629.87964,0.9968271855
216,11143.93565,0.9968643549
217,11306.14656,0.9969018474
218,11903.87516,0.9969407483
219,11047.84333,0.9969775972
220,9643.933491,0.9970097635
221,10373.88154,0.9970446646
222,9694.308536,0.9970779334
223,10171.48882,0.9971116633
224,10569.55116,0.9971481396
225,9835.540495,0.9971812294
226,9834.994686,0.9972149811
227,10431.74678,0.9972505796
228,10315.1193,0.9972866751
229,10283.64623,0.9973237508
230,9720.094472,0.997356546
231,9854.617603,0.997390745
232,10679.95566,0.9974281171
233,10340.88851,0.9974648011
234,8944.598844,0.9974973941
235,8913.83989,0.9975284142
236,8612.70845,0.9975591336
237,8569.177253,0.9975905238
238,8570.134681,0.9976205131
239,8672.519888,0.9976526162
240,7895.630249,0.9976804735
241,8073.230449,0.9977109809
242,7559.209373,0.9977391815
243,7615.081118,0.9977669299
244,7741.770282,0.9977958862
245,7082.540807,0.9978213527
246,7256.037655,0.9978496114
247,6939.315688,0.9978754326
248,7287.614648,0.9979022687
249,6800.973687,0.9979279029
250,7370.772999,0.9979554716
251,7124.611311,0.9979829437
252,6760.705733,0.9980086868
253,6936.180227,0.9980352986
254,7312.20512,0.9980637761
255,7220.873681,0.998092037
256,6621.784746,0.9981175065
257,7917.681012,0.998147884
258,6315.41603,0.9981730882
259,6399.941259,0.9981980745
260,6160.85066,0.9982224244
261,6199.110668,0.9982469254
262,6051.05103,0.9982708996
263,5663.207953,0.9982935009
264,5470.265238,0.9983151213
265,5458.990633,0.9983375392
266,5528.126079,0.9983597613
267,5346.240022,0.9983812007
268,5170.140066,0.998402532
269,4854.360192,0.9984221393
270,4970.65228,0.99844236
271,4743.843663,0.9984621154
272,4499.583548,0.9984808536
273,5157.894578,0.9985020846
274,4801.592718,0.9985216176
275,4938.356129,0.9985426591
276,4632.75143,0.9985619072
277,4329.708987,0.9985802719
278,4222.473425,0.9985979374
279,4511.031312,0.9986169407
280,4075.941423,0.9986344648
281,4523.86482,0.9986534785
282,4356.681228,0.9986721255
283,4308.458601,0.9986905247
284,4169.063888,0.9987087706
285,4321.424425,0.9987275167
286,4351.411605,0.9987460153
287,4141.770048,0.9987641418
288,4075.819827,0.998781901
289,3838.925066,0.9987988501
290,3914.113993,0.9988163953
291,3679.972889,0.9988319331
292,3714.664503,0.9988489782
293,3368.793602,0.9988638841
294,3390.437543,0.9988789838
295,3040.953052,0.9988924684
296,3374.820284,0.9989078239
297,3223.192468,0.9989225206
298,3103.78141,0.998936224
299,3423.034491,0.9989516669
300,2967.320404,0.9989651396
301,2930.79475,0.9989784748
302,3076.810311,0.9989929489
303,2856.400521,0.9990058079
304,2763.629795,0.9990184358
305,2964.363118,0.999032438
306,2886.311103,0.9990456265
307,2879.542161,0.9990590893
308,3183.993708,0.9990736379
309,2691.009275,0.9990867641
310,2981.425523,0.9991005883
311,2997.412123,0.9991147467
312,2917.914442,0.9991283608
313,2865.825439,0.9991419529
314,2700.610909,0.9991551519
315,2761.515408,0.9991683025
316,2635.241203,0.9991808009
317,2577.956756,0.9991932017
318,2651.472726,0.9992060838
319,2478.946975,0.9992179844
320,2296.832415,0.9992289886
321,2334.637123,0.9992403314
322,2132.127317,0.9992508959
323,2332.856969,0.999262365
324,2146.220818,0.9992726889
325,1986.031901,0.9992825678
326,2074.215765,0.9992928853
327,1986.544743,0.9993028625
328,1795.505958,0.9993118629
329,1900.000785,0.9993211673
330,1926.958711,0.9993308638
331,1911.06101,0.9993403145
332,2097.972278,0.9993507501
333,1791.242485,0.9993600745
334,1832.06763,0.9993692405
335,2010.266575,0.9993795112
336,1869.456258,0.9993889184
337,1855.453807,0.9993981835
338,1799.334149,0.9994077408
339,1760.31217,0.9994167345
340,1796.020754,0.999426153
341,1730.255169,0.9994350097
342,1752.559405,0.99944393
343,1852.081875,0.9994538567
344,1680.845995,0.9994623958
345,1640.29896,0.9994711558
346,1589.727992,0.9994794005
347,1541.016535,0.9994875412
348,1486.774326,0.9994953523
349,1359.780519,0.9995024045
350,1435.693261,0.9995100994
351,1408.312965,0.9995176612
352,1341.274472,0.9995248502
353,1495.151396,0.9995328927
354,1330.087527,0.9995398934
355,1192.409568,0.9995464339
356,1250.532622,0.9995530641
357,1248.116031,0.9995599703
358,1194.860956,0.999566386
359,1246.018069,0.9995730644
360,1221.203765,0.9995798687
361,1183.124113,0.9995862214
362,1116.481502,0.9995924207
363,1248.106116,0.9995991584
364,1126.111417,0.9996054981
365,1042.387851,0.9996112961
366,1025.315936,0.9996169892
367,1038.755592,0.9996227169
368,1120.644907,0.9996289718
369,1109.193447,0.9996352589
370,1070.016492,0.9996412415
371,1066.567272,0.9996471843
372,993.4000718,0.9996527672
373,1036.84796,0.9996586244
374,912.5593527,0.9996639025
375,1009.733354,0.9996695773
376,916.8020872,0.9996747563
377,840.1902518,0.9996796159
378,830.9127055,0.9996843337
379,770.0279648,0.9996887875
380,814.4042975,0.9996933723
381,771.0434469,0.9996979063
382,787.726896,0.9997025004
383,819.9634354,0.999707243
384,760.7042398,0.9997116722
385,714.5253807,0.9997158256
386,755.7434814,0.9997203134
387,745.8275663,0.9997246272
388,720.1149778,0.9997288756
389,669.1993026,0.9997328429
390,664.76145,0.9997367391
391,688.896281,0.9997408698
392,776.7524843,0.9997453999
393,701.8287182,0.999749608
394,729.1605763,0.9997540504
395,758.9856829,0.9997585135
396,681.6040932,0.9997626332
397,732.0116417,0.9997669377
398,677.8929154,0.9997711461
399,711.8395287,0.9997754349
400,664.8823565,0.9997794343
401,674.4141157,0.9997835951
402,660.1574256,0.9997875598
403,566.0910861,0.9997910632
404,590.2875194,0.9997946367
405,581.1805411,0.9997981775
406,573.1131171,0.9998017741
407,484.7445262,0.999804718
408,461.1378555,0.9998076075
