freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.828708376e+11,0.8070094081
1,5567223727,0.9008854934
2,746629322.3,0.9260652388
3,126244021.1,0.9313871439
4,168948347.1,0.9399337069
5,89174987.78,0.9474521749
6,37469219.98,0.9502953491
7,52239020.09,0.955580563
8,42126157.74,0.9605529644
9,9159777.232,0.9616341475
10,13389144.76,0.9635532054
11,15476764.26,0.9656409936
12,6160156.446,0.9666797364
13,6198881.858,0.9678818002
14,5056090.197,0.9688196295
15,4603850.308,0.9697512064
16,3200950.045,0.9703989102
17,3593656.405,0.9712775702
18,3520173.755,0.9721679425
19,3663804.051,0.9730946439
20,3661114.676,0.9740515324
21,2675825.124,0.9748637016
22,2584865.757,0.975604676
23,2816335.484,0.9764357482
24,2513538.162,0.9772410439
25,2401366.09,0.9780913865
26,1844246.227,0.9787755468
27,1705085.39,0.9793649552
28,2066151.085,0.9800965956
29,1513289.492,0.9807090158
30,994064.8957,0.9811029276
31,1280022.156,0.9816641139
32,1144431.76,0.9821465572
33,1094237.509,0.982626292
34,1096690.18,0.9831533338
35,762492.922,0.9834876254
36,843382.2156,0.9839000445
37,774872.3331,0.9842724288
38,638043.4954,0.9846167125
39,550875.4514,0.984904672
40,623081.1795,0.9852146158
41,491470.6933,0.9854963846
42,443099.0758,0.9857429494
43,488639.5775,0.9860395742
44,489194.902,0.9863241627
45,390483.1462,0.9865480335
46,465015.4379,0.9868381587
47,428803.9504,0.987102076
48,403513.0053,0.9873674378
49,421714.1982,0.9876376582
50,413920.1102,0.987930803
51,308189.2875,0.9881412723
52,341776.3934,0.9883660343
53,325653.4812,0.9886021585
54,338592.6104,0.988833391
55,260094.3724,0.9890395228
56,308554.8924,0.9892632492
57,271753.9044,0.9894694568
58,249696.3605,0.9896610323
59,258131.9026,0.9898612561
60,185408.7062,0.9900144504
61,230269.8923,0.9902027698
62,214129.5729,0.9903796948
63,150058.1291,0.9905062109
64,201392.6442,0.9906709139
65,186600.0089,0.990840825
66,163190.648,0.9909784133
67,174385.4743,0.9911342618
68,139588.7243,0.9912672506
69,140461.1924,0.9913904124
70,143427.606,0.9915258493
71,145980.104,0.9916575426
72,127232.3726,0.9917862683
