freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.559064134e+11,0.929465299
1,321317359.5,0.9337631927
2,310748561.3,0.9420762468
3,180117101.1,0.9480992964
4,135202117.7,0.9535246273
5,39695461.83,0.9561794306
6,21123463.32,0.9574508801
7,26795987.67,0.9596013952
8,17429497.55,0.961233336
9,15820057.56,0.9627145833
10,14045999.88,0.9643115397
11,19213815.83,0.9663675491
12,9924094.771,0.9676949815
13,7742666.005,0.9688859762
14,7982009.047,0.9700604042
15,6751063.398,0.9711440189
16,5117395.771,0.9719654133
17,4113100.198,0.9727631486
18,4373392.179,0.9736406163
19,3426955.568,0.9743281931
20,3532934.762,0.9750606614
21,2680896.754,0.9757061284
22,2901907.967,0.9763659918
23,2531385.185,0.9769585319
24,2216060.798,0.9775217243
25,2118315.75,0.9781167442
26,2417903.102,0.9788282575
27,1880376.206,0.9793438661
28,1969089.919,0.9798969695
29,1430648.515,0.9803562369
30,1296352.78,0.9807637228
31,1366682.204,0.9812390168
32,1196532.453,0.9816391329
33,985097.9274,0.9819817225
34,848547.1479,0.9823051987
35,797861.2079,0.9825826726
36,759629.017,0.9828773325
37,818482.5127,0.9831893477
38,685853.0511,0.9834829115
39,597606.8843,0.9837307101
40,581934.7967,0.9839603344
41,551256.5706,0.9842110343
42,546563.1782,0.984452289
43,489744.2586,0.9846881159
44,470818.4878,0.9849053831
45,537447.6168,0.985149803
46,376536.7457,0.9853361535
47,358000.9411,0.9855109362
48,314982.8856,0.9856752496
49,367905.1446,0.9858622493
50,349254.1579,0.9860584554
51,295151.9144,0.9862183457
52,287923.9575,0.9863685436
53,252759.3143,0.986513921
54,286074.4897,0.9866688939
55,266359.9824,0.9868363451
56,301548.0788,0.987009784
57,244269.6642,0.9871568132
58,221399.1669,0.987291557
59,222918.1701,0.9874287162
60,225674.7138,0.9875766272
61,205815.5696,0.9877101457
62,191504.8942,0.9878356612
63,165932.0311,0.9879466353
64,176847.8309,0.9880613616
65,187653.1174,0.9881969027
66,210748.0616,0.9883378495
67,164731.1206,0.9884546307
68,165130.5824,0.9885794257
69,153117.5876,0.9886859258
70,146439.9255,0.9887956163
71,176836.2756,0.9889221618
72,145444.3803,0.9890388884
73,136877.6727,0.989145078
74,145740.7781,0.9892581436
75,120378.5941,0.9893539485
76,131074.1865,0.9894591422
77,134847.0018,0.9895709712
78,124588.1694,0.9896701264
79,113197.8832,0.9897640017
80,118843.1495,0.9898673276
81,111744.8396,0.9899607452
82,119696.4079,0.990068015
83,104419.0816,0.9901560068
84,90488.52188,0.9902371009
85,94037.09753,0.9903232621
86,95118.87326,0.9904097782
87,89150.70079,0.9904920584
88,92367.84632,0.9905729836
89,90870.30828,0.9906641436
90,85885.36456,0.9907434102
91,81378.84077,0.990821783
92,93291.63646,0.9909122525
93,81565.57687,0.9909918961
94,81860.35734,0.9910751125
95,93246.40317,0.9911655381
96,82946.05136,0.9912487487
97,85138.27774,0.9913387137
98,74796.06979,0.9914147487
99,72170.9089,0.9914924592
100,69247.65684,0.9915628539
101,71018.79231,0.9916416987
102,73385.12294,0.9917207166
103,63887.32193,0.9917873713
104,66683.03696,0.9918622944
105,68570.49737,0.9919361281
106,68655.90781,0.992016023
107,64297.30178,0.9920882656
108,64832.34395,0.9921602422
109,62598.85819,0.9922318325
110,55218.88524,0.992295352
111,63051.26734,0.9923712548
112,57234.48986,0.9924382413
113,57430.0415,0.992506609
114,58356.95903,0.9925792024
115,57957.47532,0.9926489731
116,65066.07921,0.9927268663
117,64382.52277,0.992806094
118,59594.13425,0.9928810235
119,67100.81505,0.9929658402
120,61348.27928,0.9930429752
121,60384.95111,0.9931172836
122,57111.36104,0.9931910013
123,52886.78145,0.993263864
124,53868.5094,0.9933315946
125,53842.12413,0.9934043332
126,56445.76267,0.9934756816
127,60367.89541,0.9935580438
128,64174.93631,0.9936464584
129,68567.35103,0.9937367974
130,63491.97043,0.9938259696
131,64923.45309,0.9939136787
132,54332.65665,0.9939921672
133,60917.38593,0.9940781309
134,61315.97633,0.9941601463
135,56143.42443,0.9942427525
136,54768.76578,0.9943207722
137,51585.99983,0.9943959829
138,45953.91426,0.9944623676
139,49060.78973,0.9945322561
140,45676.53044,0.9946019058
141,51403.49863,0.9946768505
142,47002.88487,0.9947472653
143,47388.0847,0.9948185741
144,46908.06448,0.9948901017
145,45381.10865,0.994961122
146,49288.26226,0.9950359494
147,48490.91601,0.9951098907
148,42911.17192,0.9951781935
149,41713.11708,0.9952440315
150,42813.58635,0.9953118926
151,40805.66426,0.9953746609
152,38316.90375,0.9954371884
153,41675.48044,0.9955032457
154,37458.77641,0.9955658761
155,37882.01301,0.9956266806
156,39979.89515,0.9956919219
157,35502.95519,0.9957524694
158,34962.37108,0.9958085876
159,37847.95819,0.9958718687
160,37448.50091,0.9959347324
161,37005.73577,0.9960000702
162,34024.30061,0.9960583235
163,34212.62779,0.9961152975
164,38795.8431,0.9961827581
165,30975.28894,0.9962362055
166,32225.54463,0.9962943965
167,31036.43638,0.9963477418
168,30641.99601,0.9964002043
169,29687.66105,0.9964546066
170,29820.69504,0.9965082556
171,29662.0909,0.9965618177
172,29583.40652,0.9966144462
173,30679.92245,0.9966714877
174,29909.87735,0.9967268974
175,29271.15348,0.9967797535
176,25306.64569,0.9968268047
177,26854.34727,0.9968754762
178,25159.85472,0.9969239372
179,23086.95684,0.9969677879
180,21627.15731,0.9970078534
181,22010.71835,0.9970499544
182,21612.8788,0.9970921616
183,20324.39636,0.9971321245
184,22407.93077,0.9971739361
185,21698.91802,0.9972163114
186,19237.56181,0.9972549092
187,18570.63631,0.9972912995
188,18001.22556,0.9973269352
189,19447.07051,0.9973649129
190,19588.72591,0.9974039533
191,18471.54709,0.9974418789
192,18252.35685,0.9974777676
193,18318.47163,0.9975159916
194,18089.87633,0.9975521657
195,17386.3694,0.9975884447
196,17845.93126,0.9976256826
197,17581.56794,0.9976616634
198,15792.63006,0.9976949337
199,16165.97485,0.9977282336
200,16170.93663,0.9977632743
201,14852.36313,0.9977939677
202,15435.41488,0.9978259693
203,14410.50854,0.9978579663
204,15840.5662,0.9978915494
205,16288.1477,0.9979274976
206,16692.76712,0.9979627758
207,16014.43241,0.9979976915
208,15897.69345,0.9980328843
209,14810.74742,0.9980651757
210,13979.70994,0.9980958421
211,13932.68119,0.998127244
212,14207.88344,0.9981589811
213,14062.71824,0.9981905821
214,14288.90406,0.9982226913
215,13802.15647,0.9982532452
216,14109.32345,0.9982858945
217,13346.51292,0.9983166001
218,12380.08883,0.9983446683
219,13047.24648,0.9983748599
220,13745.04167,0.9984066663
221,12045.01704,0.9984347804
222,11863.19927,0.9984630255
223,12161.98805,0.9984910059
224,11303.80008,0.9985180703
225,10274.72009,0.9985420524
226,9758.863486,0.9985652873
227,10216.36076,0.9985894748
228,9167.763449,0.9986117316
229,9369.898969,0.9986351683
230,9202.325943,0.9986567089
231,9418.328911,0.998679385
232,9383.921669,0.9987021665
233,8309.885514,0.9987226184
234,7691.009396,0.9987420616
235,8244.713817,0.9987619671
236,7415.772854,0.9987803177
237,7915.307139,0.9988004338
238,7864.31107,0.9988195261
239,7231.334714,0.9988380973
240,6767.603633,0.998854663
241,6697.973206,0.9988722228
242,7074.027061,0.998890532
243,7141.71197,0.9989085865
244,6407.206348,0.9989252127
245,6333.551224,0.9989410123
246,6322.193501,0.9989580944
247,6108.765219,0.9989738644
248,5907.850529,0.9989889577
249,5463.303811,0.9990032441
250,6090.545756,0.9990190486
251,5652.262487,0.9990341694
252,5922.710756,0.9990498156
253,5392.313539,0.9990641688
254,5073.385487,0.9990778767
255,5226.427638,0.999092068
256,5311.473016,0.9991062416
257,5391.885132,0.9991205937
258,4777.015801,0.9991338203
259,4826.755738,0.9991468941
260,4877.332981,0.999160268
261,4726.764791,0.999173229
262,4715.527451,0.9991861907
263,4911.905855,0.9991997908
264,4507.552145,0.9992121508
265,4408.777766,0.9992247116
266,4621.341938,0.9992375999
267,4591.96253,0.9992503756
268,4172.902279,0.9992623202
269,4154.850807,0.9992739631
270,4326.545849,0.999286174
271,3776.810311,0.9992970859
272,3941.781887,0.9993084744
273,3864.907902,0.9993195116
274,3677.943624,0.9993298919
275,3410.445194,0.9993399734
276,3746.902993,0.9993507738
277,3243.342092,0.9993603179
278,3061.540783,0.9993692042
279,3284.106996,0.9993788024
280,3496.076072,0.9993892306
281,3368.452199,0.9993990528
282,3278.958115,0.9994087895
283,2892.914308,0.9994173604
284,3082.132099,0.9994267188
285,2982.948486,0.9994356962
286,3017.614394,0.9994445962
287,2967.260707,0.9994536058
288,2696.070637,0.9994617558
289,2873.870243,0.9994705587
290,2892.21654,0.9994795532
291,2888.969699,0.9994880159
292,2761.357251,0.9994968065
293,2609.893112,0.9995048183
294,2551.916213,0.9995127032
295,2432.944935,0.9995201881
296,2641.128322,0.9995285253
297,2619.383468,0.9995368114
298,2498.269351,0.9995444638
299,2464.81912,0.9995521786
300,2409.830454,0.9995597696
301,2352.492113,0.9995671957
302,2158.288108,0.9995742397
303,2226.632234,0.9995811941
304,2166.102212,0.9995880608
305,2261.143167,0.9995954707
306,2242.784287,0.9996025805
307,2171.977253,0.9996096256
308,2108.828135,0.9996163108
309,1952.180234,0.9996229172
310,2012.975152,0.9996293927
311,2043.608944,0.9996360898
312,1845.328579,0.999642063
313,1817.126242,0.9996480422
314,1625.869823,0.9996535551
315,1751.584976,0.9996593421
316,1690.308212,0.999664904
317,1745.839236,0.9996707303
318,1807.020764,0.9996768213
319,1645.262261,0.999682301
320,1600.548712,0.999687621
321,1657.860662,0.9996932092
322,1453.501039,0.9996982058
323,1591.65472,0.9997036346
324,1556.737502,0.9997088299
325,1468.489573,0.9997138976
326,1498.847713,0.9997190701
327,1565.836121,0.9997245261
328,1415.832646,0.99972945
329,1534.367439,0.9997346629
330,1393.29305,0.9997395271
331,1377.329017,0.9997442526
332,1329.151865,0.9997488394
333,1259.264347,0.9997533872
334,1269.952179,0.9997577953
335,1238.491049,0.9997621852
336,1184.990867,0.9997663222
337,1229.241364,0.9997705807
338,1151.954777,0.9997748257
339,1187.330902,0.9997790343
340,1105.969159,0.9997830581
341,1110.891787,0.9997870032
342,1023.38694,0.999790617
343,1010.490246,0.9997943745
