image,power_mse_classic,power_mse_deep,cosine_power_classic,cosine_power_deep,cum_mse_classic,cum_mse_deep,low_mse_classic,mid_mse_classic,high_mse_classic,low_mse_deep,mid_mse_deep,high_mse_deep,dk50_classic,dk80_classic,dk50_deep,dk80_deep
ARMS,1.7685914463602136e-11,9.12026005728239e-11,0.9999999999290498,0.9999999892997423,0.00031411546400005486,6.290472653222473e-05,1.7542025006698752e-10,7.04366460442656e-14,2.2755695626828294e-16,9.056792345836333e-10,4.190724216994573e-15,1.3482374939783292e-16,0.0,-0.8838662443420932,0.0,-0.2565741658219787
AisazuNihaIrarenai,2.5837744101466604e-12,2.0198785380314292e-12,0.9999999999856259,0.9999999997840312,1.1936838979869197e-05,1.1388350295224856e-06,2.5644720218236433e-11,4.5707069335194574e-15,1.6734964468022772e-18,2.005821477267055e-11,9.937108248128328e-17,9.945046937379626e-19,0.0,0.0,0.0,0.0
AkkeraKanjinchou,2.7566020694951754e-11,4.2595746087263684e-11,0.9999999998377883,0.9999999969884473,0.00017696295526620806,7.925214117041662e-06,2.735237178630377e-10,7.46389978849568e-14,5.692804757782543e-17,4.229964610493787e-10,9.784289476345396e-16,9.049166813079661e-18,0.0,-0.854511816833651,0.0,-0.13075757972851942
Akuhamu,2.396127752904101e-12,3.599991462206066e-13,0.9999999999000442,0.9999999999354917,4.772116615054939e-06,1.3566584346271743e-07,2.378938748001723e-11,1.8473739844519085e-15,2.493747314009146e-19,3.5749390338737363e-12,1.7518073590102394e-17,7.06566926588315e-20,0.0,0.0,0.0,0.0
AosugiruHaru,5.969666622708362e-11,1.1507880644717361e-12,0.9999999979646368,0.99999999958317,2.8424884365173646e-05,3.6893053793971174e-07,5.927246974655021e-10,3.241041043951199e-14,5.3901968281141135e-18,1.1426956545067382e-11,3.386476449786459e-16,2.9031574239088934e-19,0.0,-0.2245153873733794,0.0,-0.020947481431117687
AppareKappore,6.20111019050734e-12,1.3180286182870155e-12,0.9999999999225229,0.9999999997331662,3.717892159143782e-05,1.9160453978562675e-06,6.154474179262335e-11,1.2004288997644698e-14,8.082471151259301e-18,1.308826878109963e-11,1.598142845204795e-16,2.125183191728596e-18,0.0,0.0,0.0,0.0
Arisa,3.690850442223692e-12,5.287748850116419e-14,0.9999999999790158,0.9999999999945167,2.51098096129649e-05,1.0916704931371322e-07,3.66209694585088e-11,1.0502481609819697e-14,1.7152167601083888e-18,5.250394184081283e-13,2.1232783679300652e-17,5.2189789331656986e-20,0.0,0.0,0.0,0.0
BEMADERP,5.181862724600797e-12,7.046180084922097e-13,0.9999999999753121,0.99999999994742,6.0221126170757366e-05,6.6115227231911166e-06,5.142531750331627e-11,1.1195089369310065e-14,3.0931601890303704e-17,6.996475844112256e-12,2.34382372455287e-16,1.275109362957399e-17,0.0,0.0,0.0,0.0
BakuretsuKungFuGirl,3.001059822742518e-12,1.2381134264549853e-13,0.9999999999909096,0.999999999961941,4.7095300994341365e-05,9.151392974453426e-07,2.974655838715735e-11,1.8701544469461965e-14,8.034725370300579e-18,1.2293377129597456e-12,5.789835920793013e-17,9.448649672791085e-19,0.0,0.0,0.0,0.0
Belmondo,2.4800899091288082e-11,3.1192664550950294e-11,0.999999999949285,0.9999999954953358,0.00040084605747885507,1.4246726200817532e-05,2.457542385556927e-10,1.789618350562455e-13,9.308775289594368e-17,3.0975353251152326e-10,2.3075558894459553e-15,1.6346119811640242e-17,0.0,-1.381651862720515,0.0,-0.1907214989532371
BokuHaSitatakaKun,9.193611439870928e-12,7.891862684818752e-13,0.9999999999642585,0.9999999998921278,0.00011462584695089259,2.7798841397517003e-06,9.114337518206292e-11,5.1871106618496056e-14,2.044294837996189e-17,7.835691567241515e-12,4.529302029950558e-16,3.416025242817351e-18,0.0,-0.36686578727781854,0.0,-0.09087881230198702
