freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.430641731e+11,0.8747938359
1,222783294.9,0.8856918517
2,97632593.42,0.8952437488
3,60034510.41,0.9025856036
4,48142947.79,0.9096507107
5,24432923.75,0.9156267061
6,20339797.11,0.9201040859
7,15087797.75,0.9245324357
8,12968727.89,0.9289732257
9,12815776.41,0.9333616415
10,9919960.8,0.9374863541
11,8661685.521,0.9408760225
12,6963058.056,0.9442821808
13,5591151.259,0.9474274939
14,6251861.243,0.9507915779
15,5928785.768,0.9542718389
16,4043619.495,0.9566454871
17,4380006.321,0.959752246
18,4072086.669,0.9627401943
19,2044472.697,0.9642403536
20,2814982.173,0.9663747357
21,2664510.262,0.9687208799
22,1680580.334,0.9701184481
23,2048326.489,0.9718719331
24,1253680.728,0.9730371462
25,1270265.803,0.9743420506
26,1424553.204,0.9758751354
27,964812.3269,0.9768426589
28,926154.8041,0.9777940689
29,953471.0075,0.9789134643
30,792023.2645,0.9798239447
31,738648.9504,0.9807634003
32,669120.7945,0.9815816943
33,533635.7335,0.9822604024
34,644040.1523,0.9831582914
35,542412.6965,0.9838481625
36,542661.8489,0.9846179877
37,558612.7707,0.985396778
38,522818.704,0.9862151785
39,478877.6441,0.9869413699
40,472047.2939,0.9876225663
41,372165.8391,0.9882415514
42,368652.054,0.9888366589
43,247121.8985,0.9892718486
44,284699.9532,0.9897523241
45,287946.5872,0.9902312361
46,248188.46,0.9906804447
47,272376.6698,0.9911667708
48,227325.9087,0.9916004598
49,205726.4849,0.991982878
50,183844.0571,0.9923605926
51,210398.8692,0.9927774267
52,187341.0979,0.9931348332
53,149640.0306,0.9934495943
54,135593.6405,0.9937182272
55,144717.0496,0.9940509498
56,129193.104,0.9943227017
57,125525.9827,0.9945990208
58,133544.572,0.9948962576
59,138590.3255,0.9952081146
60,118217.8843,0.9954914782
61,113889.7074,0.9957616817
62,90199.60754,0.9959778867
63,90360.93374,0.9961988985
64,80710.91912,0.9963903853
65,77156.02041,0.9965941966
66,71123.35317,0.9967681557
67,67803.45856,0.996943945
68,55938.89968,0.9970985513
69,59018.8975,0.9972486785
70,52060.8733,0.9973912932
71,42219.69839,0.9975017859
72,34093.40941,0.9976018519
73,44519.2618,0.9977281628
74,39999.29361,0.9978416495
75,36516.35925,0.9979479339
76,32268.88411,0.9980426448
77,35513.06882,0.998150352
78,34836.43732,0.9982517467
79,29166.15158,0.9983402044
80,29380.41167,0.9984336236
81,29966.54965,0.9985252418
82,22787.61423,0.9985999276
83,22485.74033,0.9986692243
84,20508.80827,0.9987364415
85,18624.20768,0.9987988485
86,20386.16393,0.9988666609
87,19708.87982,0.9989331845
88,17220.21513,0.9989883598
89,14831.88204,0.9990427753
90,15574.24975,0.9990953432
91,15475.20171,0.9991498479
92,16279.50346,0.9992075835
93,12880.22857,0.9992535786
94,11012.60348,0.9992945205
95,10909.09462,0.9993332099
96,9793.810336,0.9993691416
97,9645.482408,0.9994064164
98,9023.891664,0.9994399649
99,7874.156095,0.9994709722
100,7282.94184,0.9994980483
101,6910.628065,0.9995261065
102,6487.163668,0.9995516521
103,6236.682899,0.9995754486
104,5899.57824,0.9995996904
105,5222.366744,0.9996202553
106,4895.200841,0.9996410885
107,4703.926332,0.9996604173
108,4215.555992,0.9996775331
109,3999.887197,0.9996942624
110,3720.091487,0.9997099125
111,3160.818764,0.9997238283
112,3126.966447,0.9997372126
113,2670.032603,0.999748837
114,2809.677181,0.9997616192
115,2716.545849,0.999773579
116,2608.890409,0.999785001
117,2448.193989,0.9997960189
118,1920.04559,0.9998048478
119,1801.466888,0.9998131754
120,1879.057353,0.9998218158
121,1668.103762,0.999829323
122,1630.174528,0.9998370183
123,1472.646007,0.9998444382
124,1377.362376,0.9998507717
125,1278.516379,0.9998570884
126,1312.497462,0.9998631557
127,1070.435445,0.9998684967
128,933.8523622,0.999873202
129,963.2757673,0.9998778434
130,823.941455,0.9998820754
131,863.0828377,0.9998863396
132,801.7952045,0.9998905756
133,665.3401157,0.9998940093
134,647.5659593,0.999897177
135,661.4838177,0.9999007364
136,601.5959901,0.9999038706
137,603.3502025,0.9999070876
138,577.3208695,0.9999101377
139,553.9316742,0.9999130235
140,547.8959865,0.9999160789
141,540.9149605,0.9999189631
142,492.0453613,0.9999216589
143,444.1354101,0.9999241031
144,426.661374,0.9999264824
145,348.7168398,0.9999284782
146,363.2050168,0.9999304948
147,385.7889695,0.9999326462
148,334.8678232,0.9999345955
149,334.1239492,0.9999365241
150,293.6529277,0.9999382264
151,278.2150037,0.9999397915
152,252.9232117,0.9999413009
153,234.9197161,0.9999426627
154,220.5907755,0.9999440115
155,216.0191656,0.9999452796
156,222.9632523,0.9999466102
157,197.5134064,0.9999478421
158,202.6877259,0.9999490319
159,171.6889388,0.9999500817
160,171.2922787,0.9999511333
161,151.5093969,0.9999521116
162,166.798886,0.999953156
163,168.4030197,0.9999541816
164,143.4080745,0.9999550936
165,136.4093269,0.9999559544
166,127.2492226,0.9999567947
167,118.9709986,0.9999575426
168,120.3060006,0.9999582959
169,101.4174003,0.9999589755
170,99.10367694,0.9999596276
171,90.52422877,0.9999602254
172,79.552554,0.999960743
173,81.4601348,0.9999612969
174,73.60166772,0.9999617955
175,73.55567583,0.9999622813
176,72.99884835,0.9999627776
177,69.00965128,0.9999632351
178,64.2413127,0.9999636876
179,62.6683517,0.9999641229
180,59.23213299,0.9999645242
181,57.4184685,0.9999649258
182,57.16641451,0.9999653341
183,52.14148227,0.9999657091
184,51.87495372,0.9999660631
185,50.1192976,0.999966421
186,47.64725672,0.9999667706
187,50.69448687,0.9999671339
188,46.81898078,0.9999674729
189,45.34805409,0.9999677968
190,43.2964493,0.9999681123
191,43.90690614,0.999968442
192,43.39925242,0.9999687541
193,41.22862872,0.9999690687
194,43.14836537,0.9999693843
195,39.20412014,0.9999696835
196,40.5753142,0.9999699931
197,39.26310433,0.999970287
198,37.95206408,0.9999705794
199,39.87439244,0.9999708797
200,37.27937567,0.9999711752
201,37.78454812,0.9999714607
202,37.64754649,0.9999717462
203,34.19557156,0.9999720239
204,35.59975103,0.9999722999
205,33.9324281,0.9999725738
206,35.08396594,0.9999728449
207,33.18864616,0.9999731096
208,33.06819274,0.9999733773
209,32.41825512,0.9999736358
210,31.71911983,0.9999738902
211,30.3400706,0.9999741403
212,30.1917003,0.999974387
213,30.4960374,0.9999746376
214,28.73803174,0.9999748737
215,28.4405966,0.999975104
216,26.32843607,0.9999753268
217,26.86583824,0.9999755529
218,26.52134088,0.9999757728
219,25.1828368,0.9999759859
220,25.32614415,0.9999762002
221,24.84195822,0.9999764123
222,23.92145679,0.9999766205
223,24.93084678,0.9999768303
224,24.0206392,0.9999770406
225,24.52830408,0.99997725
226,24.45759052,0.999977463
227,24.15833285,0.9999776722
228,23.78580027,0.9999778833
229,23.75062485,0.9999781006
230,25.27587437,0.999978317
231,24.72769415,0.9999785347
232,24.87172846,0.9999787555
233,24.56602528,0.9999789766
234,25.32098548,0.9999792107
235,26.91185381,0.9999794484
236,26.40772406,0.9999796873
