freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.492677423e+11,0.7550960628
1,3558644849,0.8991121065
2,392061141.7,0.9308450256
3,159265412.2,0.9469584449
4,41541669.4,0.9520019379
5,37513521.46,0.9595926771
6,21687937.09,0.9635423123
7,10142096.94,0.9660049767
8,9793483.794,0.9687793282
9,6953157.704,0.9707490566
10,3305979.794,0.9718862788
11,4211383.837,0.9732497346
12,3188541.9,0.9745401168
13,2224683.504,0.9755754789
14,2623651.065,0.9767434309
15,1759883.368,0.977598087
16,1211173.86,0.978186272
17,1010693.941,0.9787793528
18,1331728.482,0.9795877656
19,1029640.706,0.980212799
20,821879.2091,0.9807283432
21,593551.0443,0.9811607144
22,984587.3435,0.9818380898
23,970753.3124,0.9825255905
24,544778.486,0.9829444803
25,309681.1425,0.9832076648
26,377121.2531,0.9835434255
27,313208.2445,0.9838032699
28,410772.0739,0.9841523671
29,400050.7752,0.9845409222
30,293763.9673,0.9848203005
31,218293.0128,0.9850499891
32,237278.2297,0.9852900515
33,205091.6413,0.9855058495
34,164843.1733,0.9856959758
35,255398.6507,0.985964707
36,216659.8505,0.9862189814
37,199039.9566,0.9864485494
38,191931.1721,0.986697104
39,137442.8612,0.9868695329
40,126285.8087,0.9870202987
41,122584.4982,0.9871889698
42,111812.4891,0.9873382941
43,144466.2653,0.9875487665
44,123784.7084,0.9877215938
45,132392.2652,0.98790376
46,150058.4812,0.9881284524
47,129098.8612,0.9883191484
48,111743.9721,0.9884955144
49,152429.4288,0.9887299258
50,118280.0392,0.9889309679
51,96399.47129,0.9890889675
52,102263.5014,0.9892503704
53,93451.28428,0.9894129927
54,86974.04293,0.9895555439
55,90078.51378,0.9897268786
56,73178.7357,0.9898542229
57,87898.30427,0.9900142963
58,61845.04174,0.990128175
59,64697.20926,0.9902486147
60,76687.0163,0.9904006849
61,65510.40946,0.9905292663
62,87866.2994,0.9907035051
63,55034.92522,0.9908148664
64,63632.92932,0.9909397628
65,53212.24432,0.9910560499
66,60314.458,0.9911780943
67,42497.14416,0.9912692454
68,41159.38069,0.991363357
69,40814.12685,0.9914492465
70,52296.98387,0.9915677663
71,45131.62341,0.9916654813
72,43418.9805,0.9917709095
73,54426.55833,0.9918986608
74,38972.5482,0.991990138
75,38100.06168,0.9920818802
76,33597.52562,0.9921634604
77,36055.19973,0.9922539264
78,30123.99951,0.9923264628
79,32258.93083,0.9924074037
80,27065.83253,0.9924786006
81,25923.2672,0.9925441692
82,31424.49928,0.992629375
83,34339.29489,0.9927169254
84,31973.21351,0.9928036191
85,31880.2846,0.992891996
86,32562.26697,0.9929816047
87,32425.31611,0.9930721486
88,32513.4553,0.9931583334
89,33990.21309,0.9932615006
90,37400.61969,0.9933659375
91,29772.05871,0.9934526871
92,29101.95818,0.9935380731
93,33054.12851,0.9936357236
94,28148.84488,0.9937223002
95,28863.7883,0.9938069874
96,33332.94441,0.9939081596
97,25945.47716,0.9939911093
98,33514.96081,0.9940941903
99,29107.58702,0.9941890165
100,24966.15043,0.9942658041
101,21771.96771,0.9943389352
102,21875.44188,0.9944102006
103,21873.63352,0.9944792472
104,21938.13589,0.9945538242
105,19929.16121,0.9946187491
106,20990.59644,0.9946926535
107,19045.03475,0.9947573957
108,19552.30551,0.994823071
109,19096.10354,0.994889146
110,21081.71447,0.994962518
111,16626.28482,0.995023075
112,17130.21914,0.9950837342
113,15596.73959,0.9951399102
114,18219.48136,0.9952084819
115,17161.88205,0.9952709896
116,14303.15693,0.9953227957
117,15900.4498,0.995381996
118,13760.20171,0.9954343414
119,16350.56467,0.9954968718
120,15552.73796,0.9955560362
121,14039.83679,0.9956083091
122,13666.11778,0.9956616793
123,13703.6547,0.9957188008
124,13548.26293,0.99577034
125,13248.87173,0.9958244935
126,12306.64486,0.9958715585
127,14555.44275,0.9959316415
128,16864.31875,0.9960019377
129,12947.23041,0.9960535484
130,11636.27766,0.9961029942
131,13692.80281,0.9961589622
132,13485.8391,0.9962179047
133,12564.40079,0.9962715486
134,12551.70033,0.9963223445
135,14412.13462,0.996386502
136,12473.00891,0.9964402605
137,13256.3972,0.9964987365
138,13331.83342,0.9965570058
139,12849.26223,0.996612386
140,10882.12071,0.9966625907
141,10920.19505,0.9967107614
142,10933.59926,0.9967603187
143,9255.891794,0.9968024589
144,10605.46951,0.9968513873
145,9967.643736,0.9968985833
146,10870.05873,0.9969485124
147,9685.986287,0.9969931988
148,9758.289061,0.9970401932
149,8782.309996,0.9970821321
150,9412.464022,0.9971272707
151,10305.19586,0.9971752308
152,9373.309592,0.9972215093
153,8564.503901,0.9972625814
154,8267.365022,0.9973044033
155,8564.369188,0.9973459946
156,7711.408226,0.9973840678
157,6329.977365,0.9974167295
158,6381.722448,0.9974477212
159,6078.858195,0.9974784721
160,6531.365931,0.9975116443
161,6686.668302,0.9975473642
162,5867.962851,0.9975777607
163,6175.531445,0.9976088757
164,5590.95553,0.9976382898
165,5217.075006,0.9976655258
166,5090.530621,0.9976933372
167,5400.834163,0.9977214232
168,5236.455377,0.9977485485
169,5632.171272,0.9977797749
170,5248.361654,0.9978083424
171,5643.013022,0.9978391722
172,6456.219895,0.9978739223
173,5339.541421,0.9979039585
174,4708.697734,0.9979303508
175,4401.5185,0.9979543979
176,4581.650279,0.9979801708
177,4941.906727,0.9980072702
178,4916.883868,0.9980359238
179,4302.417783,0.9980606483
180,4545.75362,0.9980861272
181,4222.217207,0.9981105617
182,4006.908383,0.9981342366
183,3999.293682,0.9981580284
184,4082.547265,0.9981810763
185,4379.559865,0.998206953
186,4244.222322,0.9982327172
187,4192.422706,0.9982575731
188,4283.2184,0.9982832272
189,4122.726174,0.9983075865
190,3928.541722,0.9983312753
191,3749.271006,0.998354566
192,3532.699278,0.998375582
193,3480.358135,0.9983975542
194,3559.182698,0.9984190879
195,3311.617123,0.9984399948
196,3330.828651,0.9984610231
197,3129.71778,0.9984804017
198,3213.823929,0.9985008864
199,3191.247037,0.9985207751
200,2698.214685,0.9985384647
201,2888.46655,0.9985565249
202,2985.411111,0.9985752516
203,2875.161085,0.9985945667
204,2788.659369,0.9986124543
205,2505.235776,0.9986291828
206,2835.310931,0.9986473122
207,2501.56699,0.9986638138
208,2664.204786,0.9986816578
209,2431.825826,0.9986976994
210,2284.891638,0.9987128641
211,2470.419248,0.9987297101
212,2486.961467,0.998746518
213,2389.717474,0.9987627653
214,2779.440687,0.9987816623
215,2528.982451,0.9987986006
216,2282.584396,0.9988145814
217,2013.966862,0.9988286001
218,2174.985533,0.9988435196
219,1994.549823,0.9988574838
220,2027.594364,0.9988716794
221,2078.651447,0.9988863586
222,2379.742881,0.9989035012
223,2147.272313,0.9989184478
224,2316.402886,0.9989352278
225,2281.789259,0.9989513416
226,2265.935841,0.9989676644
227,2240.400152,0.9989837125
228,2044.252059,0.9989987279
229,1908.973445,0.9990131746
230,1870.22403,0.9990264198
231,1881.270361,0.9990401239
232,1758.643617,0.9990530414
233,1716.251331,0.9990658213
234,1920.069264,0.9990805073
235,1953.257739,0.9990947753
236,1643.955744,0.9991070833
237,1603.714059,0.9991194146
238,1651.11764,0.9991315423
239,1699.189947,0.9991447452
240,1547.725481,0.9991562075
241,1465.778076,0.9991678341
242,1413.1304,0.9991789
243,1542.148378,0.9991906955
244,1347.488837,0.9992012747
245,1327.820698,0.9992112964
246,1243.199078,0.9992214594
247,1378.777386,0.9992322284
248,1364.045691,0.999242772
249,1338.343404,0.9992533607
250,1321.956137,0.9992637394
251,1296.423015,0.9992742325
252,1299.61188,0.9992846199
253,1198.767037,0.999294274
254,1154.360491,0.9993037107
255,1102.293231,0.9993127664
256,1383.676181,0.9993239377
257,1238.377198,0.9993339108
258,1066.507699,0.9993428451
259,1162.746508,0.9993523739
260,1209.147759,0.9993624052
261,1002.475849,0.999370722
262,984.2130144,0.9993789071
263,1036.470076,0.9993875898
264,916.3903794,0.9993951924
265,895.3145642,0.99940291
266,950.6430241,0.9994109314
267,898.1320938,0.9994184915
268,844.138743,0.9994258021
269,843.6944153,0.9994329552
270,911.2224166,0.9994407362
271,859.273022,0.9994482474
272,794.9109869,0.999455196
273,819.7455208,0.9994622788
274,750.2793949,0.9994686855
275,873.9011619,0.9994765014
276,903.3323664,0.9994843795
277,745.2860239,0.999491015
278,742.0211429,0.9994975313
279,797.215329,0.9995045807
280,807.3441046,0.9995118667
281,712.1143722,0.9995181492
282,736.0358178,0.9995247619
283,728.490782,0.9995312921
284,745.9533176,0.9995381448
285,763.5697149,0.9995450976
286,724.5523896,0.9995515631
287,741.1164662,0.9995583714
288,710.019092,0.9995648653
289,722.5329856,0.9995715613
290,648.6072107,0.9995776642
291,642.4020499,0.9995833576
292,639.0254436,0.9995895125
293,686.690833,0.9995958903
294,573.9535133,0.9996012559
295,607.5413338,0.9996069109
296,608.1538401,0.9996127192
297,589.2854748,0.9996183592
