freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.324263027e+10,0.584403497
1,2378431484,0.9189049887
2,77612022.51,0.9407356258
3,7462494.46,0.9433594302
4,2530815.028,0.9444272281
5,1537235.411,0.9455082084
6,1714355.2,0.9465931859
7,747513.3501,0.9472239655
8,882549.3877,0.9480928148
9,791614.7103,0.9488721411
10,851125.5139,0.9498896072
11,987977.2917,0.9510011965
12,439242.8907,0.9516189457
13,649131.6368,0.9526688217
14,722967.3287,0.9537872774
15,452948.6767,0.9545517073
16,462925.9988,0.9553329756
17,470477.7041,0.9562924082
18,373741.0931,0.9570808498
19,350775.5602,0.9578208434
20,259602.2081,0.9583867536
21,283302.3483,0.9591039368
22,352613.8132,0.9599469913
23,337222.736,0.9607769611
24,332976.8601,0.9616667256
25,237054.3952,0.9623668492
26,267938.8539,0.9631958707
27,167146.7846,0.9636777733
28,190092.2619,0.9642391976
29,170296.2515,0.9648140068
30,205405.6958,0.9654928786
31,227213.5682,0.9663237141
32,171954.5479,0.9669283042
33,151546.3229,0.9674824527
34,127158.7412,0.9679921338
35,221343.9975,0.9688015064
36,214299.5695,0.9696755372
37,284006.4443,0.9708138994
38,108006.4341,0.9712999786
39,114400.2057,0.9717987435
40,105871.3555,0.9722379896
41,117451.285,0.9727996116
42,92289.87911,0.9732279385
43,103454.4083,0.9737517306
44,78352.11778,0.9741319001
45,83766.59311,0.9745324505
46,69853.71506,0.9748959457
47,83789.24347,0.9753260646
48,154780.2564,0.9761750253
49,132127.5121,0.9768811546
50,76070.56141,0.9773304928
51,76253.41897,0.9777648248
52,49415.24806,0.9780358645
53,82445.51021,0.9785344537
54,55357.88019,0.9788497667
55,40149.21871,0.9791151554
56,56215.29309,0.9794551174
57,64295.09009,0.9798620268
58,82678.0303,0.9803910917
59,48395.11462,0.9807041799
60,37601.83772,0.9809633069
61,35991.34746,0.9812088045
62,55410.58915,0.9815906575
63,56880.62719,0.9819906408
64,25400.24092,0.9821638962
65,42733.60465,0.9824884381
66,35203.96819,0.9827359916
67,49265.70954,0.983103213
68,46921.39593,0.9834760567
69,46294.3182,0.9838146189
70,30952.12351,0.984058392
71,26581.04737,0.9842583935
72,35277.11883,0.984556075
73,25200.66049,0.9847616391
74,27578.67572,0.9849866009
75,25660.22921,0.9852013271
76,37488.27384,0.9855176671
77,26750.96542,0.9857509262
78,21666.93584,0.9859322362
79,32949.32853,0.9862195429
80,45306.81312,0.9866337182
81,28098.31157,0.9868807016
82,22035.63436,0.98708834
83,39498.3051,0.9874383065
84,16284.74784,0.9875917552
85,33143.61817,0.9879110545
86,21423.23085,0.9881159353
87,25775.93351,0.9883660682
88,14754.20648,0.9885019823
89,17927.37141,0.9886910796
90,20906.0428,0.9888939545
91,11443.7806,0.9890098348
92,14237.7679,0.9891550083
93,12133.58899,0.98927958
94,15172.57428,0.9894417537
95,11445.39141,0.9895584551
96,18517.36305,0.9897537756
97,8157.12343,0.9898444055
98,16221.36596,0.9900177892
99,11063.63581,0.990143046
100,11122.17623,0.9902619265
101,13195.76622,0.9904159618
102,14052.71486,0.9905750594
103,12617.31108,0.9907134698
104,11699.02855,0.9908516788
105,23485.32967,0.9911175676
106,14204.17771,0.9912913648
107,9159.16063,0.9913995686
108,11668.53044,0.9915357763
109,11595.0198,0.9916752027
110,7242.550086,0.9917628013
111,10112.86448,0.9918908055
112,12487.84251,0.9920444803
113,9217.05944,0.9921598495
114,12393.06478,0.9923219443
115,13841.6226,0.9924971455
116,13333.94621,0.992664983
117,5954.619388,0.9927420289
118,5958.745564,0.9928208042
119,6541.043492,0.9929077375
120,5447.89402,0.9929797593
121,6597.360596,0.9930651215
122,10331.01992,0.9932053311
123,7383.507213,0.9933122877
124,5954.375501,0.9933910052
125,5252.431219,0.9934656138
126,4309.545329,0.9935228896
127,3999.594652,0.9935802647
128,4379.558811,0.9936437064
129,6085.658558,0.993728011
130,6521.784178,0.9938243192
131,8334.517597,0.9939427076
132,8152.954973,0.9940665434
133,5727.114811,0.9941515193
134,8495.777961,0.9942710035
135,7183.975324,0.9943821421
136,10343.39297,0.9945370666
137,6967.163977,0.9946438712
138,4433.711916,0.9947112152
139,5244.486788,0.9947897677
140,5171.986888,0.9948726897
141,4290.903013,0.9949384679
142,3975.745487,0.9950010924
143,4550.327209,0.9950730874
144,5365.681326,0.9951591149
145,4164.617097,0.995227643
146,5642.673353,0.9953177146
147,5304.384461,0.9954027593
148,4119.721497,0.9954717074
149,3345.246474,0.9955272233
150,3379.561932,0.9955835464
151,3702.506022,0.995643429
152,2106.462344,0.9956795718
153,4150.029533,0.9957487353
154,3125.888737,0.9958036882
155,2749.570186,0.995850092
156,3931.936596,0.9959175563
157,3222.626205,0.9959753429
158,3954.072731,0.9960420748
159,2977.059819,0.9960944113
160,2278.063898,0.9961346197
161,2197.846813,0.9961754215
162,2013.159621,0.9962116621
163,1724.142866,0.9962418512
164,1605.758789,0.9962712095
165,1891.356129,0.9963055234
166,2394.66062,0.9963509893
167,2268.130629,0.9963919793
168,2813.256404,0.9964426232
169,2087.68215,0.9964828478
170,2324.725914,0.9965268224
171,2663.127133,0.9965773854
172,3709.378305,0.9966467696
173,3465.668224,0.9967145195
174,3027.658277,0.996773494
175,2753.715201,0.996825777
176,2180.787066,0.996868409
177,2114.05213,0.9969086957
178,2291.034173,0.996955094
179,3471.95486,0.9970244317
180,4228.203711,0.9971067911
181,1978.041005,0.9971465724
182,2936.571503,0.9972068701
183,3843.863717,0.9972863382
184,2275.474924,0.9973309812
185,2517.358222,0.9973826711
186,2398.517035,0.99743327
187,1516.161862,0.9974645085
188,1317.296,0.9974919276
189,1692.760719,0.9975266857
190,1901.868693,0.9975665399
191,1391.537029,0.9975965806
192,900.8948059,0.9976152057
193,941.316782,0.997635858
194,1309.681529,0.9976633949
195,1343.693596,0.9976928752
196,1137.599833,0.9977178339
197,1374.23497,0.9977474044
198,1066.626464,0.997771031
199,1131.551283,0.9977955387
200,1122.673563,0.9978211172
201,798.7256959,0.9978384726
202,737.3993467,0.9978545473
203,704.1055965,0.9978709854
204,850.7946885,0.9978899508
205,856.6136087,0.997909829
206,840.1649938,0.9979284983
207,860.9078641,0.997948234
208,751.4247328,0.997965724
209,936.7813046,0.997987199
210,1042.610905,0.9980112467
211,1106.950009,0.9980374789
212,1534.827683,0.9980735271
213,1310.214775,0.9981044842
214,1141.89435,0.9981314642
215,1519.580753,0.9981668337
216,1768.106467,0.9982098529
217,1750.950233,0.9982522084
218,1343.444017,0.9982842339
219,933.562988,0.9983069481
220,980.7653149,0.9983308108
221,1242.710954,0.9983613089
222,1016.50503,0.9983867559
223,919.4894136,0.9984089983
224,654.6955925,0.99842548
225,840.6922614,0.9984461119
226,949.0849437,0.9984698711
227,885.4778468,0.9984919135
228,825.8652767,0.9985129946
229,809.0894915,0.9985342733
230,808.6735678,0.9985541763
231,818.6575236,0.9985749007
232,715.4264634,0.9985931628
233,650.7149995,0.9986100018
234,642.2858058,0.9986270743
235,548.7633397,0.9986410049
236,502.6839171,0.9986540839
237,492.1353193,0.9986672345
238,444.2136446,0.9986785735
239,416.528037,0.9986898209
240,423.9001297,0.9987007309
241,513.0636948,0.9987148736
242,487.3776039,0.998728137
243,455.0647586,0.998740233
244,384.0700996,0.998750712
245,409.94111,0.9987614645
246,411.0614086,0.9987731424
247,426.4106326,0.9987847166
248,434.2204746,0.9987963807
249,455.923018,0.9988089164
250,493.5599424,0.9988223827
251,508.0849366,0.998836674
252,484.0663614,0.9988501196
