image,power_mse_classic,power_mse_deep,cosine_power_classic,cosine_power_deep,cum_mse_classic,cum_mse_deep,low_mse_classic,mid_mse_classic,high_mse_classic,low_mse_deep,mid_mse_deep,high_mse_deep,dk50_classic,dk80_classic,dk50_deep,dk80_deep
img001,3.2697798005947354e-11,2.051889848486546e-12,0.999999999791446,0.9999999996731791,0.00020778839588276346,6.140345825634915e-05,3.2408744237404334e-10,6.90971305207189e-14,9.03836943932698e-16,2.0341932943963782e-11,1.6214929767515681e-15,6.682856312894747e-16,0.0,-1.1196509406215407,0.0,-0.44347923116634735
img002,1.0060992199503226e-11,1.3833694261655109e-12,0.9999999999666287,0.9999999998425412,0.0001177368274614139,2.8369522685957977e-05,1.0068434024108118e-10,2.7211739110199587e-14,1.9158993342082295e-16,1.3852402173285378e-11,7.035130981049948e-16,1.327827052658394e-16,0.0,-0.014734507179467555,0.0,-0.014734507179467555
img003,4.1513455361617726e-11,2.6730132788765914e-10,0.9999999999171242,0.9999999793370657,0.0006787044147999855,0.00025370177086383484,4.112622052770912e-10,1.7250393915732815e-13,2.113018981291989e-15,2.651414484299155e-09,1.0786582636866004e-14,1.7225239644653634e-15,0.0,-2.446470069269129,0.0,-1.1953811660647458
img004,2.4628501302794957e-10,8.779378530702227e-11,0.9999999986664689,0.9999999892335858,0.0010150296803071819,0.0001507937595659836,2.4389314467394898e-09,1.365728697938346e-12,6.500921722376852e-16,8.705769974663768e-10,9.397418432899708e-14,3.0671463779709405e-16,0.0,-10.910222630129233,0.0,-5.742423324266638
img005,1.5903441481257327e-10,4.611887764423946e-12,0.9999999978673185,0.9999999995019694,0.0005569736855843017,3.134042491999461e-05,1.5911822793362751e-09,5.480268889164037e-13,4.501423591284122e-16,4.618016479462099e-11,3.288528534333815e-15,1.513350550046543e-16,0.0,-6.424953657471785,0.0,-1.1349101661866499
img006,5.6476734036483076e-11,1.6733736592867656e-11,0.9999999996847828,0.9999999964273498,0.0020054365544603337,0.0007048563435786416,5.602607751075418e-10,2.0496972149253315e-13,4.8781343681174894e-15,1.6613427181629958e-10,1.1008293217545213e-14,4.074518903844337e-15,0.0,-11.173158282373738,0.0,-9.781997260373938
img007,1.880596378388898e-11,1.767529668783259e-11,0.999999999877778,0.9999999975232476,5.468958906578625e-05,5.540673395381315e-06,1.864041133021848e-10,4.674717691472049e-14,3.0493957973654064e-17,1.7532521471312892e-10,7.459697589002321e-16,1.872918267619721e-17,0.0,-0.24864062760156702,0.0,-0.042993132893763386
img008,2.7466556536034808e-11,5.729155942637258e-12,0.9999999999606526,0.9999999993053276,0.0007816007743643344,0.00025589122601195444,2.726386980884825e-10,2.0669809222028405e-13,2.2970914333812757e-15,5.6951630273150365e-11,1.2579306195856038e-14,1.8633620988298566e-15,0.0,0.0,0.0,0.0
img009,8.34347100181173e-14,1.289793984172623e-14,0.9999999999967842,0.9999999999955844,2.0773629722122675e-06,3.5795217724373215e-07,8.316858580192085e-13,4.561050657634137e-16,1.5606679600928158e-18,1.2872283063075527e-13,1.755758501425938e-17,9.155561872076248e-19,0.0,0.0,0.0,0.0
img010,1.2256863780370733e-12,1.5380297101411636e-13,0.9999999999820113,0.9999999999903193,4.516825722648339e-05,1.0936813048863417e-05,1.2151166450771166e-11,4.194616392837676e-15,6.491593581123577e-17,1.5260684507725115e-12,2.3097344542349118e-17,4.056423540552003e-17,0.0,0.0,0.0,0.0
