freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.117849554e+10,0.8501772808
1,145892234.2,0.8820028736
2,19213289.91,0.8903854218
3,29147427.7,0.9062813016
4,14805115.27,0.9159702663
5,12360556.98,0.9294522057
6,4189651.088,0.9335649783
7,6626971.729,0.9422388041
8,5228019.443,0.950222051
9,2286918.49,0.9537142023
10,3081779.874,0.9594285264
11,1439459.482,0.9619406081
12,2076962.627,0.9664713885
13,1509558.558,0.9702583608
14,870725.7518,0.9723477455
15,1055966.131,0.9751119843
16,714639.5723,0.9769827208
17,658376.0184,0.9790652272
18,539590.3712,0.9808308575
19,490063.8433,0.9824344287
20,409022.5273,0.9838174321
21,233165.7462,0.9847329811
22,420524.9713,0.9862924799
23,178605.4267,0.9869743113
24,234209.8358,0.9879450516
25,194643.9512,0.9888367224
26,160177.0162,0.9896054407
27,173370.2167,0.9903807458
28,142389.58,0.9910330375
29,121907.1375,0.9916712785
30,74876.85344,0.9920551269
31,96067.11017,0.9925999963
32,88394.31038,0.9930820647
33,87266.47378,0.993577019
34,69731.99545,0.9940105511
35,57823.99876,0.9943385148
36,61843.17461,0.9947297466
37,62361.01326,0.9951174524
38,48024.58804,0.9954526941
39,44390.35492,0.995752883
40,43168.87672,0.9960306861
41,40384.25865,0.9963302127
42,23393.58495,0.9964986177
43,30213.33638,0.9967358891
44,26689.25152,0.9969367521
45,27609.16522,0.9971415269
46,20379.19982,0.9973060145
47,17302.62344,0.9974437827
48,16273.47427,0.9975822316
49,18035.70803,0.9977317384
50,19288.85963,0.9979084643
51,14385.04652,0.9980355541
52,11404.26881,0.9981325775
53,8813.101207,0.9982152462
54,10556.13807,0.9983085082
55,9569.206299,0.9984066193
56,9341.519623,0.9984942447
57,7098.511805,0.9985639273
58,8939.481563,0.9986526568
59,9414.041925,0.9987471234
60,7833.148797,0.9988308526
61,7904.022149,0.9989144772
62,4894.842026,0.9989667986
63,5501.518794,0.9990268049
64,5827.028833,0.9990884549
65,5012.718441,0.9991475037
66,4714.248685,0.9991989231
67,4265.893892,0.9992482439
68,4482.243195,0.9993034883
69,3723.596243,0.999345727
70,2851.770608,0.9993805645
71,2486.163097,0.9994095798
72,2150.279108,0.9994377241
73,2013.998031,0.999463206
74,1793.772679,0.9994859015
75,1626.385333,0.9995070113
76,1408.903202,0.999525452
