freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.37006325e+10,0.8387462042
1,94020074.43,0.8847931181
2,31672023.23,0.9158162572
3,8058933.322,0.9256835385
4,7719909.238,0.9370261586
5,4053472.654,0.9469522253
6,2500509.722,0.9524631058
7,1283154.71,0.9562337037
8,1102482.179,0.960013336
9,1655537.427,0.965689004
10,602473.6308,0.9681970581
11,352000.0832,0.9695762119
12,406854.4169,0.9715688066
13,302658.5215,0.9732734388
14,277897.9859,0.9747705636
15,234099.9503,0.9761463864
16,302058.9411,0.9779216093
17,272966.1246,0.9798600686
18,130850.0452,0.9808213379
19,196934.5829,0.9822680869
20,218249.551,0.9839248675
21,90327.28083,0.9847211577
22,157202.6061,0.9860300038
23,127049.723,0.9871189131
24,97040.93358,0.9880219147
25,74821.23733,0.9887914421
26,65030.66634,0.9894921239
27,57700.58074,0.9900714379
28,76084.46948,0.9908539575
29,59044.47308,0.991547975
30,46438.40888,0.9920824472
31,48554.39049,0.9927007224
32,44652.77095,0.9932474467
33,36906.9187,0.9937174069
34,26436.95958,0.9940864153
35,30686.24115,0.9944771635
36,28014.72347,0.9948750546
37,24829.71451,0.9952216291
38,17776.38823,0.9955002242
39,20051.16538,0.9958046498
40,20961.02526,0.9961074907
41,18906.29125,0.9964223128
42,16124.17427,0.9966829109
43,14269.33221,0.9969344967
44,14324.517,0.9971765322
45,9551.169968,0.9973355755
46,8991.316025,0.997498507
47,12565.51175,0.9977231293
48,7064.167988,0.9978580584
49,7114.721237,0.9979904686
50,6529.860628,0.9981247863
51,6254.147232,0.9982488381
52,4380.045208,0.9983324991
53,4211.816951,0.9984211979
54,4904.251419,0.9985184743
55,4062.378591,0.9986119844
56,3055.629784,0.9986763345
57,3362.337659,0.9987504371
58,2825.359843,0.9988133972
59,2082.273856,0.9988603083
60,2050.605938,0.9989095188
61,2328.062303,0.9989648177
62,1969.127837,0.9990120729
63,1867.862527,0.9990578128
64,1670.840225,0.9990975006
65,1431.157868,0.9991353502
66,1349.977237,0.9991684081
67,1313.627018,0.9992025061
68,971.3108411,0.9992293834
69,821.458422,0.9992503038
70,896.9745855,0.9992749045
71,900.5847891,0.9992985016
72,584.275304,0.9993156707
73,745.6793099,0.9993368524
74,709.604275,0.9993570093
75,482.7522383,0.9993710769
76,453.5261012,0.999384404
77,530.4732302,0.9994005117
78,472.7542157,0.999414288
79,385.469159,0.9994259928
80,368.4161151,0.999437721
81,431.3440223,0.9994509243
82,295.9149338,0.9994606344
83,275.8720808,0.9994691463
84,302.6671202,0.9994790779
85,256.8579123,0.9994876951
86,239.4896357,0.9994956709
87,214.0564193,0.9995029045
88,222.2915888,0.9995100354
89,188.8166574,0.999516971
90,187.1765135,0.9995232963
91,175.874026,0.999529498
92,169.7451821,0.9995355252
93,163.5795226,0.9995413736
94,159.3786516,0.9995473059
95,161.5552189,0.9995530423
96,148.1403046,0.9995584837
97,137.120838,0.999563789
98,155.1170141,0.9995695627
99,135.3698195,0.9995748997
100,135.3971185,0.9995799394
101,135.5092749,0.9995854478
102,126.3522677,0.9995904293
103,125.8000422,0.999595235
104,126.5124754,0.9996004396
105,125.6395179,0.999605393
106,112.705578,0.9996101953
107,123.7621216,0.9996152868
108,115.3777013,0.9996199769
109,110.1051961,0.9996245874
110,115.332803,0.9996294451
111,106.5649644,0.9996341423
112,105.2731718,0.9996386536
113,101.9152597,0.999643096
114,98.23069455,0.9996475701
115,98.78407597,0.9996519243
116,101.1929226,0.9996563599
117,92.96627648,0.9996605488
118,88.64887299,0.9996646299
119,95.68338991,0.9996690583
120,87.16243062,0.999673071
121,90.1201938,0.9996771316
122,84.63778244,0.9996811317
123,72.61406594,0.9996847947
124,88.55629847,0.9996888716
125,75.00911851,0.9996925819
126,78.33063983,0.9996962072
127,76.89302958,0.9997000484
128,67.55527055,0.9997034563
129,76.8216443,0.9997071622
130,66.15499199,0.9997105642
131,69.5790528,0.9997140059
132,69.78122632,0.9997176969
133,61.98877672,0.9997208998
134,69.65289668,0.9997243111
135,62.93020873,0.9997277014
136,63.17406363,0.9997309965
137,66.30787204,0.9997345362
138,58.32260813,0.9997376211
139,60.47181624,0.9997407753
140,59.47988046,0.9997440962
141,57.05024733,0.9997471417
142,56.74211769,0.9997502542
143,53.40526719,0.9997531967
144,58.75819772,0.9997564773
145,53.79049854,0.9997595595
146,52.05865044,0.9997624533
147,55.50789392,0.9997655525
148,50.94312404,0.9997685215
149,48.36405714,0.9997713165
150,50.36992863,0.9997742398
151,51.23198182,0.9997771253
152,46.80452586,0.9997799218
153,48.44064245,0.9997827332
154,46.10290034,0.9997855556
155,46.38625053,0.9997882817
156,45.18541242,0.9997909815
157,43.02099716,0.9997936679
158,44.87840597,0.9997963055
159,43.21985904,0.9997989514
160,42.13919975,0.9998015414
161,40.28684501,0.9998041459
162,41.28355834,0.9998067339
163,41.63865134,0.9998092728
164,39.30061463,0.999811775
165,40.11629545,0.9998143095
166,37.57326146,0.9998167937
167,39.24061991,0.9998192633
168,38.929714,0.9998217038
169,36.34479433,0.9998241424
170,37.36143742,0.9998266035
171,36.05795502,0.9998289875
172,36.93268381,0.9998313932
173,34.66184052,0.9998337528
174,34.61113277,0.9998361006
175,35.65319049,0.9998384578
176,33.41472848,0.9998407326
177,34.38381201,0.9998430144
178,32.57360798,0.9998453116
179,32.66463985,0.9998475833
180,33.67099133,0.9998498672
181,32.8149854,0.9998521654
182,31.68109206,0.9998544308
183,31.12454807,0.9998566716
184,32.29713039,0.9998588781
185,31.1791487,0.9998611076
186,29.90762074,0.9998633047
187,30.39708987,0.9998654857
188,29.71482512,0.9998676395
189,30.66587693,0.9998698323
190,29.46490642,0.9998719824
191,28.10354033,0.9998740952
192,29.11786493,0.9998761915
193,28.05177277,0.9998783347
194,28.63135223,0.9998804311
195,27.43436213,0.9998825271
196,27.44603727,0.999884624
197,27.68204414,0.9998866983
198,27.16053218,0.9998887934
199,27.05997265,0.9998908343
200,25.95176464,0.9998928933
201,26.97066571,0.9998949341
202,26.68932698,0.9998969602
203,25.05446683,0.9998989971
204,26.42069923,0.999901048
205,25.27195884,0.9999030903
206,25.43943062,0.9999050588
207,24.88171072,0.9999070451
208,24.22212823,0.9999090084
209,24.59456286,0.9999109718
210,24.455866,0.9999129361
211,23.96237565,0.9999149136
212,24.04942686,0.9999168806
213,23.68203948,0.9999188291
214,23.46477518,0.9999207598
215,24.32275185,0.9999227312
216,23.20445004,0.9999246973
217,23.78822165,0.9999267012
218,23.27366976,0.9999286332
219,22.95731653,0.9999305783
220,22.43018203,0.9999324788
221,22.06367979,0.9999343644
222,22.21891429,0.9999363014
223,22.58289265,0.9999382037
224,21.80721066,0.9999401155
225,22.24134496,0.9999420163
226,21.78089372,0.9999439151
227,21.80649655,0.9999458054
228,21.30396036,0.9999476991
229,20.62740699,0.9999495883
230,22.49317686,0.9999515161
231,21.14498844,0.9999533802
232,21.37721128,0.9999552804
233,20.7665693,0.9999571518
234,20.11089822,0.9999590133
235,21.0032632,0.99996087
236,20.44467953,0.9999627224
237,20.19946348,0.9999646021
238,20.80894299,0.9999664518
239,19.67371484,0.9999683018
240,20.47312894,0.9999701367
241,19.2216202,0.9999719818
242,19.55839733,0.9999738353
243,19.90897973,0.9999756782
244,19.50592114,0.9999775315
245,20.28744585,0.9999793845
246,18.66983826,0.9999812315
247,19.29768645,0.9999830556
248,19.59723293,0.9999848888
249,19.3049919,0.9999867372
250,19.28312813,0.9999885693
251,18.91855014,0.9999904224
252,18.79099219,0.99999224
253,18.91650703,0.9999940837
254,18.74452023,0.9999959381
255,18.44521158,0.9999977719
256,10.86158438,0.9999987733
257,0.8658837598,0.999998846
258,0.6419570754,0.9999988998
259,0.479386694,0.9999989374
260,0.4515252171,0.9999989721
261,0.4095343657,0.9999990026
262,0.4181133728,0.9999990326
263,0.390403727,0.9999990602
264,0.378196729,0.9999990857
265,0.353639908,0.9999991102
266,0.3551409095,0.9999991334
267,0.3398915152,0.9999991551
268,0.3734301319,0.9999991789
269,0.342653908,0.9999991996
270,0.3531614825,0.9999992211
271,0.3211705636,0.9999992403
272,0.3493667239,0.9999992608
273,0.3324517145,0.9999992794
274,0.305465557,0.9999992962
275,0.3167332215,0.9999993143
276,0.3646083586,0.9999993338
277,0.3605676775,0.9999993531
278,0.3603034805,0.9999993711
279,0.3323438269,0.999999388
280,0.3348918753,0.9999994056
281,0.3155125155,0.9999994206
282,0.3047195237,0.9999994356
283,0.3434017227,0.9999994514
284,0.3541054738,0.9999994681
285,0.3376047762,0.9999994839
286,0.3257336112,0.9999994977
287,0.3319938246,0.9999995131
288,0.3483705675,0.9999995276
289,0.308843434,0.9999995408
290,0.3366654087,0.9999995553
291,0.3123417326,0.9999995674
292,0.3531159169,0.9999995827
293,0.3235642851,0.9999995949
294,0.3016266822,0.9999996066
295,0.3526873378,0.9999996202
296,0.3582303915,0.9999996331
297,0.321278611,0.9999996455
298,0.3084680312,0.999999656
299,0.3735630554,0.9999996694
300,0.3182891564,0.9999996803
301,0.327470488,0.9999996912
302,0.3138567903,0.999999702
303,0.304099975,0.9999997113
304,0.3145684579,0.9999997216
305,0.3264492279,0.9999997317
306,0.3209279401,0.9999997415
307,0.3194268972,0.9999997512
308,0.3512970891,0.9999997608
309,0.3290665638,0.9999997709
310,0.3550495658,0.9999997803
311,0.3291931529,0.9999997898
312,0.3301996277,0.9999997984
313,0.3308217374,0.999999807
314,0.3142827062,0.9999998152
315,0.3723369059,0.9999998242
316,0.3145458422,0.9999998322
317,0.3347567598,0.9999998399
318,0.3539787116,0.9999998481
319,0.3356049303,0.9999998559
320,0.3139058753,0.9999998623
321,0.3071795427,0.9999998693
322,0.3049699715,0.9999998754
323,0.3530763694,0.999999883
324,0.3370807468,0.9999998894
325,0.3021125813,0.9999998952
326,0.3248056938,0.9999999013
327,0.3300212549,0.9999999068
328,0.3079675853,0.9999999127
329,0.3629401774,0.9999999184
330,0.3113072074,0.9999999236
331,0.339691011,0.999999929
332,0.2572837685,0.9999999325
333,0.3260472935,0.999999938
334,0.3374814504,0.9999999423
335,0.317856395,0.9999999468
336,0.3006830852,0.9999999507
337,0.3447172638,0.9999999544
338,0.30895349,0.9999999588
339,0.2735220197,0.9999999616
340,0.3208505137,0.9999999655
341,0.3695458409,0.9999999692
342,0.4076634288,0.9999999731
343,0.2645620204,0.9999999757
344,0.2431150499,0.9999999775
345,0.2839632322,0.9999999804
346,0.257874539,0.9999999821
347,0.2567446436,0.9999999841
348,0.3258796457,0.9999999863
349,0.283820937,0.9999999876
350,0.3274540987,0.9999999902
351,0.3921203701,0.9999999917
352,0.3298309471,0.9999999938
353,0.3682562063,0.9999999949
354,0.2977001079,0.9999999962
355,0.3689481153,0.9999999973
356,0.2521732465,0.9999999978
357,0.3369150621,0.9999999989
358,0.2073515715,0.9999999991
359,0.3021754507,0.9999999997
360,0.1948575234,0.9999999998
361,0.94727518,1
362,0.2033827934,1
