freq_radius,radial_mean_power,cumulative_energy_fraction
0,2478087564,0.8809825193
1,4108680.287,0.892667903
2,3695671.99,0.9136894195
3,1975499.484,0.9277355779
4,1739979.39,0.9425814593
5,774989.0993,0.9536020844
6,420682.5765,0.9589861168
7,266877.1499,0.9635402243
8,269945.0658,0.9689144272
9,141840.3833,0.9717382573
10,119697.1617,0.9746318901
11,106679.2648,0.9770591184
12,114248.2026,0.9803084199
13,80201.33853,0.9829315515
14,46511.83986,0.9843866649
15,44741.1438,0.9859136295
16,56995.09159,0.9878588074
17,37073.70191,0.9893876915
18,33119.39151,0.9908006007
19,19479.92921,0.9916316356
20,25797.96436,0.9927688904
21,17299.16127,0.9936544915
22,17809.2449,0.9945155548
23,15940.43281,0.9953089303
24,9788.890446,0.9958378962
25,9243.797893,0.9963899868
26,6979.170974,0.9968266707
27,6442.076045,0.9972022662
28,4614.944887,0.9974778962
29,4838.642724,0.9978081709
30,4079.736773,0.998080843
31,3177.228255,0.9983157859
32,2456.929683,0.9984904781
33,2320.05137,0.9986620363
34,1607.986507,0.9987923734
35,1427.766606,0.9988979508
36,1339.944055,0.9990084669
37,923.6767268,0.9990833365
38,917.834413,0.9991668689
39,754.5727139,0.9992333967
40,692.3000314,0.9992914808
41,553.5463639,0.9993450078
42,483.8289763,0.9993904173
43,398.1176814,0.9994311792
44,293.2618502,0.9994599542
45,361.7999471,0.9994949397
46,267.6658758,0.9995231064
47,297.3094022,0.9995539697
48,205.5441678,0.9995767684
49,192.052782,0.9995975244
50,151.7331634,0.9996156491
51,136.5849134,0.9996313816
52,123.165956,0.9996450431
53,98.90765154,0.999657139
54,94.06586343,0.999667974
55,80.41120123,0.9996787226
56,68.44378204,0.999687093
57,76.19194684,0.9996968443
58,53.80188311,0.9997038065
59,57.94642292,0.9997113875
60,51.56922957,0.9997185742
61,48.28778705,0.9997252349
62,41.1186132,0.9997309651
63,39.96544397,0.9997366484
64,39.34031323,0.9997420749
65,35.85294213,0.9997475811
66,34.67524635,0.9997525121
67,32.53688624,0.9997574166
68,30.90812408,0.9997623832
69,33.07605657,0.9997672749
70,30.01196936,0.9997720548
71,30.57068601,0.9997767064
72,27.75623332,0.9997814428
73,28.28642168,0.9997861089
74,27.56702713,0.9997906562
75,25.618086,0.9997949914
76,25.53980021,0.9997993496
77,23.64507569,0.999803519
78,24.22373407,0.9998076182
79,22.80061431,0.9998116387
80,21.63583575,0.9998156384
81,21.72169552,0.9998194995
82,20.04748053,0.9998233196
83,21.2681853,0.9998271304
84,20.34852621,0.9998310078
85,19.51333101,0.9998348094
86,17.46322911,0.9998381867
87,17.639138,0.9998416483
88,18.12637416,0.999845025
89,15.73261286,0.9998483808
90,15.90743632,0.9998515025
91,15.64849337,0.9998547069
92,15.39209752,0.9998578807
93,15.57952698,0.9998611152
94,13.81374894,0.9998641011
95,15.2827172,0.9998672523
96,15.09343427,0.9998704718
97,13.40164377,0.9998734829
98,14.06902055,0.9998765239
99,13.11254388,0.999879526
100,13.36874893,0.9998824157
101,12.06518309,0.9998852638
102,12.60633227,0.9998881499
103,12.30430326,0.9998908795
104,11.52293621,0.9998936324
105,11.976305,0.9998963743
106,11.18025647,0.9998991407
107,11.08433206,0.9999017888
