freq_radius,radial_mean_power,cumulative_energy_fraction
0,458243724.6,0.5831531743
1,17252814.11,0.7587982781
2,6807628.729,0.8974106397
3,923311.3483,0.9209104462
4,528799.3562,0.9370610319
5,380053.8357,0.956407034
6,157046.2007,0.9636017897
7,83449.94362,0.9686992447
8,83394.06354,0.9746422933
9,47658.44158,0.9780386554
10,19678.3729,0.979741536
11,17832.07417,0.9811938749
12,24684.35554,0.9837069062
13,16636.71386,0.9856546933
14,10184.23145,0.9867951979
15,8404.525919,0.9878219618
16,6962.013338,0.9886724968
17,5811.853322,0.9895304405
18,5280.289397,0.9903367932
19,4549.33369,0.9910315218
20,3558.426645,0.9915930426
21,2545.647898,0.9920595375
22,2607.629172,0.9925108433
23,2585.173476,0.9929714219
24,1928.145079,0.9933443881
25,1684.40484,0.9937045037
26,1335.379746,0.9940035948
27,1316.661886,0.9942783869
28,1250.407771,0.9945457165
29,960.0493134,0.9947802911
30,878.0647112,0.9949903642
31,770.0753946,0.995194201
32,716.4596913,0.9953765519
33,668.9195167,0.9955536131
34,508.7981057,0.9957012403
35,517.0149187,0.9958380927
36,472.6453536,0.9959776362
37,438.4185857,0.9961048429
38,375.7869003,0.9962272672
39,357.9087304,0.9963402234
40,359.3783865,0.9964481554
41,303.061053,0.9965530577
42,289.1153305,0.9966501894
43,252.4372024,0.9967427087
44,250.9543073,0.9968308521
45,245.042222,0.9969156716
46,218.3894962,0.9969979356
47,209.694959,0.997075857
48,186.6682366,0.9971499729
49,187.2229147,0.9972224029
50,162.863829,0.9972920415
51,161.4261371,0.9973586002
52,162.7573362,0.9974232224
53,141.5364516,0.9974851826
54,147.6262815,0.9975460514
55,122.653925,0.9976047402
56,127.5288279,0.9976605683
57,117.4455076,0.9977143736
58,116.1007897,0.9977681538
59,111.0840077,0.9978201757
60,100.0560115,0.9978700889
61,98.38819041,0.9979186692
62,94.2191137,0.9979656707
63,90.07847454,0.9980115236
64,92.9376307,0.9980574127
65,80.94168864,0.9981019109
66,81.89245559,0.9981435968
67,80.51397619,0.9981870402
68,71.28309657,0.9982280428
69,65.89167195,0.9982629254
70,69.56055802,0.9983025831
71,73.05997188,0.9983423764
72,59.95001387,0.9983789962
73,62.83453428,0.9984160987
74,62.72144225,0.9984531343
75,57.7830091,0.9984881364
76,55.99409516,0.9985223398
77,53.9239264,0.9985563766
78,54.49150277,0.9985893848
79,50.66631246,0.9986213655
80,47.87371154,0.9986530456
81,50.04624573,0.9986848896
82,45.64666511,0.9987160254
83,47.18369356,0.9987462881
84,43.48586923,0.99877595
85,42.02918753,0.9988052602
86,42.0676213,0.9988343829
87,40.54906144,0.9988628673
88,42.10036035,0.9988909412
89,36.40346369,0.9989187371
90,38.88963024,0.9989460557
91,36.69909881,0.9989729564
92,35.91135281,0.9989994625
93,35.37953186,0.9990257562
94,33.43822664,0.9990516284
95,34.39624334,0.9990770162
96,33.24023929,0.9991023967
97,31.12439852,0.9991274292
98,31.84086666,0.9991520655
99,29.88766915,0.9991765597
100,31.26849325,0.9992007531
101,28.39654113,0.9992247481
102,29.18310318,0.9992486649
103,29.67995513,0.9992722335
104,27.17686784,0.9992954745
105,27.94959056,0.9993183804
106,25.64127373,0.9993410913
107,26.70297427,0.9993639271
108,26.43461135,0.9993862642
109,25.31209634,0.999408297
110,24.9418629,0.9994301345
111,23.6501377,0.9994518042
112,24.53583342,0.9994736609
113,23.92292,0.999495337
114,22.43371352,0.9995165773
115,23.38472229,0.9995380037
116,23.07809368,0.9995590318
117,22.65311995,0.9995802492
118,22.12512558,0.9996014225
119,21.62438168,0.9996222268
120,21.63182967,0.999642928
121,22.38825296,0.9996638974
122,21.29573594,0.999684819
123,19.52586249,0.999705294
124,21.36077057,0.9997257359
125,19.8790491,0.9997461765
126,21.30533329,0.9997666737
127,19.46478235,0.9997868865
128,19.31130255,0.9998071365
129,20.2190281,0.999827412
130,18.65799291,0.9998473569
131,19.56044911,0.9998674698
132,18.19453599,0.999887475
133,18.58676081,0.9999074383
134,19.8636294,0.9999276607
135,18.01883033,0.9999478395
136,18.26176062,0.9999676397
137,17.90852135,0.9999875126
138,10.17989049,0.9999978505
139,0.143631363,0.999997977
140,0.1430126576,0.9999981051
141,0.118750992,0.9999981982
142,0.1246515798,0.9999982953
143,0.119789822,0.9999983843
144,0.1102439561,0.999998464
145,0.1087778542,0.9999985404
146,0.1148940044,0.9999986136
147,0.1166201974,0.9999986872
148,0.1129436154,0.9999987585
149,0.1056012376,0.9999988224
150,0.1135923642,0.9999988878
151,0.09532618085,0.9999989368
152,0.100395897,0.999998995
153,0.09920808849,0.9999990445
154,0.09656600473,0.9999990942
155,0.09395774211,0.9999991396
156,0.09731586436,0.9999991837
157,0.1036648365,0.9999992322
158,0.0989686512,0.999999273
159,0.1040332879,0.9999993191
160,0.1058715082,0.9999993622
161,0.113743106,0.999999408
162,0.08397136243,0.9999994392
163,0.09900264739,0.9999994734
164,0.1125050896,0.9999995152
165,0.09290719981,0.999999546
166,0.0916815759,0.9999995773
167,0.0998979261,0.9999996073
168,0.1098344537,0.9999996369
169,0.1069560049,0.9999996723
170,0.1006751707,0.9999996974
171,0.08717680445,0.9999997218
172,0.1018060421,0.9999997462
173,0.09526734692,0.9999997685
174,0.08043400299,0.9999997881
175,0.09214945499,0.9999998055
176,0.1177274458,0.999999833
177,0.08649132948,0.999999848
178,0.09024552256,0.999999865
179,0.09378005581,0.9999998803
180,0.138635846,0.9999998986
181,0.1170040073,0.9999999189
182,0.1116207492,0.9999999319
183,0.09768673514,0.9999999459
184,0.05877437323,0.9999999519
185,0.07980517308,0.9999999592
186,0.069162061,0.9999999666
187,0.07106479823,0.9999999705
188,0.1065783854,0.9999999808
189,0.1434352476,0.9999999867
190,0.08262904844,0.9999999922
191,0.1298852062,0.9999999955
192,0.06098608927,0.9999999967
193,0.0907862983,0.999999999
194,0.05832475551,0.9999999993
195,0.5435442189,1
