freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.522271719e+10,0.8718653106
1,52384337.83,0.8958673788
2,14435294.88,0.909095643
3,15321418.03,0.926646009
4,6637009.323,0.9357690765
5,5911903.859,0.9493130026
6,4443648.066,0.9584751943
7,1824733.155,0.9634916597
8,1592517.316,0.9685994071
9,1135416.463,0.9722410758
10,775789.9408,0.9752624901
11,772092.4616,0.9780926208
12,484775.7102,0.9803138229
13,364031.1785,0.9822319775
14,326465.688,0.9838774001
15,274696.9745,0.9853877665
16,200318.8275,0.9864891796
17,164291.7448,0.9875806977
18,163902.0564,0.9887071761
19,109152.2097,0.9894573656
20,137082.7792,0.9904309236
21,115501.5442,0.9913835168
22,102916.5284,0.9921851603
23,80352.05889,0.9928294516
24,81981.91483,0.9935431568
25,52394.74234,0.9940473003
26,47795.42966,0.9945290886
27,47151.42677,0.9949719787
28,45631.59565,0.995411047
29,32347.75988,0.9957667624
30,28971.45104,0.9960787127
31,21693.76843,0.9963371502
32,22097.67353,0.9965902744
33,17398.08844,0.9967975376
34,13784.16591,0.9969775376
35,17779.58463,0.9971893455
36,14285.76721,0.9973791685
37,14821.97504,0.9975727207
38,13227.28018,0.9977666609
39,12355.37128,0.9979421558
40,9469.285384,0.9980701489
41,9399.576739,0.9982165804
42,8862.604047,0.9983505858
43,7298.674873,0.9984709767
44,6944.292165,0.9985807494
45,6596.279504,0.9986835097
46,5016.145941,0.9987685489
47,5427.438794,0.9988593173
48,4617.534301,0.9989418303
49,3872.42464,0.9990092541
50,3147.113361,0.9990698174
51,2883.246254,0.9991233211
52,2534.911519,0.9991686186
53,2568.12279,0.9992192164
54,2119.097991,0.99925854
55,1902.020594,0.9992995
56,1478.326474,0.9993286264
57,1448.534136,0.9993584932
58,1394.317985,0.9993875615
59,1114.411424,0.9994110498
60,1038.151539,0.9994343577
61,914.9165717,0.9994546892
62,938.3996126,0.9994757576
63,801.1292939,0.9994941112
64,811.6971557,0.9995121489
65,709.1666311,0.9995296954
66,659.9905237,0.9995448155
67,610.7002639,0.9995596458
68,493.2517537,0.9995724151
69,464.671732,0.9995834863
70,457.4144144,0.999595223
71,373.7814349,0.9996043856
72,334.6002899,0.9996135843
73,353.5231706,0.9996229792
74,326.5580818,0.9996316575
75,303.1220886,0.9996399213
76,262.0110621,0.9996471244
77,257.1841038,0.9996544305
78,247.1745681,0.999661169
79,229.9266341,0.9996677008
80,224.0148741,0.9996743725
81,224.0825064,0.9996807895
82,182.1127273,0.9996863802
83,179.1556028,0.9996915517
84,176.7670936,0.9996969782
85,161.0947982,0.9997020344
86,152.145142,0.9997067748
87,140.1625637,0.999711206
88,145.3106623,0.999715567
89,123.7288128,0.9997198189
90,125.0492355,0.9997237724
91,118.5457152,0.9997276832
92,112.8489119,0.9997314319
93,109.8489053,0.9997351061
94,103.0326928,0.999738694
95,108.2839063,0.999742291
96,98.520567,0.9997456766
97,89.00677129,0.9997488984
98,94.47744906,0.9997521884
