freq_radius,radial_mean_power,cumulative_energy_fraction
0,8366613600,0.730529883
1,77570333.3,0.7847142392
2,34014018.97,0.8322331203
3,18784028.72,0.8650356255
4,8103979.924,0.8820179788
5,6849736.481,0.9059413362
6,4861967.232,0.9212241318
7,2540360.29,0.9318710722
8,1649536.115,0.9399366991
9,757929.0158,0.9436426942
10,1000795.685,0.9495848305
11,814558.6768,0.9541367086
12,554358.1388,0.9580090059
13,488150.0323,0.9619303
14,484886.4874,0.965656027
15,280264.7112,0.9680052699
16,275548.0086,0.9703149763
17,286224.8096,0.9732140119
18,209541.4672,0.9754095425
19,211350.7112,0.97762403
20,169253.6285,0.9794565467
21,142079.3509,0.9812429592
22,119077.7894,0.9826569869
23,94817.77099,0.9838160473
24,72646.20597,0.9847801977
25,92566.07255,0.9861380402
26,65436.81991,0.9871436353
27,60118.43181,0.9880045096
28,60863.19029,0.9888973057
29,49717.90523,0.9897307994
30,45721.0698,0.9904813198
31,33194.60156,0.9910841834
32,39696.82519,0.9917774081
33,28515.36459,0.9922952898
34,31829.03538,0.9929289356
35,24685.39196,0.9933772593
36,24066.94709,0.9938647847
37,24450.37485,0.9943515377
38,23584.69017,0.9948787171
39,15934.09476,0.9952237554
40,17768.01,0.9955898886
41,14888.03385,0.9959434741
42,14799.3754,0.9962846165
43,12436.92519,0.9965973639
44,10102.34814,0.9968408195
45,9120.127504,0.9970574193
46,7688.453313,0.9972561289
47,8003.383721,0.9974601828
48,6948.446502,0.997649474
49,6472.48239,0.9978212778
50,6043.510309,0.9979985811
51,4639.361856,0.9981298288
52,4410.547036,0.998249982
53,3796.892573,0.9983640267
54,3342.255424,0.9984585791
55,2863.98792,0.998552605
56,2703.224928,0.9986337999
57,2248.743025,0.9987044855
58,2371.886826,0.9987798702
59,2165.052277,0.9988494374
60,1585.576092,0.9989037076
61,1701.844809,0.998961363
62,1489.273004,0.999012337
63,1231.096839,0.9990553342
64,1287.232254,0.9990989433
65,1031.323709,0.9991378449
66,1081.043101,0.9991756013
67,946.4054259,0.9992106387
68,674.2897284,0.9992372504
69,680.9964244,0.9992619863
70,648.1485842,0.9992873399
71,628.0896443,0.9993108121
72,519.1700565,0.9993325711
73,490.4545949,0.9993524415
74,457.5186057,0.9993709774
75,465.0572665,0.9993903061
76,366.2989857,0.9994056581
77,341.3256047,0.9994204403
78,345.7323337,0.9994348096
79,291.5694481,0.9994474369
80,269.9128482,0.999459692
81,260.1876862,0.9994710511
82,212.8185253,0.9994810112
83,224.6843066,0.9994908988
84,196.6658273,0.9995001029
85,175.2192426,0.9995084869
86,166.5390778,0.9995163974
87,160.4115,0.9995241289
88,163.5342296,0.999531611
89,133.0701791,0.9995385824
90,135.450227,0.9995451109
91,123.8368444,0.999551339
92,118.5532074,0.9995573429
93,116.0309491,0.9995632595
94,104.1654314,0.9995687894
95,109.065927,0.9995743128
96,107.0774361,0.9995799224
97,97.8238698,0.9995853207
98,100.526655,0.9995906574
99,91.17409462,0.9995957842
100,91.00507788,0.9996006154
101,86.17649191,0.9996056116
102,88.30046987,0.9996105768
103,88.89106742,0.99961542
104,84.98007689,0.9996204063
105,85.87503006,0.9996252351
106,73.63302665,0.9996297099
107,75.09143687,0.9996341159
108,79.1581441,0.9996387053
109,73.22206048,0.9996430783
110,73.69960453,0.9996475057
111,68.27058089,0.9996517976
112,69.46907218,0.9996560436
113,69.01397183,0.9996603341
114,64.04118801,0.9996644943
115,65.10778057,0.9996685874
116,63.74742071,0.9996725728
117,62.3441584,0.9996765792
118,62.70946289,0.9996806968
119,57.59272007,0.9996844985
120,60.55183057,0.9996884744
121,59.78011214,0.9996923161
122,51.39394402,0.9996957804
123,51.93555343,0.999699517
124,55.94102554,0.9997031901
125,55.83895868,0.9997071296
126,48.24416592,0.9997103142
127,45.92193876,0.9997135861
128,42.56639977,0.9997166486
129,46.4979726,0.9997198479
130,43.04140287,0.9997230047
131,51.7563003,0.9997266562
132,44.03344625,0.9997299781
133,44.3532006,0.9997332466
134,43.49855943,0.9997362851
135,42.24538568,0.9997395311
136,42.61102184,0.999742701
137,40.49251888,0.9997457841
138,42.13675896,0.9997489629
139,40.74245245,0.9997519938
140,38.05279243,0.999755024
141,40.10229033,0.9997580773
142,37.69701536,0.9997610265
143,37.0629222,0.999763939
144,35.62261008,0.9997667757
145,36.23249307,0.9997697369
146,35.85036821,0.9997725791
147,35.23950588,0.9997753853
148,32.75331271,0.9997781079
149,33.48942334,0.9997808683
150,32.56665288,0.9997835639
151,32.80456208,0.9997861991
152,30.77449776,0.9997888217
153,32.06274751,0.9997914757
154,30.51924558,0.9997941405
155,31.08107222,0.9997967458
156,30.18001018,0.9997993177
157,28.69732353,0.9998018735
158,29.79791234,0.9998043712
159,28.7389301,0.9998068806
160,28.42859303,0.9998093727
161,26.56283087,0.9998118219
162,26.95038968,0.9998142316
163,27.25006519,0.9998166014
164,26.234351,0.9998189837
165,25.96803513,0.9998213236
166,24.37646558,0.9998236223
167,25.73535511,0.9998259323
168,26.02062789,0.9998282588
169,24.30293596,0.9998305846
170,24.0370153,0.9998328429
171,24.06111094,0.9998351118
172,23.85242929,0.9998373278
173,23.8386197,0.9998396424
174,22.8650863,0.9998418545
175,23.40663658,0.9998440617
176,22.02936757,0.9998462006
177,22.89735045,0.9998483679
178,21.77936913,0.9998505586
179,21.44074873,0.9998526853
180,22.19138513,0.9998548322
181,21.24434416,0.9998569542
182,20.80626269,0.9998590761
183,20.72552079,0.9998612043
184,21.80400891,0.9998633289
185,20.81939944,0.9998654522
186,20.3179325,0.999867581
187,20.3334707,0.9998696618
188,19.98226935,0.9998717276
189,20.48291378,0.9998738165
190,20.11612466,0.9998759102
191,18.77887915,0.9998779237
192,19.74396373,0.9998799511
193,18.07884754,0.9998819211
194,18.70918881,0.9998838749
195,18.38896097,0.9998858787
196,18.26025761,0.9998878685
197,18.64325194,0.999889861
198,18.17094157,0.9998918601
199,17.80668269,0.9998937756
200,16.73889452,0.9998956698
201,18.35843836,0.999897651
202,17.85283105,0.999899584
203,17.15914904,0.9999015736
204,18.01299705,0.999903568
205,16.94985432,0.9999055215
206,17.40437484,0.9999074424
207,16.67729194,0.9999093412
208,16.62858361,0.9999112636
209,16.38404413,0.999913129
210,16.57776269,0.9999150281
211,16.02886745,0.9999169147
212,16.15545511,0.9999187993
213,15.60807373,0.999920631
214,15.88620562,0.9999224952
215,16.26469899,0.9999243755
216,15.13110526,0.999926204
217,15.38510106,0.9999280524
218,15.87967449,0.9999299326
219,15.30089338,0.9999317816
220,15.1927462,0.9999336175
221,15.32379074,0.9999354854
222,14.51057336,0.9999372896
223,15.07511936,0.9999391008
224,14.6453337,0.999940932
225,14.8788934,0.9999427456
226,14.78157398,0.9999445835
227,14.62362053,0.9999463915
228,14.52488637,0.999948233
229,13.87495556,0.9999500454
230,14.41697093,0.9999518077
231,14.57553568,0.9999536403
232,14.24220421,0.999955446
233,14.15128318,0.9999572648
234,13.63119753,0.9999590644
235,14.07191164,0.9999608386
236,13.91630453,0.999962637
237,13.84460083,0.9999644744
238,13.88770222,0.9999662351
239,13.39098455,0.9999680311
240,13.88855375,0.9999698064
241,12.89152557,0.9999715714
242,13.30854185,0.9999733702
243,13.13907805,0.9999751048
244,12.99543187,0.9999768659
245,13.59889733,0.9999786375
246,12.61168243,0.999980417
247,12.87146939,0.9999821522
248,13.00640145,0.9999838875
249,13.01970281,0.9999856655
250,13.19463642,0.9999874535
251,12.83965391,0.9999892473
252,12.83383317,0.9999910178
253,12.33857529,0.9999927329
254,12.75419958,0.9999945326
255,12.74162148,0.9999963393
256,7.396224213,0.9999973119
257,0.9942803585,0.999997431
258,0.7641755853,0.9999975223
259,0.6834084995,0.9999975987
260,0.6156932244,0.9999976662
261,0.6296323924,0.999997733
262,0.5817479051,0.9999977926
263,0.544749575,0.9999978476
264,0.6074286285,0.9999979059
265,0.5676538657,0.999997962
266,0.5578054349,0.999998014
267,0.490437974,0.9999980587
268,0.5406902425,0.9999981078
269,0.5215780594,0.9999981528
270,0.5534493647,0.9999982008
271,0.5930453345,0.9999982513
272,0.5782075202,0.9999982998
273,0.5564740859,0.9999983443
274,0.5315600976,0.9999983859
275,0.5376846153,0.9999984298
276,0.6029150887,0.9999984757
277,0.5542850901,0.9999985179
278,0.561546405,0.9999985581
279,0.536808374,0.9999985969
280,0.530177421,0.9999986367
281,0.4859767661,0.9999986697
282,0.5426137568,0.9999987078
283,0.5661956842,0.9999987449
284,0.5528665312,0.999998782
285,0.5603750221,0.9999988194
286,0.514137464,0.9999988506
287,0.5274234492,0.9999988854
288,0.5686069809,0.9999989192
289,0.5540844837,0.9999989531
290,0.5487891438,0.9999989868
291,0.5184505219,0.9999990152
292,0.5117578048,0.9999990469
293,0.5510413036,0.9999990765
294,0.5131938137,0.999999105
295,0.4985197417,0.9999991323
296,0.4867025447,0.9999991573
297,0.5207178848,0.9999991861
298,0.5044574487,0.9999992106
299,0.5344420993,0.999999238
300,0.4969001893,0.9999992623
301,0.5347739991,0.9999992875
302,0.5387408716,0.999999314
303,0.5525381362,0.9999993382
304,0.57385071,0.9999993648
305,0.5231595303,0.999999388
306,0.5183351821,0.9999994107
307,0.5499926574,0.9999994345
308,0.6015783973,0.9999994578
309,0.4773734375,0.9999994788
310,0.5157392093,0.9999994983
311,0.4907732067,0.9999995183
312,0.5478796264,0.9999995388
313,0.4415698813,0.9999995551
314,0.5168974957,0.9999995743
315,0.4762679189,0.9999995907
316,0.5782012357,0.9999996117
317,0.4962955647,0.999999628
318,0.514887652,0.9999996451
319,0.5250738247,0.9999996624
320,0.5656884992,0.999999679
321,0.494917447,0.999999695
322,0.5249699098,0.9999997101
323,0.573645266,0.9999997275
324,0.5123967044,0.9999997415
325,0.5143021621,0.9999997555
326,0.4882199494,0.9999997686
327,0.4612746729,0.9999997795
328,0.4836148866,0.9999997927
329,0.5058668474,0.9999998042
330,0.5738347022,0.9999998178
331,0.5961894252,0.9999998312
332,0.5645949315,0.9999998422
333,0.5353705147,0.9999998551
334,0.508911681,0.9999998643
335,0.5602175348,0.9999998757
336,0.5193612161,0.9999998853
337,0.4789765767,0.9999998927
338,0.5673570784,0.9999999042
339,0.4341440145,0.9999999105
340,0.5116760035,0.9999999193
341,0.497493532,0.9999999264
342,0.5801559264,0.9999999343
343,0.5065494933,0.9999999414
344,0.4323415318,0.9999999459
345,0.5599878365,0.9999999541
346,0.4972299506,0.9999999588
347,0.4577431871,0.9999999639
348,0.5345310153,0.9999999692
349,0.3930829676,0.9999999716
350,0.4772711685,0.9999999771
351,0.4904100607,0.9999999797
352,0.510290788,0.9999999845
353,0.4445474602,0.9999999864
354,0.5135004979,0.9999999896
355,0.6558056275,0.9999999924
356,0.6560462913,0.9999999942
357,0.4698432621,0.9999999963
358,0.703719932,0.9999999976
359,0.9089746805,0.9999999998
360,0.2135059062,0.9999999999
361,0.1906758014,1
362,0.07111211169,1
