freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.649835228e+10,0.8928819273
1,60088204.96,0.9090796657
2,26195103.75,0.9232022855
3,5838522.968,0.927136954
4,5703137.749,0.9317490705
5,3148673.549,0.9359929475
6,2500052.434,0.9390256289
7,1785298.033,0.941913163
8,698825.2035,0.9432318197
9,1007718.304,0.945133346
10,907759.5248,0.9472133056
11,955785.1095,0.9492744831
12,672854.1101,0.9510882692
13,527962.6899,0.9527249584
14,695429.6867,0.9547870647
15,495360.5216,0.9563894531
16,365968.7315,0.957573286
17,564825.5148,0.9597810236
18,570262.3942,0.9620868741
19,628112.9717,0.9646266428
20,418952.1961,0.9663771396
21,406917.6714,0.9683515808
22,367479.3391,0.9700355998
23,304453.9189,0.9714718324
24,280968.1339,0.9729108822
25,284813.674,0.97452318
26,311833.4581,0.9763724935
27,243286.0668,0.9777169175
28,240543.5733,0.9790786074
29,200213.9761,0.9803739086
30,174232.68,0.9814776381
31,127240.6342,0.9823694316
32,148781.9605,0.9833720956
33,142643.7731,0.9843718454
34,123454.2502,0.9853202989
35,157652.0847,0.9864252377
36,129702.2126,0.9874391737
37,112073.9603,0.9883001967
38,111519.8435,0.9892621794
39,95344.20876,0.9900589277
40,83240.54588,0.990720873
41,87675.36083,0.9915244391
42,96870.76086,0.9923861703
43,76850.62114,0.9931319577
44,53889.64231,0.9936331329
45,50599.81748,0.9940968926
46,43866.74845,0.994534417
47,46594.45862,0.9949928673
48,34406.88315,0.9953545895
49,29174.28612,0.9956534365
50,28661.29914,0.9959779333
51,28190.28642,0.9962856986
52,27596.98573,0.9965758277
53,23126.00457,0.9968438891
54,17566.32342,0.9970356681
55,20673.32138,0.9972975909
56,17014.42504,0.9974948108
57,19202.14208,0.9977277419
58,12683.69797,0.9978833106
59,14333.87664,0.9980610512
60,9862.896973,0.9981913276
61,10484.10928,0.9983283964
62,9501.778573,0.9984539029
63,8490.278858,0.9985683374
64,8522.920927,0.9986797657
65,6661.750978,0.9987767379
66,6844.342441,0.998868988
67,7090.845249,0.9989702949
68,4808.801859,0.9990435352
69,4601.118348,0.9991080311
70,4256.894939,0.9991722919
71,3219.237049,0.999218719
72,3017.94613,0.9992675312
73,3094.170664,0.999315908
74,2896.990987,0.999361202
75,2708.491331,0.9994046439
76,3142.294892,0.9994554673
