freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.51862958e+10,0.8435560162
1,40115909.58,0.8613826237
2,28420652.97,0.886641621
3,17959375.11,0.9065934764
4,14284478.97,0.9256365795
5,5700542.743,0.9383025441
6,4898573.723,0.9480982158
7,2708475.158,0.9553197283
8,1889845.137,0.9611983609
9,1281402.648,0.9651843464
10,1444622.048,0.9706409854
11,848277.2909,0.9736566281
12,816504.9991,0.9772849926
13,522412.0164,0.9799546963
14,364691.4982,0.9817373639
15,446483.5715,0.9841182509
16,275932.3777,0.9855896686
17,225363.5631,0.9870417928
18,171982.0898,0.9881881674
19,164096.518,0.9892819794
20,114910.2572,0.9900734641
21,129875.3539,0.9911123105
22,92702.74057,0.9918126257
23,80743.74691,0.992440538
24,86665.76093,0.9931722719
25,78248.73128,0.9939024834
26,48892.07662,0.9943804673
27,58650.83205,0.994914761
28,37320.0367,0.9952630289
29,37177.07797,0.9956595247
30,31893.53322,0.9959925847
31,30736.0373,0.9963477032
32,30256.07413,0.9966838312
33,25565.58382,0.9969792112
34,18096.08935,0.9972083938
35,17608.12596,0.9974118348
36,15980.10951,0.9976177697
37,16771.72936,0.9978301796
38,14758.18496,0.9980400422
39,11255.6797,0.998195097
40,11512.47512,0.9983460157
41,8924.180204,0.9984808496
42,8838.059165,0.998610455
43,6666.691718,0.998717106
44,6126.23844,0.9988110275
45,4982.069794,0.9988863007
46,4754.462312,0.9989644735
47,4223.993717,0.9990329857
48,3900.811378,0.9991005896
49,3880.320309,0.999166114
50,3139.786068,0.9992247145
51,2369.480044,0.9992673587
52,2555.973547,0.9993116556
53,2015.921327,0.9993501763
54,2103.2464,0.999388029
55,1544.223467,0.9994202813
56,1486.193043,0.9994486798
57,1309.790929,0.9994748717
58,1038.468576,0.9994958686
59,922.1714681,0.9995147191
60,988.7094543,0.9995362477
61,717.201987,0.9995517051
62,591.8654796,0.9995645927
63,691.0683761,0.9995799474
64,606.3981626,0.9995930167
65,560.4265657,0.9996064649
66,473.5414559,0.9996169865
67,398.4095988,0.9996263698
68,448.1255727,0.9996376211
69,386.2532591,0.9996465465
70,322.1009468,0.999654562
71,359.0095717,0.9996630972
72,285.1982704,0.9996707013
73,280.9423351,0.9996779423
74,271.9095227,0.9996849504
75,256.5412146,0.9996917335
76,235.4199299,0.9996980104
77,226.5131302,0.9997042512
78,211.2753326,0.9997098374
79,205.4028005,0.9997154965
80,185.1006893,0.9997208431
81,174.046921,0.999725677
82,167.2195754,0.9997306557
83,150.8175087,0.9997348779
84,149.8402319,0.9997393392
85,138.8682519,0.9997435663
86,128.6053814,0.9997474525
87,116.8230689,0.9997510345
88,127.7001223,0.9997547514
89,105.5214767,0.9997582683
90,109.221347,0.9997616172
91,100.7607643,0.9997648411
92,98.27142138,0.9997680071
93,95.73920478,0.9997711129
94,90.08815183,0.9997741554
95,91.93945074,0.9997771174
96,85.67985074,0.999779973
97,81.10566658,0.9997828203
98,83.27822948,0.9997856328
99,78.55062836,0.9997884427
100,81.41520525,0.9997911924
101,69.89241825,0.9997937702
102,69.28383034,0.9997962487
103,72.89057521,0.9997987752
104,68.32065402,0.9998013254
105,70.81298568,0.9998038586
106,65.45509103,0.9998063891
107,64.24864022,0.9998087874
108,64.77195432,0.9998111764
109,61.82389229,0.9998135253
110,58.51583965,0.9998157616
111,56.26091737,0.9998180117
112,58.71971179,0.9998202949
113,56.37588707,0.9998225245
114,51.62815149,0.9998246582
115,52.01570359,0.9998267385
116,53.45533784,0.9998288645
117,53.17901061,0.9998310386
118,50.75977546,0.9998331589
