freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.114072424e+10,0.8366713472
1,146705728.9,0.8682041989
2,19259914.16,0.8764836304
3,29348281.91,0.8922538908
4,14892093.69,0.901856587
5,12459830.63,0.915247134
6,4258962.918,0.9193665206
7,6741418.271,0.9280605018
8,5342569.439,0.9360988051
9,2347964.83,0.9396314974
10,3174741.135,0.9454317034
11,1482043.48,0.9479801005
12,2155937.19,0.9526140605
13,1581966.251,0.9565243708
14,917559.9723,0.9586937892
15,1118529.024,0.9615787817
16,763014.6444,0.9635468052
17,706643.0575,0.9657491448
18,582616.4739,0.9676275539
19,536436.3329,0.969357074
20,452714.5476,0.9708653205
21,258402.8361,0.971865058
22,471023.7212,0.973586165
23,201989.9049,0.974345938
24,268277.4569,0.9754415429
25,224963.0011,0.9764569649
26,188797.7485,0.9773497268
27,203148.3964,0.9782448513
28,170454.2025,0.9790142354
29,148114.9415,0.9797782933
30,93404.90474,0.9802500887
31,120123.7356,0.9809213914
32,111222.8206,0.9815190457
33,110776.3358,0.9821381111
34,90904.11227,0.9826949692
35,77358.71996,0.9831272827
36,82715.77969,0.9836428704
37,84585.71598,0.9841610235
38,67546.17353,0.9846256103
39,63039.97814,0.9850456535
40,63092.06511,0.9854457022
41,58864.93797,0.9858758838
42,35507.53844,0.9861277389
43,47680.58887,0.9864966827
44,42820.48176,0.9868142142
45,46821.67508,0.9871563843
46,35044.59833,0.9874350856
47,30202.84287,0.9876720357
48,29336.99332,0.9879179571
49,32763.83767,0.9881855623
50,36774.67104,0.9885175441
51,28786.9433,0.9887681358
52,23376.27098,0.9889640907
53,18547.34289,0.9891355126
54,22865.20623,0.9893345553
55,21038.601,0.9895470905
56,21017.7058,0.9897413445
57,17122.60313,0.9899069591
58,21501.58964,0.9901172391
59,23005.99068,0.9903447043
60,20703.91451,0.9905627587
61,20286.28717,0.9907742344
62,13955.59668,0.9909212152
63,16385.82873,0.9910973133
64,17765.68668,0.9912825128
65,17264.02744,0.9914828917
66,16049.50382,0.9916553753
67,16107.39016,0.9918388674
68,17198.19279,0.9920477236
69,15023.96848,0.9922156443
70,12479.39706,0.9923658539
71,11930.74663,0.9925030487
72,12310.90293,0.9926618146
73,11035.8259,0.9927993926
74,9599.903829,0.9929190697
75,8996.198202,0.9930341212
76,8276.598081,0.9931408593
77,7825.248503,0.9932451405
78,8905.089891,0.9933590267
79,8780.276662,0.9934760349
80,8172.162325,0.9935902087
81,7931.869184,0.9936967632
82,8314.311546,0.9938164971
83,10455.33903,0.9939580748
84,8985.467682,0.994087474
85,10597.70669,0.9942435078
86,14644.23844,0.9944575463
87,18099.91973,0.994725983
88,28379.93826,0.995125531
89,30529.65237,0.995617683
90,25094.73403,0.9959898586
91,26889.83493,0.9964059961
92,18442.50584,0.9966933877
93,12540.53087,0.9968901559
94,10467.32911,0.9970611439
95,8264.129097,0.9971899248
96,7066.477707,0.9973038396
97,4693.979388,0.9973835444
98,4340.448162,0.9974544474
99,4032.36856,0.997524218
100,4055.057673,0.9975904589
101,3724.997562,0.9976569128
102,3255.11997,0.9977132349
103,3781.571604,0.997776634
104,3547.118324,0.997840677
105,3715.187382,0.9979049595
106,3416.857851,0.9979688538
107,3368.94997,0.9980296799
108,3257.214607,0.9980877885
109,3750.841865,0.998156719
110,3355.904072,0.9982187522
111,3522.311391,0.9982868897
112,2556.615208,0.9983349725
113,2766.675851,0.9983878979
114,2498.249647,0.9984378364
115,2514.184678,0.9984864721
116,2092.567871,0.998526727
117,1903.31772,0.9985643641
118,1457.774651,0.9985938174
119,1571.294327,0.9986257332
120,1432.633851,0.9986546786
121,1353.681632,0.9986814469
122,1502.768984,0.9987126168
123,1761.602279,0.9987516165
124,2009.754838,0.9987922222
125,2408.398173,0.9988445058
126,2464.259552,0.9988945593
127,2512.438832,0.9989496416
128,2013.082826,0.9989942088
129,1910.118544,0.9990346489
130,1450.367083,0.9990673817
131,1087.974899,0.9990910005
132,971.5899309,0.9991135544
133,922.4624948,0.9991344723
134,925.1258926,0.9991543569
135,779.5641651,0.9991727884
136,815.2229786,0.9991914497
137,682.6527819,0.9992074432
138,669.4867706,0.9992229843
139,691.1937833,0.9992388064
140,604.2913327,0.9992536134
141,695.1449122,0.9992698996
142,655.2483549,0.9992856735
143,603.0531162,0.9993002558
144,601.1290017,0.9993149853
145,531.2514257,0.9993283451
146,552.9059927,0.9993418336
147,596.9584419,0.999356461
148,538.3980162,0.999370232
149,610.4149673,0.9993857139
150,462.6337785,0.9993974973
151,556.524404,0.9994112535
152,468.3496521,0.9994235348
153,446.8210928,0.9994349155
154,423.9159385,0.9994463051
155,399.5125927,0.9994566096
156,371.6960142,0.9994663564
157,325.8514523,0.9994752863
158,314.3123332,0.9994833933
159,324.1265891,0.9994921017
160,325.3352721,0.9995008776
161,258.7696754,0.9995082194
