freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.359668097e+10,0.8227120327
1,95002631.26,0.8686996134
2,32227954.39,0.8999005524
3,8194794.043,0.9098176133
4,7792412.281,0.9211337479
5,4152507.508,0.9311841945
6,2557966.561,0.9367562099
7,1321975.337,0.9405957529
8,1141885.719,0.9444649923
9,1717772.337,0.9502856033
10,636823.2523,0.9529058535
11,369455.806,0.9543365826
12,437606.1203,0.9564548868
13,326607.916,0.9582730358
14,301765.4807,0.9598798556
15,263801.2497,0.9614122234
16,332834.0585,0.9633455888
17,305400.0205,0.9654891801
18,152276.3922,0.9665948584
19,227144.5464,0.968244154
20,254288.1086,0.970152085
21,108387.8085,0.9710964891
22,191127.1543,0.9726692991
23,154166.6987,0.9739752701
24,120875.0972,0.97508699
25,93767.06357,0.9760401691
26,82802.24998,0.9769219684
27,76993.17263,0.9776859995
28,100309.987,0.97870569
29,80695.69827,0.9796431799
30,67712.8432,0.9804134514
31,68683.47232,0.9812778827
32,64631.83643,0.9820600352
33,56445.27412,0.98277044
34,41608.84341,0.9833444711
35,48831.85406,0.9839590555
36,45256.09234,0.9845943571
37,42719.4218,0.9851837096
38,32777.33703,0.9856914347
39,35336.34349,0.9862216939
40,39695.92682,0.9867885501
41,39014.36437,0.9874306585
42,31805.29922,0.9879387224
43,30863.42876,0.9884765606
44,32391.59634,0.9890175096
45,22789.18299,0.9893925799
46,22419.13963,0.9897941169
47,33440.92086,0.9903849652
48,20225.16446,0.9907667878
49,20772.11598,0.991148881
50,19913.46665,0.9915537375
51,20351.1287,0.991952715
52,15735.22159,0.9922497738
53,15159.9108,0.9925653251
54,17464.01387,0.9929077017
55,15456.91731,0.9932593639
56,14103.62997,0.9935529289
57,13493.56574,0.993846859
58,12665.02758,0.9941258065
59,10393.70303,0.9943572437
60,10246.90607,0.9946002926
61,10413.87838,0.9948447816
62,9393.837756,0.9950675964
63,10023.9751,0.9953102098
64,8602.56885,0.9955121742
65,7959.637408,0.9957202359
66,8465.942583,0.9959251398
67,8357.649497,0.9961395596
68,5783.677251,0.9962977417
69,5777.146142,0.9964431609
70,5569.721599,0.9965941433
71,5123.521407,0.99672683
72,4934.199117,0.9968701388
73,4628.583624,0.9970000902
74,4792.518694,0.9971346443
75,4657.925602,0.9972688016
76,3346.542913,0.9973659985
77,3372.259957,0.9974672072
78,3626.087027,0.9975716456
79,3342.103672,0.9976719492
80,2631.806186,0.9977547572
81,2508.867185,0.9978306608
82,2616.303743,0.9979155139
83,2407.015624,0.9979889187
84,1884.980979,0.9980500533
85,2219.784642,0.9981236581
86,2466.059838,0.9982048322
87,1804.439652,0.9982651015
88,1608.247468,0.9983160932
89,2019.454119,0.9983894094
90,1583.50582,0.9984422994
91,1502.825347,0.9984946771
92,1792.089025,0.9985575701
93,1306.018949,0.9986037207
94,1041.143021,0.9986420234
95,1163.27942,0.9986828484
96,919.5327755,0.998716232
97,987.4232384,0.9987539923
98,840.8004458,0.9987849246
99,724.6922569,0.9988131639
100,866.3394292,0.9988450357
101,719.0433706,0.9988739251
102,655.7228842,0.9988994769
103,615.7646695,0.9989227264
104,671.3137855,0.9989500231
105,736.1270402,0.998978708
106,494.2044408,0.9989995208
107,638.7981141,0.9990254954
108,679.7793362,0.9990528072
109,500.1168514,0.9990735059
110,522.4210226,0.9990952541
111,482.3439077,0.9991162679
112,390.7731855,0.9991328194
