freq_radius,radial_mean_power,cumulative_energy_fraction
0,2236210721,0.8359870115
1,32632316.88,0.9335813672
2,3423422.547,0.9540584127
3,369706.3189,0.9568226395
4,337466.2727,0.9598504481
5,331919.5084,0.9648138515
6,99303.1417,0.9661503002
7,137108.372,0.9686106226
8,96234.05978,0.9706252913
9,132537.1113,0.9733999676
10,35680.63033,0.9743070114
11,51309.29633,0.9755346282
12,34409.11248,0.9765637109
13,40054.65704,0.9779413252
14,24550.3212,0.9787489816
15,33653.85594,0.9799567756
16,24935.13339,0.9808516658
17,21019.66878,0.9817631952
18,18126.85851,0.9825763825
19,20564.39272,0.9834989198
20,15421.00231,0.9842137799
21,12763.61859,0.9849008849
22,12904.92318,0.9855570017
23,12096.76287,0.9861901188
24,13097.14692,0.9869343486
25,10395.89872,0.9875872659
26,10710.25321,0.9882919576
27,9536.267651,0.9888766253
28,8541.200807,0.9894130577
29,9245.019478,0.9900766417
30,7170.091238,0.9905805707
31,7803.845477,0.9911873891
32,6050.569435,0.9916397792
33,7959.255166,0.9922586822
34,5630.9907,0.9927386437
35,6039.133015,0.9932082401
36,4074.819502,0.9935616536
37,4821.154929,0.9939725883
38,3904.400553,0.9943462522
39,3569.119714,0.9946771543
40,3814.692833,0.9950137111
41,2850.46265,0.9953035596
42,3279.098249,0.9956271869
43,2449.917105,0.9958909601
44,2495.584086,0.9961484547
45,2038.21315,0.9963557099
46,1772.755814,0.9965518775
47,1723.872176,0.9967400581
48,1561.426582,0.9969221803
49,1346.280384,0.9970751819
50,1050.265263,0.9972071063
51,1016.813484,0.9973302672
52,882.4404002,0.9974331936
53,819.9470227,0.9975386399
54,637.3524516,0.9976158388
55,613.0712089,0.9977020147
56,544.865193,0.997772085
57,519.0987174,0.9978419468
58,480.5354776,0.9979073371
59,367.0519658,0.9979578337
60,372.8755089,0.998012477
61,294.1850691,0.9980551486
62,353.1624904,0.998106903
63,229.4780423,0.9981412183
64,270.8515157,0.9981805054
65,201.8232478,0.9982130997
66,198.6682849,0.9982428079
67,136.7075903,0.9982644772
68,140.9586804,0.9982882958
69,154.5365758,0.998312329
70,97.42526216,0.9983286459
71,100.6597702,0.9983447518
72,128.52647,0.9983678151
73,203.573841,0.9984031274
74,143.8010918,0.9984280715
75,132.4084223,0.9984516333
76,123.7549113,0.9984738404
77,148.6250987,0.9985013992
78,141.3526104,0.9985265526
79,142.0472534,0.9985528918
80,125.8907407,0.9985773646
81,140.6837522,0.9986036613
82,132.8046366,0.9986302725
83,147.2144336,0.99865801
84,136.4343947,0.9986853486
85,137.7866593,0.9987135762
86,142.4230248,0.9987425407
87,141.6497675,0.9987717716
88,152.0111714,0.9988015494
89,130.0563284,0.9988307216
90,142.2449032,0.9988600753
91,144.4784962,0.9988911862
92,138.7809557,0.9989212778
93,145.4198615,0.9989530263
94,130.4428048,0.9989826753
95,148.6465281,0.999014906
96,134.4630557,0.9990450667
97,140.4692067,0.999078255
98,125.6149815,0.9991068067
99,132.4988524,0.9991387062
100,128.2798688,0.9991678636
101,126.2040917,0.9991991913
102,119.1135024,0.9992278683
103,126.3670514,0.9992573468
104,110.1741063,0.9992850249
105,113.3828977,0.9993123222
106,104.8852102,0.9993396126
107,103.5224803,0.9993656197
108,106.4068875,0.9993920331
109,95.97853898,0.9994165755
110,94.42396475,0.9994408616
111,83.06569548,0.99946322
112,84.43182791,0.9994853148
113,77.04022116,0.999505821
114,70.68694627,0.9995254817
115,70.0727526,0.9995443429
116,66.87039115,0.9995622421
117,62.98094489,0.9995795711
118,56.51941995,0.9995954603
119,55.93018106,0.9996112675
120,49.49400145,0.9996251816
121,51.65763591,0.9996393951
122,44.54283362,0.9996522504
123,40.48500689,0.9996647216
124,40.26877479,0.9996760423
125,35.89777335,0.9996868857
126,36.69926248,0.9996972578
127,30.82693892,0.9997066616
128,30.02198627,0.9997159098
129,28.47715335,0.9997242987
130,27.62061961,0.9997329724
131,25.38442986,0.9997406401
132,24.01656682,0.9997483974
133,22.6510581,0.9997555443
134,24.09208882,0.9997627496
135,20.73925556,0.9997695724
136,21.76736853,0.9997765055
137,20.90365747,0.9997833199
138,21.78353566,0.999790356
139,20.76747433,0.9997969707
140,20.93820717,0.9998041094
141,21.53129745,0.9998111284
142,21.95695899,0.9998184831
143,22.65695598,0.9998261062
144,15.03736641,0.9998310476
145,8.073009246,0.9998336129
146,9.184776059,0.9998363598
147,10.13474614,0.9998393302
148,10.60101173,0.9998425244
149,11.70062962,0.9998459538
150,12.5455964,0.9998495651
151,14.25430247,0.9998534445
152,14.06843691,0.9998575258
153,15.79366212,0.9998618714
154,15.81518331,0.9998663648
155,17.60354454,0.9998711162
156,17.95369262,0.9998759756
157,18.50448422,0.9998812054
158,20.41868591,0.9998864724
159,20.65051057,0.9998920462
160,21.20982786,0.9998976917
161,21.34410149,0.9999035805
162,22.67159567,0.9999095981
163,24.00891437,0.9999157194
164,23.39194779,0.9999219283
165,24.71919199,0.9999283046
166,23.60439488,0.9999346757
167,26.05795797,0.9999412415
168,26.56330368,0.9999478552
169,25.07167372,0.9999545474
170,25.99500208,0.9999611751
171,26.4297975,0.9999680322
172,27.46759914,0.9999748504
173,26.4812739,0.9999816813
174,26.98313113,0.9999886416
175,28.52235013,0.9999956151
176,13.85894795,0.9999989879
177,0.5555354811,0.9999991042
178,0.3947133493,0.9999991886
179,0.2667680711,0.9999992417
180,0.2480024046,0.9999992864
181,0.2529237184,0.9999993337
182,0.2500529081,0.9999993776
183,0.2110999329,0.9999994144
184,0.2332372053,0.9999994505
185,0.1823477363,0.999999479
186,0.20486709,0.9999995116
187,0.1915144635,0.9999995388
188,0.1715277368,0.9999995639
189,0.1990314119,0.9999995901
190,0.2158364415,0.999999619
191,0.1907008427,0.9999996443
192,0.1870365495,0.9999996654
193,0.1838372589,0.9999996892
194,0.2078719634,0.9999997115
195,0.1737307537,0.9999997318
196,0.1672724129,0.9999997496
197,0.1563816065,0.9999997646
198,0.1690710188,0.9999997823
199,0.1697042772,0.9999997972
200,0.1788587884,0.9999998144
201,0.1580744114,0.9999998278
202,0.1985174738,0.9999998438
203,0.1516885475,0.9999998564
204,0.1787071909,0.9999998691
205,0.18216327,0.9999998827
206,0.1264666982,0.9999998914
207,0.1643361808,0.9999999015
208,0.1626208251,0.9999999121
209,0.1674907809,0.9999999217
210,0.1446100274,0.9999999293
211,0.1651638932,0.9999999381
212,0.1794877884,0.9999999461
213,0.1434640547,0.9999999528
214,0.1903597848,0.9999999606
215,0.1508514021,0.9999999659
216,0.1485220047,0.9999999713
217,0.2142444809,0.9999999779
218,0.1738218673,0.9999999827
219,0.1865751677,0.9999999876
220,0.1449083326,0.9999999905
221,0.2019085029,0.9999999943
222,0.1136181902,0.9999999961
223,0.1437093867,0.9999999979
224,0.1587076418,0.9999999992
225,0.09596014927,0.9999999998
226,0.06919705207,1
227,0.0009842746399,1
