freq_radius,radial_mean_power,cumulative_energy_fraction
0,2491048924,0.8562241437
1,4259174.96,0.8679358637
2,3783582.999,0.8887437737
3,2041730.968,0.9027794623
4,1823509.4,0.9178221161
5,809542.3396,0.9289523623
6,442963.2241,0.934433559
7,286378.9933,0.9391584044
8,294051.349,0.9448184042
9,163409.0117,0.9479637562
10,140755.1194,0.951253623
11,124483.2857,0.9539920189
12,137450.9014,0.9577715924
13,100145.1491,0.9609384093
14,59724.42085,0.962744917
15,57126.52479,0.9646299296
16,75735.85323,0.967128997
17,53179.15575,0.9692493328
18,49301.66994,0.9712828511
19,30116.97865,0.9725250692
20,43512.74506,0.9743796399
21,29950.64253,0.9758620687
22,32438.12384,0.97737842
23,32368.36541,0.9789360132
24,20365.86837,0.9800000379
25,20279.8004,0.9811710953
26,16845.63896,0.9821901685
27,16625.67733,0.9831273601
28,14961.52644,0.9839913137
29,15241.5721,0.9849971706
30,13582.45407,0.9858748609
31,11449.80182,0.986693451
32,9499.691098,0.9873464984
33,8911.426468,0.9879836104
34,7770.215741,0.9885925485
35,6941.093857,0.9890887939
36,6780.207745,0.9896294687
37,5585.920855,0.9900672275
38,6453.416112,0.9906350791
39,5687.93763,0.9911199339
40,5185.838104,0.9915405987
41,4484.635069,0.9919598759
42,4303.215168,0.992350359
43,4341.74156,0.9927801543
44,3753.313084,0.9931362191
45,3961.018471,0.9935065424
46,3816.559291,0.9938948437
47,4158.840642,0.9943122513
48,2786.433824,0.9946110706
49,3207.400175,0.9949462149
50,2699.637921,0.9952579962
51,2329.303906,0.9955174
52,2199.074766,0.9957532304
53,2096.837196,0.99600116
54,1760.819201,0.9961972543
55,1794.183358,0.9964291325
56,1581.898725,0.9966161759
57,1426.238347,0.9967926576
58,1269.535284,0.9969514945
59,1038.115847,0.9970828049
60,1089.680348,0.9972296266
61,923.6627307,0.9973528095
62,841.1783338,0.9974661485
63,844.8170952,0.9975823008
64,799.9446341,0.9976889842
65,723.7444012,0.997796451
66,689.8711111,0.9978913001
67,654.9694766,0.9979867536
68,703.8911261,0.9980961113
69,619.4203843,0.9981846807
70,460.1911152,0.998255544
71,490.1714749,0.9983276543
72,508.1357584,0.9984114895
73,427.1874665,0.99847962
74,441.550112,0.9985500411
75,432.7470466,0.9986208433
76,362.2580883,0.9986806107
77,344.9337536,0.9987394168
78,345.6389491,0.9987959671
79,254.0931946,0.9988392863
80,284.9571696,0.998890218
81,284.823015,0.9989391677
82,240.183173,0.9989834176
83,256.126116,0.9990277876
84,227.8341507,0.9990697624
85,230.5451634,0.9991131876
86,243.0805847,0.9991586398
87,205.6161795,0.9991976521
88,190.3115256,0.999231929
89,157.4200732,0.9992643941
90,162.6780305,0.9992952596
91,146.4646607,0.9993242571
92,140.2095131,0.9993522089
93,116.5471113,0.9993756037
94,126.4345324,0.9994020263
95,110.0966343,0.9994239749
96,110.5589706,0.9994467757
97,115.0094559,0.9994717594
98,98.17416761,0.999492276
99,94.03099377,0.9995130903
100,87.05346427,0.9995312829
101,83.97333684,0.9995504482
102,81.25160056,0.9995684337
103,70.5340239,0.9995835619
104,75.78923327,0.9996010677
105,77.1831202,0.9996181527
106,66.07971471,0.9996339609
107,60.56282155,0.9996479497
108,61.171724,0.9996619109
109,54.66166162,0.9996747621
110,59.78396991,0.9996888998
111,53.00218546,0.9997020167
112,50.19265013,0.9997140933
113,47.19350109,0.9997256429
114,48.63432038,0.9997380801
115,43.32204153,0.9997488013
116,49.74564482,0.9997610439
117,46.31916278,0.9997727617
118,41.43854642,0.9997834726
119,36.20164817,0.9997928797
120,36.50334297,0.999802315
121,37.15019869,0.9998117132
122,33.79639604,0.9998206811
123,32.02295175,0.9998297509
124,32.29142141,0.9998377534
125,30.29858698,0.9998453766
126,32.0374086,0.9998526004
127,25.18336594,0.9998586423
128,24.37496694,0.9998643898
129,27.54461968,0.9998704301
130,26.10516002,0.9998764599
131,22.76571641,0.9998814053
132,21.93432115,0.9998864416
133,20.13245125,0.9998908842
134,19.69071634,0.9998948909
135,16.46468307,0.999898592
136,16.19547608,0.9999019988
137,16.58198036,0.9999055896
138,17.84994341,0.9999093322
139,14.90746309,0.9999123348
140,17.8576819,0.9999162386
141,16.41632404,0.9999195452
142,12.54794166,0.9999221761
143,13.85651853,0.9999250242
144,15.11339341,0.9999281099
145,13.45656719,0.9999309314
146,15.61665002,0.9999340447
147,13.15939054,0.9999367133
148,12.70020314,0.9999392889
149,14.12579607,0.9999421535
150,12.71300965,0.9999447142
151,13.72643715,0.9999473374
152,12.34359322,0.9999498746
153,12.19706553,0.9999522307
154,10.80780895,0.9999544596
155,13.28255581,0.9999570254
156,10.36835589,0.9999590425
157,10.60299148,0.9999612
158,9.672867671,0.9999630021
159,9.693211537,0.9999649278
160,10.11769164,0.9999668753
161,9.899589438,0.9999688693
162,9.693449609,0.9999707618
163,10.01110953,0.999972613
164,8.040277902,0.9999742049
165,8.868180034,0.9999758814
166,8.391810788,0.9999775659
167,9.165467876,0.9999792734
168,9.985689495,0.9999810994
169,8.26547407,0.9999827528
170,7.666284184,0.9999842074
171,8.712252532,0.9999858903
172,8.285073171,0.9999874281
173,7.503311636,0.9999888878
174,7.354124729,0.9999902933
175,7.447217981,0.9999916756
176,7.571933383,0.999993107
177,8.416729553,0.9999946576
178,7.844822332,0.9999961623
179,7.516086903,0.9999975986
180,5.277231667,0.999998511
181,1.495202092,0.9999987392
182,1.183230118,0.9999989206
183,1.005505746,0.9999990568
184,0.8631506578,0.999999166
185,0.9013471346,0.9999992806
186,0.8212496887,0.9999993805
187,0.5580459934,0.9999994442
188,0.6478233406,0.9999995128
189,0.5087389568,0.9999995638
190,0.5289425361,0.9999996166
191,0.4559225464,0.9999996604
192,0.4451603686,0.999999699
193,0.3477695602,0.9999997294
194,0.4007794804,0.999999761
195,0.3791784372,0.9999997908
196,0.3148301482,0.9999998143
197,0.3335281854,0.9999998361
198,0.3461881208,0.9999998587
199,0.273983234,0.9999998764
200,0.2900236142,0.9999998932
201,0.2836588128,0.9999999086
202,0.2055815621,0.9999999186
203,0.2559708778,0.9999999311
204,0.230337628,0.9999999414
205,0.2258757253,0.9999999506
206,0.1875082693,0.9999999577
207,0.2219688018,0.9999999648
208,0.1941207248,0.9999999712
209,0.2015950249,0.9999999772
210,0.1544237496,0.9999999807
211,0.2148430605,0.9999999854
212,0.1533545484,0.999999988
213,0.284781689,0.9999999929
214,0.2858258592,0.9999999966
215,0.1620855391,0.9999999978
216,0.1795191013,0.999999999
217,0.2934253541,0.9999999999
218,0.1397041968,1
