freq_radius,radial_mean_power,cumulative_energy_fraction
0,3518692779,0.7038382187
1,39581463.01,0.7671775283
2,13638356.4,0.8108264494
3,6290724.05,0.8359929091
4,3153241.782,0.8511306132
5,2199135.418,0.8687261881
6,2103966.792,0.8838768943
7,1160767.434,0.8950218398
8,746118.6139,0.9033795517
9,582588.7673,0.9099054699
10,470013.4405,0.916298558
11,400283.1818,0.9214229083
12,323913.2312,0.926606254
13,255870.385,0.9313149358
14,221354.6847,0.93521133
15,152451.7966,0.938138819
16,171059.6513,0.9414236294
17,140460.9126,0.9446827841
18,99540.74488,0.9470721003
19,90002.80294,0.9492324735
20,78995.16784,0.9511918311
21,81760.2587,0.95354686
22,90691.8423,0.9560140275
23,83087.48914,0.9583408066
24,64367.39294,0.9602978525
25,56412.08634,0.962193567
26,53648.59971,0.9640822652
27,43135.74746,0.9654973181
28,42701.73825,0.9669322997
29,44980.07194,0.968659779
30,33649.6057,0.9699251834
31,34914.7011,0.9713778407
32,31130.91893,0.9726232538
33,31640.26047,0.973939675
34,26512.23456,0.9751488041
35,23994.59262,0.9761471205
36,22116.29317,0.9771734619
37,19397.11733,0.9780580957
38,16820.63221,0.978919434
39,16432.36591,0.9797345948
40,16273.08769,0.9805027933
41,16168.25402,0.9813824709
42,15422.6592,0.9821969026
43,12888.83978,0.9829394049
44,12609.60623,0.9836355537
45,12028.15242,0.9842899779
46,11961.24087,0.9849981836
47,11753.93928,0.9856847109
48,9300.485242,0.9862651434
49,10406.92688,0.9868979741
50,10360.14412,0.9875942744
51,7989.187007,0.9881120471
52,8228.830089,0.9886255988
53,8289.365691,0.9891959879
54,6647.987145,0.9896268385
55,7075.838421,0.9901590169
56,6445.29913,0.9906025163
57,6482.639777,0.9910693324
58,4826.241445,0.9914207326
59,5019.17477,0.9917901961
60,4838.552097,0.9921695923
61,4012.015123,0.9924809688
62,4853.994784,0.9928615759
63,3767.040657,0.9931629818
64,3796.335447,0.9934576192
65,3019.616236,0.993718551
66,3352.864522,0.9939868181
67,2755.157923,0.9942204886
68,2720.700003,0.9944664747
69,2559.162988,0.9946794272
70,2338.121371,0.9948889526
71,2286.285937,0.9950846864
72,2029.22346,0.9952795194
73,2104.272215,0.9954748235
74,1762.612771,0.9956384171
75,1875.517356,0.9958169917
76,1862.6492,0.9959958313
77,1687.953154,0.9961633
78,1484.277191,0.9963046232
79,1466.403126,0.996450111
80,1505.526549,0.9966067079
81,1342.202369,0.9967409472
82,1153.028327,0.9968645693
83,1133.292734,0.9969788214
84,1066.682868,0.997093186
85,1020.43656,0.9972050417
86,878.0736546,0.9973005896
87,901.5453462,0.9974001343
88,810.0401741,0.9974850385
89,758.4977392,0.9975760712
90,878.4195409,0.9976730624
91,682.5718139,0.9977517058
92,722.6598496,0.9978355462
93,621.623545,0.9979081622
94,597.5091202,0.9979808296
95,606.8107014,0.9980512296
96,613.6133945,0.9981248736
97,523.3685354,0.9981910367
98,536.409582,0.9982562734
99,480.5005359,0.9983181706
100,500.1046599,0.998378992
101,409.4692243,0.9984333772
102,374.8120145,0.9984816598
103,383.0463747,0.9985294708
104,321.2110999,0.9985726476
105,377.059756,0.9986212198
106,363.6450844,0.9986718464
107,348.9708024,0.9987187547
108,317.1046772,0.9987608722
109,302.0364315,0.9988021966
110,284.7917318,0.9988413895
111,278.4282886,0.9988814888
112,270.106842,0.9989193092
113,266.8556217,0.9989573148
114,296.9897661,0.9990015131
115,246.0735946,0.9990369527
116,255.9874942,0.9990736153
117,225.707412,0.9991068442
118,223.3254268,0.9991404371
119,195.9015425,0.9991700616
120,172.8658519,0.9991960643
121,172.9876083,0.9992215317
122,165.2265387,0.9992470463
123,155.2587878,0.9992726365
124,144.9135339,0.9992944346
125,139.4734118,0.9993169767
126,140.5027821,0.9993382237
127,143.8570955,0.9993617045
128,144.0401073,0.9993854457
129,134.2574047,0.9994066077
130,123.2052896,0.9994273091
131,111.9399394,0.9994454011
132,109.0510636,0.9994642478
133,113.4142955,0.9994833949
134,107.9773618,0.9995006737
135,107.3866118,0.9995195764
136,95.32165522,0.9995358215
137,92.57173593,0.9995519683
138,84.60844447,0.9995665907
139,86.2754632,0.9995812942
140,77.00709391,0.9995953423
141,70.42971237,0.9996076269
142,66.57067857,0.9996195581
143,70.64647934,0.9996322763
144,62.1639974,0.9996436166
145,64.48705855,0.9996556903
146,61.80458852,0.9996669156
147,62.45005795,0.9996783081
148,58.16293797,0.9996893839
149,51.91187556,0.9996991862
150,51.74944696,0.9997089993
151,51.6985298,0.9997185132
152,50.07099888,0.9997282884
153,48.51892172,0.9997374889
154,48.87452215,0.9997472652
155,44.43777325,0.9997557985
156,41.73170844,0.9997639456
157,35.77643035,0.9997712451
158,33.05925843,0.9997775933
159,35.44671521,0.9997846837
160,31.32047472,0.9997909737
161,34.32205268,0.9997982236
162,33.42181857,0.9998050693
163,34.25720975,0.9998118943
164,33.08072637,0.9998187761
165,29.29564185,0.9998248236
166,30.17168207,0.9998313416
167,28.53003116,0.9998372082
168,26.08495734,0.9998425511
169,24.04047639,0.9998478216
170,26.30095959,0.9998534823
171,24.43451577,0.9998587609
172,26.06298824,0.9998643079
173,24.33598821,0.999869721
174,25.58576402,0.9998753916
175,23.2964785,0.9998804244
176,22.03949936,0.9998853266
177,20.54182707,0.9998897807
178,17.9034959,0.9998939063
179,18.910502,0.9998982034
180,17.30618938,0.9999019109
181,17.2524299,0.9999055344
182,17.8652995,0.9999092867
183,16.78245791,0.9999127309
184,16.4324936,0.9999158667
185,15.2534146,0.9999188873
186,13.6722924,0.9999216385
187,14.70384274,0.9999244444
188,13.89333788,0.9999271123
189,14.08484435,0.9999297268
190,14.46398779,0.999932458
191,13.26926711,0.9999349955
192,13.36983855,0.9999374024
193,11.02807952,0.9999395112
194,12.06779816,0.9999416693
195,11.74573941,0.9999438684
196,10.58032794,0.9999458239
197,12.48616482,0.9999480168
198,9.971836143,0.9999498479
199,10.01057172,0.999951618
200,10.44587679,0.9999535445
201,10.03121052,0.9999552902
202,9.474374983,0.9999569238
203,9.220977924,0.999958617
204,9.162985765,0.9999601932
205,8.666597722,0.9999617569
206,7.987052243,0.9999631213
207,8.648529379,0.9999646264
208,7.650854427,0.9999659762
209,7.463434228,0.9999672511
210,7.181994244,0.9999684894
211,7.04776099,0.9999697131
212,6.773464703,0.999970881
213,7.16919104,0.9999721114
214,5.807990855,0.9999731036
215,6.24359115,0.9999741452
216,6.051641066,0.9999751838
217,5.568577621,0.9999761417
218,5.995616968,0.9999771419
219,5.554822991,0.9999780864
220,5.145600928,0.999978953
221,5.531229221,0.9999798735
222,5.447685049,0.9999808172
223,5.263690106,0.9999816785
224,4.81912054,0.9999824998
225,5.022036889,0.9999833255
226,4.881569089,0.999984132
227,4.140616997,0.9999848211
228,4.22440776,0.9999855225
229,4.215027986,0.9999862526
230,4.526639375,0.9999869734
231,3.819072246,0.9999875952
232,4.124345149,0.999988275
233,3.721092794,0.9999888809
234,3.852773956,0.999989539
235,3.534200752,0.9999900989
236,3.278939735,0.9999906381
237,3.490030413,0.9999912161
238,3.179158821,0.9999917134
239,3.122131956,0.9999922405
240,3.303134761,0.9999927572
241,2.782960023,0.9999932292
242,3.411660577,0.9999937874
243,3.025757989,0.9999942716
244,2.944785873,0.9999947558
245,3.150536659,0.9999952423
246,3.011723693,0.9999957568
247,2.979962928,0.9999962289
248,2.807671704,0.9999966771
249,2.605704223,0.999997092
250,2.653724112,0.9999974864
251,1.76650224,0.9999977372
252,1.583753159,0.999997945
253,1.306979568,0.9999981113
254,1.382415675,0.9999982822
255,1.062200309,0.9999984067
256,1.124499518,0.9999985331
257,1.043468361,0.9999986454
258,0.989204334,0.9999987531
259,0.9628826136,0.9999988528
260,0.8353639518,0.9999989344
261,0.7985616873,0.9999990117
262,0.80422909,0.9999990883
263,0.7187744468,0.9999991524
264,0.6365070916,0.9999992084
265,0.6574624246,0.9999992647
266,0.6681503859,0.9999993195
267,0.6488067508,0.999999373
268,0.5765246347,0.9999994168
269,0.5747572049,0.9999994605
270,0.5597391484,0.9999994999
271,0.5341208561,0.9999995383
272,0.4878998687,0.9999995723
273,0.5398111628,0.9999996064
274,0.5326557021,0.9999996403
275,0.4086658466,0.9999996665
276,0.4052943949,0.9999996905
277,0.3753098146,0.9999997116
278,0.4621366192,0.999999736
279,0.4227302525,0.999999759
280,0.4627300122,0.9999997825
281,0.3781230753,0.999999801
282,0.4116310439,0.9999998206
283,0.3335493577,0.9999998346
284,0.3243634684,0.9999998488
285,0.275442674,0.9999998602
286,0.3590646212,0.9999998739
287,0.311768743,0.9999998855
288,0.3997917132,0.9999998989
289,0.3723329485,0.9999999116
290,0.354101211,0.999999923
291,0.3803688341,0.9999999335
292,0.3259704439,0.9999999429
293,0.2809348934,0.9999999498
294,0.2716879945,0.9999999564
295,0.269087973,0.9999999625
296,0.3059300212,0.9999999682
297,0.2937454288,0.9999999739
298,0.3474023613,0.9999999796
299,0.2705491216,0.9999999835
300,0.3090604418,0.9999999877
301,0.2327309217,0.9999999902
302,0.3070616763,0.9999999933
