freq_radius,radial_mean_power,cumulative_energy_fraction
0,4403342659,0.87834773
1,31139913.19,0.9280402917
2,8269307.738,0.9544323424
3,915188.6308,0.9580834499
4,1062877.771,0.9631718185
5,814013.2172,0.9696667631
6,327049.846,0.9720153165
7,247061.9023,0.9743808604
8,132024.6594,0.9758556399
9,165525.6679,0.9777046419
10,166514.8082,0.9799632755
11,80808.32885,0.9809948963
12,114575.0978,0.9828232669
13,72569.21671,0.9841550216
14,56383.17507,0.9851447504
15,48170.46638,0.9860671861
16,35664.0441,0.9867501312
17,42848.96644,0.9877416075
18,28611.784,0.9884264807
19,24771.02026,0.9890194186
20,22219.41501,0.9895690079
21,21822.32578,0.9901958347
22,18574.27697,0.9906997236
23,14562.55938,0.9911064007
24,13785.19511,0.9915243663
25,10730.14702,0.9918839491
26,10709.72637,0.992259938
27,9770.485041,0.9925795654
28,9416.474869,0.9928951252
29,8180.606168,0.9932084326
30,6896.16907,0.9934670453
31,6946.561879,0.9937552607
32,5971.871107,0.9939935061
33,5732.584316,0.9942313531
34,5291.627623,0.9944720155
35,5602.256438,0.9947044552
36,4634.449603,0.9949189269
37,5263.524776,0.9951583112
38,4201.202421,0.9953728459
39,3956.162146,0.9955685544
40,3779.99868,0.9957465002
41,3286.719217,0.9959248265
42,3105.646527,0.9960883725
43,2823.701611,0.9962505891
44,3022.200245,0.996416975
45,3056.766246,0.9965828248
46,2613.517529,0.9967371373
47,2328.979717,0.9968727913
48,2513.915691,0.9970292463
49,2006.018987,0.9971508908
50,1925.016926,0.997279911
51,2132.78891,0.9974177516
52,1996.470592,0.997542003
53,1802.968853,0.9976657204
54,1893.247341,0.9977880795
55,1850.355604,0.9979268596
56,1615.052565,0.9980376824
57,1360.520651,0.9981353817
58,1309.956515,0.9982304952
59,1143.930844,0.9983144667
60,1034.782617,0.9983953798
61,933.7955561,0.9984676514
62,944.6109958,0.9985415137
63,866.185317,0.998610626
64,803.0007603,0.9986727746
65,734.3821017,0.998736058
66,643.7273596,0.9987874205
67,601.4996226,0.9988382932
68,558.2220038,0.9988886235
69,502.1828491,0.998930295
70,525.3241892,0.99897724
71,491.0015484,0.999019159
72,391.6803159,0.9990566612
73,343.5191586,0.9990884558
74,349.9985598,0.9991208501
75,290.9728002,0.9991484777
76,282.6335728,0.999175539
77,283.4774038,0.9992035859
78,268.7153655,0.9992291001
79,244.8795153,0.9992533282
80,215.3334516,0.9992756638
81,228.1496639,0.9992984187
82,208.721459,0.9993207347
83,176.3244168,0.9993384613
84,209.5071798,0.9993608613
85,209.8560068,0.9993838009
86,177.9164192,0.9994031072
87,198.4866986,0.9994249624
88,182.1299692,0.9994439993
89,156.3902962,0.9994627167
90,150.7543138,0.9994793161
91,136.3161878,0.9994949783
92,114.5251835,0.9995082283
93,105.8642392,0.9995205606
94,111.1874263,0.9995340454
95,109.5143233,0.9995467156
96,95.11388831,0.9995580991
97,93.42407615,0.9995698768
